"","Authors","Title","Year","Source","Publisher","QueryDate","Type","DOI","ISSN","Volume","Abstract","generic_drug_name","database"
"1","P García-López, J Pérez-Urizar, I Madrazo, G Guízar-Sahagún, G Castañeda-Hernández","Oral paracetamol bioavailability in rats subjected to experimental spinal cord injury.",1997,"Biopharmaceutics & drug disposition",NA,"2021-01-12 09:47:17","Journal Article","10.1002/(sici)1099-081x(199704)18:3<203::aid-bdd11>3.0.co;2-f","0142-2782",18,"The purpose of the present study was to examine the time dependence of oral paracetamol (acetaminophen) bioavailability in an experimental model of spinal cord injury (SCI). Female Sprague-Dawley rats were subjected to spinal cord contusion at the T8-T9 level by the weight drop method producing permanent paraplegia. Oral paracetamol bioavailability after administration of a single 100 mgkg-1 dose was determined 1, 12, and 50 d after SCI. Cmax and AUC were significantly decreased 1 d after SCI compared to sham-injured controls. This reduction, however, was temporary, as there was a recovery of bioavailability parameters which was partial 12 d after SCI, being complete by day 50. The present results confirm the usefulness of animal models for the characterization of the effect of SCI in drug kinetics. Data show that SCI induces significant changes in paracetamol pharmacokinetics. Nonetheless, despite the fact of a permanent loss of functions related to locomotion, pharmacokinetic alterations evolved with time.","acetaminophen","pubmed"
"2","Hadi Askarifirouzjaei, Leila Khajoueinejad, Amir Salek Farrokhi, Mohammad-Taher Tahoori, Mehdi Fazeli, Taki Tiraihi, Ali Akbar Pourfathollah","Implications of immunotherapy with high-dose glatiramer acetate in acute phase of spinal cord injury in rats.",2019,"Immunopharmacology and immunotoxicology",NA,"2021-01-15 17:23:14","Journal Article","10.1080/08923973.2019.1566362","1532-2513",41,"Objective: Recently, many researches with different viewpoints have focused on application of immunotherapy agents in treatment of spinal cord injury (SCI) according to neuroprotective results in some neurodegenerative disease. Glatiramer acetate (GA) is the most commonly used drug for Multiple sclerosis (MS) patients that exerts an immunomodulatory effect against Myelin basic protein (MBP) antigen. Materials and methods: High-dose (2mg/kg) treatment of GA for 28 consecutive days after SCI was compared with its low-dose (0.5 mg/kg) treatment, SCI control and Sham control rat groups. Results: High-dose GA group had significantly worsened outcome in standard functional recovery evaluation test (BBB) 12 weeks after SCI compared to SCI control and low-dose GA groups, which was confirmed by augmented spinal cavity volume and reduced ventral horn motor neurons in high-dose GA group; however, there was no significant difference between low-dose GA and control SCI group. In addition, proliferation test performed on lymphocytes from spleen and lymph nodes one week after SCI showed that high-dose GA injection has more significant effect on Division Index (DI) in response to MBP stimulation compared to low-dose GA and control SCI groups, which was associated with significant increase in IFN-γ, IL-4, and IL-17A secretion. Conclusion: Along with confirmation of deleterious aspects of autoimmunity resulting from autoreactive lymphocytes against myelin antigens in SCI, this study has shown that high-dose immunotherapy using GA, especially in acute phase after SCI, overwhelms any neuroprotective effect of adoptive immune system.","acetate","pubmed"
"3","José Luis Quintanar, Carmen Díaz-Galindo, Denisse Calderón-Vallejo, Irma Hernández-Jasso, Froylán Rojas, Daniel Medina-Aguiñaga, Carlos Olvera-Sandoval","Neurological improvement in patients with chronic spinal cord injury treated with leuprolide acetate, an agonist of GnRH.",2018,"Acta neurobiologiae experimentalis",NA,"2021-01-15 17:23:14","Journal Article","","1689-0035",78,"It has been reported that gonadotropin‑releasing hormone (GnRH), and its analogue leuprolide acetate (LA), have neurotrophic properties; particularly in the regeneration of injured spinal cord in animal models and in the case of a patient with spinal cord injury (SCI). The aim of this study was to establish whether treatment with LA improves sensitivity, motor activity and independence in patients with chronic SCI. Patients were treated LA once a month for six months. They were evaluated at the beginning and at the end of treatment; using a sensitivity and motor impairment scale, according to the American Spinal Injury Association (ASIA), and grade of independence scale; employing the spinal cord independence measure (SCIM). Statistical analysis showed a significant improvement in the ASIA sensory score and the SCIM score when comparing the initial versus final evaluation after six months of LA administration. Some patients showed an increase in frequency of bowel movements. Treatment with LA induces improvements in sensitivity, motor activity and independence in patients with chronic SCI. One advantage of this protocol is that it is a non-invasive method of easy and safe application, with few side effects.","acetate","pubmed"
"4","Carmen Díaz Galindo, Beatriz Gómez-González, Eva Salinas, Denisse Calderón-Vallejo, Irma Hernández-Jasso, Eduardo Bautista, J Luis Quintanar","Leuprolide acetate induces structural and functional recovery of injured spinal cord in rats.",2015,"Neural regeneration research",NA,"2021-01-15 17:23:14","Journal Article","10.4103/1673-5374.170311","1673-5374",10,"Gonadotropin-releasing hormone (GnRH) and its synthetic analog leuprolide acetate, a GnRH agonist, have neurotrophic properties. This study was designed to determine whether administration of leuprolide acetate can improve locomotor behavior, gait, micturition reflex, spinal cord morphology and the amount of microglia in the lesion epicenter after spinal cord injury in rats. Rats with spinal cord compression injury were administered leuprolide acetate or saline solution for 5 weeks. At the 5(th) week, leuprolide acetate-treated rats showed locomotor activity recovery by 38%, had improvement in kinematic gait and exhibited voiding reflex recovery by 60%, as compared with the 1(st) week. By contrast, saline solution-treated rats showed locomotor activity recovery only by 7%, but voiding reflex did not recover. More importantly, leuprolide acetate treatment reduced microglial immunological reaction and induced a trend towards greater area of white and gray matter in the spinal cord. Therefore, leuprolide acetate has great potential to repair spinal cord injury.","acetate","pubmed"
"5","Jian-Guo Hu, Ling-Ling Shi, Yue-Juan Chen, Xiu-Mei Xie, Nan Zhang, An-You Zhu, Zheng-Song Jiang, Yi-Fan Feng, Chen Zhang, Jin Xi, He-Zuo Lü","Differential effects of myelin basic protein-activated Th1 and Th2 cells on the local immune microenvironment of injured spinal cord.",2016,"Experimental neurology",NA,"2021-01-15 17:23:14","Journal Article","10.1016/j.expneurol.2016.01.002","1090-2430",277,"Myelin basic protein (MBP) activated T cells (MBP-T) play an important role in the damage and repair process of the central nervous system (CNS). However, whether these cells play a beneficial or detrimental role is still a matter of debate. Although some studies showed that MBP-T cells are mainly helper T (Th) cells, their subtypes are still not very clear. One possible explanation for MBP-T immunization leading to conflicting results may be the different subtypes of T cells are responsible for distinct effects. In this study, the Th1 and Th2 type MBP-T cells (MBP-Th1 and -Th2) were polarized in vitro, and their effects on the local immune microenvironment and tissue repair of spinal cord injury (SCI) after adoptive immunization were investigated. In MBP-Th1 cell transferred rats, the high levels of pro-inflammatory cells (Th1 cells and M1 macrophages) and cytokines (IFN-γ, TNF-α, -β, IL-1β) were detected in the injured spinal cord; however, the anti-inflammatory cells (Th2 cells, regulatory T cells, and M2 macrophages) and cytokines (IL-4, -10, and -13) were found in MBP-Th2 cell transferred animals. MBP-Th2 cell transfer resulted in decreased lesion volume, increased myelination of axons, and preservation of neurons. This was accompanied by significant locomotor improvement. These results indicate that MBP-Th2 adoptive transfer has beneficial effects on the injured spinal cord, in which the increased number of Th2 cells may alter the local microenvironment from one primarily populated by Th1 and M1 cells to another dominated by Th2, Treg, and M2 cells and is conducive for SCI repair.","acetate","pubmed"
"6","Sebastiaan van Gorp, Marjolein Leerink, Osamu Kakinohana, Oleksandr Platoshyn, Camila Santucci, Jan Galik, Elbert A Joosten, Marian Hruska-Plochan, Danielle Goldberg, Silvia Marsala, Karl Johe, Joseph D Ciacci, Martin Marsala","Amelioration of motor/sensory dysfunction and spasticity in a rat model of acute lumbar spinal cord injury by human neural stem cell transplantation.",2013,"Stem cell research & therapy",NA,"2021-01-15 17:23:14","Journal Article","10.1186/scrt209","1757-6512",4,"Intraspinal grafting of human neural stem cells represents a promising approach to promote recovery of function after spinal trauma. Such a treatment may serve to: I) provide trophic support to improve survival of host neurons; II) improve the structural integrity of the spinal parenchyma by reducing syringomyelia and scarring in trauma-injured regions; and III) provide neuronal populations to potentially form relays with host axons, segmental interneurons, and/or α-motoneurons. Here we characterized the effect of intraspinal grafting of clinical grade human fetal spinal cord-derived neural stem cells (HSSC) on the recovery of neurological function in a rat model of acute lumbar (L3) compression injury. Three-month-old female Sprague-Dawley rats received L3 spinal compression injury. Three days post-injury, animals were randomized and received intraspinal injections of either HSSC, media-only, or no injections. All animals were immunosuppressed with tacrolimus, mycophenolate mofetil, and methylprednisolone acetate from the day of cell grafting and survived for eight weeks. Motor and sensory dysfunction were periodically assessed using open field locomotion scoring, thermal/tactile pain/escape thresholds and myogenic motor evoked potentials. The presence of spasticity was measured by gastrocnemius muscle resistance and electromyography response during computer-controlled ankle rotation. At the end-point, gait (CatWalk), ladder climbing, and single frame analyses were also assessed. Syrinx size, spinal cord dimensions, and extent of scarring were measured by magnetic resonance imaging. Differentiation and integration of grafted cells in the host tissue were validated with immunofluorescence staining using human-specific antibodies. Intraspinal grafting of HSSC led to a progressive and significant improvement in lower extremity paw placement, amelioration of spasticity, and normalization in thermal and tactile pain/escape thresholds at eight weeks post-grafting. No significant differences were detected in other CatWalk parameters, motor evoked potentials, open field locomotor (Basso, Beattie, and Bresnahan locomotion score (BBB)) score or ladder climbing test. Magnetic resonance imaging volume reconstruction and immunofluorescence analysis of grafted cell survival showed near complete injury-cavity-filling by grafted cells and development of putative GABA-ergic synapses between grafted and host neurons. Peri-acute intraspinal grafting of HSSC can represent an effective therapy which ameliorates motor and sensory deficits after traumatic spinal cord injury.","acetate","pubmed"
"7","Roberto Jose Diaz, S Terry Myles, R John Hurlbert","Evaluation of epidural analgesic paste components in lumbar decompressive surgery:  a randomized double-blind controlled trial.",2012,"Neurosurgery",NA,"2021-01-15 17:23:14","Journal Article","10.1227/NEU.0b013e3182315f05","1524-4040",70,"Adjuncts for pain management in lumbar decompressive surgery are needed to reduce narcotic consumption and promote early mobility. To evaluate the efficacy and active components of a previously described epidural analgesic paste in controlling postoperative pain and facilitating early discharge from hospital after lumbar decompressive surgery. A randomized double-blind controlled trial was conducted. Two-hundred and one patients were randomized to 1 of 4 analgesic epidural pastes at the time of lumbar spinal surgery: combination paste (morphine + methylprednisolone), steroid paste (methylprednisolone alone), morphine paste (morphine alone), or placebo. The primary outcome measures used were analgesic consumption and the McGill Pain Questionnaire (MPQ). Secondary outcome measures were: modified American Spinal Cord Injury Association (ASIA) score, Short Form 36 General Health Survey (SF-36), Aberdeen Pain Index (ABPI), time to ambulation and time to discharge from hospital. Administration of combination and steroid paste, but not morphine paste, resulted in a statistically significant reduction in mean pain rating index (PRI) and present pain intensity (PPI) components of the MPQ in the first 3 days after surgery. Likewise, postoperative in-patient narcotic analgesic consumption was reduced in the combination paste and steroid paste group, but not in the morphine paste group. No difference in time to ambulation or discharge, SF-36 scores, ABPI scores, or neurologic recovery was observed. An analgesic paste containing methylprednisolone acetate is effective at reducing postoperative pain after lumbar decompressive surgery. Mixing effective doses of morphine sulfate in the paste abrogates the expected analgesic effects of epidural morphine.","acetate","pubmed"
"8","Yurdal Serarslan, Zafer Yönden, Erkin Ozgiray, Süleyman Oktar, Eşref Oğuz Güven, Sadik Söğüt, Nebi Yilmaz, Taşkin Yurtseven","Protective effects of tadalafil on experimental spinal cord injury in rats.",2010,"Journal of clinical neuroscience : official journal of the Neurosurgical Society of Australasia",NA,"2021-01-15 17:23:14","Journal Article","10.1016/j.jocn.2009.03.036","1532-2653",17,"Tadalafil is a selective inhibitor of cyclic guanosine monophosphate (cGMP)-specific phosphodiesterase type 5 (PDE5). Nitric oxide (NO) functions as a retrograde neurotransmitter in the spinal cord, and postsynaptic structures respond to NO by producing cGMP. The concentrations of cGMP in the spinal cord are controlled by the actions of PDE. The aim of the study was to evaluate and compare the effects of the use of both methylprednisolone and tadalafil on serum and tissue concentrations of NO, malondialdehyde (MDA) levels, superoxide dismutase (SOD) activity, and tissue glutathione peroxidase (GSH-Px) activity in rats with spinal cord injury (SCI). SCI was induced in Wistar albino rats by dropping a 10 g rod from a 5.0 cm height at T8-10. The 28 rats were randomly divided into four equal groups: tadalafil, methylprednisolone, non-treatment and sham groups. Rats were neurologically tested at 24 hours after trauma. At the end of the experiment, blood samples were collected and spinal cord tissue samples were harvested for biochemical evaluation. The tissue level of NO was increased in the tadalafil group compared with the non-treatment and methylprednisolone groups (p<0.05). The tissue levels of SOD and GSH-Px did not differ between the groups. Serum levels of NO were higher in the tadalafil group than in the non-treatment group (p<0.05). The increase in serum SOD levels was greater in the tadalafil group than the methylprednisolone group. Serum MDA levels in the tadalafil and methylprednisolone groups tended to be lower than in the non-treatment group (p>0.05). Tissue MDA levels in the tadalafil and methylprednisolone groups tended to be lower than in the non-treatment group and sham groups (p>0.05). Although there was no difference in neurological outcome scores between the tadalafil, methylprednisolone and non-treatment groups (p>0.05), the animals in the tadalafil and methylprednisolone groups tended to have better scores than the non-treatment group. Thus, tadalafil appears to be beneficial in reducing the effects of injury to the spinal cord by increasing tissue levels of NO and serum activity of SOD.","acetate","pubmed"
"9","N E Naftchi","Treatment of mammalian spinal cord injury with antioxidants.",1991,"International journal of developmental neuroscience : the official journal of the International Society for Developmental Neuroscience",NA,"2021-01-15 17:23:14","Journal Article","10.1016/0736-5748(91)90002-4","0736-5748",9,"After spinal cord injury, two groups of cats were treated with a combination of methylprednisolone sodium succinate (MP, 35 mg/kg) and epsilon-aminocaproic acid (EACA, 350 mg/kg), and guanabenz acetate (0.65 mg/kg). Guanabenz acetate was administered twice daily for 8 weeks. In the first group, the treatment significantly increased blood flow in the abdominal aorta. All cats treated with guanabenz acetate 3 hr after spinal cord contusion had return of micturition and none suffered complete paraplegia. Four animals had partial and the other four had complete motor recovery. A superoxide (O2-.) generating system, horseradish peroxidase, decreased [14C]gamma amino butyric acid uptake by mouse cortical slices by 33% but when superoxide dismutase was added to the medium, the uptake was reduced by only 9%. The nerve endings were also protected by superoxide dismutase from morphologic damage by O2-. as observed by electron microscopy. The agents used in these studies produce their ameliorating effects by virtue of their anti-inflammatory, antioxidant, and membrane stabilizing properties, and enhancing the regional microcirculation. In addition to having these properties, guanabenz acetate is also an alpha 2 adrenoceptor agonist.","acetate","pubmed"
"10","D K Anderson, T R Waters, E D Means","Pretreatment with alpha tocopherol enhances neurologic recovery after experimental spinal cord compression injury.",1988,"Journal of neurotrauma",NA,"2021-01-15 17:23:14","Journal Article","10.1089/neu.1988.5.61","0897-7151",5,"Lipid hydrolysis with subsequent production of eicosanoids and lipid peroxidation are two of the earliest potentially pathochemical events induced in spinal cord tissue by mechanical trauma. Although these membrane lipid disturbances are thought to contribute to the paralysis that occur subsequent to spinal cord injury, such a correlation has not been demonstrated directly. Consequently, the purpose of this study was to test the capacity of alpha tocopherol, the major lipid antioxidant in cellular membranes and a compound that limits the injury-induced lipid hydrolysis and peroxidation in spinal cord tissue, to promote functional recovery in a static loading model of spinal cord injury. After laminectomy, the L2 spinal cord of cats was compressed with 180 g for 5 min. For 5 days before injury and for 5 days postinjury, treated cats received orally 1000 IUD-alpha tocopherol acetate daily. Control cats were similarly injured but untreated. All cats were blindly evaluated weekly for 4 weeks for their neurologic recovery based on an 11 point behavioral scale that assessed walking, running, and stair climbing. By the second postinjury week, alpha tocopherol-pretreated cats demonstrated significantly better recovery than untreated controls. By 4 weeks, treated cats had recovered 72% of their preinjury function as compared with 20% for untreated controls, i.e., a 3.5-fold difference. These results strongly suggest that lipid peroxidation and/or hydrolysis is primarily involved in the genesis of posttraumatic paralysis and that alpha tocopherol exerts its protection of injured spinal cord tissue, at least in part, by its antioxidant and/or antilipolytic activity.","acetate","pubmed"
