"","Authors","Title","Year","Source","Publisher","QueryDate","Type","DOI","ISSN","Volume","Abstract","generic_drug_name","database"
"1","P. García-López","Pharmacokinetic parameters of drugs orally administered after experimental spinal cord injury",1998,"Proceedings of the Western Pharmacology Society",NA,"2021-01-12 09:47:08","Article","","0083-8969",41,NA,"acetaminophen","scopus"
"2","P. García-López","Oral paracetamol bioavailability in rats subjected to experimental spinal cord injury",1997,"Biopharmaceutics and Drug Disposition",NA,"2021-01-12 09:47:08","Article","10.1002/(SICI)1099-081X(199704)18:3<203::AID-BDD11>3.0.CO;2-F","0142-2782",18,NA,"acetaminophen","scopus"
"3","W. Young","MASCIS spinal cord contusion model",2009,"Animal Models of Acute Neurological Injuries",NA,"2021-01-12 09:47:08","Chapter","10.1007/978-1-60327-185-1_35","",NA,NA,"acetaminophen","scopus"
"4","Y. Guo","Effect of Jisuikang on Nogo-66 receptor NgR expression in rats with spinal cord injury",2016,"Chinese Journal of Tissue Engineering Research",NA,"2021-01-15 17:23:06","Article","10.3969/j.issn.2095-4344.2016.18.006","1673-8225",20,NA,"acetate","scopus"
"5","C. Parramon Teixido","Altered mental status associated with Ertapenem",2017,"European Journal of Clinical Pharmacy",NA,"2021-01-15 17:23:06","Article","","2385-409X",19,NA,"acetate","scopus"
"6","H. Askarifirouzjaei","Implications of immunotherapy with high-dose glatiramer acetate in acute phase of spinal cord injury in rats",2019,"Immunopharmacology and Immunotoxicology",NA,"2021-01-15 17:23:06","Article","10.1080/08923973.2019.1566362","0892-3973",41,NA,"acetate","scopus"
"7","E. Nursoy","Research on the Effects of Levetiracetam in Spinal Cord Injury Model in Rats: An Experimental Study",2020,"Journal of Investigative Surgery",NA,"2021-01-15 17:23:06","Article","10.1080/08941939.2018.1490828","0894-1939",33,NA,"acetate","scopus"
"8","H. Fan","Computational exploration of natural compounds to target cytosolic phospholipase A 2 protein: A novel therapeutic target for spinal cord injury",2018,"Current Computer-Aided Drug Design",NA,"2021-01-15 17:23:06","Article","10.2174/1573409914666180123100714","1573-4099",14,NA,"acetate","scopus"
"9","M. Sarkar","UPLC–MS/MS assay of riluzole in human plasma and cerebrospinal fluid (CSF): Application in samples from spinal cord injured patients",2017,"Journal of Pharmaceutical and Biomedical Analysis",NA,"2021-01-15 17:23:06","Article","10.1016/j.jpba.2017.08.045","0731-7085",146,NA,"acetate","scopus"
"10","J. Quintanar","Neurological improvement in patients with chronic spinal cord injury treated with leuprolide acetate, an agonist of GnRH",2018,"Acta Neurobiologiae Experimentalis",NA,"2021-01-15 17:23:06","Article","10.21307/ane-2018-034","0065-1400",78,NA,"acetate","scopus"
"11","N. Naftchi","Treatment of mammalian spinal cord injury with antioxidants",1991,"International Journal of Developmental Neuroscience",NA,"2021-01-15 17:23:06","Article","10.1016/0736-5748(91)90002-4","0736-5748",9,NA,"acetate","scopus"
"12","C. Galindo","Leuprolide acetate induces structural and functional recovery of injured spinal cord in rats",2015,"Neural Regeneration Research",NA,"2021-01-15 17:23:06","Article","10.4103/1673-5374.170311","1673-5374",10,NA,"acetate","scopus"
"13","J. Hu","Differential effects of myelin basic protein-activated Th1 and Th2 cells on the local immune microenvironment of injured spinal cord",2016,"Experimental Neurology",NA,"2021-01-15 17:23:06","Article","10.1016/j.expneurol.2016.01.002","0014-4886",277,NA,"acetate","scopus"
"14","R.J. Diaz","Evaluation of epidural analgesic paste components in lumbar decompressive surgery: a randomized double-blind controlled trial.",2012,"Neurosurgery",NA,"2021-01-15 17:23:06","Article","10.1227/neu.0b013e3182315f05","1524-4040",70,NA,"acetate","scopus"
