Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"Y. Guo","Effect of Jisuikang on Nogo-66 receptor NgR expression in rats with spinal cord injury",2016,"Chinese Journal of Tissue Engineering Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85025146927&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85025146927&origin=inward",22,"2021-01-15 17:23:06","Article","10.3969/j.issn.2095-4344.2016.18.006","1673-8225","https://api.elsevier.com/content/abstract/scopus_id/85025146927",20,18,2622,2627,0,0.00,0,1,5,""
0,"C. Parramon Teixido","Altered mental status associated with Ertapenem",2017,"European Journal of Clinical Pharmacy","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85019037093&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85019037093&origin=inward",23,"2021-01-15 17:23:06","Article","","2385-409X","https://api.elsevier.com/content/abstract/scopus_id/85019037093",19,1,63,65,0,0.00,0,1,4,""
1,"H. Askarifirouzjaei","Implications of immunotherapy with high-dose glatiramer acetate in acute phase of spinal cord injury in rats",2019,"Immunopharmacology and Immunotoxicology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85065192782&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85065192782&origin=inward",19,"2021-01-15 17:23:06","Article","10.1080/08923973.2019.1566362","0892-3973","https://api.elsevier.com/content/abstract/scopus_id/85065192782",41,1,150,162,1,0.50,1,1,2,""
1,"E. Nursoy","Research on the Effects of Levetiracetam in Spinal Cord Injury Model in Rats: An Experimental Study",2020,"Journal of Investigative Surgery","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85053377557&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85053377557&origin=inward",20,"2021-01-15 17:23:06","Article","10.1080/08941939.2018.1490828","0894-1939","https://api.elsevier.com/content/abstract/scopus_id/85053377557",33,3,252,262,1,1.00,1,1,1,""
1,"H. Fan","Computational exploration of natural compounds to target cytosolic phospholipase A 2 protein: A novel therapeutic target for spinal cord injury",2018,"Current Computer-Aided Drug Design","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85049050305&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85049050305&origin=inward",21,"2021-01-15 17:23:06","Article","10.2174/1573409914666180123100714","1573-4099","https://api.elsevier.com/content/abstract/scopus_id/85049050305",14,2,117,124,1,0.33,1,1,3,""
3,"M. Sarkar","UPLC–MS/MS assay of riluzole in human plasma and cerebrospinal fluid (CSF): Application in samples from spinal cord injured patients",2017,"Journal of Pharmaceutical and Biomedical Analysis","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85029435081&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85029435081&origin=inward",18,"2021-01-15 17:23:06","Article","10.1016/j.jpba.2017.08.045","0731-7085","https://api.elsevier.com/content/abstract/scopus_id/85029435081",146,,334,340,3,0.75,3,1,4,""
4,"J. Quintanar","Neurological improvement in patients with chronic spinal cord injury treated with leuprolide acetate, an agonist of GnRH",2018,"Acta Neurobiologiae Experimentalis","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85059798800&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85059798800&origin=inward",16,"2021-01-15 17:23:06","Article","10.21307/ane-2018-034","0065-1400","https://api.elsevier.com/content/abstract/scopus_id/85059798800",78,4,352,357,4,1.33,4,1,3,""
4,"N. Naftchi","Treatment of mammalian spinal cord injury with antioxidants",1991,"International Journal of Developmental Neuroscience","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0026092431&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0026092431&origin=inward",17,"2021-01-15 17:23:06","Article","10.1016/0736-5748(91)90002-4","0736-5748","https://api.elsevier.com/content/abstract/scopus_id/0026092431",9,2,113,126,4,0.13,4,1,30,""
8,"C. Galindo","Leuprolide acetate induces structural and functional recovery of injured spinal cord in rats",2015,"Neural Regeneration Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84949472286&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84949472286&origin=inward",15,"2021-01-15 17:23:06","Article","10.4103/1673-5374.170311","1673-5374","https://api.elsevier.com/content/abstract/scopus_id/84949472286",10,11,1819,1824,8,1.33,8,1,6,""
9,"J. Hu","Differential effects of myelin basic protein-activated Th1 and Th2 cells on the local immune microenvironment of injured spinal cord",2016,"Experimental Neurology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84960371162&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84960371162&origin=inward",14,"2021-01-15 17:23:06","Article","10.1016/j.expneurol.2016.01.002","0014-4886","https://api.elsevier.com/content/abstract/scopus_id/84960371162",277,,190,201,9,1.80,9,1,5,""
