Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"J.C.T. Chio","Delayed administration of high dose human immunoglobulin G enhances recovery after traumatic cervical spinal cord injury by modulation of neuroinflammation and protection of the blood spinal cord barrier",2021,"Neurobiology of Disease","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85097416525&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85097416525&origin=inward",42,"2021-01-12 11:13:27","Article","10.1016/j.nbd.2020.105187","0969-9961","https://api.elsevier.com/content/abstract/scopus_id/85097416525",148,,,,0,0.00,0,1,1,""
0,"L.X. Ye","Exogenous platelet-derived growth factor improves neurovascular unit recovery after spinal cord injury",2021,"Neural Regeneration Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85094600726&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85094600726&origin=inward",43,"2021-01-12 11:13:27","Article","10.4103/1673-5374.295347","1673-5374","https://api.elsevier.com/content/abstract/scopus_id/85094600726",16,4,765,771,0,0.00,0,1,1,""
0,"J.H. Xu","Deletion of Krüppel-like factor-4 promotes axonal regeneration in mammals",2021,"Neural Regeneration Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85091586330&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85091586330&origin=inward",44,"2021-01-12 11:13:27","Article","10.4103/1673-5374.286978","1673-5374","https://api.elsevier.com/content/abstract/scopus_id/85091586330",16,1,166,171,0,0.00,0,1,1,""
0,"A.K. Vo","Serum albumin as a predictor of neurological recovery after spinal cord injury: a replication study",2020,"Spinal Cord","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85089727580&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85089727580&origin=inward",45,"2021-01-12 11:13:27","Article","10.1038/s41393-020-00536-x","1362-4393","https://api.elsevier.com/content/abstract/scopus_id/85089727580",,,,,0,0.00,0,1,1,""
0,"F. Hu","Establishment of animal model with spinal cord injury in different segment and autoimmunity neutroprotection by using active immunity techniques",2005,"Chinese Journal of Clinical Rehabilitation","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=27644567233&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=27644567233&origin=inward",46,"2021-01-12 11:13:27","Article","","1671-5926","https://api.elsevier.com/content/abstract/scopus_id/27644567233",9,29,53,55,0,0.00,0,1,16,""
1,"G. Avila-Martin","Treatment with albumin-hydroxyoleic acid complex restores sensorimotor function in rats with spinal cord injury: Efficacy and gene expression regulation",2017,"PLoS ONE","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85038411244&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85038411244&origin=inward",40,"2021-01-12 11:13:27","Article","10.1371/journal.pone.0189151","1932-6203","https://api.elsevier.com/content/abstract/scopus_id/85038411244",12,12,,,1,0.25,1,1,4,""
1,"G. Fugazza","Contribution to pharmacological treatment of decubitu's lesions",1995,"European Review for Medical and Pharmacological Sciences","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0029556278&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0029556278&origin=inward",41,"2021-01-12 11:13:27","Article","","0392-291X","https://api.elsevier.com/content/abstract/scopus_id/0029556278",17,5,197,202,1,0.04,1,1,26,""
2,"Y. Shimada","Open heart surgery in a paraplegic patient.",2004,"Annals of thoracic and cardiovascular surgery : official journal of the Association of Thoracic and Cardiovascular Surgeons of Asia","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=16644373847&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=16644373847&origin=inward",39,"2021-01-12 11:13:27","Article","","1341-1098","https://api.elsevier.com/content/abstract/scopus_id/16644373847",10,5,304,306,2,0.12,2,1,17,""
3,"D. Feldman","Mesenchymal stem cells and transforming growth factor-β <inf>3</inf> (TGF-β <inf>3</inf> ) to enhance the regenerative ability of an albumin scaffold in full thickness wound healing",2018,"Journal of Functional Biomaterials","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85059458637&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85059458637&origin=inward",36,"2021-01-12 11:13:27","Article","10.3390/jfb9040065","2079-4983","https://api.elsevier.com/content/abstract/scopus_id/85059458637",9,4,,,3,1.00,3,1,3,""
3,"O. Fabela-Sánchez","Effect of the combined treatment of albumin with plasma synthesised pyrrole polymers on motor recovery after traumatic spinal cord injury in rats",2018,"Journal of Materials Science: Materials in Medicine","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85039773805&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85039773805&origin=inward",37,"2021-01-12 11:13:27","Article","10.1007/s10856-017-6016-2","0957-4530","https://api.elsevier.com/content/abstract/scopus_id/85039773805",29,1,,,3,1.00,3,1,3,""
3,"Y. Asao","A patient who recovered successfully from severe anemia which continued for one hour",1997,"Japanese Journal of Anesthesiology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0030952664&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0030952664&origin=inward",38,"2021-01-12 11:13:27","Article","","0021-4892","https://api.elsevier.com/content/abstract/scopus_id/0030952664",46,5,700,703,3,0.13,3,1,24,""
