Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"Serap Erel, Beril Gok, Kemal Kismet, Husamettin Erdamar, Mustafa Sargon, Mehmet Ali Akkus","Ultrastructural Changes in the Liver after Experimental Spinal Cord Injury in Rats: Effects of Methylprednisolone, Immunoglobulin G and Albumin",2010,"Turkish Neurosurgery","Turkish Neurosurgical Soc","","",38,"2021-01-12 11:13:21","Article","","1019-5149","",20,2,173,179,0,0.00,0,6,11,"AIM: Spinal Cord Injury (SCI) is routinely treated with standardized methyl prednisolone sodium succinate (MPSS) dose, so it is reassuring to find its effects on liver. We also evaluated the effects of albumin and immunoglobulin G (Ig G) therapies on liver if they are used in case of experimental SCI."
0,"LD Cain, MG Hughes, C Echetebu, L Nie, GY Xu, KM Johnson, CE Hulse-Bosch, DJ McAdoo","Albumin promotes the functional recovery of rats after spinal cord contusion injury",2005,"Journal Of Neurotrauma","Mary Ann Liebert Inc","","",40,"2021-01-12 11:13:21","Meeting Abstract","","0897-7151","",22,10,1199,1199,0,0.00,0,8,16,""
0,"Anh K. Vo, Fred Geisler, Lukas Grassner, Jan Schwab, Gale Whiteneck, Catherine Jutzeler, John L. K. Kramer","Serum albumin as a predictor of neurological recovery after spinal cord injury: a replication study",2020,"Spinal Cord","Nature Publishing Group","","",41,"2021-01-12 11:13:21","Article","10.1038/s41393-020-00536-x","1362-4393","",,,,,0,0.00,0,7,1,"Study design This was a secondary analysis on an observational cohort study."
1,"","46th ESAO Congress 3-7 September 2019 Hannover, Germany Abstracts",2019,"International Journal Of Artificial Organs","Sage Publications Ltd","","",39,"2021-01-12 11:13:21","Article","10.1177/0391398819860985","0391-3988","",42,8,386,474,1,0.50,0,0,2,"Objectives:ADVOS multi is a recirculating albumin-based dialysis device that supports kidney, liver and lung function by eliminating CO2, water-soluble and protein-bound substances. In the present work in vitro data on the removal of these substances and CO2 are presented. Methods: An ex vivo model using porcine blood was established and applied in detoxification tests for water soluble and protein bound retention solutes. 3 x 3.3L of blood with high bilirubin (30 mg/dl) and lactate levels (>10 mmol/l) were treated with ADVOS multi for 4 hours each. This design, with 3 phases changing blood every 4 hours, led to high concentrations of both markers in blood during the 12 h test period. For CO2 removal tests, 5 liters of blood were used instead. In both cases, a continuous CO2 supply through an additional dialyzer was applied. Results: Bilirubin and lactate were efficiently removed during 12hrs of in vitro detoxification. Lactate removal rates were 90%, 86% and 84% for phase 1, 2 and 3, respectively. Bilirubin elimination rates were 66%, 62%, and 57%, resulting in a total elimination of 1150 mg in 12 hrs. Albumin binding capacity was determined to be >76% at the end of the treatment indicating that albumin was not denatured in the dialysate of the ADVOS system. CO2 removal with ADVOS multi depends on three variables: 1) The amount of supplied CO2 depends on concentrate flow affecting both, blood pCO2 and bicarbonate levels; 2) blood flow, and 3) dialysate pH and composition (i.e., carbonate concentration). A maximum CO2 removal of 142 ml/min was achieved with a carbonate-free dialysate at pH 10, a blood flow of 400 ml/min and a concentrate flow of 160 ml/min. Given that blood gases are maintained within physiological conditions, a CO2 removal rate of 61 ml/min can be achieved. During all the experiments blood pH was set to 7.35-7.45. Discussion:ADVOS multi is a device using albumin recirculation in its secondary circuit. Here, albumin binding capacity remains stable through a systematic modification of its tertiary structure through temperature and pH changes in the ADVOS multi circuit. This facilitates the release of toxins from albumin and allows for further binding. Moreover, presence of albumin, variable dialysate composition and the flexible dialysate pH might facilitate the treatment of patients with multiple organ failure."
2,"Gerardo Avila-Martin, Manuel Mata-Roig, Iriana Galan-Arriero, Julian S. Taylor, Xavier Busquets, Pablo V. Escriba","Treatment with albumin-hydroxyoleic acid complex restores sensorimotor function in rats with spinal cord injury: Efficacy and gene expression regulation",2017,"Plos One","Public Library Science","","",37,"2021-01-12 11:13:21","Article","10.1371/journal.pone.0189151","1932-6203","",12,12,,,2,0.50,0,6,4,"Sensorimotor dysfunction following incomplete spinal cord injury (SCI) is often characterized by paralysis, spasticity and pain. Previously, we showed that intrathecal (i.t.) administration of the albumin-oleic acid (A-OA) complex in rats with SCI produced partial improvement of these symptoms and that oral 2-hydroxyoleic acid (HOA, a non-hydrolyzable OA analogue), was efficacious in the modulation and treatment of nociception and pain-related anxiety, respectively. Here we observed that intrathecal treatment with the complex albumin-HOA (A-HOA) every 3 days following T9 spinal contusion injury improved locomotor function assessed with the Rotarod and inhibited TA noxious reflex activity in Wistar rats. To investigate the mechanism of action of A-HOA, microarray analysis was carried out in the spinal cord lesion area. Representative genes involved in pain and neuroregeneration were selected to validate the changes observed in the microarray analysis by quantitative real-time RT-PCR. Comparison of the expression between healthy rats, SCI rats, and SCI treated with A-HOA rats revealed relevant changes in the expression of genes associated with neuronal morphogenesis and growth, neuronal survival, pain and inflammation. Thus, treatment with A-HOA not only induced a significant overexpression of growth and differentiation factor 10 (GDF10), tenascin C (TNC), aspirin (ASPN) and sushi-repeat-containing X-linked 2 (SRPX2), but also a significant reduction in the expression of prostaglandin E synthase (PTGES) and phospholipases A1 and A2 (PLA1/2). Currently, SCI has very important unmet clinical needs. A-HOA down-regulated genes involved with inflammation and upregulated genes involved in neuronal growth, and may serve to promote recovery of function after experimental SCI."
3,"Omar Fabela-Sanchez, Hermelinda Salgado-Ceballos, Luis Medina-Torres, Laura Alvarez-Mejia, Stephany Sanchez-Torres, Rodrigo Mondragon-Lozano, Axayacatl Morales-Guadarrama, Araceli Diaz-Ruiz, Maria-Guadalupe Olayo, Guillermo J. Cruz, Juan Morales, Camilo Rios, Roberto Olayo","Effect of the combined treatment of albumin with plasma synthesised pyrrole polymers on motor recovery after traumatic spinal cord injury in rats",2018,"Journal Of Materials Science-Materials In Medicine","Springer","","",36,"2021-01-12 11:13:21","Article","10.1007/s10856-017-6016-2","0957-4530","",29,1,,,3,1.00,0,13,3,"Traumatic spinal cord injury (TSCI) is a health problem for which there is currently no treatment or definitive therapy. Medicine has explored therapeutic options for patients with TSCI with the aim to improve their quality of life. One alternative has been the development of biomaterials that offer neuroprotection or neuroregeneration of damaged nerve tissue. The microinjection of iodine-doped polypyrrole particles synthesised by plasma (PPPy/I) has shown neuroprotective effects that favour motor function recovery in experimental animals with TSCI. However, their ability to migrate into the tissue has led to the need to test a suspension vehicle that enables the concentration of particles at the site of injury. To achieve this, two biomaterials of PPPy/I (P1 and P2) were studied. The superficial physicochemical characterisation of the polymers was performed by infrared spectroscopy, X-ray photoelectron spectroscopy and contact angle. The rheological performance under oscillatory shear rate of suspensions containing both polymers alone and in combination with bovine serum albumin was also studied. In vivo tests were performed on animals with and without TSCI that were microinjected with particles of P1 or P2 in suspension using a solution of rat serum albumin. Exposure to the protein solutions generates a protein multilayer on the surface of the biomaterials that can drastically change the behaviour of both P1 and P2, which led to severe repercussions in the in vivo assays. The results showed that surface chemistry plays an important role in the performance and that it is possible to treat TSCI with these materials."
4,"Dale S. Feldman, John E. McCauley","Mesenchymal Stem Cells and Transforming Growth Factor-(3) (TGF-(3)) to Enhance the Regenerative Ability of an Albumin Scaffold in Full Thickness Wound Healing",2018,"Journal Of Functional Biomaterials","Mdpi","","",35,"2021-01-12 11:13:21","Article","10.3390/jfb9040065","2079-4983","",9,4,,,4,1.33,2,2,3,"Pressure ulcers are one of the most common forms of skin injury, particularly in the spinal cord injured (SCI). Pressure ulcers are difficult to heal in this population requiring at least six months of bed rest. Surgical treatment (grafting) is the fastest recovery time, but it still requires six weeks of bed rest plus significant additional costs and a high recurrence rate. A significant clinical benefit would be obtained by speeding the healing rate of a non-surgical treatment to close to that of surgical treatment (approximately doubling of healing rate). Current non-surgical treatment is mostly inactive wound coverings. The goal of this project was to look at the feasibility of doubling the healing rate of a full-thickness defect using combinations of three treatments, for the first time, each shown to increase healing rate: application of transforming growth factor-(3) (TGF-(3)), an albumin based scaffold, and mesenchymal stem cells (MSCs). At one week following surgery, the combined treatment showed the greatest increase in healing rate, particularly for the epithelialization rate. Although the target level of a 100% increase in healing rate over the control was not quite achieved, it is anticipated that the goal would be met with further optimization of the treatment."
5,"H Mizushima, Y Nakamura, H Matsumoto, K Dohi, K Matsumoto, S Shioda, WA Banks","The effect of cardiac arrest on the blood-testis barrier to albumin, tumor necrosis factor-alpha, pituitary adenylate cyclase activating polypeptide, sucrose, and verapamil in the mouse",2001,"Journal Of Andrology","Amer Soc Andrology, Inc","","",34,"2021-01-12 11:13:21","Article","","0196-3635","",22,2,255,260,5,0.25,1,7,20,"Impotence commonly occurs after events such as acute myocardial infarction, coronary bypass, head trauma, and cerebral bleeding, including subarachnoid hemorrhage. We hypothesize that the hypoxia accompanying these events could damage the blood-testis barrier (BTB) and so cause testicular dysfunction, a possible cause of impotence. We examined the effect of cardiac arrest in mice on testis weight and various aspects of BTB function. Testis weight was decreased by about 24% 12 hours after cardiac arrest but had recovered fully by day 7. The testis/serum ratio for albumin was increased 12 hours after arrest, showing a disruption in the vascular BTB with recovery by 24 hours. The testis/serum ratio for sucrose was not consistently elevated, showing that the Sertoli cell BTB remained intact. The testis/serum ratio for verapamil was increased on day 3 of cardiac arrest, suggesting impaired function of the BTB's p-glycoprotein efflux transporter. Transporters for pituitary adenylate cyclase activating polypeptide and tumor necrosis factor-alpha were not affected by cardiac arrest. These results show that cardiac arrest affects testis weight and some aspects of BTB function. Such changes might have long-term effects on testicular function."
6,"Yan Lin, Chunhong Li, Jian Li, Ruolan Deng, Juan Huang, Qinglian Zhang, Jiayao Lyu, Na Hao, Zhirong Zhong","NEP1-40-modified human serum albumin nanoparticles enhance the therapeutic effect of methylprednisolone against spinal cord injury",2019,"Journal Of Nanobiotechnology","Bmc","","",33,"2021-01-12 11:13:21","Article","10.1186/s12951-019-0449-3","1477-3155","",17,,,,6,3.00,1,9,2,"BackgroundFrequent injection of high-dose methylprednisolone (MP) is used to treat spinal cord injury (SCI), but free MP is associated with various side effects and its water solubility is low, limiting potential dosing regimes and administration routes. Albumin-based nanoparticles, which can encapsulate therapeutic drugs and release cargo in a controlled pattern, show high biocompatibility and low toxicity. The Nogo protein, expressed on the surface of oligodendrocytes, can inhibit axonal growth by binding with the axonal Nogo receptor (NgR). Peptide NEP1-40, an NgR antagonist, can bind specifically to Nogo, significantly improving functional recovery and axon growth in the corticospinal tract. Therefore, we hypothesized that delivering MP within nanoparticles decorated with NEP1-40 could avoid the disadvantages of free MP and enhance its therapeutic efficacy against SCI.ResultsWe used human serum albumin to prepare MP-loaded NPs (MP-NPs), to whose surface we conjugated NEP1-40 to form NEP1-40-MP-NPs. Transmission electron microscopy indicated successful formation of nanoparticles. NEP1-40-MP-NPs were taken up significantly better than MP-NPs by the Nogo-positive cell line RSC-96 and were associated with significantly higher Basso-Beattie-Bresnahan locomotor scores in rats recovering from SCI. Micro-computed tomography assay showed that NEP1-40-MP-NPs mitigated SCI-associated loss of bone mineral density and accelerated spinal cord repair.ConclusionsNEP(1-40)-MP-NPs can enhance the therapeutic effects of MP against SCI. This novel platform may also be useful for delivering other types of drugs."
8,"Bobo Tong, Catherine R. Jutzeler, Jacquelyn J. Cragg, Lukas Grassner, Jan M. Schwab, Steve Casha, Fred Geisler, John L. K. Kramer","Serum Albumin Predicts Long-Term Neurological Outcomes After Acute Spinal Cord Injury",2018,"Neurorehabilitation And Neural Repair","Sage Publications Inc","","",32,"2021-01-12 11:13:21","Article","10.1177/1545968317746781","1545-9683","",32,1,7,17,8,2.67,1,8,3,"Background. There is a need to identify reliable biomarkers of spinal cord injury recovery for clinical practice and clinical trials. Objective. Our objective was to correlate serum albumin levels with spinal cord injury neurological outcomes. Methods. We performed a secondary analysis of patients with traumatic spinal cord injury (n = 591) participating in the Sygen clinical trial. Serum albumin concentrations were obtained as part of routine blood chemistry analysis, at trial entry (24-72 hours), 1, 2, and 4 weeks after injury. The primary outcomes were marked recovery and lower extremity motor scores, derived from the International Standards for the Neurological Classification of Spinal Cord Injury. Data were analyzed with multivariable logistic and linear regression to adjust for potential confounders. Results. Serum albumin was significantly associated with spinal cord injury neurological outcomes. Higher serum albumin concentrations at 1, 2, and 4 weeks were associated with higher 52-week lower extremity motor score. Similarly, the odds of achieving marked neurological recovery was greater for individuals with higher serum albumin concentrations. The association between serum albumin concentrations and neurological outcomes was independent of initial injury severity, treatment with GM-1, and polytrauma. Conclusions. In spinal cord injury, serum albumin is an independent marker of long-term neurological outcomes. Serum albumin could serve as a feasible biomarker for prognosis at the time of injury and stratification in clinical trials."
