Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"J. Khieukhajee","The Prevalence and Predictive Factors of Painful Tonic Spasm in Patients with Neuromyelitis Optica Spectrum Disorder (NMOSD)",2020,"Journal of the Medical Association of Thailand","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85097620304&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85097620304&origin=inward",59,"2021-01-12 09:08:55","Article","10.35755/jmedassocthai.2020.12.11578","0125-2208","https://api.elsevier.com/content/abstract/scopus_id/85097620304",103,12,1354,1361,0,0.00,0,1,1,""
0,"A. Witt","Detecting peripheral motor nervous system involvement in chronic spinal cord injury using two novel methods: MScanFit MUNE and muscle velocity recovery cycles",2020,"Clinical Neurophysiology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85089462407&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85089462407&origin=inward",60,"2021-01-12 09:08:55","Article","10.1016/j.clinph.2020.06.032","1388-2457","https://api.elsevier.com/content/abstract/scopus_id/85089462407",131,10,2383,2392,0,0.00,0,1,1,""
0,"E. Leung","Superimposed Guillain-Barré Syndrome (GBS) in pediatric hypoxic brain injury",2020,"Journal of Pediatric Rehabilitation Medicine","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85083893373&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85083893373&origin=inward",61,"2021-01-12 09:08:55","Article","10.3233/PRM-180562","1874-5393","https://api.elsevier.com/content/abstract/scopus_id/85083893373",13,1,63,69,0,0.00,0,1,1,""
0,"A.L. Behrman","Activity-based therapy targeting neuromuscular capacity after pediatric-onset spinal cord injury",2019,"Topics in Spinal Cord Injury Rehabilitation","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85065804445&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85065804445&origin=inward",62,"2021-01-12 09:08:55","Article","10.1310/sci2502132","1082-0744","https://api.elsevier.com/content/abstract/scopus_id/85065804445",25,2,132,149,0,0.00,0,1,2,""
0,"J.D. Dolbow","Efficacy of underwater treadmill training as a complimentary gait restorative therapy for spinal cord injured individual: A case report",2016,"Clinical Kinesiology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85021815510&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85021815510&origin=inward",63,"2021-01-12 09:08:55","Article","","0896-9620","https://api.elsevier.com/content/abstract/scopus_id/85021815510",70,2,9,15,0,0.00,0,1,5,""
0,"J. Wyndaele","Cervical spinal cord injuries without radiographic evidence of trauma: The potential for recovery of upper extremity function",2013,"Spinal Cord","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84887356769&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84887356769&origin=inward",64,"2021-01-12 09:08:55","Editorial","10.1038/sc.2013.126","1362-4393","https://api.elsevier.com/content/abstract/scopus_id/84887356769",51,11,801,801,0,0.00,0,1,8,""
0,"S. Ayaz","Brown-Sequard Plus syndrome produced by different traumatic injuries to the spinal cord with a good neurologic recovery",2013,"Rawal Medical Journal","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84887340552&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84887340552&origin=inward",65,"2021-01-12 09:08:55","Article","","0303-5212","https://api.elsevier.com/content/abstract/scopus_id/84887340552",38,4,366,370,0,0.00,0,1,8,""
0,"V. Dietz","Recent advances in spinal cord neurology",2010,"Journal of Neurology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=79952198663&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79952198663&origin=inward",66,"2021-01-12 09:08:55","Review","10.1007/s00415-010-5700-7","0340-5354","https://api.elsevier.com/content/abstract/scopus_id/79952198663",257,10,1770,1773,0,0.00,0,1,11,""
0,"K. Kobylarz","Comprehensive management of a child with a post-traumatic brain stem and spinal cord injury. A case study and presentation of current therapeutic modalities",2008,"Przegla̧d lekarski","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=53049093768&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=53049093768&origin=inward",67,"2021-01-12 09:08:55","Article","","0033-2240","https://api.elsevier.com/content/abstract/scopus_id/53049093768",65,2,102,106,0,0.00,0,1,13,""
0,"T. Si","Comparison between the effects of acupotome lysis and muscle relaxant on the amelioration of complicated muscular spasm of spinal cord injury",2005,"Chinese Journal of Clinical Rehabilitation","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=27644544931&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=27644544931&origin=inward",68,"2021-01-12 09:08:55","Article","","1671-5926","https://api.elsevier.com/content/abstract/scopus_id/27644544931",9,29,32,33,0,0.00,0,1,16,""
