Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"Qun Li, Su Liu, Devin Gary, Mollie Lange, John McDonald","Baclofen inhibits recovery of locomotion behavior and reduces proliferation/survival of endogenous neural stem cells (eNSCS) in chronic spinal cord injury (SCI)",2007,"Journal Of Neurotrauma","Mary Ann Liebert Inc","","",41,"2021-01-12 09:08:36","Meeting Abstract","","0897-7151","",24,7,1282,1282,0,0.00,0,5,14,""
0,"Daniel Sobrido-Camean, Diego Robledo, Daniel Romaus-Sanjurjo, Vanessa Perez-Cedron, Laura Sanchez, Maria Celina Rodicio, Anton Barreiro-Iglesias","Inhibition of Gamma-Secretase Promotes Axon Regeneration After a Complete Spinal Cord Injury",2020,"Frontiers In Cell And Developmental Biology","Frontiers Media Sa","","",42,"2021-01-12 09:08:36","Article","10.3389/fcell.2020.00173","2296-634X","",8,,,,0,0.00,0,7,1,"In a recent study, we showed that GABA and baclofen (a GABAB receptor agonist) inhibit caspase activation and promote axon regeneration in descending neurons of the sea lamprey brainstem after a complete spinal cord injury (Romaus-Sanjurjo et al., 2018a). Now, we repeated these treatments and performed 2 independent Illumina RNA-Sequencing studies in the brainstems of control and GABA or baclofen treated animals. GABA treated larval sea lampreys with their controls were analyzed 29 days after a complete spinal cord injury and baclofen treated larvae with their controls 9 days after the injury. One of the most significantly downregulated genes after both treatments was a HES gene (HESB). HES proteins are transcription factors that are key mediators of the Notch signaling pathway and gamma-secretase activity is crucial for the activation of this pathway. So, based on the RNA-Seq results we subsequently treated spinal cord injured larval sea lampreys with a novel gamma-secretase inhibitor (PF-3804014). This treatment also reduced the expression of HESB in the brainstem and significantly enhanced the regeneration of individually identifiable descending neurons after a complete spinal cord injury. Our results show that gamma-secretase could be a novel target to promote axon regeneration after nervous system injuries."
0,"Francesca Marchionne, Alexander J. Krupka, George M. Smith, Michel A. Lemay","Intrathecal Delivery of BDNF Into the Lumbar Cistern Re-Engages Locomotor Stepping After Spinal Cord Injury",2020,"Ieee Transactions On Neural Systems And Rehabilitation Engineering","Ieee-Inst Electrical Electronics Engineers Inc","","",43,"2021-01-12 09:08:36","Article","10.1109/TNSRE.2020.3027393","1534-4320","",28,11,2459,2467,0,0.00,0,4,1,"Delivery of neurotrophins to the spinal injury site via cellular transplants or viral vectors administration has been shown to promote recovery of locomotion in the absence of locomotor training in adult spinalized animals. These delivery methods involved risks of secondary injury to the cord and do not allow for precise and controlled dosing making them unsuitable for clinical applications. The present study was aimed at evaluating the locomotor recovery efficacy and safety of the neurotrophin BDNF delivered intrathecally to the lumbar locomotor centers using an implantable and programmable infusion mini-pump. Results showed that BDNF treated spinal cats recovered weight-bearing plantar stepping at all velocities tested (0.3-0.8 m/s). Spinal cats treated with saline did not recover stepping ability, especially at higher velocities, and dragged their hind paws on the treadmill. Histological evaluation showed minimal catheter associated trauma and tissue inflammation, underlining that intrathecal delivery by an implantable/programmable pump is a safe and effective method for delivery of a controlled BDNF dosage; it poses minimal risks to the cord and is clinically translational."
0,"Erik Shaw, Michael Saulino","Management Strategies for Spinal Cord Injury Pain Updated for the Twenty-First Century",2020,"Physical Medicine And Rehabilitation Clinics Of North America","W B Saunders Co-Elsevier Inc","","",44,"2021-01-12 09:08:36","Article","10.1016/j.pmr.2020.03.004","1047-9651","",31,3,369,,0,0.00,0,2,1,"Traumatic spinal cord injury (SCI) often results in several life-altering impairments, including paralysis, sensory loss, and neurogenic bowel/bladder dysfunction. Some of these SCI-related conditions can be accommodated with compensatory strategies. Perhaps no SCI-associated condition is more troublesome and recalcitrant to the treating physiatrist than chronic neuropathic pain. In addition to the expected challenges in treating any chronic pain condition, treatment of SCI-related pain has the added difficulty of disruption of normal neural pathways that subserve pain transmission and attenuation. This article reviews selected treatment strategies for SCI-associated neuropathic pain."
0,"Amira Benmelouka, Laila Salah Shamseldin, Anas Zakarya Nourelden, Ahmed Negida","A Review on the Etiology and Management of Pediatric Traumatic Spinal Cord Injuries",2020,"Advanced Journal Of Emergency Medicine","Tehran Univ Medical Sciences","","",45,"2021-01-12 09:08:36","Review","10.22114/ajem.v0i0.256","","",4,2,,,0,0.00,0,4,1,"Context: Pediatric traumatic spinal cord injury (SCI) is an uncommon presentation in the emergency department. Severe injuries are associated with devastating outcomes and complications, resulting in high costs to both the society and the economic system."
0,"Shingo Yoshizaki, Kazuya Yokota, Kensuke Kubota, Takeyuki Saito, Masatake Tanaka, Dai-jiro Konno, Takeshi Maeda, Yoshihiro Matsumoto, Yasuharu Nakashima, Seiji Okada","The beneficial aspects of spasticity in relation to ambulatory ability in mice with spinal cord injury",2020,"Spinal Cord","Nature Publishing Group","","",46,"2021-01-12 09:08:36","Article","10.1038/s41393-019-0395-9","1362-4393","",58,5,537,543,0,0.00,0,10,1,"Study design Experimental study with mice. Objectives Spasticity is a common complication after spinal cord injury (SCI) and has detrimental aspects, such as persistent pain and involuntary muscle spasms. This study aimed to assess the influence of antispastic therapy on locomotor function after SCI. Setting University-based laboratory in Fukuoka, Japan. Methods A mouse model of spasticity was developed by producing incomplete SCI at the 9th thoracic level. At 8 weeks after SCI, an antispastic drug, baclofen, was intraperitoneally administered to six injured and two sham-operated mice. The severity of spasticity was evaluated by the modified Ashworth scoring (MAS) system, and locomotor function was evaluated by the Basso-Beattie-Bresnahan (BBB) scale/Basso mouse score (BMS). Results The administration of baclofen significantly improved spasticity in the SCI mice and the mean MAS decreased to from 6.2 to 2.8. However, at the same time, it significantly exacerbated the locomotor dysfunction of the SCI mice and the mean BMS decreased from 4.7 to 2.3. The time-course of the changes in locomotor function coincided with the time-course of the spasticity score. We also confirmed that the administration of baclofen was not associated with any changes in either locomotor function or spasticity of the sham-operated control mice. Conclusions Our results suggest that spasticity has a certain beneficial effect on ambulation ability. It is important to note that antispastic treatments may be associated with a risk of impairing the preserved function of chronic SCI patients."
0,"Sara Halakoo, Fatemeh Ehsani, Nooshin Masoudian, Maryam Zoghi, Shapour Jaberzadeh","Does anodal trans-cranial direct current stimulation of the damaged primary motor cortex affects wrist flexor muscle spasticity and also activity of the wrist flexor and extensor muscles in patients with stroke?: a Randomized Clinical Trial",2020,"Neurological Sciences","Springer-Verlag Italia Srl","","",47,"2021-01-12 09:08:36","Article","10.1007/s10072-020-04858-9","1590-1874","",,,,,0,0.00,0,5,1,"Spasticity is a common symptom in stroke survivors. This study is double-blinded, sham-controlled randomized, clinical trial with three parallel arms. The aim of the study was to investigate the effects of anodal trans-cranial direct current stimulation (a-tDCS) over the damaged primary motor cortex (M1) on spasticity of the wrist flexor and also the activity of wrist flexor and extensor muscles in sub-acute stroke patients. This study was performed on 32 stroke patients. The patients are assigned to three groups (intervention, sham, and control). All participants in the first two groups received 20-min concurrent M1 a-tDCS or sham tDCS and functional electrical stimulation (FES) for 10 sessions (5 sessions per week), while participants in control group were given only 20-min FES for 10 sessions. Modified Ashworth scale of wrist flexors and also electromyography (EMG) activity of flexor carpi radialis (FCR) and extensor carpi radialis (ECR) were recorded before, immediately, and 1 month after the interventions. A significant reduction was shown in the MAS and EMG activity of FCR muscle at passive rest position of the wrist, immediately and 1 month after the intervention in M1 a-tDCS compared to sham and control groups (p < 0.001). Also, the EMG activity of FCR and ECR muscles during active wrist flexion and extension increased immediately and 1 month after intervention in M1 a-tDCS compared to the other groups, respectively (p < 0.001). M1 a-tDCS can significantly decrease the spasticity of wrist flexor muscle and also increase the wrist flexor and extensor muscles activity in stroke patients during active flexion and extension."
1,"Joseph E. Hornyak, Michael W. Wheaton, Virginia S. Nelson","SPINAL CORD INJURIES",2015,"Pediatric Rehabilitation: Principles And Practice, Fifth Edition","Demos Medical Publications","","",40,"2021-01-12 09:08:36","Article","","","",,,412,428,1,0.17,0,3,6,""
3,"Bernardo Lanzillo, Vincenzo Loreto, Claudio Calabrese, Anna Estraneo, Pasquale Moretta, Luigi Trojano","Does pain relief influence recovery of consciousness? A case report of a patient treated with ziconotide",2016,"European Journal Of Physical And Rehabilitation Medicine","Edizioni Minerva Medica","","",35,"2021-01-12 09:08:36","Article","","1973-9087","",52,2,263,266,3,0.60,1,6,5,"For people with cervical spinal cord injury (SCI), access to computers can be difficult, thus several devices have been developed to facilitate their Disorders of consciousness (DOC) are difficult to classify. The degree of consciousness varies from coma to vegetative state or unresponsive wakefulness syndrome (UWS) and minimally conscious state. Correct diagnosis has important ethical and legal implications, and pain may be cause of misdiagnosis. We describe here a patient with traumatic brain injury, classified as UWS. His clinical picture was dominated by spasticity, and pain. He underwent intrathecal treatment of spasticity with baclofen. Improvement was not that expected. However, there was a dramatic improvement when ziconotide was added to relieve pain; the patient began to eat by mouth, talk, and his tracheal tube could be removed and he is currently classified as having severe disability. The suspension of ziconotide caused a clear re-worsening of clinical condition, reverted by his reintroduction. Pain is an important factor in patients with DOC. Anecdotal reports of improved consciousness with intrathecal baclofen therapy may be due to pain relief Reduction of pain in DOC is important and drugs should not interfere with cognition, and must be effective and manageable. Ziconotide may be one of the possible candidate due to its synergistic antispastic action in combination with baclofen when an intratecal pump has been implanted."
3,"Jacquelyn J. Cragg, Bobo Tong, Catherine R. Jutzeler, Freda M. Warner, Neil Cashman, Fred Geisler, John L. K. Kramer","A Longitudinal Study of the Neurologic Safety of Acute Baclofen Use After Spinal Cord Injury",2019,"Neurotherapeutics","Springer","","",37,"2021-01-12 09:08:36","Article","10.1007/s13311-019-00713-8","1933-7213","",16,3,858,867,3,1.50,0,7,2,"The objective of our study was to determine whether treatment with baclofen is neurologically safe with respect to exposure during recovery from spinal cord injury. We performed a secondary longitudinal analysis of a cohort of adult patients with traumatic acute spinal cord injury. Cumulative baclofen dose was computed over the first 4 weeks following injury from concomitant medication information from a completed clinical trial. The main outcome measure was neurologic status, which was assessed over 52 weeks with ""marked recovery"" defined as the conversion to higher sensory and motor function. To complete the drug safety profile, drug toxicity was assessed with assays from standard blood work. Multivariable Cox regression was used to compute hazard ratios (HRs) and 95% confidence intervals (CIs). Of the cohort (n = 651), 18% (n = 115) received baclofen within 4 weeks post injury. Baclofen use was associated with higher rates of marked neurologic recovery, even after adjustment for injury severity (HR = 2.1, 95% CI 1.5-3.0 for high dose vs none). Baclofen exposure was not associated with liver or renal side effects. The use of other medications indicated for spasticity was not associated with neurological outcomes. Overall, this longitudinal analysis provides level 3 evidence on the neurologic safety of baclofen and potential beneficial effects on recovery in the early days after acute traumatic spinal cord injury. The usefulness of concomitant medication files from completed clinical trials is highlighted. We also highlight the importance of incorporating logical patient questions and neurological outcomes into research addressing drug safety."
