Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"S. Bahadır","Anterior Spinal Artery Syndrome: Rare Precedented Reason of Postoperative Plegia After Spinal Deformity Surgery: Report of 2 Cases",2020,"World Neurosurgery","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85087729125&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85087729125&origin=inward",18,"2021-01-16 11:46:28","Article","10.1016/j.wneu.2020.05.216","1878-8750","https://api.elsevier.com/content/abstract/scopus_id/85087729125",141,,203,209,0,0.00,0,1,1,""
0,"M. Afhami","Acute transplantation of human olfactory mucosa-derived olfactory ensheathing cells fails to improve locomotor recovery in rats",2018,"Acta Medica Iranica","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85051820116&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85051820116&origin=inward",19,"2021-01-16 11:46:28","Article","","0044-6025","https://api.elsevier.com/content/abstract/scopus_id/85051820116",56,7,421,428,0,0.00,0,1,3,""
1,"A. Abdanipour","The effect of lithium chloride on BDNF, NT3, and their receptor mRNA levels in the spinal contusion rat models",2019,"Neurological Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85063049387&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85063049387&origin=inward",14,"2021-01-16 11:46:28","Article","10.1080/01616412.2019.1588507","0161-6412","https://api.elsevier.com/content/abstract/scopus_id/85063049387",41,6,577,583,1,0.50,1,1,2,""
1,"K. Cordero","Effects of dietary vitamin E supplementation in bladder function and spasticity during spinal cord injury",2018,"Brain Sciences","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85042732717&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85042732717&origin=inward",15,"2021-01-16 11:46:28","Article","10.3390/brainsci8030038","2076-3425","https://api.elsevier.com/content/abstract/scopus_id/85042732717",8,3,,,1,0.33,1,1,3,""
1,"W. Chen","Electro-acupuncture (EA) mediated downregulation of microRNA-181a alleviates spinal cord neuronal apoptosisby inhibition of p38 MAPK pathway",2017,"International Journal of Clinical and Experimental Medicine","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85019744688&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85019744688&origin=inward",16,"2021-01-16 11:46:28","Article","","1940-5901","https://api.elsevier.com/content/abstract/scopus_id/85019744688",10,5,7806,7815,1,0.25,1,1,4,""
1,"Y. Liu","Optimal time for subarachnoid transplantation of neural progenitor cells in the treatment of contusive spinal cord injury",2013,"Neural Regeneration Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84890849635&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84890849635&origin=inward",17,"2021-01-16 11:46:28","Article","10.3969/j.issn.1673-5374.2013.05.001","1673-5374","https://api.elsevier.com/content/abstract/scopus_id/84890849635",8,5,389,396,1,0.13,1,1,8,""
3,"H.P. Joshi","CORM-2-Solid Lipid Nanoparticles Maintain Integrity of Blood-Spinal Cord Barrier After Spinal Cord Injury in Rats",2020,"Molecular Neurobiology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85083782946&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85083782946&origin=inward",13,"2021-01-16 11:46:28","Article","10.1007/s12035-020-01914-5","0893-7648","https://api.elsevier.com/content/abstract/scopus_id/85083782946",57,6,2671,2689,3,3.00,3,1,1,""
4,"A. Abdelgawad","Orthopedic management of children with multiple injuries",2011,"Journal of Trauma - Injury, Infection and Critical Care","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=79958838652&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79958838652&origin=inward",12,"2021-01-16 11:46:28","Review","10.1097/TA.0b013e318204eafc","0022-5282","https://api.elsevier.com/content/abstract/scopus_id/79958838652",70,6,1568,1574,4,0.40,4,1,10,""
5,"J. Min","Is there additive therapeutic effect when GCSF combined with adipose-derived stem cell in a rat model of acute spinal cord injury?",2017,"Journal of Korean Neurosurgical Society","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85022196637&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85022196637&origin=inward",11,"2021-01-16 11:46:28","Article","10.3340/jkns.2016.1010.008","2005-3711","https://api.elsevier.com/content/abstract/scopus_id/85022196637",60,4,404,416,5,1.25,5,1,4,""
6,"N. Mojarad","The role of low level laser therapy on neuropathic pain relief and interleukin-6 expression following spinal cord injury: An experimental study",2018,"Journal of Chemical Neuroanatomy","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85021747585&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85021747585&origin=inward",9,"2021-01-16 11:46:28","Article","10.1016/j.jchemneu.2017.04.005","0891-0618","https://api.elsevier.com/content/abstract/scopus_id/85021747585",87,,60,70,6,2.00,6,1,3,""
6,"A.E. Rodríguez-Zayas","Blockade of P2 nucleotide receptors after spinal cord injury reduced the gliotic response and spared tissue",2012,"Journal of Molecular Neuroscience","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84858864306&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84858864306&origin=inward",10,"2021-01-16 11:46:28","Article","10.1007/s12031-011-9567-6","0895-8696","https://api.elsevier.com/content/abstract/scopus_id/84858864306",46,1,167,176,6,0.67,6,1,9,""
