Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"Ecem Sevim Longur, Ozgur Yigit, Cigdem Kalaycik Ertugay, Ela Araz Server, Turgut Adatepe, Dilek Akakin, Oya Orun, Ayca Karagoz Koroglu","Effect of Bumetanide on Facial Nerve Regeneration in Rat Model",2020,"Otolaryngology-Head And Neck Surgery","Sage Publications Ltd","","",29,"2021-01-16 13:10:51","Article","10.1177/0194599820937670","0194-5998","",,,,,0,0.00,0,8,1,"Objective We investigated the effects of bumetanide alone and in combination with dexamethasone on facial nerve regeneration in rats with facial paralysis. Study Design A prospective controlled animal study. Setting An animal laboratory. Subjects and Methods Facial paralysis was induced in 32 Wistar rats that we then divided into 4 groups: group 1, control; group 2, bumetanide; group 3, dexamethasone; group 4, bumetanide and dexamethasone. Electroneurography was performed 1, 2, and 4 weeks later, and nerve regeneration was evaluated by electron and light microscopy and Western blotting in week 4. Results Regarding the comparison between preoperative values and week 4, the latency difference in group 1 (1.25 milliseconds) was significantly higher than those of groups 2 to 4 (0.56, 0.34, and 0.10 milliseconds, respectively;P= .001). The latency increment in groups 2 and 3 was higher than that of group 4 (P= .002 andP= .046) in week 4, whereas groups 2 and 3 did not differ significantly (P= .291). Amplitude difference was not statistically significant from week 4 among all groups (allP >.05). The number of myelinated axons was significantly higher in all treatment groups than in the control group (P= .001). Axon number and intensity were significantly higher in group 4 as compared with groups 2 and 3 (P= .009,P= .005). Conclusion After primary neurorrhaphy, dexamethasone and bumetanide alone promoted nerve recovery based on electrophysiologic and histologic measures. Combination therapy was, however, superior."
4,"Aude Castel, Natasha J. Olby, Hongyu Ru, Christopher L. Mariani, Karen R. Munana, Peter J. Early","Risk factors associated with progressive myelomalacia in dogs with complete sensorimotor loss following intervertebral disc extrusion: a retrospective case-control study",2019,"Bmc Veterinary Research","Bmc","","",27,"2021-01-16 13:10:51","Article","10.1186/s12917-019-2186-0","","",15,1,,,4,2.00,1,6,2,"Background: Progressive myelomalacia (PMM) is a usually fatal complication of acute intervertebral disc extrusion (IVDE) in dogs but its risk factors are poorly understood. The objective of this retrospective case-control study was to identify risk factors for PMM by comparing dogs with complete sensorimotor loss following IVDE that did and did not develop the disease after surgery. We also investigated whether any risk factors for PMM influenced return of ambulation. Medical records of client-owned dogs with paraplegia and loss of pain perception that underwent surgery for IVDE from 1998 to 2016, were reviewed. Dogs were categorized as PMM yes or no based on clinical progression or histopathology. Walking outcome at 6 months was established. Signalment, onset and duration of signs (categorized), steroids, non-steroidal anti-inflammatory drugs (yes or no), site of IVDE (lumbar intumescence or thoracolumbar) and longitudinal extent of IVDE were retrieved and their associations with PMM and walking outcome were examined using logistic regression."
4,"Leanne Stunkel, Gregory P. Van Stavern","Steroid Treatment of Optic Neuropathies",2018,"Asia-Pacific Journal Of Ophthalmology","Asia-Pacific Acad Ophthalmology-Apao","","",28,"2021-01-16 13:10:51","Review","10.22608/APO.2018127","","",7,4,218,228,4,1.33,2,2,3,"The etiologies of optic neuropathy include inflammation, ischemia, toxic and metabolic injury, genetic disease, and trauma. There is little controversy over the practice of using steroids in the treatment of optic neuritis-it is well established that intravenous steroid treatment can speed visual recovery but does not alter final visual function. However, there is controversy surrounding the acceptable routes of administration, dosage, and course of treatment. Additionally, the typical patient with optic neuritis is young and otherwise healthy, and thus is likely to tolerate steroids well. In ischemic and traumatic causes of optic neuropathies, the initial injury is not inflammatory, but damage may be compounded by secondary injury due to resultant inflammation and swelling in the confined space of the optic canal. Steroids have been considered as a means of minimizing inflammation and swelling, and thus minimizing the secondary injury that results. However, the use of steroids in traumatic and ischemic optic neuropathies is highly controversial-the evidence for the efficacy of treatment with steroids is insufficient to show that there is significant benefit. Additionally, patients with these conditions are more likely to have comorbidities that make them vulnerable to significant adverse events with the use of steroids. In this article, we attempt to analyze the current state of the literature regarding the use of steroids in the treatment of optic neuropathies, specifically optic neuritis, nonarteritic anterior ischemic optic neuropathy, and traumatic optic neuropathy."
5,"S Himmelseher, J Buttner, A Baethmann, J Piek, AW Unterberg","Management of acute spinal cord injury with corticosteroids",1999,"Anasthesiologie & Intensivmedizin","Blackwell Wissenschafts-Verlag Gmbh","","",26,"2021-01-16 13:10:51","Article","","0170-5334","",40,10,716,726,5,0.23,1,5,22,"Objective of this report is to present and review the clinical effectiveness and safety of corticosteroids in the treatment of patients with acute spinal cord injury The analysis comprises randomised, controlled clinical trials of corticosteroids in acute spinal cord injury, such as the US multicenter National Acute Spinal Cord Injury Studies (NASCIS) I - III, and investigations with historical patient control groups in comparison to corticosteroid-treated patients."
7,"Stergios Boussios, Deirdre Cooke, Catherine Hayward, Foivos S. Kanellos, Alexandros K. Tsiouris, Aikaterini A. Chatziantoniou, Nikolaos Zakynthinakis-Kyriakou, Afroditi Karathanasi","Metastatic Spinal Cord Compression: Unraveling the Diagnostic and Therapeutic Challenges",2018,"Anticancer Research","Int Inst Anticancer Research","","",25,"2021-01-16 13:10:51","Review","10.21873/anticanres.12817","0250-7005","",38,9,4987,4997,7,2.33,1,8,3,"Malignant spinal cord compression (MSCC) is one of the most devastating complications of cancer. Patients often present with a history of progressive pain, paralysis, sensory loss, progressive spinal deformity, and loss of sphincter control. It is an emergency that requires rapid decision making on the part of several specialists, given the risk of permanent spinal cord injury or death. The goals of treatment in spinal metastases are pain control and improvement of neurological function in order to achieve better quality of life (QoL). The standard of care in most cases is rapid initiation of corticosteroids in combination with either surgical decompression in case of an operable candidate, followed by radiation therapy (RT) or RT alone. Surgery is associated with improved outcomes, but is not appropriate for many patients presenting with advanced symptoms of MSCC, such as paralysis, or those with a poor performance status, or cachexic state, as well as altered mental conditions, comorbidities, surgical risks, and limited life expectancy. On the other hand, aggressive surgical treatment and post-operative RT is advocated for those with more favorable prognosis, or who are expected to have higher neurological recovery potential. Many candidates may require for combined anterior and posterior approaches to effectively deal with the compressive pathology and stabilize the spine. Most patients are presently treated by primary RT, given with the aim of improving function and symptom management. However, there is still debate regarding the most appropriate RT schedule. Rehabilitation can serve to relieve symptoms, QoL, enhance functional independence, and prevent further complications. Ambulatory status has been found to be an important prognostic factor for patients with MSCC."
9,"R. Lukas, I. Zykova, P. Barsa, J. Sram","Current Role of Methylprednisolone in the Treatment of Acute Spinal Cord Injury",2011,"Acta Chirurgiae Orthopaedicae Et Traumatologiae Cechoslovaca","Galen Sro","","",22,"2021-01-16 13:10:51","Review","","0001-5415","",78,4,305,313,9,0.90,2,4,10,"High doses of methylprednisolone (MPSS) came into use as part of a therapeutic protocol for acute spinal cord injuries following the published results from the NASCIS II study in 1992; they soon became a standard of care around the world. However, the results of this study have been critically reviewed and questioned by many authors since the beginning. The major argument is based on the fact that its effectiveness in reducing post-injury neurological damage has not been conclusively proved; in addition, there has been increasing evidence of serious side effects of steroids administered at high doses."
10,"Patrick Yu-Wai-Man, Philip G. Griffiths","Steroids for traumatic optic neuropathy",2011,"Cochrane Database Of Systematic Reviews","Wiley","","",20,"2021-01-16 13:10:51","Review","10.1002/14651858.CD006032.pub3","1469-493X","",,1,,,10,1.00,5,2,10,"Background"
10,"Bo He, Guoxin Nan","Neuronal regeneration after acute spinal cord injury in adult rats",2016,"Spine Journal","Elsevier Science Inc","","",21,"2021-01-16 13:10:51","Article","10.1016/j.spinee.2016.06.020","1529-9430","",16,12,1459,1467,10,2.00,5,2,5,"BACKGROUND CONTEXT: The most common causes of spinal cord injury (SCI) are traumatic traffic accidents, falls, and violence. Spinal cord injury greatly affects a patient's mental and physical conditions and causes substantial economic impact to society. There are many methods, such as high doses of corticosteroids, surgical stabilization, decompression, and stem cell transplantation, for functional recovery after SCI, but the effect is still not satisfactory."
10,"I Vanicky, L Urdzikova, K Saganova, M Marsala","Intrathecal methylprednisolone does not improve outcome after severe spinal cord injury in the rat",2002,"Neuroscience Research Communications","Wiley","","",23,"2021-01-16 13:10:51","Article","10.1002/nrc.10051","0893-6609","",31,3,183,191,10,0.53,3,4,19,"In a rat model of spinal cord compression-induced injury, we have tested the hypothesis that intrathecally administered methylprednisolone will improve long-term recovery of the injured rats. The effect of the treatment was evaluated quantitatively as 1, behavioral testing of spontaneous locomotion and 2, morphometric measurement of the tissue loss in the white matter and grey matter, respectively. Intrathecal methylprednisolone elicited remarkable motor reactions in the paraplegic animals immediately after administration. However, during 4 weeks' survival, no significant differences were observed in the parameters of recovery between the methylprednisolone-treated and placebo-treated group. We conclude that intrathecal administration of methylprednisolone had no effect on the outcome after compressive spinal cord injury in the rat at the doses and timing used in the present study."
10,"Raghavendra Sanivarapu, Vijayalakshmi Vallabhaneni, Vivek Verma","The Potential of Curcumin in Treatment of Spinal Cord Injury",2016,"Neurology Research International","Hindawi Ltd","","",24,"2021-01-16 13:10:51","Review","10.1155/2016/9468193","2090-1852","",2016,,,,10,2.00,3,3,5,"Current treatment for spinal cord injury (SCI) is supportive at best; despite great efforts, the lack of better treatment solutions looms large on neurological science and medicine. Curcumin, the active ingredient in turmeric, a spice known for its medicinal and anti-inflammatory properties, has been validated to harbor immense effects for a multitude of inflammatory-based diseases. However, to date there has not been a review on curcumin's effects on SCI. Herein, we systematically review all known data on this topic and juxtapose results of curcumin with standard therapies such as corticosteroids. Because all studies that compare the two show superior results for curcumin over corticosteroids, it could be true that curcumin better acts at the inflammatory source of SCI-mediated neurological injury, although this question remains unanswered in patients. Because curcumin has shown improvements from current standards of care in other diseases with few true treatment options (e.g., osteoarthritis), there is immense potential for this compound in treating SCI. We critically and systematically summarize available data, discuss clinical implications, and propose further testing of this well-tolerated compound in both the preclinical and the clinical realms. Analyzing preclinical data from a clinical perspective, we hope to create awareness of the incredible potential that curcumin shows for SCI in a patient population that direly needs improvements on current therapy."
