Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"X. Huang","Overexpression of the transcription factors OCT4 and KLF4 improves motor function after spinal cord injury",2020,"CNS Neuroscience and Therapeutics","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85085563605&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85085563605&origin=inward",13,"2021-01-16 14:15:19","Article","10.1111/cns.13390","1755-5930","https://api.elsevier.com/content/abstract/scopus_id/85085563605",26,9,940,951,0,0.00,0,1,1,""
1,"T. Isa","The corticospinal tract and its role in motor control",2012,"Brain and Nerve","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84869786848&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84869786848&origin=inward",12,"2021-01-16 14:15:19","Review","","1881-6096","https://api.elsevier.com/content/abstract/scopus_id/84869786848",64,11,1331,1339,1,0.11,1,1,9,""
3,"P.L. Nisson","Primary Aneurysmal Bone Cyst of the Thoracic Spine: A Pediatric Case Report",2020,"World Neurosurgery","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85076051012&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85076051012&origin=inward",11,"2021-01-16 14:15:19","Article","10.1016/j.wneu.2019.10.151","1878-8750","https://api.elsevier.com/content/abstract/scopus_id/85076051012",134,,408,414,3,3.00,3,1,1,""
6,"Q. Han","Descending motor circuitry required for NT-3 mediated locomotor recovery after spinal cord injury in mice",2019,"Nature Communications","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85076913506&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85076913506&origin=inward",10,"2021-01-16 14:15:19","Article","10.1038/s41467-019-13854-3","2041-1723","https://api.elsevier.com/content/abstract/scopus_id/85076913506",10,1,,,6,3.00,6,1,2,""
9,"M. Yoo","Analysis of human embryonic stem cells with regulatable expression of the cell adhesion molecule l1 in regeneration after spinal cord injury",2014,"Journal of Neurotrauma","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84896340295&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84896340295&origin=inward",9,"2021-01-16 14:15:19","Article","10.1089/neu.2013.2886","0897-7151","https://api.elsevier.com/content/abstract/scopus_id/84896340295",31,6,553,564,9,1.29,9,1,7,""
12,"W.M. McKillop","Conditional Sox9 ablation improves locomotor recovery after spinal cord injury by increasing reactive sprouting",2016,"Experimental Neurology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84973137723&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84973137723&origin=inward",8,"2021-01-16 14:15:19","Article","10.1016/j.expneurol.2016.05.028","0014-4886","https://api.elsevier.com/content/abstract/scopus_id/84973137723",283,,1,15,12,2.40,12,1,5,""
16,"K. Kojima","Selective Ablation of Tumorigenic Cells Following Human Induced Pluripotent Stem Cell-Derived Neural Stem/Progenitor Cell Transplantation in Spinal Cord Injury",2019,"Stem Cells Translational Medicine","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85057863686&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85057863686&origin=inward",7,"2021-01-16 14:15:19","Article","10.1002/sctm.18-0096","2157-6564","https://api.elsevier.com/content/abstract/scopus_id/85057863686",8,3,260,270,16,8.00,16,1,2,""
27,"E.R. Burnside","Immune-evasive gene switch enables regulated delivery of chondroitinase after spinal cord injury",2018,"Brain","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85054965460&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85054965460&origin=inward",6,"2021-01-16 14:15:19","Article","10.1093/brain/awy158","0006-8950","https://api.elsevier.com/content/abstract/scopus_id/85054965460",141,8,2362,2381,27,9.00,27,1,3,""
41,"D. Wehner","Wnt signaling controls pro-regenerative Collagen XII in functional spinal cord regeneration in zebrafish",2017,"Nature Communications","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85026242478&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85026242478&origin=inward",4,"2021-01-16 14:15:19","Article","10.1038/s41467-017-00143-0","2041-1723","https://api.elsevier.com/content/abstract/scopus_id/85026242478",8,1,,,41,10.25,41,1,4,""
41,"S. Liu","Regulated viral BDNF delivery in combination with Schwann cells promotes axonal regeneration through capillary alginate hydrogels after spinal cord injury",2017,"Acta Biomaterialia","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85025141362&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85025141362&origin=inward",5,"2021-01-16 14:15:19","Article","10.1016/j.actbio.2017.07.024","1742-7061","https://api.elsevier.com/content/abstract/scopus_id/85025141362",60,,167,180,41,10.25,41,1,4,""
