Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"Z.Y. Bu","Intramuscular injection of estradiol combined with bone marrow mesenchymal stem cell transplantation for spinal cord injury",2018,"Chinese Journal of Tissue Engineering Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85044751209&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85044751209&origin=inward",34,"2021-01-16 14:37:20","Article","10.3969/j.issn.2095-4344.0410","1673-8225","https://api.elsevier.com/content/abstract/scopus_id/85044751209",22,1,53,58,0,0.00,0,1,3,""
0,"C. Kang","Combined use of low-dose 17-beta estradiol and bone marrow mesenchymal stem cell transplantation for spinal cord repair",2017,"Chinese Journal of Tissue Engineering Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85032220034&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85032220034&origin=inward",35,"2021-01-16 14:37:20","Article","10.3969/j.issn.2095-4344.2017.25.014","1673-8225","https://api.elsevier.com/content/abstract/scopus_id/85032220034",21,25,4020,4025,0,0.00,0,1,4,""
0,"M. Afhami","The demyelination and altered motor performance following electrolytic lesion in the ventrolateral white matter of spinal cord in male rats: Benefit of post-injury administration of estradiol",2016,"Physiology and Pharmacology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84991608434&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84991608434&origin=inward",36,"2021-01-16 14:37:20","Article","","1735-0581","https://api.elsevier.com/content/abstract/scopus_id/84991608434",20,3,157,171,0,0.00,0,1,5,""
1,"A.N. Stewart","Considerations for Studying Sex as a Biological Variable in Spinal Cord Injury",2020,"Frontiers in Neurology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85089805868&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85089805868&origin=inward",32,"2021-01-16 14:37:20","Article","10.3389/fneur.2020.00802","1664-2295","https://api.elsevier.com/content/abstract/scopus_id/85089805868",11,,,,1,1.00,1,1,1,""
1,"A. Farag","Histoarchitecture restoration of cerebellar sub-layers as a response to estradiol treatment following Kainic acid-induced spinal cord injury",2019,"Cell and Tissue Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85061924371&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85061924371&origin=inward",33,"2021-01-16 14:37:20","Article","10.1007/s00441-019-02992-1","0302-766X","https://api.elsevier.com/content/abstract/scopus_id/85061924371",,,,,1,0.50,1,1,2,""
2,"J.F. Yarrow","Locomotor training with adjuvant testosterone preserves cancellous bone and promotes muscle plasticity in male rats after severe spinal cord injury",2020,"Journal of Neuroscience Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85076222678&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85076222678&origin=inward",31,"2021-01-16 14:37:20","Article","10.1002/jnr.24564","0360-4012","https://api.elsevier.com/content/abstract/scopus_id/85076222678",98,5,843,868,2,2.00,2,1,1,""
4,"A. Sánchez-Ramos","Early spermatogenesis changes in traumatic complete spinal cord-injured adult patients",2017,"Spinal Cord","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85010886869&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85010886869&origin=inward",30,"2021-01-16 14:37:20","Article","10.1038/sc.2016.184","1362-4393","https://api.elsevier.com/content/abstract/scopus_id/85010886869",55,6,570,574,4,1.00,4,1,4,""
6,"Z. Namjoo","Targeting axonal degeneration and demyelination using combination administration of 17β-estradiol and Schwann cells in the rat model of spinal cord injury",2018,"Journal of Cellular Biochemistry","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85052453096&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85052453096&origin=inward",29,"2021-01-16 14:37:20","Article","10.1002/jcb.27361","0730-2312","https://api.elsevier.com/content/abstract/scopus_id/85052453096",119,12,10195,10203,6,2.00,6,1,3,""
10,"D. Otzel","Activity-based physical rehabilitation with adjuvant testosterone to promote neuromuscular recovery after spinal cord injury",2018,"International Journal of Molecular Sciences","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85048265306&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85048265306&origin=inward",25,"2021-01-16 14:37:20","Review","10.3390/ijms19061701","1661-6596","https://api.elsevier.com/content/abstract/scopus_id/85048265306",19,6,,,10,3.33,10,1,3,""
10,"D. Sengelaub","Protective Effects of Estradiol and Dihydrotestosterone following Spinal Cord Injury",2018,"Journal of Neurotrauma","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85045470787&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85045470787&origin=inward",26,"2021-01-16 14:37:20","Article","10.1089/neu.2017.5329","0897-7151","https://api.elsevier.com/content/abstract/scopus_id/85045470787",35,6,825,841,10,3.33,10,1,3,""
