Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"S. Cuzzocrea, T. Genovese, E. Mazzon, E. Esposito, R. Di Paola, C. Muia, C. Crisafulli, E. Cuzzocrea, P. Bramanti, I. H. Chaudry","17 beta-estradiol on secondary damage after SCI",2007,"Proceedings Of The 7th World Congress On Trauma, Shock, Inflammation And Sepsis","Medimond S R L","","",68,"2021-01-16 14:37:39","Proceedings Paper","","","",,,45,,0,0.00,0,10,14,"Since studies have shown that 17 beta-estradiol produces anti -inflammatory effects following various adverse circulatory conditions, we examined whether administration of 17 beta-estradiol prior to spinal cord injury (SCI) has any salutary effects in reducing SCI. In order to gain a better insight into the mechanism of action of the anti-inflammatory effects of 17 beta-estradiol, the following endpoints of the inflammatory process were evaluated: (1) spinal cord inflammation and tissue injury (histological score); (2) neutrophil infiltration (myeloperoxidase activity); (3) motor recovery score. In order to elucidate whether the protective effects of 17 beta-estradiol were mediated via the estrogen receptors, we investigated the effect of an estrogen receptor antagonist, ICI 182,780, on the protective effects of 17 beta-estradiol. ICI 182,780 (500 4g/kg administered subcutaneously 1 h prior to treatment with 17 beta-estradiol) significantly antagonized the effect of the 17 beta-estradiol and abolished the protective effect against SCI."
0,"Thomas Theis, Suneel Kumar, Elena Wei, Jennifer Nguyen, Vicci Glynos, Nikita Paranjape, Hadi Askarifirouzjaei, Leila Khajouienejad, Francois Berthiaume, Wise Young, Melitta Schachner","Myristoylated alanine-rich C-kinase substrate effector domain peptide improves sex-specific recovery and axonal regrowth after spinal cord injury",2020,"Faseb Journal","Wiley","","",69,"2021-01-16 14:37:39","Article","10.1096/fj.202000026RR","0892-6638","",34,9,12677,12690,0,0.00,0,11,1,"Myristoylated alanine-rich C-kinase substrate (MARCKS) is an intracellular receptor for polysialic acid. MARCKS supports development, synaptic plasticity, and regeneration after injury. MARCKS binds with its functionally essential effector domain (ED) to polysialic acid. A 25-mer peptide comprising the ED of MARCKS stimulates neuritogenesis of primary hippocampal neurons after addition to the culture. This motivated us to investigate whether ED peptide has similar effects in spinal cord injury. ED peptide supported recovery and regrowth of monoaminergic axons in female, but not in male mice. Sex-specific differences in response to ED peptide application also occurred in cultured neurons. In female but not male neurons, the ED peptide enhanced neurite outgrowth that could be suppressed by inhibitors of the estrogen receptors alpha and beta, fibroblast growth factor receptor-1, protein kinase C, and matrix metalloproteinase 2. In addition, we observed female-specific elevation of phosphorylated MARCKS levels after ED peptide treatment. In male neurons, the ED peptide enhanced neuritogenesis in the presence of an androgen receptor inhibitor to the extent seen in ED peptide-treated female neurons. However, inhibition of androgen receptor did not lead to increased phosphorylation of MARCKS. These results provide insights into the functions of a novel compound contributing to gender-dependent regeneration."
0,"Yoshitaka Tanie, Tomoharu Kuboyama, Chihiro Tohda","GRP78-Mediated Signaling Contributes to Axonal Growth Resulting in Motor Function Recovery in Spinal Cord-Injured Mice",2020,"Frontiers In Pharmacology","Frontiers Media Sa","","",70,"2021-01-16 14:37:39","Article","10.3389/fphar.2020.00789","1663-9812","",11,,,,0,0.00,0,3,1,"Promoting axonal growth is essential for repairing damaged neuronal connections and motor function in spinal cord injury (SCI). Neuroleukin (NLK) exerts axonal growth activityin vitroandin vivo, but the mechanism remains unclear. This study reveals that the 78-kDa glucose-regulated protein (GRP78) is a NLK neuronal receptor that contributes to recovery from SCI. Binding and immunoprecipitation assays indicated that NLK binds to GRP78. Pretreatment to cultured neurons with a GRP78-neutralizing antibody suppressed NLK-induced axonal growth. Blocking cell surface GRP78 inhibited neuronal NLK-induced Akt activation. Treatment with an Akt inhibitor suppressed NLK-induced axonal growth. Continuous administration of NLK into the lateral ventricle of SCI mice increased axonal density in the injured region and restored motor function, which was not observed when NLK was simultaneously administered with a GRP78-neutralizing antibody. These results indicate that GRP78 regulates the NLK-induced axonal growth activity; NLK-GRP78 signaling promotes motor function recovery in SCI, presenting as a potential therapeutic target."
0,"Hui Wang, Wen-xian Zhou, Jin-feng Huang, Xuan-qi Zheng, Hai-jun Tian, Bin Wang, Wei-li Fu, Ai-min Wu","Endocrine Therapy for the Functional Recovery of Spinal Cord Injury",2020,"Frontiers In Neuroscience","Frontiers Media Sa","","",71,"2021-01-16 14:37:39","Review","10.3389/fnins.2020.590570","","",14,,,,0,0.00,0,8,1,"Spinal cord injury (SCI) is a major cause of physical disability and leads to patient dissatisfaction with their quality of life. Patients with SCI usually exhibit severe clinical symptoms, including sensory and motor dysfunction below the injured levels, paraplegia, quadriplegia and urinary retention, which can exacerbate the substantial medical and social burdens. The major pathological change observed in SCI is inflammatory reaction, which induces demyelination, axonal degeneration, and the apoptosis and necrosis of neurons. Traditional medical treatments are mainly focused on the recovery of motor function and prevention of complications. To date, numerous studies have been conducted to explore the cellular and molecular mechanism of SCI and have proposed lots of effective treatments, but the clinical applications are still limited due to the complex pathogenesis and poor prognosis after SCI. Endocrine hormones are kinds of molecules that are synthesized by specialized endocrine organs and can participate in the regulation of multiple physiological activities, and their protective effects on several disorders have been widely discussed. In addition, many studies have identified that endocrine hormones can promote nerve regeneration and functional recovery in individuals with central nervous system diseases. Therefore, studies investigating the clinical applications of endocrine hormones as treatments for SCI are necessary. In this review, we described the neuroprotective roles of several endocrine hormones in SCI; endocrine hormone administration reduces cell death and promotes functional repair after SCI. We also proposed novel therapies for SCI."
0,"Hongpei Tan, Yongxiang Tang, Jian Li, Tingting He, Ming Zhou, Shuo Hu","Prognosis Evaluation Using F-18-Alfatide II PET in a Rat Model of Spinal Cord Injury Treated With Estrogen",2020,"Molecular Imaging","Sage Publications Inc","","",72,"2021-01-16 14:37:39","Article","10.1177/1536012120909199","1536-0121","",19,,,,0,0.00,0,6,1,"Spinal cord injury (SCI) leads to severe dysfunction below injured segment and poses a great pressure to the individual and society. In this study, we applied F-18-alfatide II positron emission tomography/computed tomography (PET/CT) to monitor angiogenesis in an SCI model after estrogen (E2) treatment, as well as to evaluate the prognosis in a noninvasive manner. The SCI model was established with male rats and the rats were randomly divided into E2-treated group (SCI + E2) and E2-untreated group (SCI). Sham group was also used as control (Sham). The angiogenesis after SCI was monitored by F-18-alfatide II PET/CT and verified by immunofluorescence of CD31 and CD61. We also evaluated the level of E2 and growth-associated protein 43 (GAP43) by enzyme-linked immunosorbent assay. Finally, Basso, Beattie, and Bresnahan (BBB) scores were determined to evaluate the exercise capacity of the rats in all 3 groups. Our results showed that the BBB score of SCI + E2 group was significantly different from that of SCI group (P < .05) and Sham group (P < .01). The uptake of F-18-alfatide II was positively correlated with the expression level of GAP43, both of which reached the peak at day 7 after injury. CD31 and CD61 immunostaining further verified increased angiogenesis in E2-treated SCI lesions. We concluded that F-18-alfatide II PET/CT can monitor the angiogenesis status after SCI in vivo and it may help clinician predict the progression of patients with SCI. This may benefit the study of vascular repair after SCI and provide a tool for evaluation of SCI treatment in clinical practices."
0,"Mina Afhami, Fatemeh Abbaszadeh, Elham Saghaei, Kobra Naseri, Mohammad Javan, Masoumeh Jorjani","The demyelination and altered motor performance following electrolytic lesion in the ventrolateral white matter of spinal cord in male rats: benefit of post-injury administration of estradiol",2016,"Physiology And Pharmacology","Iranian Soc Physiology & Pharmacology","","",73,"2021-01-16 14:37:39","Article","","2476-5236","",20,3,157,171,0,0.00,0,6,5,"Introduction: Spinal cord injuries are accompanied with significant demyelination of axons and subsequent locomotor dysfunction. To identify the extent of damage following electrolytic lesion of ventrolateral white matter, essential area for initiation of locomotor activity, we assessed demyelination as well as alteration in motor performance. Moreover, the protective effect of estradiol as a candidate treatment for preservation of myelin and locomotor activity after injury was examined due to its antiapoptotic and anti-inflammatory activities."
0,"Nicole Pukos, Dana M. McTigue","Delayed short-term tamoxifen treatment does not promote remyelination or neuron sparing after spinal cord injury",2020,"Plos One","Public Library Science","","",74,"2021-01-16 14:37:39","Article","10.1371/journal.pone.0235232","1932-6203","",15,7,,,0,0.00,0,2,1,"The tamoxifen-dependent Cre/lox system in transgenic mice has become an important research tool across all scientific disciplines for manipulating gene expression in specific cell types. In these mouse models, Cre-recombination is not induced until tamoxifen is administered, which allows researchers to have temporal control of genetic modifications. Interestingly, tamoxifen has been identified as a potential therapy for spinal cord injury (SCI) and traumatic brain injury patients due to its neuroprotective properties. It is also reparative in that it stimulates oligodendrocyte differentiation and remyelination after toxin-induced demyelination. However, it is unknown whether tamoxifen is neuroprotective and neuroreparative when administration is delayed after SCI. To properly interpret data from transgenic mice in which tamoxifen treatment is delayed after SCI, it is necessary to identify the effects of tamoxifen alone on anatomical and functional recovery. In this study, female and male mice received a moderate mid-thoracic spinal cord contusion. Mice were then gavaged with corn oil or a high dose of tamoxifen from 19-22 days post-injury, and sacrificed 42 days post-injury. All mice underwent behavioral testing for the duration of the study, which revealed that tamoxifen treatment did not impact hindlimb motor recovery. Similarly, histological analyses revealed that tamoxifen had no effect on white matter sparing, total axon number, axon sprouting, glial reactivity, cell proliferation, oligodendrocyte number, or myelination, but tamoxifen did decrease the number of neurons in the dorsal and ventral horn. Semi-thin sections confirmed that axon demyelination and remyelination were unaffected by tamoxifen. Sex-specific responses to tamoxifen were also assessed, and there were no significant differences between female and male mice. These data suggest that delayed tamoxifen administration after SCI does not change functional recovery or improve tissue sparing in female or male mice."
0,"Xiaohui Xia, Changlong Zhou, Xiaochuan Sun, Xuenong He, Chang Liu, Guanyu Wang","Estrogen improved the regeneration of axons after subcortical axon injury via regulation of PI3K/Akt/CDK5/Tau pathway",2020,"Brain And Behavior","Wiley","","",75,"2021-01-16 14:37:39","Article","10.1002/brb3.1777","2162-3279","",10,9,,,0,0.00,0,6,1,"Aim To investigate the effect of estrogen on axon regeneration and neurological recovery after subcortical axon injury, and further explore its underlying molecular mechanisms. Method Subcortical axonal fiber injury model was used in this study. Morris water maze was conducted to detect the learning and memory ability of the rats; modified neurological severity score (mNSS) and beam walking test were performed to evaluate the behavioral; and diffusion tensor imaging (DTI) was used for the determination of recovery after subcortical axonal injury, while Western blotting was performed to detect the expression of p-Akt, CDK5, p-Ser262, p-Ser404, and p-Thr205. Results Compared with the Sham group, the injury of subcortical axonal fiber resulted in higher mNSS, higher beam walking scores, longer time of escape latency, less number, time and shorter distance of crossing the quadrant, and less FA values. After ovariectomy, the mNSS, beam walking scores, and escape latency reached the peak; inversely, the others reached a minimum. High estrogen treatment reduced the mNSS, beam walking score, and escape latency; improved the number, time, and distance of crossing the quadrant; and increased the FA value. Western blotting results showed that estrogen increased the expression of p-Akt and decreased the expression of CDK5, p-Ser262, p-Ser404, and p-Thr205. All the changes were counteracted to some extent by Akt inhibitor LY294002. Conclusion After subcortical axonal injury, estrogen could improve the regeneration of axons and improve their functions via regulating the PI3K/Akt/CDK5/Tau pathway."
1,"April Cox, Mollie Capone, Denise Matzelle, Alexey Vertegel, Mikhail Bredikhin, Abhay Varma, Azizul Haque, Donald C. Shields, Naren L. Banik","Nanoparticle-Based Estrogen Delivery to Spinal Cord Injury Site Reduces Local Parenchymal Destruction and Improves Functional Recovery",2020,"Journal Of Neurotrauma","Mary Ann Liebert, Inc","","",65,"2021-01-16 14:37:39","Article","10.1089/neu.2020.7047","0897-7151","",,,,,1,1.00,0,9,1,"Spinal cord injury (SCI) patients sustain significant functional impairments; this is causally related to restricted neuronal regeneration after injury. The ensuing reactive gliosis, inflammatory cascade, and glial scar formation impede axonal regrowth. Although systemic anti-inflammatory agents (steroids) have been previously administered to counteract this, no current therapeutic is approved for post-injury neuronal regeneration, in part because of related side effects. Likewise, therapeutic systemic estrogen levels exhibit neuroprotective properties, but dose-dependent side effects are prohibitive. The current study thus uses low-dose estrogen delivery to the spinal cord injury (SCI) site using an agarose gel patch embedded with estrogen-loaded nanoparticles. Compared to controls, spinal cords from rodents treated with nanoparticle site-directed estrogen demonstrated significantly decreased post-injury lesion size, reactive gliosis, and glial scar formation. However, axonal regeneration, vascular endothelial growth factor production, and glial-cell-derived neurotrophic factor levels were increased with estrogen administration. Concomitantly improved locomotor and bladder functional recovery were observed with estrogen administration after injury. Therefore, low-dose site-directed estrogen may provide a future approach for enhanced neuronal repair and functional recovery in SCI patients."
1,"Amany Farag, S. Lashen, R. Eltaysh","Histoarchitecture restoration of cerebellar sub-layers as a response to estradiol treatment following Kainic acid-induced spinal cord injury",2019,"Cell And Tissue Research","Springer","","",66,"2021-01-16 14:37:39","Article","10.1007/s00441-019-02992-1","0302-766X","",376,3,309,323,1,0.50,0,3,2,"One of the major impacts of spinal cord injury (SCI) is the cerebellar neurological malfunction and deformation of its sub-layers. This could be due to the enormous innervation of the spinocerebellar tract from the posterior gray horn in the spinal cord to the ipsilateral cerebellum. Although the neuroprotective role of estradiol in spinal cord (SC) injuries, as well as its ability to delay secondary cell death changes, is well-known, its effect on cerebellar layers is not fully investigated. In this study, a SCI model was achieved by injection of Kainic acid into SC of adult Male Wistar rats in order to assess the effects of SCI on the cerebellum. The animals were classified into SCI group (animals with SCI), estradiol-treated group (animals with SCI and received estradiol), control groups, and sham control group. The microscopical examination 24h after induction of SCI revealed that KA induced the most characteristics of neurodegeneration including astrocytic propagation and microglial activation. The estradiol was injected intraperitoneally 20min after induction of SCI, and the samples were collected at 1, 3, 7, 14, and 30days. Histologically, the estradiol reduced the inflammatory response, enhanced the recovery of molecular, granular, and Purkinje cell layers, and therefore aided in the restoration of layer organization. These findings were also confirmed by immunohistochemical staining and gene expression profiling."
