Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"D. Zhang","Treatment of chronic thoracolumbar osteoporotic fractures combined with kyphosis with cement-injectable cannulated pedicle screw and multiple level Schwab grade Ⅰ osteotomy",2020,"Zhongguo xiu fu chong jian wai ke za zhi = Zhongguo xiufu chongjian waike zazhi = Chinese journal of reparative and reconstructive surgery","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85098476514&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85098476514&origin=inward",81,"2021-01-16 15:33:13","Article","10.7507/1002-1892.202006129","1002-1892","https://api.elsevier.com/content/abstract/scopus_id/85098476514",34,12,1533,1538,0,0.00,0,1,1,""
0,"X. Li","Sodium Tanshinone IIA Silate Exerts Microcirculation Protective Effects against Spinal Cord Injury in Vitro and in Vivo",2020,"Oxidative Medicine and Cellular Longevity","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85094672050&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85094672050&origin=inward",82,"2021-01-16 15:33:13","Article","10.1155/2020/3949575","1942-0900","https://api.elsevier.com/content/abstract/scopus_id/85094672050",2020,,,,0,0.00,0,1,1,""
0,"M. Shaughness","Role of Insulin in Neurotrauma and Neurodegeneration: A Review",2020,"Frontiers in Neuroscience","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85092198198&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85092198198&origin=inward",83,"2021-01-16 15:33:13","Review","10.3389/fnins.2020.547175","1662-4548","https://api.elsevier.com/content/abstract/scopus_id/85092198198",14,,,,0,0.00,0,1,1,""
0,"Z. Xiao","Local Delivery of Taxol From FGL-Functionalized Self-Assembling Peptide Nanofiber Scaffold Promotes Recovery After Spinal Cord Injury",2020,"Frontiers in Cell and Developmental Biology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85090276632&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85090276632&origin=inward",84,"2021-01-16 15:33:13","Article","10.3389/fcell.2020.00820","2296-634X","https://api.elsevier.com/content/abstract/scopus_id/85090276632",8,,,,0,0.00,0,1,1,""
0,"L. Zheng","microRNA-421-3p prevents inflammatory response in cerebral ischemia/reperfusion injury through targeting m6A Reader YTHDF1 to inhibit p65 mRNA translation",2020,"International Immunopharmacology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85090118987&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85090118987&origin=inward",85,"2021-01-16 15:33:13","Article","10.1016/j.intimp.2020.106937","1567-5769","https://api.elsevier.com/content/abstract/scopus_id/85090118987",88,,,,0,0.00,0,1,1,""
0,"Y. Bi","Nuclear Heme Oxidase-1 Inhibits Endoplasmic Reticulum Stress-Mediated Apoptosis after Spinal Cord Injury",2020,"BioMed Research International","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85089711039&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85089711039&origin=inward",86,"2021-01-16 15:33:13","Article","10.1155/2020/7576063","2314-6133","https://api.elsevier.com/content/abstract/scopus_id/85089711039",2020,,,,0,0.00,0,1,1,""
0,"J. Chen","Novel Role of HAX-1 in Neurons Protection After Spinal Cord Injury Involvement of IRE-1",2020,"Neurochemical Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85087955936&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85087955936&origin=inward",87,"2021-01-16 15:33:13","Article","10.1007/s11064-020-03088-x","0364-3190","https://api.elsevier.com/content/abstract/scopus_id/85087955936",45,10,2302,2311,0,0.00,0,1,1,""
0,"W. Han","Sitagliptin improves functional recovery via GLP-1R-induced anti-apoptosis and facilitation of axonal regeneration after spinal cord injury",2020,"Journal of Cellular and Molecular Medicine","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85087307704&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85087307704&origin=inward",88,"2021-01-16 15:33:13","Article","10.1111/jcmm.15501","1582-1838","https://api.elsevier.com/content/abstract/scopus_id/85087307704",24,15,8687,8702,0,0.00,0,1,1,""
0,"L. Wu","Regional cerebral metabolic levels and turnover in awake rats after acute or chronic spinal cord injury",2020,"FASEB Journal","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85087298254&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85087298254&origin=inward",89,"2021-01-16 15:33:13","Article","10.1096/fj.202000447R","0892-6638","https://api.elsevier.com/content/abstract/scopus_id/85087298254",34,8,10547,10559,0,0.00,0,1,1,""
0,"H. Zhang","FBXW7alpha promotes the recovery of traumatic spinal cord",2020,"Current Molecular Medicine","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85087111312&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85087111312&origin=inward",90,"2021-01-16 15:33:13","Article","10.2174/1566524020666191223164916","1566-5240","https://api.elsevier.com/content/abstract/scopus_id/85087111312",20,6,490,499,0,0.00,0,1,1,""
