Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"Jun Zheng, Jing Kuang, Xianyu Zhang, Daya Luo, Weijing Liao","miR-142-3p suppresses apoptosis in spinal cord-injured rats.",2020,"Translational neuroscience","","","",1,"2021-01-16 15:42:45","Journal Article","10.1515/tnsci-2020-0105","2081-3856","",11,1,105,115,0,0.00,0,5,1,"Spinal cord injury (SCI) leads to abnormal expression of miRs, leading to secondary responses such as oxidative stress, inflammation and apoptosis. In the present work, we screened the miRs involved and the associated pathway. In a rat model of SCI, the microarray analysis for expression of miRs at various time points post-SCI was done. The locomotor analysis was done by Basso, Beattie and Bresnahan score, and Cresyl violet staining was done for lesion volume and TUNEL assay was done for apoptosis in neuronal cells. The expression of apoptotic proteins was done by the western blot study. It was evidenced that the expression of the number of miRs was altered on the 14th day post-SCI, and miR-142-3p was found to be the most significantly suppressed miR. The results suggested that overexpression of miR-142-3p by its agomir-attenuated functional recovery decreased lesion size and apoptosis of neuronal cells in rats subjected to SCI. The luciferase assay indicated that miR-142-3p blocked the levels of Bax, which is a significant activator of the mitochondrial apoptotic pathway (MAP) via targeting the 3'UTR region of BV-2 cells, and in addition, pc-DNA-Bax restored Bax and inhibited the correcting role of miR-142-3p in hydrogen peroxide-treated BV-2 cells. The findings suggested that miR-142-3p may inhibit the MAP by inhibiting the expression of cleaved-caspase-3/-9 and Bax in SCI rats. This study concludes that miR-142-3p may attenuate the functional recovery and decrease apoptosis in neuronal cells via inhibiting the MAP in the spinal cord-injured rats, confirming miR-142-3p as a potential therapeutic target in treating SCI."
0,"Liang Dong, Xin Kang, Qiang Ma, Zhengwei Xu, Honghui Sun, Dingjun Hao, Xiujin Chen","Novel Approach for Efficient Recovery for Spinal Cord Injury Repair via Biofabricated Nano-Cerium Oxide Loaded PCL With Resveratrol to Improve in Vitro Biocompatibility and Autorecovery Abilities.",2020,"Dose-response : a publication of International Hormesis Society","","","",2,"2021-01-16 15:42:45","Journal Article","10.1177/1559325820933518","1559-3258","",18,3,2147483647,,0,0.00,0,7,1,"It is more difficult to develop the low-cost spinal cord injury repair materials with high stability and biocompatibility for the biomedical applications. Herein, for the first time, we demonstrated the functional restoration of an injured spinal cord by the nano CeO2 particles assembled onto poly (∊-caprolactone) (PCL)/resveratrol (RVL) were synthesized using the biocompatible ionic liquid. The as-prepared biocompatible nanomaterials were characterized and confirmed by using different instruments such as Fourier transform infra-red spectroscopy for functional groups identification, X-ray diffraction for crystalline nature, Scanning electron microscopy, transmission electron microscopy for morphological structure, Dynamic light scattering for size distribution of the nanoparticles and thermogravimetric analysis for thermal properties. The synergetic effect between the uniform distributions of nano-sized CeO2 particles onto the PCL polymer with RVL can remarkably enhance the catalytic performance. Biofabricated nano-cerium oxide loaded PCL with RVL revealed that treatment significantly preserved hydrogen peroxide and also good catalytic performance. This study presents a nano-sized cerium oxide particles loaded PCL with RVL biocompatible materials have been providing highly efficient regenerative activity and biocompatibility in spinal card regeneration."
0,"Jun Liu, Feng Yang, Maofeng Cheng, Yan Zhang","Spinal cord injury can be relieved by the polysaccharides of Tricholoma matsutake by promoting axon regeneration and reducing neuroinflammation.",2020,"Neuroreport","","","",3,"2021-01-16 15:42:45","Journal Article","10.1097/WNR.0000000000001514","1473-558X","",31,14,1024,1029,0,0.00,0,4,1,"With an increase in the number of spinal cord injuries (SCIs) in China, severe dysfunction of the limb below the injured segment is prominent. Among the studies centered on the factors inducing SCIs, inflammatory response has a dramatic input on the pathogenesis of SCIs. This study aimed to investigate the effects of Tricholoma matsutake polysaccharides (TMP) on function recovery following SCIs. The cell viability, neurite growth, NF-kappa B, TNFα and IL-6 production from hydrogen peroxide-treated PC12 cells were analyzed. In-vivo, a total of 36 male C57 mice were divided into sham group, SCI group and TMP group (100 mg/kg). The protective effects of TMP were evaluated by Basso mouse scale (BMS) scores, HE staining, immunofluorescence and Western blotting. TMP promoted neurite growth and inhibited TNFα, IL-6 and NF-kappa B signaling in a concentration-dependent manner in vitro. Moreover, compared with the SCI group, the BMS scores and nerve regeneration showed a significant increase, while NF-kappa B signaling, TNFα and IL-6 production significantly decreased after TMP treatment. TMP has a protective effect against SCIs in vitro and in vivo, which may be a potential strategy for future application in clinical practice."
0,"Qingzhong Zhou, Xiaolan Feng, Fei Ye, Fei Lei, Xufeng Jia, Daxiong Feng","miR-27a promotion resulting from silencing of HDAC3 facilitates the recovery of spinal cord injury by inhibiting PAK6 expression in rats.",2020,"Life sciences","","","",4,"2021-01-16 15:42:45","Journal Article","10.1016/j.lfs.2020.118098","1879-0631","",260,,118098,,0,0.00,0,6,1,"Spinal cord injury (SCI) is one of the most devastating diseases that challenges neurology and medicine, leading to paraplegia or quadriplegia worldwide. Neuroprotection conferred by histone deacetylase (HDAC) inhibitors against various insults and deficits in the central nervous system has been reported previously. Herein, we set out to ascertain whether HDAC3 inhibition exerts neuroprotective effects against SCI. A modified Allen's weight-drop method was performed to induce experimental SCI in rats. Basso-Beattie-Bresnahan (BBB) scores were used to assess locomotor function. Flow cytometric analysis of AnnexinV-FITC/PI double staining, TUNEL staining, and immunoblotting analysis of apoptosis-related proteins were performed to determine apoptosis in H2O2-induced cell injury of primary rat neurons. Upregulated HDAC3 and downregulated miR-27a were observed in spinal cord tissues of SCI rats and H2O2-injured neurons. HDAC3 knockdown by its specific shRNA restored the locomotor function of SCI rats and prevented rat neurons from H2O2-induced apoptosis through promotion of miR-27a. miR-27a targeted PAK6 (encoding P21-activated kinase 6) and inhibited its expression. The effects of HDAC3 knockdown on the locomotor function of SCI rats and H2O2-induced apoptosis of rat neurons were lost upon further PAK6 overexpression. The present study uncovers that silencing HDAC3 inhibited PAK6 expression by upregulating miR-27a, eventually inhibiting neuron apoptosis and promoting the recovery of SCI, which might provide a novel therapeutic target for SCI."
0,"Yan An, Jianing Li, Qiang Yuan, Mingxing Fan","MicroRNA-466c-3p exerts protective effect on neuronal apoptosis and improves functional recovery post spinal cord injury via mitochondrial apoptotic pathway.",2020,"AMB Express","","","",5,"2021-01-16 15:42:45","Journal Article","10.1186/s13568-020-01033-3","2191-0855","",10,1,113,,0,0.00,0,4,1,"Spinal cord injury (SCI) is involved with abnormal expression of miRNAs (miRs) which are responsible for some IIry injury responses which include apoptosis, inflammation and oxidative stress. Mechanisms involving miRs induced apoptosis still needs to be investigated. In the present work we developed a rat model of SCI, followed by microarray analysis for expression of miRs at various time points after SCI. The locomotor activity was assessed by Basso, Beattie and Bresnahan score, lesion volume was analyzed by cresyl violet staining and TUNEL staining for extent of apoptosis at various time points of post SCI. Numbers of miRs were altered after 2 weeks of SCI among which miR-466c-3p was the most significantly down-regulated. Transfection with miR-466c-3p mimics caused overexpression of miR-466c-3p, also improvement in functional recovery, decrease in apoptosis of neuronal cells and lesion size was observed in SCI rats. The Luciferase assay suggested that miR-466c-3p suppressed the expression of Bcl-2 (apoptosis regulator). It was also evidenced that upon restoring the levels of Bcl-2 with the help of pc-DNA3-Bcl-2 halted the attenuating action of miR-466c-3p in hydrogen peroxide exposed N9 microglia cells. The findings suggested that miR-466c-3p may inhibit mitochondrial apoptotic pathway via blocking Bcl-2 and cleaved capase-9/-3in rats after SCI. Altogether, the results suggested that miR-466c-3p may exert attenuating effect on functional recovery and inhibit the apoptosis of neuronal cells via halting the mitochondrial apoptosis cascade in SCI rats indicating that miR-466c-3p can be attractive therapeutic candidate in treating SCI."
0,"Yingjie Ni, Jun Gu, Jianyue Wu, Lin Xu, Yunfeng Rui","MGMT-Mediated neuron Apoptosis in Injured Rat Spinal Cord.",2020,"Tissue & cell","","","",6,"2021-01-16 15:42:45","Journal Article","10.1016/j.tice.2019.101311","1532-3072","",62,,101311,,0,0.00,0,5,1,"Spinal cord injury (SCI) induces a series of endogenous biochemical changes that lead to secondary degeneration, including apoptosis. The aim of this study was to investigate the potential effect and mechanism of action of MGMT in strengthing neuronal apoptosis following SCI. To determine MGMT-mediated apoptosis in spinal cord injury, we performed western blot and analyzed the expression change of MGMT with different timepoints. Western blot analysis showed the upregulation of MGMT has a peak at 21 days in injured spinal cord tissues. Expression and location was observed in the neurons after SCI. Upregulation of p53, Bax, cleaved caspase3 and cleaved caspase9 and downregulation of Bcl2 were detected after SCI. Co-localization of cleaved caspase3 with MGMT indicated MGMT involved in apoptosis taking place after SCI. In addition, we carried out H2O2 stimulation to further confirm MGMT played a role in neuron apoptosis process and activated p53 signaling pathway in vitro. Finally, based above data, we packaged lenti-associated virus inhibit MGMT expression and injected into rat spinal cords after SCI model was built. LV-MGMT not only reduces the neuron apoptosis, but also increases GAP43 expression and promotes hindlimbs locomotor function recovery. Taken together, the in vivo data and the in vitro observations prove MGMT-mediated apoptosis in the injured spinal cord."
0,"Yu Zhang, Liming Li, Jiafu Mu, Jiachen Chen, Shiqing Feng, Jianqing Gao","Implantation of a functional TEMPO-hydrogel induces recovery from rat spinal cord transection through promoting nerve regeneration and protecting bladder tissue.",2020,"Biomaterials science","","","",7,"2021-01-16 15:42:45","Journal Article","10.1039/c9bm01530b","2047-4849","",8,6,1695,1701,0,0.00,0,6,1,"Spinal cord injury is one of the most serious traumatic diseases. The current available clinical therapies are unable to provide effective recovery of nerve functions. Implantation of biomaterial scaffolds is a promising approach to bridge the damaged nerve tissue in the absence of the extracellular matrix. However, the treatments have been impaired by the increased generation of reactive oxygen species in the microenvironment of acute spinal cord injury. Efficient delivery of antioxidants and biocompatible materials and reagents has been a challenge. Herein, a novel hyaluronic acid (HA) hydrogel functionalized with the antioxidant compound 2,2,6,6-tetramethylpiperidinyloxy (TEMPO) is fabricated for nerve tissue regeneration after serious spinal cord transection in rats. TEMPO is tethered onto HA chains to form HA-TEMPO through a Schiff base reaction between 4-amino-TEMPO and aldehyde modified HA chains. The TEMPO-hydrogel is constructed with a highly porous three-dimensional structure via the gelation between the residue aldehydes in HA-TEMPO and the amines in adipic dihydrazide modified HA. The functional TEMPO-hydrogel exhibits the antioxidant effect in an H2O2 simulated in vitro peroxidative microenvironment. Implantation of the functional hydrogel in vivo induces a significant motor function restoration, which could be attributed to the effective functions of the TEMPO-hydrogel in tissue reconnection as well as nerve fiber regeneration of the central nervous spinal cord tissue. Importantly, the treatment with the TEMPO-hydrogel effectively protects the bladder tissue from neurogenic damage. Therefore, the functional TEMPO-hydrogel provides a promising strategy for the treatment of central nervous system diseases through the antioxidant and lesion-bridging regulation of the pathological microenvironment."
0,"Alfredo Maqueda, Francisco J Rodriguez","Efficacy of human HC016 cell transplants on neuroprotection and functional recovery in a rat model of acute spinal cord injury.",2020,"Journal of tissue engineering and regenerative medicine","","","",8,"2021-01-16 15:42:45","Journal Article","10.1002/term.2995","1932-7005","",14,2,319,333,0,0.00,0,2,1,"Spinal cord injury (SCI) is a devastating event with huge personal and social costs, for which there is no effective treatment. Cell therapy constitutes a promising therapeutic approach for SCI; however, its clinical potential is seriously limited by their low survival in the hostile conditions encompassing the acute phase of SCI. Human HC016 (hHC016) cells, generated from expanded human adipose mesenchymal stem cells (hAMSCs) and pulsed with a patented protocol with hydrogen peroxide (H2 O2 ), are expected to acquire improved resistance to oxidative environments which appears as a major limiting factor hampering the engrafting success. Our specific aim was to assess whether H2 O2 -pulsed hHC016 cells had an improved survival and thus therapeutic efficacy in a rat contusion model of acute SCI when grafted 48 hr after injury. Functional recovery was evaluated up to 56 days post-injury (dpi) by locomotor (open field test and CatWalk) and sensory (Von Frey and Hargreaves) tests. Besides, histological evaluation of transplanted cell survival and tissue protection/regeneration was also performed. Functional results showed a statistically significant improvement on locomotor recovery outcomes with hHC016 cells. Accordingly, superior cell survival in correlation with long-term neuroprotection, higher axonal regeneration, and reduced astroglial and microglial reactivity was also observed with hHC016 cells. These results demonstrate an enhanced survival capacity of hHC016 cells resulting in improved functional and histological outcomes as compared with hAMSCs, indicating that hHC016 cell transplants may constitute a promising cell therapy for acute SCI."
0,"Ralf Kleene, Gabriele Loers, Igor Jakovcevski, Bibhudatta Mishra, Melitta Schachner","Histone H1 improves regeneration after mouse spinal cord injury and changes shape and gene expression of cultured astrocytes.",2019,"Restorative neurology and neuroscience","","","",9,"2021-01-16 15:42:45","Journal Article","10.3233/RNN-190903","1878-3627","",37,4,291,313,0,0.00,0,5,2,"We have shown that histone H1 is a binding partner for polysialic acid (PSA) and that it improves functional recovery, axon regrowth/sprouting, and target reinnervation after mouse femoral nerve injury. Here, we analyzed whether histone H1 affects functional recovery, axon regrowth/sprouting, and target reinnervation after spinal cord injury of adult mice. Furthermore, we tested in vitro histone H1's effect on astrocytic gene expression, cell shape and migration as well as on cell survival of cultured motoneurons. We applied histone H1 to compressed spinal cord and determined functional recovery and number of fibrillary acidic protein (GFAP)- and neuron-glial antigen 2 (NG2)- positive glial cells, which contribute to glial scarring. Histone H1's effect on migration of astrocytes, astrocytic gene expression and motoneuronal survival was determined using scratch-wounded astroglial monolayer cultures, astrocyte cultures for microarray analysis, and motoneuron cell culture under oxidative stress conditions, respectively. Histone H1 application improves locomotor functions and enhances monoaminergic and cholinergic reinnervation of the spinal cord. Expression levels of GFAP and NG2 around the lesion site were decreased in histone H1-treated mice relative to vehicle-treated mice six weeks after injury. Histone H1 reduced astrocytic migration, changed the shape of GFAP- and NG2-positive glial cells and altered gene expression. Gene ontology enrichment analysis indicated that in particular genes coding for proteins involved in proliferation, differentiation, migration and apoptosis are dysregulated. The up- and down-regulation of distinct genes was confirmed by qPCR and Western blot analysis. Moreover, histone H1 reduced hydrogen peroxide-induced cell death of cultured motoneurons. The combined observations indicate that histone H1 locally applied to the lesion site, improves regeneration after spinal cord injury. Some of these beneficial functions of histone H1 in vivo and in vitro can be attributed to its interaction with PSA-carrying neural cell adhesion molecule."
0,"Jong-Wan Kim, Chinmaya Mahapatra, Jin-Young Hong, Min Soo Kim, Kam W Leong, Hae-Won Kim, Jung Keun Hyun","Functional Recovery of Contused Spinal Cord in Rat with the Injection of Optimal-Dosed Cerium Oxide Nanoparticles.",2017,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)","","","",10,"2021-01-16 15:42:45","Journal Article","10.1002/advs.201700034","2198-3844","",4,10,1700034,,0,0.00,0,7,4,"Spinal cord injury (SCI) produces excess reactive oxygen species (ROS) that can exacerbate secondary injury and lead to permanent functional impairment. Hypothesizing that cerium oxide nanoparticles (CONPs) as an effective ROS scavenger may offset this damaging effect, it is first demonstrated in vitro that CONPs suppressed inducible nitric oxide synthase (iNOS) generation and enhanced cell viability of hydrogen peroxide (H2O2)-insulted cortical neurons. Next, CONPs are administered at various does (50-4000 µg mL-1) to a contused spinal cord rat model and monitored the disease progression for up to eight weeks. At one day postinjury, the number of iNOS+ cells decreases in the treated groups compared with the control. At one week, the cavity size and inflammatory cells are substantially reduced, and the expression of proinflammatory and apoptotic molecules is downregulated with a concurrent upregulation of anti-inflammatory cytokine. By eight weeks, the treated groups show significantly improved locomotor functions compared with the control. This study shows for the first time that injection of optimal-dosed CONPs alone into contusion-injured spinal cord of rats can reduce ROS level, attenuate inflammation and apoptosis, and consequently help locomotor functional recovery, adding a promising and complementary strategy to the other treatments of acute SCI."
