Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"A. Burns","Wearable technology for patients with brain and spinal cord injuries",2017,"Reviews in the Neurosciences","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85037633716&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85037633716&origin=inward",27,"2021-01-16 16:24:18","Article","10.1515/revneuro-2017-0035","0334-1763","https://api.elsevier.com/content/abstract/scopus_id/85037633716",28,8,913,920,0,0.00,0,1,4,""
2,"D. Eve","The 'current state of play' in transplantation and restoration research of the CNS",2007,"Neurotoxicity Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=34548436916&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=34548436916&origin=inward",26,"2021-01-16 16:24:18","Article","10.1007/BF03033564","1029-8428","https://api.elsevier.com/content/abstract/scopus_id/34548436916",11,3,145,150,2,0.14,2,1,14,""
3,"C. Bradley","Effects of Dopamine on Motor Recovery and Training in Adults and Children With Nonprogressive Neurological Injuries: A Systematic Review",2019,"Neurorehabilitation and Neural Repair","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85063579910&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85063579910&origin=inward",25,"2021-01-16 16:24:18","Review","10.1177/1545968319837289","1545-9683","https://api.elsevier.com/content/abstract/scopus_id/85063579910",33,5,331,344,3,1.50,3,1,2,""
4,"M. McEwen","Kinematic analyses of air-stepping of neonatal rats after mid-thoracic spinal cord compression",2001,"Journal of Neurotrauma","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0035679385&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0035679385&origin=inward",24,"2021-01-16 16:24:18","Article","10.1089/08977150152725678","0897-7151","https://api.elsevier.com/content/abstract/scopus_id/0035679385",18,12,1383,1397,4,0.20,4,1,20,""
7,"K. Pearson-Fuhrhop","Pharmacogenetics of neural injury recovery",2013,"Pharmacogenomics","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84885401182&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84885401182&origin=inward",23,"2021-01-16 16:24:18","Review","10.2217/pgs.13.152","1462-2416","https://api.elsevier.com/content/abstract/scopus_id/84885401182",14,13,1635,1643,7,0.88,7,1,8,""
9,"J. Huie","What Is Being Trained? How Divergent Forms of Plasticity Compete to Shape Locomotor Recovery after Spinal Cord Injury",2017,"Journal of Neurotrauma","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85019230329&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85019230329&origin=inward",22,"2021-01-16 16:24:18","Review","10.1089/neu.2016.4562","0897-7151","https://api.elsevier.com/content/abstract/scopus_id/85019230329",34,10,1831,1840,9,2.25,9,1,4,""
10,"D. Parker","Pharmacological approaches to functional recovery after spinal injury",2005,"Current Drug Targets: CNS and Neurological Disorders","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=18044384808&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=18044384808&origin=inward",21,"2021-01-16 16:24:18","Review","10.2174/1568007053544192","1568-007X","https://api.elsevier.com/content/abstract/scopus_id/18044384808",4,2,195,210,10,0.63,10,1,16,""
11,"O. Maric","Short communication: Levodopa therapy in incomplete spinal cord injury",2008,"Journal of Neurotrauma","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=57349129305&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=57349129305&origin=inward",20,"2021-01-16 16:24:18","Article","10.1089/neu.2008.0583","0897-7151","https://api.elsevier.com/content/abstract/scopus_id/57349129305",25,11,1303,1307,11,0.85,11,1,13,""
12,"L.M.F. Doyle","Functional recovery and axonal growth following spinal cord transection is accelerated by sustained L-DOPA administration",2004,"European Journal of Neuroscience","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=4944238559&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=4944238559&origin=inward",19,"2021-01-16 16:24:18","Article","10.1111/j.1460-9568.2004.03658.x","0953-816X","https://api.elsevier.com/content/abstract/scopus_id/4944238559",20,8,2008,2014,12,0.71,12,1,17,""
15,"R.V. Ung","Functional and physiological effects of treadmill training induced by buspirone, carbidopa, and L-DOPA in clenbuterol-treated paraplegic mice",2012,"Neurorehabilitation and Neural Repair","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84860800511&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84860800511&origin=inward",18,"2021-01-16 16:24:18","Article","10.1177/1545968311427042","1545-9683","https://api.elsevier.com/content/abstract/scopus_id/84860800511",26,4,385,394,15,1.67,15,1,9,""
16,"P.A. Guertin","A technological platform to optimize combinatorial treatment design and discovery for chronic spinal cord injury",2008,"Journal of Neuroscience Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=57049141499&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=57049141499&origin=inward",17,"2021-01-16 16:24:18","Review","10.1002/jnr.21761","0360-4012","https://api.elsevier.com/content/abstract/scopus_id/57049141499",86,14,3039,3051,16,1.23,16,1,13,""
19,"P.A. Guertin","Effects on locomotion, muscle, bone, and blood induced by a combination therapy eliciting weight-bearing stepping in nonassisted spinal cord-transected mice",2011,"Neurorehabilitation and Neural Repair","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=79954601076&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79954601076&origin=inward",15,"2021-01-16 16:24:18","Article","10.1177/1545968310378753","1545-9683","https://api.elsevier.com/content/abstract/scopus_id/79954601076",25,3,234,242,19,1.90,19,1,10,""
19,"P.A. Guertin","Recovery of locomotor function with combinatory drug treatments designed to synergistically activate specific neuronal networks",2009,"Current Medicinal Chemistry","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=65649118957&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=65649118957&origin=inward",16,"2021-01-16 16:24:18","Review","10.2174/092986709787846541","0929-8673","https://api.elsevier.com/content/abstract/scopus_id/65649118957",16,11,1366,1371,19,1.58,19,1,12,""
26,"R. Basson","Sexual function of women with chronic illness and cancer",2010,"Women's Health","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77952119823&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77952119823&origin=inward",14,"2021-01-16 16:24:18","Review","10.2217/whe.10.23","1745-5057","https://api.elsevier.com/content/abstract/scopus_id/77952119823",6,3,407,429,26,2.36,26,1,11,""
27,"K. Genc","Patient-specific pluripotent stem cells in neurological diseases",2011,"Stem Cells International","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=80052743286&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=80052743286&origin=inward",12,"2021-01-16 16:24:18","Review","10.4061/2011/212487","1687-9678","https://api.elsevier.com/content/abstract/scopus_id/80052743286",,,,,27,2.70,27,1,10,""
27,"R. Veraa","Cellular mechanisms for recovery from nervous system injury: A conference report",1981,"Experimental Neurology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0019352335&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0019352335&origin=inward",13,"2021-01-16 16:24:18","Review","10.1016/0014-4886(81)90071-6","0014-4886","https://api.elsevier.com/content/abstract/scopus_id/0019352335",71,1,6,75,27,0.68,27,1,40,""
45,"A. Domingo","A systematic review of the effects of pharmacological agents on walking function in people with spinal cord injury",2012,"Journal of Neurotrauma","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84858423381&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84858423381&origin=inward",11,"2021-01-16 16:24:18","Review","10.1089/neu.2011.2052","0897-7151","https://api.elsevier.com/content/abstract/scopus_id/84858423381",29,5,865,879,45,5.00,45,1,9,""
54,"M. Ghosh","The role of the serotonergic system in locomotor recovery after spinal cord injury",2015,"Frontiers in Neural Circuits","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84923311167&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84923311167&origin=inward",9,"2021-01-16 16:24:18","Review","10.3389/fncir.2014.00151","1662-5110","https://api.elsevier.com/content/abstract/scopus_id/84923311167",8,,,,54,9.00,54,1,6,""
54,"A. Fong","Recovery of control of posture and locomotion after a spinal cord injury: solutions staring us in the face",2009,"Progress in Brain Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=67849097741&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=67849097741&origin=inward",10,"2021-01-16 16:24:18","Review","10.1016/S0079-6123(09)17526-X","0079-6123","https://api.elsevier.com/content/abstract/scopus_id/67849097741",175,,393,418,54,4.50,54,1,12,""
63,"D. Redmond","Cellular replacement therapy for Parkinson's disease - Where we are today?",2002,"Neuroscientist","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0036788844&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0036788844&origin=inward",8,"2021-01-16 16:24:18","Review","10.1177/107385802237703","1073-8584","https://api.elsevier.com/content/abstract/scopus_id/0036788844",8,5,457,488,63,3.32,63,1,19,""
68,"R. Zietlow","Human stem cells for CNS repair",2008,"Cell and Tissue Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=37249051840&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=37249051840&origin=inward",7,"2021-01-16 16:24:18","Review","10.1007/s00441-007-0488-1","0302-766X","https://api.elsevier.com/content/abstract/scopus_id/37249051840",331,1,301,322,68,5.23,68,1,13,""
80,"H. Barbeau","Noradrenergic agonists and locomotor training affect locomotor recovery after cord transection in adult cats",1993,"Brain Research Bulletin","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0027415043&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0027415043&origin=inward",6,"2021-01-16 16:24:18","Article","10.1016/0361-9230(93)90270-L","0361-9230","https://api.elsevier.com/content/abstract/scopus_id/0027415043",30,3,387,393,80,2.86,80,1,28,""
82,"S. Gögel","Progress and prospects: Stem cells and neurological diseases",2011,"Gene Therapy","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=78650990330&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=78650990330&origin=inward",5,"2021-01-16 16:24:18","Review","10.1038/gt.2010.130","0969-7128","https://api.elsevier.com/content/abstract/scopus_id/78650990330",18,1,1,6,82,8.20,82,1,10,""
98,"K. Fouad","Restoring walking after spinal cord injury",2004,"Progress in Neurobiology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=2942519319&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=2942519319&origin=inward",4,"2021-01-16 16:24:18","Review","10.1016/j.pneurobio.2004.04.003","0301-0082","https://api.elsevier.com/content/abstract/scopus_id/2942519319",73,2,107,126,98,5.76,98,1,17,""
125,"M. Pekna","Modulation of neural plasticity as a basis for stroke rehabilitation",2012,"Stroke","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84866731311&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84866731311&origin=inward",3,"2021-01-16 16:24:18","Review","10.1161/STROKEAHA.112.654228","0039-2499","https://api.elsevier.com/content/abstract/scopus_id/84866731311",43,10,2819,2828,125,13.89,125,1,9,""
150,"H. Barbeau","Enhancement of locomotor recovery followlng spinal cord injury",1994,"Current Opinion in Neurology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0027944853&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0027944853&origin=inward",2,"2021-01-16 16:24:18","Review","10.1097/00019052-199412000-00008","1350-7540","https://api.elsevier.com/content/abstract/scopus_id/0027944853",7,6,517,524,150,5.56,150,1,27,""
318,"S.U. Kim","Stem cell-based cell therapy in neurological diseases: A review",2009,"Journal of Neuroscience Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=69249220421&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=69249220421&origin=inward",1,"2021-01-16 16:24:18","Review","10.1002/jnr.22054","0360-4012","https://api.elsevier.com/content/abstract/scopus_id/69249220421",87,10,2183,2200,318,26.50,318,1,12,""
