Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"Song Meng, Chen Wu, Kamiie Junichi, Okuno Seiichi, Orito Kensuke","Electroacupuncture improves neuronal function by stimulation of ascending peripheral nerve conduction in rats with spinal cord injury",2019,"Journal Of Traditional Chinese Medicine","Journal Traditional Chinese Med","","",12,"2021-01-16 16:26:46","Article","","0255-2922","",39,4,509,515,0,0.00,0,5,2,"OBJECTIVE: To establish a method of transient sciatic nerve blockade and to examine the involvement of the ascending peripheral nerve pathway in the therapeutic effect of electroacupuncture at Zusanli (ST 36) in rats with spinal cord injury (SCI)."
0,"S. Ghroubi, O. Kharrat, A. Yahia, O. Jaziri, M. Elleuch, M. H. Elleuch","Management of spastic foot: 116 cases",2009,"Medecine Et Chirurgie Du Pied","Springer","","",13,"2021-01-16 16:26:46","Article","10.1007/s10243-009-0187-6","0759-2280","",25,2,44,51,0,0.00,0,6,12,"Several therapeutic solutions are used for the treatment of spastic foot and the prevention of the appearance of a pathological gait in patients with this deformity. These therapeutic solutions can include rehabilitation, botulinum toxin injections, orthoses and surgery. We therefore need to decide which technique to choose and when to use it, as well as considering the effects of the various methods on spasticity and recovery of normal walking functions."
1,"Misty Strain, Joel Turtle, Yung-Jen Huang, Joshua Reynolds, Melissa Brumley, Ashley DeLeon, James Grau","LIDOCAINE BLOCKS THE DETRIMENTAL EFFECTS OF C-FIBER ACTIVATION ON RECOVERY AFTER SPINAL CORD INJURY",2016,"Journal Of Neurotrauma","Mary Ann Liebert, Inc","","",9,"2021-01-16 16:26:46","Meeting Abstract","","0897-7151","",33,13,,,1,0.20,0,7,5,""
1,"Jacob A. Davis, Anne C. Bopp, Melissa K. Henwood, Rachel E. Baine, Carol C. Cox, James W. Grau","Pharmacological Transection of Brain-Spinal Cord Communication Blocks Pain-Induced Hemorrhage and Locomotor Deficits after Spinal Cord Injury in Rats",2020,"Journal Of Neurotrauma","Mary Ann Liebert, Inc","","",10,"2021-01-16 16:26:46","Article","10.1089/neu.2019.6973","0897-7151","",37,15,1729,1739,1,1.00,0,6,1,"Spinal cord injury (SCI) is often accompanied by additional tissue damage (polytrauma), which engages pain (nociceptive) fibers. Prior research has shown that nociceptive input can increase cell death, expand the area of hemorrhage, and impair long-term recovery. The current study shows that these adverse effects can be blocked by the sodium channel blocker lidocaine applied rostral to a contusion injury. Rats received a lower thoracic (T12) contusion injury, and noxious electrical stimulation (shock) was applied to the tail 24 h later. Immediately before shock treatment, a pharmacological transection was performed by slowly infusing lidocaine at T2. Long-term locomotor recovery was assessed over the next 21 days. Noxious electrical stimulation impaired locomotor recovery, and this effect was blocked by rostral lidocaine. Next, the acute effect of lidocaine was assessed. Tissue was collected 3 h after noxious stimulation, and the extent of hemorrhage was evaluated by assessing hemoglobin content using Western blotting. Nociceptive stimulation increased the extent of hemorrhage. Lidocaine applied at T2 before, but not immediately after, stimulation blocked this effect. A similar pattern of results was observed when lidocaine was applied at the site of injury by means of a lumbar puncture. The results show that a pharmacological transection blocks nociception-induced hemorrhage and exacerbation of locomotor deficits."
1,"Sara Nannarone, Enrico Bellezza, Yves P. Moens, Paula Larenza Menzies","Vertebral Subluxation Repair in a Pet Goat",2017,"Veterinary Surgery","Wiley","","",11,"2021-01-16 16:26:46","Article","10.1111/vsu.12586","0161-3499","",46,1,81,88,1,0.25,0,4,4,"Objectives: To describe the perioperative management, including surgery, anesthesia, metabolic derangements, and physiotherapy, in a goat referred for paraparesis secondary to a road traffic accident."
2,"Max O. Krucoff, Katie Zhuang, David MacLeod, Allen Yin, Yoon Woo Byun, Roberto Jose Manson, Dennis A. Turner, Laura Oliveira, Mikhail A. Lebedev","A novel paraplegia model in awake behaving macaques",2017,"Journal Of Neurophysiology","Amer Physiological Soc","","",8,"2021-01-16 16:26:46","Article","10.1152/jn.00327.2017","0022-3077","",118,3,1800,1808,2,0.50,0,9,4,"Lower limb paralysis from spinal cord injury (SCI) or neurological disease carries a poor prognosis for recovery and remains a large societal burden. Neurophysiological and neu-roprosthetic research have the potential to improve quality of life for these patients; however, the lack of an ethical and sustainable nonhuman primate model for paraplegia hinders their advancement. Therefore, our multidisciplinary team developed a way to induce temporary paralysis in awake behaving macaques by creating a fully implantable lumbar epidural catheter-subcutaneous port system that enables easy and reliable targeted drug delivery for sensorimotor blockade. During treadmill walking, aliquots of 1.5% lidocaine with 1: 200,000 epinephrine were percutaneously injected into the ports of three rhesus macaques while surface electromyography (EMG) recorded muscle activity from their quadriceps and gastrocnemii. Diminution of EMG amplitude, loss of voluntary leg movement, and inability to bear weight were achieved for 60-90 min in each animal, followed by a complete recovery of function. The monkeys remained alert and cooperative during the paralysis trials and continued to take food rewards, and the ports remained functional after several months. This technique will enable recording from the cortex and/or spinal cord in awake behaving nonhuman primates during the onset, maintenance, and resolution of paraplegia for the first time, thus opening the door to answering basic neurophysiological questions about the acute neurological response to spinal cord injury and recovery. It will also negate the need to permanently injure otherwise high-value research animals for certain experimental paradigms aimed at developing and testing neural interface decoding algorithms for patients with lower extremity dysfunction."
13,"Joel D. Turtle, Misty M. Strain, Miriam Aceves, Yung-Jen Huang, Joshua A. Reynolds, Michelle A. Hook, James W. Grau","Pain Input Impairs Recovery after Spinal Cord Injury: Treatment with Lidocaine",2017,"Journal Of Neurotrauma","Mary Ann Liebert, Inc","","",7,"2021-01-16 16:26:46","Article","10.1089/neu.2016.4778","0897-7151","",34,6,1200,1208,13,3.25,2,7,4,"More than 90% of spinal cord injuries are caused by traumatic accidents and are often associated with other tissue damage (polytrauma) that can provide a source of continued pain input during recovery. In a clinically relevant spinal cord contusion injury model, prior work has shown that noxious stimulation at an intensity that engages pain (C) fibers soon after injury augments secondary injury and impairs functional recovery. Noxious input increases the expression of proinflammatory cytokines (interleukin 1 beta and 18), cellular signals associated with cell death (caspase 3 and 8), and physiological signs of hemorrhage. Here, it is shown that reducing neural excitability after spinal cord injury (SCI) with the local anesthetic lidocaine (micro-injected by means of a lumbar puncture) blocks these adverse cellular effects. In contrast, treatment with an analgesic dose of morphine had no effect. Contused rats that received nociceptive stimulation soon after injury exhibited poor locomotor recovery, less weight gain, and greater tissue loss at the site of injury. Prophylactic application of lidocaine blocked the adverse effect of nociceptive stimulation on behavioral recovery and reduced tissue loss from secondary injury. The results suggest that quieting neural excitability using lidocaine can reduce the adverse effect of pain input (from polytrauma or surgery) after SCI."
15,"James W. Grau, Yung-Jen Huang, Joel D. Turtle, Misty M. Strain, Rajesh C. Miranda, Sandra M. Garraway, Michelle A. Hook","When Pain Hurts: Nociceptive Stimulation Induces a State of Maladaptive Plasticity and Impairs Recovery after Spinal Cord Injury",2017,"Journal Of Neurotrauma","Mary Ann Liebert, Inc","","",6,"2021-01-16 16:26:46","Review","10.1089/neu.2016.4626","0897-7151","",34,10,1873,1890,15,3.75,2,7,4,"Spinal cord injury (SCI) is often accompanied by other tissue damage (polytrauma) that provides a source of pain (nociceptive) input. Recent findings are reviewed that show SCI places the caudal tissue in a vulnerable state that exaggerates the effects nociceptive stimuli and promotes the development of nociceptive sensitization. Stimulation that is both unpredictable and uncontrollable induces a form of maladaptive plasticity that enhances nociceptive sensitization and impairs spinally mediated learning. In contrast, relational learning induces a form of adaptive plasticity that counters these adverse effects. SCI sets the stage for nociceptive sensitization by disrupting serotonergic (5HT) fibers that quell overexcitation. The loss of 5HT can enhance neural excitability by reducing membrane-bound K+-Cl- cotransporter 2, a cotransporter that regulates the outward flow of Cl-. This increases the intracellular concentration of Cl-, which reduces the hyperpolarizing (inhibitory) effect of gamma-aminobutyric acid. Uncontrollable noxious stimulation also undermines the recovery of locomotor function, and increases behavioral signs of chronic pain, after a contusion injury. Nociceptive stimulation has a greater effect if experienced soon after SCI. This adverse effect has been linked to a downregulation in brain-derived neurotrophic factor and an upregulation in the cytokine, tumor necrosis factor. Noxious input enhances tissue loss at the site of injury by increasing the extent of hemorrhage and apoptotic/pyroptotic cell death. Intrathecal lidocaine blocks nociception-induced hemorrhage, cellular indices of cell death, and its adverse effect on behavioral recovery. Clinical implications are discussed."
17,"Nanna Brix Finnerupa, Cathrine Baastrupa, Troels Staehelin Jensena","Neuropathic pain following spinal cord injury pain: mechanisms and treatment",2009,"Scandinavian Journal Of Pain","Walter De Gruyter Gmbh","","",5,"2021-01-16 16:26:46","Article","10.1016/S1877-8860(09)70003-5","1877-8860","",1,,,,17,1.42,6,3,12,"Patients suffering from a spinal cord injury (SCI) face functional loss and physical dependence, and historically most SCI research has focused on locomotor recovery and bladder and bowel dysfunction. We now realize that chronic pain may have a major impact on the quality of life in patients with SCI. The purpose of this paper is to review the current knowledge of mechanisms and treatment of neuropathic pain following SCI and to highlight some of the obstacles for improved pain treatment. Several preclinical models mimic human spinal cord injury reasonably well, but the interpretation of pain assessment and its translation into human SCI pain is not always straightforward and may be biased by other consequences of a spinal injury such as spasms and anxiety. Both preclinical and human studies suggest that a SCI causes major structural and biochemical changes in widespread areas of the central nervous system. The causal relationship between these changes and at-and below-level SCI pain needs to be further addressed. Neuropathic SCI pain is difficult to treat but evidence supports a treatment algorithm similar to what is proposed for peripheral neuropathic pain. As for any chronic pain condition, a biopsychosocial framework is necessary to understand the various aspects of pain interference and associated comorbidities such as anxiety and depression and to improve treatment. (C) 2009 Elsevier B.V. All rights reserved."
25,"O Yokoyama, Y Ishiura, Y Nakamura, K Kunimi, E Mita, M Namiki","Urodynamic effects of intravesical instillation of lidocaine in patients with overactive detrusor",1997,"Journal Of Urology","Williams & Wilkins","","",4,"2021-01-16 16:26:46","Article","10.1016/S0022-5347(01)64870-5","0022-5347","",157,5,1826,1830,25,1.04,4,6,24,"Purpose: We evaluated the effects of intravesical administration of lidocaine on the overactive detrusor in patients with spinal cord injury and cerebrovascular disease."
