Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"Kanghui Park, Sookyoung Park, Inhee Park, Yonggeun Hong","Beneficial effects of endogenous and exogenous melatonin in spinal cord injured animal model",2011,"Faseb Journal","Federation Amer Soc Exp Biol","","",54,"2021-01-17 15:44:24","Meeting Abstract","","0892-6638","",25,,,,0,0.00,0,4,10,""
0,"Maria del Carmen Diaz-Galindo, Denisse Calderon-Vallejo, Carlos Olvera-Sandoval, J. Luis Quintanar","Therapeutic approaches of trophic factors in animal models and in patients with spinal cord injury",2020,"Growth Factors","Taylor & Francis Ltd","","",55,"2021-01-17 15:44:24","Review","10.1080/08977194.2020.1753724","0897-7194","",38,1,1,15,0,0.00,0,4,1,"Trophic factors are naturally produced by different tissues that participate in several functions such as the intercellular communication, in the development, stability, differentiation and regeneration at the cellular level. Specifically, in the case of spinal injuries, these factors can stimulate neuronal recovery. They are applied both in experimental models and in clinical trials in patients. The trophic factors analysed in this review include gonadotropin-releasing hormone (GnRH), thyrotropin-releasing hormone (TRH), growth hormone (GH), melatonin, oestrogens, the family of fibroblast growth factors (FGFs), the family of neurotrophins and the glial cell-derived neurotrophic factor (GDNF). There are some trophic (neurotrophic) factors that already been tested in patients with spinal cord injury (SCI), but only shown partial recovery effect. It is possible that, the administration of these trophic factors together with physical rehabilitation, act synergistically and, therefore, significantly improve the quality of life of patients with SCI."
0,"Kai Gao, Jianbing Niu, Xiaoqian Dang","Neuroprotection of melatonin on spinal cord injury by activating autophagy and inhibiting apoptosis via SIRT1/AMPK signaling pathway",2020,"Biotechnology Letters","Springer","","",56,"2021-01-17 15:44:24","Article","10.1007/s10529-020-02939-5","0141-5492","",42,10,2059,2069,0,0.00,0,3,1,"The effect of melatonin (MT) on spinal cord injury (SCI) has attracted increasing research attention. However, the specific role and molecular mechanism of MT on SCI have not been elucidated. An experiment was performed to investigate the effect and molecular mechanism of MT on the neuronal autophagy after SCI and its effect on the recovery of nerve function. The rats were randomly divided into four treatment groups: the SCI+MT+EX527 (SIRT1 inhibitor), SCI+MT, SCI, and sham operation groups. On the 14th day after SCI, MT significantly promoted the recovery of motor function in the hind limbs according to the results of Basso, Beattie, and Bresnahan scores. At the same time, MT treatment resulted in reduced activation of cleaved-caspase-3, cleaved-caspase-9, and terminal deoxynucleotidyl transferase dUTP nick end labeling-positive neurons and increased the survival of motoneurons in the anterior horn of the spinal cord on the 14th day after SCI, which exerted its neuroprotection. Furthermore, western blot and immunofluorescence double staining were performed to verify the molecular mechanism of effect of MT on SCI, and results showed the significantly upregulated expressions of Beclin-1, light chain-3B, SIRT1, p-AMPK proteins in the spinal cord tissue of MT-treated rats on the 14th day after SCI, however, the effect of MT on autophagy was reversed by EX527 (SIRT1 inhibitor), which implied that MT activated autophagy via SIRT1/AMPK signaling pathway after SCI. Similarly, the neuroprotective effects of MT on SCI were also inhibited after the SIRT1/AMPK signaling pathway was suppressed by EX527. Taken together, these results suggest that MT inhibits the apoptosis and activates autophagy of nerve cells after SCI and ultimately exerts the neuroprotective effect by SIRT1/AMPK signaling pathway."
0,"Chao Zhang, Anming Hu, Yingli Jing, Degang Yang, Jianjun Li","Mannitol Reduces Spinal Cord Edema in Rats with Acute Traumatic Spinal Cord Injury",2020,"Letters In Drug Design & Discovery","Bentham Science Publ Ltd","","",57,"2021-01-17 15:44:24","Article","10.2174/1570180816666190731112158","1570-1808","",17,6,676,683,0,0.00,0,5,1,"Background: The research about anti-edema effects of mannitol on acute traumatic spinal cord injury (SCI) in rats is rare."
0,"Kadriye Mine Erbil, Deniz Demiryurek, Alp Bayramoglu, Figen Kaymaz, Mutlu Hayran, Muervet Tuncel, Hakan Erbil","The Effect of Melatonin on Experimental Cold Injury of the Skin",2008,"Turkiye Klinikleri Tip Bilimleri Dergisi","Ortadogu Ad Pres & Publ Co","","",58,"2021-01-17 15:44:24","Article","","1300-0292","",28,6,828,833,0,0.00,0,7,13,"Objective: The human skin is one of the major organs in continuous interaction with environmental factors. The effects of frostbite on the skin have been extensively studied and many drugs for its treatment have been tested over the years. The effects of melatonin in the treatment of tissue injuries have also been investigated. The present study was performed to examine the effects of melatonin on frostbite of the skin. Material and Methods: This study was performed in 2006 in the Anatomy Department of Hacettepe University, Faculty of Medicine. Ears of five rabbits were used in each group and specimens were taken by punch biopsy. Groups were allocated as follows: Control group: rabbit ears with no induced injury or treatment; Trauma group: rabbit ears subjected to cold injury; Treatment group: rabbit ears treated with melatonin after cold injury; and Sham group: rabbit ears treated with 0.9% NaCl after cold injury. Specimens were evaluated by transmission electron microscope and were scored statistically. Results: In the trauma group, the cells of the stratum corneum layer of the epidermis had separated. Intro-cytoplasmic edema and vacuoles in these cells were visible. Although there was loss of chromatin and evident edema in the nucleus of some of these cells, there was no clear defect in the distribution of the nuclear chromatin in general. Separation between the cells of the stratum corneum of the melatonin group was absent. The cells were normal, collagen fibers were regular and the fibroblasts were inactive. Conclusion: The results obtained in this rabbit model are significant for suggesting the favorable effects of melatonin on cold injury."
2,"Zhijie Yang, Yingying Bao, Weigang Chen, Yuqin He","Melatonin exerts neuroprotective effects by attenuating astro- and microgliosis and suppressing inflammatory response following spinal cord injury",2020,"Neuropeptides","Churchill Livingstone","","",48,"2021-01-17 15:44:24","Article","10.1016/j.npep.2019.102002","0143-4179","",79,,,,2,2.00,1,4,1,"Reactive gliosis and inflammatory reaction are common pathological change to spinal cord injury (SCI). Whereas, the effects of melatonin (MT) on the astro- and microgliosis and their related inflammatory response in the injured spinal cord are not fully understood. In this study, MT's effects on the accumulation and proliferation of microglia and astrocytes and their related inflammatory response were investigated in an acute SCI model. The effects of MT on oxidative stress, neuronal survival and behavioral performance were also tested. It was found that MT treatment significantly suppressed the accumulation and the proliferation of microglia and astrocytes. Quantitative PCR data showed that MT significantly down-regulated the pro-inflammatory markers iNOS, IL-1 beta and TNF-alpha expressions. The data showed that MT led to the rise in SOD, CAT and GSH-Px contents and the decrease in MDA content. Western blotting analysis verified that MT significantly down-regulated caspase-3, Bax and GFAP expressions, up-regulated Bcl-2 expression. Compared with the SCI vehicle-treated group, the SCI MT-treated group exhibited a greater Basso Mouse Scale (BMS) locomotor rating score. On the whole, these findings implied that MT exerts its neuroprotective effects by suppressing the accumulation and the proliferation of microglia and astrocytes and reducing the release of pro-inflammatory cytokines, which might be one of the underlying mechanisms of the MT's neuroprotective effect after SCI. Accordingly, MT may be a promising therapeutic candidate for acute SCI."
2,"Yingli Jing, Fan Bai, Hui Chen, Hao Dong","Meliorating microcirculatory with melatonin in rat model of spinal cord injury using laser Doppler flowmetry",2016,"Neuroreport","Lippincott Williams & Wilkins","","",52,"2021-01-17 15:44:24","Article","10.1097/WNR.0000000000000686","0959-4965","",27,17,1248,1255,2,0.40,1,4,5,"The aim of this study was to estimate the effect of melatonin on spinal cord perfusion, the permeability of blood-spinal cord barrier (BSCB), and edema at the contusion epicenter and regions rostral and caudal to the injury site in rats with spinal cord injury (SCI). Thirty-six female Sprague-Dawley rats were divided into three groups (12 animals in each group): sham, SCI, and melatonin groups. Melatonin (50 mg/kg) was injected intraperitoneally at 30 min after a moderate injury at T10 in the melatonin group (twice a day). At 24 h postinjury, spinal cord perfusion was estimated using laser Doppler flowmetry, the permeability of BSCB was detected by Evan's blue, and edema was estimated by calculating the water content. A linear regression analysis was performed to assess the correlation between spinal cord perfusion and the permeability of BSCB or water content. Our results showed that melatonin significantly upregulated spinal cord blood flow and oxygen saturation in SCI rats using laser Doppler perfusion monitoring. Simultaneously, laser Doppler perfusion imaging indicated that melatonin markedly meliorated spinal cord perfusion in regions rostral and caudal to the injury site, rather than the epicenter site. Consistent with the results of laser Doppler flowmetry, melatonin significantly reduced the amount of Evan's blue dye and water content in regions of rostral and caudal cords. In addition, perfusion correlated with the permeability of BSCB and water content. These findings indicated that melatonin might exert a protective effect by meliorating microcirculation, which coordinated a corresponding response in the integrity of BSCB and edema. NeuroReport 27:1248-1255 Copyright (C) 2016 Wolters Kluwer Health, Inc. All rights reserved."
2,"Angela Navarrete-Opazo, Pilar Cuitina, Ines Salas","Effectiveness of dietary supplements in spinal cord injury subjects",2017,"Disability And Health Journal","Elsevier Science Inc","","",53,"2021-01-17 15:44:24","Review","10.1016/j.dhjo.2016.12.002","1936-6574","",10,2,183,197,2,0.50,1,3,4,"Background: Individuals with spinal cord injury (SCI) consume more dietary supplements than the general population. However, there is limited information regarding the clinical effectiveness of dietary supplements in SCI population."
3,"Tao Shu, Lei Fan, Tao Wu, Chang Liu, Lei He, Mao Pang, Yang Bu, Xuan Wang, Juan Wang, Limin Rong, Bin Liu","Melatonin promotes neuroprotection of induced pluripotent stem cells-derived neural stem cells subjected to H2O2-induced injury in vitro",2018,"European Journal Of Pharmacology","Elsevier Science Bv","","",49,"2021-01-17 15:44:24","Article","10.1016/j.ejphar.2018.02.027","0014-2999","",825,,143,150,3,1.00,0,11,3,"Melatonin is a neurohormone mainly extracted from the pineal gland with neuroprotective effects. It has antioxidant, anti-inflammatory, and antiapoptotic functions. However, the mechanism of melatonin against reactive oxygen species is unclear. Here, we explore the potential proliferative and neuroprotective mechanism of melatonin on induced pluripotent stem cells (iPSC)-derived neural stem cells (NSCs) exposed to hydrogen peroxide (H2O2). NSCs were induced from iPSCs, then pretreated with 500 mu M H2O2, 1 mu M melatonin, 1 mu M melatonin receptor antagonist (Luzindole), or 10 mu M Phosphatidylinositide 3 kinase (PI3K) inhibitor (LY294002). The results showed that melatonin stimulated proliferation of iPSC-derived NSCs on H2O2 exposure. Melatonin also markedly improved stabilization of the mitochondrial membrane potential and reduced the rate of apoptosis. Treatment with Luzindole or LY294002 inhibited the increasing proliferative and neuroprotective effects of melatonin on iPSC-derived NSCs with H2O2 treatment. Our results further demonstrated that these promotional effects of melatonin were related with the activity of phosphorylation of AKT. Therefore, these outcomes propose that melatonin protects iPSC-derived NSCs from H2O2-induced injury through the mediation of melatonin receptor and PI3K/AKT signaling pathway."
3,"AM Anch, E Powell, C Bloom, J Dyche, K Faulkner, RR Richter","Locomotor analysis of the taiep rat",2000,"Journal Of General Psychology","Heldref Publications","","",50,"2021-01-17 15:44:24","Article","10.1080/00221300009598594","0022-1309","",127,4,412,425,3,0.14,1,6,21,"Locomotor activity (tremor, ataxia, immobility, epilepsy, and paralysis) in the taiep rat, which suffers from a myelin deficient disorder, has not been previously documented. This study used walking track analysis of footprints to analyze locomotor activity in the taiep rat in comparison to normal, age-matched controls. The results confirmed differences between normal and taiep rats in terms of stride length, step length, and stride width. In addition, we found significant interactions between age and condition for stride and step length. The results suggest that locomotor analysis is a sensitive indicant of myelin deficiency. The results are discussed in terms of the underlying myelin deficiency and possible treatment regimens."
