Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
28,"Z. Wang","Neuroprotective effects of autophagy induced by rapamycin in rat acute spinal cord injury model",2014,"NeuroImmunoModulation","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84895673254&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84895673254&origin=inward",199,"2021-01-18 08:40:28","Article","10.1159/000357382","1021-7401","https://api.elsevier.com/content/abstract/scopus_id/84895673254",21,5,257,267,28,4.00,28,1,7,""
28,"Y. Song","Protective effect of ginkgolide B against acute spinal cord injury in rats and its correlation with the JAK/STAT signaling pathway",2013,"Neurochemical Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84876416213&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84876416213&origin=inward",200,"2021-01-18 08:40:28","Article","10.1007/s11064-012-0959-y","0364-3190","https://api.elsevier.com/content/abstract/scopus_id/84876416213",38,3,610,619,28,3.50,28,1,8,""
29,"K. Kamiya","Neuroprotective therapy with granulocyte colony-stimulating factor in acute spinal cord injury: a comparison with high-dose methylprednisolone as a historical control",2015,"European Spine Journal","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84939254399&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84939254399&origin=inward",193,"2021-01-18 08:40:28","Article","10.1007/s00586-014-3373-0","0940-6719","https://api.elsevier.com/content/abstract/scopus_id/84939254399",24,5,963,967,29,4.83,29,1,6,""
29,"P. Tang","In vivo two-photon imaging of axonal dieback, blood flow, and calcium influx with methylprednisolone therapy after spinal cord injury",2015,"Scientific Reports","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84930225365&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84930225365&origin=inward",194,"2021-01-18 08:40:28","Article","10.1038/srep09691","2045-2322","https://api.elsevier.com/content/abstract/scopus_id/84930225365",5,,,,29,4.83,29,1,6,""
29,"C. Etz","Redo Lateral Thoracotomy for Reoperative Descending and Thoracoabdominal Aortic Repair: A Consecutive Series of 60 Patients",2009,"Annals of Thoracic Surgery","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=68849127672&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=68849127672&origin=inward",195,"2021-01-18 08:40:28","Article","10.1016/j.athoracsur.2009.04.140","0003-4975","https://api.elsevier.com/content/abstract/scopus_id/68849127672",88,3,758,767,29,2.42,29,1,12,""
29,"D. Kim","Continuous Brain-derived Neurotrophic Factor (BDNF) Infusion after Methylprednisolone Treatment in Severe Spinal Cord Injury",2004,"Journal of Korean Medical Science","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=1542303417&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=1542303417&origin=inward",196,"2021-01-18 08:40:28","Article","10.3346/jkms.2004.19.1.113","1011-8934","https://api.elsevier.com/content/abstract/scopus_id/1542303417",19,1,113,122,29,1.71,29,1,17,""
29,"M. Murray","Cellular transplants: Steps toward restoration of function in spinal injured animals",2004,"Progress in Brain Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0344872783&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0344872783&origin=inward",197,"2021-01-18 08:40:28","Review","10.1016/s0079-6123(03)43013-6","0079-6123","https://api.elsevier.com/content/abstract/scopus_id/0344872783",143,,131,146,29,1.71,29,1,17,""
29,"S.C. Kirshblum","Levels of spinal cord injury and predictors of neurologic recovery",2000,"Physical Medicine and Rehabilitation Clinics of North America","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0033973991&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0033973991&origin=inward",198,"2021-01-18 08:40:28","Review","10.1016/s1047-9651(18)30144-x","1047-9651","https://api.elsevier.com/content/abstract/scopus_id/0033973991",11,1,1,27,29,1.38,29,1,21,""
30,"F. Zhang","Neuroprotective effect of apigenin in rats after contusive spinal cord injury",2014,"Neurological Sciences","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84897377847&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84897377847&origin=inward",190,"2021-01-18 08:40:28","Article","10.1007/s10072-013-1566-7","1590-1874","https://api.elsevier.com/content/abstract/scopus_id/84897377847",35,4,583,588,30,4.29,30,1,7,""
30,"M.B. Bracken","Clinical measurement, statistical analysis, and risk-benefit: Controversies from trials of spinal injury",2000,"Journal of Trauma - Injury, Infection and Critical Care","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0034125684&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0034125684&origin=inward",191,"2021-01-18 08:40:28","Article","10.1097/00005373-200003000-00036","1079-6061","https://api.elsevier.com/content/abstract/scopus_id/0034125684",48,3,558,561,30,1.43,30,1,21,""
