Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"Khashayar Afshari, Amir Dehdashtian, Nazgol-Sadat Haddad, Seyedeh Zarifeh Jazaeri, Daniel C Ursu, Mina Khalilzadeh, Arvin Haj-Mirzaian, Saeed Shakiba, Terry C Burns, Seyed Mohammad Tavangar, Mehdi Ghasemi, Ahmad Reza Dehpour","Sumatriptan improves the locomotor activity and neuropathic pain by modulating neuroinflammation in rat model of spinal cord injury.",2020,"Neurological research","","","",1,"2021-01-18 09:57:29","Journal Article","10.1080/01616412.2020.1819090","1743-1328","",,,1,11,0,0.00,0,12,1,"To investigate the therapeutic effects of sumatriptan in a rat model of spinal cord injury (SCI) and possible anti-inflammatory and analgesic mechanisms underlying this effect. Using an aneurysm mini-clip model of contusive SCI, T9-10 laminectomies were performed for 60 male rats. Animals were divided into six experimental groups (n = 10 per group) as follows: a minocycline administered positive control group, a saline-vehicle negative control group, a sham-operated group, and three experimental groups which received separate doses of sumatriptan (0.1, 0.3 and 1 mg/kg). Behavioural assessments were used to evaluate locomotor activity and neuropathic pain for 28 days. At the end of the study, spinal cord tissues were collected from sacrificed animals for histopathological analysis. Levels of calcitonin gene-related peptide (CGRP) and two pro-inflammatory cytokines (tumor necrosis factor [TNF]-α and interleukin [IL]-1β) were assessed by the enzyme-linked immunosorbent assay (ELISA). Sumatriptan significantly (P < 0.001) improved the locomotor activity in SCI group. Sumatriptan was also more effective than the positive control, i.e. minocycline (0.3 mg/kg). Additionally, sumatriptan and minocycline similarly attenuated the mechanical and thermal allodynia in SCI (P < 0.001). TNF-α, IL-1β and CGRP levels in sumatriptan- and minocycline-treated groups significantly (P < 0.001) decreased compared to controls. Histopathological analysis also revealed a markedly improvement in hemorrhage followed by inflammatory cell invasion, neuronal vacuolation, and cyst formation in both sumatriptan- and minocycline-treated groups compared to control animals. Sumatriptan improves functional recovery from SCI through its anti-inflammatory effects and reducing pro-inflammatory and pain mediators."
0,"Leman Sencar, Derviş Mansuri Yilmaz, Abdullah Tuli, Sait Polat","Effects of combined treatment of minocycline and methylprednisolone on the expression of tumor necrosis factor alpha and interleukine-6 in experimental spinal cord injury: a light and electron microscopic study.",2020,"Ultrastructural pathology","","","",2,"2021-01-18 09:57:29","Journal Article","10.1080/01913123.2020.1771493","1521-0758","",44,3,283,299,0,0.00,0,4,1,"Spinal cord injury (SCI) is an important health problem, and there is no universal treatment protocol for it today. Following SCI pro-inflammatory mediators such as tumor necrosis factor- alpha (TNF-α) and interleukin-6 (IL-6) increase at the lesion site and play important roles in secondary tissue damage. Methylprednisolone (MP) is a glucocorticoid, and minocycline is a tetracycline-derived antibiotic both with neuroprotective effects on central nervous system trauma. However, there are limited studies on their effects on SCI. In this study, we aimed to evaluate effects of MP+minocycline combined treatment on cellular distribution and localization of TNF-α And IL-6 after SCI. Eighty Wistar rats were divided into three main groups as the intact control group, sham operation group, and experimental control group that received spinal cord compression injury. Following the injury, the experimental control group was subdivided into four groups as control, methylprednisolone treatment, minocycline treatment and, MP+minocycline combined treatment groups. Tissue samples were obtained from all groups at 24 hours and 72 hours after the injury. We found a significant decrease in TNF-α And IL-6 expressions in combined treatment group at 24 hours after injury. Also, there was a significant decrease in MDA and increase in SOD levels in this group. Furthermore, decreased lipid peroxidation and neuronal and glial cell death were also observed in combined treatment group. These results suggest that MP+minocycline combined treatment promotes functional recovery and, it should be considered as an effective treatment protocol following SCI."
0,"Khashiar Afshary, Mohsen Chamanara, Behnam Talari, Pegah Rezaei, Ehsan Nassireslami","Therapeutic Effects of Minocycline Pretreatment in the Locomotor and Sensory Complications of Spinal Cord Injury in an Animal Model.",2020,"Journal of molecular neuroscience : MN","","","",3,"2021-01-18 09:57:29","Journal Article","10.1007/s12031-020-01509-8","1559-1166","",70,7,1064,1072,0,0.00,0,5,1,"Spinal cord injury (SCI) is known as a debilitating condition which usually occurs due to traumas to the spine. However, the injury could also occur during clinical interventions such as spinal deformity and thoracoabdominal aortic surgeries. Intraoperative cord compression and ischemia are considered the mechanisms of primary injury in this regard. In the current study, we aimed to evaluate the therapeutic effects of minocycline, a promising agent for post-injury treatment, prophylactic administration. In a rat model of SCI through contusion injury, T9 vertebra laminectomy was performed on 40 Sprague-Dawley male rats provided from Pasteur Institute (Tehran, Iran). The reason behind selecting only male rats in our study was the fact that menstrual cycle of female rats affects healing process. Rodents were divided into a sham-operated group, a control group receiving only saline, a minocycline-treated group, and a minocycline pretreated group. Locomotor scaling, behavioral tests for neuropathic pain, and weight changes were evaluated and compared through a 28-days period. At the end of the study, tissue samples were taken to assess neuroinflammatory cytokine and histopathological changes. Minocycline pretreatment was as effective as its post-SCI administration regarding locomotor activity recovery, mechanical pain, and thermal allodynia. Furthermore, spinal cord inflammation and histopathological alterations were both similar in pretreatment and treatment groups indicating substantially better status. None of the treatments could have completely restore or prevent the spinal cord damage. Minocycline pretreatment can show promising therapeutic effects similar to its post-injury administration, inhibiting inflammatory microglial activity."
0,"Andrei F Joaquim, Jefferson W Daniel, Gregory D Schroeder, Alexander R Vaccaro","Neuroprotective Agents as an Adjuvant Treatment in Patients With Acute Spinal Cord Injuries: A Qualitative Systematic Review of Randomized Trials.",2020,"Clinical spine surgery","","","",4,"2021-01-18 09:57:29","Journal Article","10.1097/BSD.0000000000000861","2380-0194","",33,2,65,75,0,0.00,0,4,1,"This was a systematic literature review. The objective of this study was to evaluate randomized clinical trials that address potential neuroprotective agents used to improve neurological outcome in patients with spinal cord injury (SCI). Clinical treatment of acute SCI has evolved significantly, but neurological recovery of severely injured patients remains modest. Neuroprotective agents may act to limit secondary damage in the sequence of pathophysiologic insults that occur after primary SCI. We performed a systematic review in accordance with Preferred Reporting Items for Systematic Reviews and Meta-analysis (PRISMA) guidelines of all clinical randomized trials that evaluated potential neuroprotective agents (drugs, stem cells, and any type of medicative interventions) in neurological outcome of acute SCI. All the studies were graded according to their level of evidence in accordance with the Oxford Level of Evidence-based Medicine. A total of 16 randomized clinical trials were included and fully analyzed in our review. The following 12 substances/drugs were analyzed: methylprednisolone (MP), naloxone, tirilizad, nimodipine, Sygen, autologous incubated macrophages, autologous bone marrow cells, minocycline, erythropoietin, ganglioside, vitamin D, and progesterone. Modest benefits were attributed to minocycline and Sygen (without statistical significance), and some benefits were obtained with erythropoietin and progesterone plus vitamin D in neurological outcome. For MP, the benefits are also controversial and may be attributed to statistical artifacts and with a high risk of adverse effects. The other substances did not change the final outcome. All studies were considered as grade B of recommendation (100%) and levels of evidences as B2 (81.25%) and B3 (18.75%). Our review reported some potential substances that may improve neurological outcome in acute SCI: MP, vitamin D associated with progesterone, and erythropoietin. Their potential benefits were modest in the evaluated studies, requiring further randomized clinical trials with large samples of patients, without statistical artifacts, for routine clinical use. Furthermore, potential adverse effects must be considered with the use of neuroprotective agents in SCI. Until then, the use of these substances may be experimental or restricted to specific clinical situations."
0,"Diana Chapela, Sara Sousa, Isaura Martins, Ana Margarida Cristóvão, Patrícia Pinto, Sofia Corte-Real, Leonor Saúde","A zebrafish drug screening platform boosts the discovery of novel therapeutics for spinal cord injury in mammals.",2019,"Scientific reports","","","",5,"2021-01-18 09:57:29","Journal Article","10.1038/s41598-019-47006-w","2045-2322","",9,1,10475,,0,0.00,0,7,2,"Spinal cord injury (SCI) is a complex condition, with limited therapeutic options, that results in sensory and motor disabilities. To boost discovery of novel therapeutics, we designed a simple and efficient drug screening platform. This innovative approach allows to determine locomotor rescue properties of small molecules in a zebrafish (Danio rerio) larval spinal cord transection model. We validated our screening platform by showing that Riluzole and Minocycline, two molecules that are in clinical trials for SCI, promote rescue of the locomotor function of the transected larvae. Further validation of the platform was obtained through the blind identification of D-Cycloserine, a molecule scheduled to enter phase IV clinical trials for SCI. Importantly, we identified Tranexamic acid and further showed that this molecule maintains its locomotor recovery properties in a rodent female contusion model. Our screening platform, combined with drug repurposing, promises to propel the rapid translation of novel therapeutics to improve SCI recovery in humans."
0,"Xiao-Juan Wang, Gao-Feng Shu, Xiao-Ling Xu, Chen-Han Peng, Chen-Ying Lu, Xing-Yao Cheng, Xiang-Chao Luo, Jie Li, Jing Qi, Xu-Qi Kang, Fei-Yang Jin, Min-Jiang Chen, Xiao-Ying Ying, Jian You, Yong-Zhong Du, Jian-Song Ji","Combinational protective therapy for spinal cord injury medicated by sialic acid-driven and polyethylene glycol based micelles.",2019,"Biomaterials","","","",6,"2021-01-18 09:57:29","Journal Article","10.1016/j.biomaterials.2019.119326","1878-5905","",217,,119326,,0,0.00,0,16,2,"Spinal cord injury (SCI) leads to immediate disruption of neuronal membranes and loss of neurons, followed by extensive secondary injury process. Treatment of SCI still remains a tremendous challenge clinically. Minocycline could target comprehensive secondary injury via anti-inflammatory, anti-oxidant and anti-apoptotic mechanisms. Polyethylene glycol (PEG), a known sealing agent, is able to seal the damaged cell membranes and reduce calcium influx, thereby exerting neuroprotective capacity. Here, an E-selectin-targeting sialic acid - polyethylene glycol - poly (lactic-co-glycolic acid) (SAPP) copolymer was designed for delivering hydrophobic minocycline to achieve combinational therapy of SCI. The obtained SAPP copolymer could self-assemble into micelles with critical micelle concentration being of 13.40 μg/mL, and effectively encapsulate hydrophobic minocycline. The prepared drug-loaded micelles (SAPPM) displayed sustained drug release over 72 h, which could stop microglia activation and exhibited excellent neuroprotective capacity in vitro. The SAPP micelles were efficiently accumulated in the lesion site of SCI rats via the specific binding between sialic acid and E-selectin. Due to the targeting distribution and combinational effect between PEG and minocycline, SAPPM could obviously reduce the area of lesion cavity, and realize more survival of axons and myelin sheaths from the injury, thus distinctly improving hindlimb functional recovery of SCI rats and conferring superior therapeutic effect in coparison with other groups. Our work presented an effective and safe strategy for SCI targeting therapy. Besides, neuroprotective capacity of PEG deserves further investigation on other central nervous system diseases."
0,"Biswarup Ghosh, Jia Nong, Zhicheng Wang, Mark W Urban, Nicolette M Heinsinger, Victoria A Trovillion, Megan C Wright, Angelo C Lepore, Yinghui Zhong","A hydrogel engineered to deliver minocycline locally to the injured cervical spinal cord protects respiratory neural circuitry and preserves diaphragm function.",2019,"Neurobiology of disease","","","",7,"2021-01-18 09:57:29","Journal Article","10.1016/j.nbd.2019.04.014","1095-953X","",127,,591,604,0,0.00,0,9,2,"We tested a biomaterial-based approach to preserve the critical phrenic motor circuitry that controls diaphragm function by locally delivering minocycline hydrochloride (MH) following cervical spinal cord injury (SCI). MH is a clinically-available antibiotic and anti-inflammatory drug that targets a broad range of secondary injury mechanisms via its anti-inflammatory, anti-oxidant and anti-apoptotic properties. However, MH is only neuroprotective at high concentrations that cannot be achieved by systemic administration, which limits its clinical efficacy. We have developed a hydrogel-based MH delivery system that can be injected into the intrathecal space for local delivery of high concentrations of MH, without damaging spinal cord tissue. Implantation of MH hydrogel after unilateral level-C4/5 contusion SCI robustly preserved diaphragm function, as assessed by in vivo recordings of compound muscle action potential (CMAP) and electromyography (EMG) amplitudes. MH hydrogel also decreased lesion size and degeneration of cervical motor neuron somata, demonstrating its central neuroprotective effects within the injured cervical spinal cord. Furthermore, MH hydrogel significantly preserved diaphragm innervation by the axons of phrenic motor neurons (PhMNs), as assessed by both detailed neuromuscular junction (NMJ) morphological analysis and retrograde PhMN labeling from the diaphragm using cholera toxin B (CTB). In conclusion, our findings demonstrate that local MH hydrogel delivery to the injured cervical spinal cord is effective in preserving respiratory function after SCI by protecting the important neural circuitry that controls diaphragm activation."
0,"Soheila Pourkhodadad, S Hahrbanoo Oryan, Gholamreza Kaka, Seyed Homayoon Sadraie","Neuroprotective Effects of Combined Treatment with Minocycline and Olfactory Ensheathing Cells Transplantation against Inflammation and Oxidative Stress after Spinal Cord Injury.",2019,"Cell journal","","","",8,"2021-01-18 09:57:29","Journal Article","10.22074/cellj.2019.6126","2228-5806","",21,2,220,228,0,0.00,0,4,2,"Traumatic spinal cord injury (SCI) is considered one of the most devastating injuries leading to neuronal disruption. Olfactory ensheathing cells (OECs) and minocycline have been shown to promote locomotor function after spinal cord injury. In this study, we have tested the efficacy of combined treatment with minocycline and OECs after contusive spinal cord injury. In this experimental study, adult female Wistar rats were randomly divided into five groups. Rats received an intraperitoneal injection of minocycline immediately after SCI, and then 24 hours after the injury. Transplantations were performed 7 days after the injury. Functional recovery was evaluated using the Basso, Beattie and Bresnahan scale (BBB). After that, the animals were sacrificed, and T11 segment of the spinal cord was removed after 5 weeks, and then used for histopathological, immunohistochemical, and biochemical assessments. Western blot analysis was applied to determine the protein expression of tumor necrosis factor alpha (TNF-α), interleukin 1 beta (IL1β) and caspase3. The results of this study showed that the combination of OECs graft and minocycline reduced the functional deficits and diminished cavitation and astrogliosis in spinal tissue. The analysis of protein expression by western blotting revealed that minocycline treatment along with OECs transplantation further decreased the level of IL-1β, TNF-α, caspase-3, and the oxidative stress as compared with when minocycline or OECs transplantation was used alone. The combinatory treatment with OECs graft and minocycline induced a more effective response to the repair of spinal cord injury, and it is considered a therapeutic potential for the treatment of SCI."
0,"Miriam Aceves, Mabel N Terminel, Andre Okoreeh, Alejandro R Aceves, Yan Ming Gong, Alan Polanco, Farida Sohrabji, Michelle A Hook","Morphine increases macrophages at the lesion site following spinal cord injury: Protective effects of minocycline.",2019,"Brain, behavior, and immunity","","","",9,"2021-01-18 09:57:29","Journal Article","10.1016/j.bbi.2019.01.023","1090-2139","",79,,125,138,0,0.00,0,8,2,"Opioids are among the most effective and widely prescribed medications for the treatment of pain following spinal cord injury (SCI). Spinally-injured patients receive opioids within hours of arrival at the emergency room, and prolonged opioid regimens are often employed for the management of post-SCI chronic pain. However, previous studies in our laboratory suggest that the effects of opioids such as morphine may be altered in the pathophysiological context of neurotrauma. Specifically, we have shown that morphine administration in a rodent model of SCI increases mortality and tissue loss at the injury site, and decreases recovery of motor and sensory function, and overall health, even weeks after treatment. The literature suggests that opioids may produce these adverse effects by acting as endotoxins and increasing glial activation and inflammation. To better understand the effects of morphine following SCI, in this study we used flow cytometry to assess immune-competent cells at the lesion site. We observed a morphine-induced increase in the overall number of CD11b+ cells, with marked effects on microglia, in SCI subjects. Next, to investigate whether this increase in the inflammatory profile is necessary to produce morphine's effects, we challenged morphine treatment with minocycline. We found that pre-treatment with minocycline reduced the morphine-induced increase in microglia at the lesion site. More importantly, minocycline also blocked the adverse effects of morphine on recovery of function without disrupting the analgesic efficacy of this opioid. Together, our findings suggest that following SCI, morphine may exacerbate the inflammatory response, increasing cell death at the lesion site and negatively affecting functional recovery."
0,"Jetan H Badhiwala, Christopher S Ahuja, Michael G Fehlings","Time is spine: a review of translational advances in spinal cord injury.",2018,"Journal of neurosurgery. Spine","","","",10,"2021-01-18 09:57:29","Journal Article","10.3171/2018.9.SPINE18682","1547-5646","",30,1,1,18,0,0.00,0,3,3,"Acute traumatic spinal cord injury (SCI) is a devastating event with far-reaching physical, emotional, and economic consequences for patients, families, and society at large. Timely delivery of specialized care has reduced mortality; however, long-term neurological recovery continues to be limited. In recent years, a number of exciting neuroprotective and regenerative strategies have emerged and have come under active investigation in clinical trials, and several more are coming down the translational pipeline. Among ongoing trials are RISCIS (riluzole), INSPIRE (Neuro-Spinal Scaffold), MASC (minocycline), and SPRING (VX-210). Microstructural MRI techniques have improved our ability to image the injured spinal cord at high resolution. This innovation, combined with serum and cerebrospinal fluid (CSF) analysis, holds the promise of providing a quantitative biomarker readout of spinal cord neural tissue injury, which may improve prognostication and facilitate stratification of patients for enrollment into clinical trials. Given evidence of the effectiveness of early surgical decompression and growing recognition of the concept that ""time is spine,"" infrastructural changes at a systems level are being implemented in many regions around the world to provide a streamlined process for transfer of patients with acute SCI to a specialized unit. With the continued aging of the population, central cord syndrome is soon expected to become the most common form of acute traumatic SCI; characterization of the pathophysiology, natural history, and optimal treatment of these injuries is hence a key public health priority. Collaborative international efforts have led to the development of clinical practice guidelines for traumatic SCI based on robust evaluation of current evidence. The current article provides an in-depth review of progress in SCI, covering the above areas."
