Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"Miriam Aceves, Andre Okoreeh, Mabel N. Terminel, Alejandro R. Aceves, Michelle A. Hook","MORPHINE UNDERMINES RECOVERY FOLLOWING SCI: OPIOID-IMMUNE INTERACTIONS",2016,"Journal Of Neurotrauma","Mary Ann Liebert, Inc","","",33,"2021-01-12 08:59:20","Meeting Abstract","","0897-7151","",33,13,,,0,0.00,0,5,5,""
0,"Mabel Terminel, Miriam Aceves, Michelle Hook","MORPHINE-INDUCED CELL DEATH IN A RODENT MODEL OF SCI",2017,"Journal Of Neurotrauma","Mary Ann Liebert, Inc","","",34,"2021-01-12 08:59:20","Meeting Abstract","","0897-7151","",34,13,,,0,0.00,0,3,4,""
0,"Mabel Terminel, Miriam Aceves, Andre Okoreeh, Michelle Hook","MORPHINE UNDERMINES RECOVERY FOLLOWING SCI VIA A KOR-MEDIATED MECHANISM",2016,"Journal Of Neurotrauma","Mary Ann Liebert, Inc","","",35,"2021-01-12 08:59:20","Meeting Abstract","","0897-7151","",33,13,,,0,0.00,0,4,5,""
0,"Xichun Xing, Chao Wang, Wenzhi Li","Repeated systemic administration of morphine promotes recovery of locomotor function after spinal cord injury in rats",2016,"International Journal Of Clinical And Experimental Medicine","E-Century Publishing Corp","","",36,"2021-01-12 08:59:20","Article","","1940-5901","",9,2,2037,2046,0,0.00,0,3,5,"Targeting activation of astrocytes during early stages of spinal cord injury (SCI) has been viewed as a potential strategy to improve neurological functions. Repeated systemic administration of morphine (RSAM) can induce activation of astrocytes in the spinal cord. Moreover, previous studies also revealed neuroprotective effects of morphine. Therefore, we investigated the effect of RSAM during an acute stage of SCI on neurological outcome in rats. RSAM significantly improved the Basso, Beattie, and Bresnahan score from 7 d after SCI and the inclined plane score from 14 d after SCI. However, the differences in thermal nociceptive thresholds and tactile sensory thresholds between the 2 groups were not statistically significant. RSAM increased expression levels of spinal IL-17, and decreased plasma levels of IL-17 at 1 d and 3 d after SCI. Furthermore, RSAM promoted activation of astrocytes around the damaged area, which prevented the spreading of damage into the surrounding tissue. At 28 d after SCI, RSAM preserved a greater area of white matter. These observations suggest that RSAM during an acute stage of SCI promotes recovery of locomotor function without promoting development of hyperalgesia and allodynia."
0,"Argyrios Stampas, Claudia Pedroza, Jennifer N. Bush, Adam R. Ferguson, John L. Kipling Kramer, Michelle Hook","The first 24 h: opioid administration in people with spinal cord injury and neurologic recovery",2020,"Spinal Cord","Springernature","","",37,"2021-01-12 08:59:20","Article","10.1038/s41393-020-0483-x","1362-4393","",58,10,1080,1089,0,0.00,0,6,1,"Study design Retrospective chart review. Objectives The objective of this study was to characterize opioid administration in people with acute SCI and examine the association between opioid dose and (1) changes in motor/functional scores from hospital to rehabilitation discharge, and (2) pain, depression, and quality of life (QOL) scores 1-year post injury. Setting Spinal Cord Injury Model System (SCIMS) inpatient acute rehabilitation facility. Methods Patients included in the SCIMS from 2008 to 2011 were linked to the National Trauma Registry and the electronic medical record. Three opioid dose groups (low, medium, and high) were defined based on the total morphine equivalence in milligrams at 24 h. The associations between opioid dose groups and functional/motor outcomes were assessed, as well as 1-year follow-up pain and QOL surveys. Results In all, 85/180 patients had complete medication records. By 24 h, all patients had received opioids. Patients receiving higher amounts of opioids had higher pain scores 1 year later compared with medium- and low-dose groups (pain levels 5.5 vs. 4 vs. 1, respectively,p = 0.018). There was also an 8x greater risk of depression 1 year later in the high-dose group compared with the low-dose group (OR: 8.1, 95% CI: 1.2-53.7). In analyses of motor scores, we did not find a significant interaction between opioid dose and duration of injury. Conclusions These preliminary findings suggest that higher doses of opioids administered within 24 h of injury are associated with increased pain in the chronic phase of people with SCI."
1,"Mireia Carcole, Sami Kummer, Leonor Goncalves, Daniel Zamanillo, Manuel Merlos, Anthony H. Dickenson, Begotia Fernandez-Pastor, David Cabanero, Rafael Maldonado","Sigma-1 receptor modulates neuroinflammation associated with mechanical hypersensitivity and opioid tolerance in a mouse model of osteoarthritis pain",2019,"British Journal Of Pharmacology","Wiley","","",31,"2021-01-12 08:59:20","Article","10.1111/bph.14794","0007-1188","",176,20,3939,3955,1,0.50,0,9,2,"Background and Purpose Osteoarthritic pain is a chronic disabling condition lacking effective treatment. Continuous use of opioid drugs during osteoarthritic pain induces tolerance and may result in dose escalation and abuse. Sigma-1 (sigma 1) receptors, a chaperone expressed in key areas for pain control, modulates mu-opioid receptor activity and represents a promising target to tackle these problems. The present study investigates the efficacy of the sigma 1 receptor antagonist E-52862 to inhibit pain sensitization, morphine tolerance, and associated electrophysiological and molecular changes in a murine model of osteoarthritic pain. Experimental Approach Mice received an intra-knee injection of monoiodoacetate followed by 14-day treatment with E-52862, morphine, or vehicle, and mechanical sensitivity was assessed before and after the daily doses. Key Results Monoiodoacetate-injected mice developed persistent mechanical hypersensitivity, which was dose-dependently inhibited by E-52862. Mechanical thresholds assessed before the daily E-52862 dose showed gradual recovery, reaching complete restoration by the end of the treatment. When repeated treatment started 15 days after knee injury, E-52862 produced enhanced short-term analgesia, but recovery to baseline threshold was slower. Both a sigma 1 receptor agonist and a mu receptor antagonist blocked the analgesic effects of E-52862. An acute, sub-effective dose of E-52862 restored morphine analgesia in opioid-tolerant mice. Moreover, E-52862 abolished spinal sensitization in osteoarthritic mice and inhibited pain-related molecular changes. Conclusion and Implications These findings show dual effects of sigma 1 receptor antagonism alleviating both short- and long-lasting antinociception during chronic osteoarthritis pain. They identify E-52862 as a promising pharmacological agent to treat chronic pain and avoid opioid tolerance."
1,"Maxime Huot-Lavoie, Windsor Kwan-Chun Ting, Maxime Demers, Catherine Mercier, Christian Ethier","Impaired Motor Learning Following a Pain Episode in Intact Rats",2019,"Frontiers In Neurology","Frontiers Media Sa","","",32,"2021-01-12 08:59:20","Article","10.3389/fneur.2019.00927","1664-2295","",10,,,,1,0.50,0,5,2,"Motor learning and pain are important factors influencing rehabilitation. Despite being mostly studied independently from each other, important interactions exist between them in the context of spinal cord injury, whether to the spinal cord or the body. Ongoing or recent past episodes of nociceptive activity can prevent motor learning in spinalized rats. In intact animals, it has been proposed that supraspinal activity could counter the repressive effect of nociception on motor system plasticity, but this has not yet been verified in behavioral conditions. The aim of this study was to test whether a recent episode of nociception affects subsequent motor learning in intact animals. We trained rodents to walk on a custom-made horizontal ladder. After initial training, the rats underwent a week-long rest, during which they were randomly assigned to a control group, or one out of two pain conditions. Nociceptive stimuli of different durations were induced through capsaicin or Complete Freund's Adjuvant injections and timed so that the mechanical hypersensitivity had entirely subsided by the end of the resting period. Training then resumed on a modified version of the horizontal ladder. We evaluated the animals' ability to adapt to the modified task by measuring their transit time and paw misplacements over 4 days. Our results show that prior pain episodes do affect motor learning in neurologically intact rats. Motor learning deficits also seem to be influenced by the duration of the pain episode. Rats receiving a subcutaneous injection of capsaicin displayed immediate signs of mechanical hypersensitivity, which subsided rapidly. Nonetheless, they still showed learning deficits 24 h after injection. Rats who received a Complete Freund's Adjuvant injection displayed mechanical hypersensitivity for up to 7 days during the resting period. When trained on the modified ladder task upon returning to normal sensitivity levels, these rats exhibited more prolonged motor learning deficits, extending over 3 days. Our results suggest that prior pain episodes can negatively influence motor learning, and that the duration of the impairment relates to the duration of the pain episode. Our results highlight the importance of addressing pain together with motor training after injury."
3,"Y OKAMOTO, T SUZUKI, S MURAYAMA","EFFECTS OF NALOXONE AND LEVALLORPHAN ON THE SPINAL-CORD REFLEX POTENTIALS UNDER THE SPINAL ISCHEMIC CONDITION IN CATS",1992,"Japanese Journal Of Pharmacology","Japanese Pharmacological Soc","","",29,"2021-01-12 08:59:20","Article","10.1254/jjp.59.435","0021-5198","",59,4,435,441,3,0.10,1,3,29,"The spinal reflex potentials elicited by electrical stimulation of the tibial nerve were recorded from the lumbo-sacral ventral root in spinal cats. When the thoracic aorta and the bilateral internal mammary arteries were occluded for 10 min, the potentials were completely depressed. Reappearance of these potentials could be observed at about 10 min after removal of the occlusion and they gradually recovered. Intravenous injection of naloxone (1 or 10 mg/kg) or levallorphan (0.1 mg/kg) together with removal of occlusion significantly promoted the recovery of the polysynaptic reflex potential. Morphine (5 mg/kg) showed no particular effect on the recovery of potentials. Furthermore, pretreatment with morphine (5 mg/kg) did not influence the effects of these opioid antagonists. These results suggest that naloxone and levallorphan may preserve or potentiate the interneuronal activities of the lumbo-sacral spinal cord under the ischemic condition and that the effects may not be mediated through morphine-like opioid receptors."
3,"LA Reina, RP Yezierski","A combined behavioral physiological method for the assessment of thermal sensibility in the rat",1995,"Journal Of Neuroscience Methods","Elsevier Science Bv","","",30,"2021-01-12 08:59:20","Article","10.1016/0165-0270(95)00108-5","0165-0270","",63,1,185,195,3,0.12,2,2,26,"A behavioral and physiological method has been developed to study thermal detection in the rat. Threshold temperatures signaling (1) disruption of a trained behavior (forelimb bar pressing) and (2) increased heart rate were determined using a gradually increasing thermal stimulus delivered to the hindlimb. Response thresholds for disruption of bar press activity (44.8 degrees C) and heart rate elevation (44.4 degrees C) were statistically equivalent. No differences in thresholds for either response end point were found between the left and right hindlimbs, thus validating the consistency of the technique and reproducibility of the stimulus delivery device during test periods of 3-4 weeks. Advantages of the method include the use of two independent end points that are determined objectively, performance criteria that do not rely upon motor responses from the stimulated limb and the use of quantitative descriptors that enables comparisons to be made between different test groups. The method combines behavior with cardiovascular and somatosensory function in a way that can be used for the assessment of spinal and supraspinal pathways involved in thermal detection in the unanesthetized, behaviorally active rat."
4,"Miriam Aceves, Eric A. Bancroft, Alejandro R. Aceves, Michelle A. Hook","Nor-Binaltorphimine Blocks the Adverse Effects of Morphine after Spinal Cord Injury",2017,"Journal Of Neurotrauma","Mary Ann Liebert, Inc","","",27,"2021-01-12 08:59:20","Article","10.1089/neu.2016.4601","0897-7151","",34,6,1164,1174,4,1.00,1,4,4,"Opioids are frequently used for the treatment of pain following spinal cord injury (SCI). Unfortunately, we have shown that morphine administered in the acute phase of SCI results in significant, adverse secondary consequences including compromised locomotor and sensory recovery. Similarly, we showed that selective activation of the k-opioid receptor (KOR), even at a dose 32-fold lower than morphine, is sufficient to attenuate recovery of locomotor function. In the current study, we tested whether activation of the KOR is necessary to produce morphine's adverse effects using nor-Binaltorphimine (norBNI), a selective KOR antagonist. Rats received a moderate spinal contusion (T12) and 24 h later, baseline locomotor function and nociceptive reactivity were assessed. Rats were then administered norBNI (0, 0.02, 0.08, or 0.32 mu mol) followed by morphine (0 or 0.32 mu mol). Nociception was reassessed 30 min after drug treatment, and recovery was evaluated for 21 days. The effects of norBNI on morphine-induced attenuation of recovery were dose dependent. At higher doses, norBNI blocked the adverse effects of morphine on locomotor recovery, but analgesia was also significantly decreased. Conversely, at low doses, analgesia was maintained, but the adverse effects on recovery persisted. A moderate dose of norBNI, however, adequately protected against morphine's adverse effects without eliminating its analgesic efficacy. This suggests that activation of the KOR system plays a significant role in the morphine-induced attenuation of recovery. Our research suggests that morphine, and other opioid analgesics, may be contraindicated for the SCI population. Blocking KOR activity may be a viable strategy for improving the safety of clinical opioid use."
