Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"R.L. O’Hare Doig","Acute Cellular and Functional Changes With a Combinatorial Treatment of Ion Channel Inhibitors Following Spinal Cord Injury",2020,"Frontiers in Molecular Neuroscience","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85087683796&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85087683796&origin=inward",35,"2021-01-18 11:19:04","Article","10.3389/fnmol.2020.00085","1662-5099","https://api.elsevier.com/content/abstract/scopus_id/85087683796",13,,,,0,0.00,0,1,1,""
0,"H. Zhang","FBXW7alpha promotes the recovery of traumatic spinal cord",2020,"Current Molecular Medicine","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85087111312&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85087111312&origin=inward",36,"2021-01-18 11:19:04","Article","10.2174/1566524020666191223164916","1566-5240","https://api.elsevier.com/content/abstract/scopus_id/85087111312",20,6,490,499,0,0.00,0,1,1,""
1,"F. Fadeev","Combination of epidural electrical stimulation with ex vivo triple gene therapy for spinal cord injury: A proof of principle study",2021,"Neural Regeneration Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85092629839&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85092629839&origin=inward",32,"2021-01-18 11:19:04","Article","10.4103/1673-5374.293150","1673-5374","https://api.elsevier.com/content/abstract/scopus_id/85092629839",16,3,550,560,1,1.00,1,1,1,""
1,"Q. Zhang","Total flavonoids of hawthorn leaves promote motor function recovery via inhibition of apoptosis after spinal cord injury",2021,"Neural Regeneration Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85091004040&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85091004040&origin=inward",33,"2021-01-18 11:19:04","Article","10.4103/1673-5374.286975","1673-5374","https://api.elsevier.com/content/abstract/scopus_id/85091004040",16,2,350,356,1,1.00,1,1,1,""
1,"G.Z. Ning","X-irradiation for inhibiting glial scar formation in injured spinal cord",2013,"Neural Regeneration Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84889872889&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84889872889&origin=inward",34,"2021-01-18 11:19:04","Article","10.3969/j.issn.1673-5374.2013.17.006","1673-5374","https://api.elsevier.com/content/abstract/scopus_id/84889872889",8,17,1582,1589,1,0.13,1,1,8,""
2,"N. Reeves Mbori","Evaluation of the combination of methylprednisolone and tranilast after spinal cord injury in rat models",2016,"Journal of Korean Neurosurgical Society","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84978665401&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84978665401&origin=inward",31,"2021-01-18 11:19:04","Article","10.3340/jkns.2016.59.4.334","2005-3711","https://api.elsevier.com/content/abstract/scopus_id/84978665401",59,4,334,340,2,0.40,2,1,5,""
3,"Y. Sun","Exercise intervention alleviates nerve injury by the suppression of inflammatory mediator expression via the TLR4/NF-κb signaling pathway",2018,"Experimental and Therapeutic Medicine","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85052695294&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85052695294&origin=inward",24,"2021-01-18 11:19:04","Article","10.3892/etm.2018.6581","1792-0981","https://api.elsevier.com/content/abstract/scopus_id/85052695294",16,4,2922,2930,3,1.00,3,1,3,""
3,"R. Malhotra","A silent acute abdomen in a patient with spinal cord injury",2013,"BMJ Case Reports","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84891679269&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84891679269&origin=inward",25,"2021-01-18 11:19:04","Article","10.1136/bcr-2013-008548","1757-790X","https://api.elsevier.com/content/abstract/scopus_id/84891679269",,,,,3,0.38,3,1,8,""
3,"E. Ernst","Serious adverse effects after acupuncture - A systematic review (2000-2009)",2010,"Perfusion","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=79551571456&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79551571456&origin=inward",26,"2021-01-18 11:19:04","Review","","0935-0020","https://api.elsevier.com/content/abstract/scopus_id/79551571456",23,6,214,225,3,0.27,3,1,11,""
3,"S. Jeannin","Actinomycosis: An unusual cause of spinal cord compression. Case report and review of the literature",2008,"Revue Neurologique","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=58149114763&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=58149114763&origin=inward",27,"2021-01-18 11:19:04","Article","10.1016/j.neurol.2007.12.009","0035-3787","https://api.elsevier.com/content/abstract/scopus_id/58149114763",164,8,733,738,3,0.23,3,1,13,""
3,"H. Delaviz","The effect of fetal olfactory mucosa on tissue sparing and locomotor recovery after spinal cord hemisection in rats",2008,"Yakhteh","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=52149096281&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=52149096281&origin=inward",28,"2021-01-18 11:19:04","Article","","1561-4921","https://api.elsevier.com/content/abstract/scopus_id/52149096281",10,3,185,192,3,0.23,3,1,13,""
3,"Y. Xu","Differentiation of bone marrow derived mesenchymal stem cells into oligodendrocytes",2008,"Journal of Clinical Rehabilitative Tissue Engineering Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=40949088222&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=40949088222&origin=inward",29,"2021-01-18 11:19:04","Article","","1673-8225","https://api.elsevier.com/content/abstract/scopus_id/40949088222",12,3,498,500,3,0.23,3,1,13,""
3,"H.B. Yan","Establishment of stable rat models of complete spinal cord transection",2007,"Journal of Clinical Rehabilitative Tissue Engineering Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=34250318213&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=34250318213&origin=inward",30,"2021-01-18 11:19:04","Article","","1673-8225","https://api.elsevier.com/content/abstract/scopus_id/34250318213",11,6,1091,1094,3,0.21,3,1,14,""
4,"M. Liadi","The Impact of Tissue Storage Conditions on Rat Olfactory Ensheathing Cell Yield and the Future Clinical Implications",2018,"Cell Transplantation","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85053881394&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85053881394&origin=inward",22,"2021-01-18 11:19:04","Article","10.1177/0963689718787762","0963-6897","https://api.elsevier.com/content/abstract/scopus_id/85053881394",27,9,1320,1327,4,1.33,4,1,3,""
4,"A. Abdelgawad","Orthopedic management of children with multiple injuries",2011,"Journal of Trauma - Injury, Infection and Critical Care","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=79958838652&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79958838652&origin=inward",23,"2021-01-18 11:19:04","Review","10.1097/TA.0b013e318204eafc","0022-5282","https://api.elsevier.com/content/abstract/scopus_id/79958838652",70,6,1568,1574,4,0.40,4,1,10,""
