Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"T. Zhang","LncRNA Airsci increases the inflammatory response after spinal cord injury in rats through the nuclear factor kappa B signaling pathway",2021,"Neural Regeneration Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85094597972&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85094597972&origin=inward",30,"2021-01-18 11:20:05","Article","10.4103/1673-5374.295335","1673-5374","https://api.elsevier.com/content/abstract/scopus_id/85094597972",16,4,772,777,0,0.00,0,1,1,""
0,"K.X. Zhang","Synaptic remodeling in mouse motor cortex after spinal cord injury",2021,"Neural Regeneration Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85094588080&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85094588080&origin=inward",31,"2021-01-18 11:20:05","Article","10.4103/1673-5374.295346","1673-5374","https://api.elsevier.com/content/abstract/scopus_id/85094588080",16,4,744,749,0,0.00,0,1,1,""
0,"X.Y. Shen","Influence of spinal cord injury on core regions of motor function",2021,"Neural Regeneration Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85092652009&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85092652009&origin=inward",32,"2021-01-18 11:20:05","Article","10.4103/1673-5374.293158","1673-5374","https://api.elsevier.com/content/abstract/scopus_id/85092652009",16,3,567,572,0,0.00,0,1,1,""
0,"A. Contestabile","Variable interhemispheric asymmetry in layer V of the supplementary motor area following cervical hemisection in adult macaque monkeys",2020,"eNeuro","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85092343867&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85092343867&origin=inward",33,"2021-01-18 11:20:05","Article","10.1523/ENEURO.0280-20.2020","2373-2822","https://api.elsevier.com/content/abstract/scopus_id/85092343867",7,5,1,15,0,0.00,0,1,1,""
0,"X. Mao","Eriodictyol attenuates spinal cord injury by activating Nrf2/HO-1 pathway and inhibiting NF-κB pathway",2020,"Tropical Journal of Pharmaceutical Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85090485399&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85090485399&origin=inward",34,"2021-01-18 11:20:05","Article","10.4314/tjpr.v19i8.7","1596-5996","https://api.elsevier.com/content/abstract/scopus_id/85090485399",19,8,1611,1617,0,0.00,0,1,1,""
0,"A. Frostell","CNS Regeneration in Nerve Grafts: Practical Aspects of Complete Thoracic Spinal Cord Injury in Rodents",2019,"Neuromethods","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85070530107&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85070530107&origin=inward",35,"2021-01-18 11:20:05","Chapter","10.1007/978-1-4939-9711-4_10","0893-2336","https://api.elsevier.com/content/abstract/scopus_id/85070530107",149,,187,198,0,0.00,0,1,2,""
0,"V. Nadkarni","Pentoxifylline effect on functional, biochemical and histological ratings after experimental spinal cord impact",1999,"Critical Care Medicine","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=33750796952&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33750796952&origin=inward",36,"2021-01-18 11:20:05","Article","10.1097/00003246-199901001-00086","0090-3493","https://api.elsevier.com/content/abstract/scopus_id/33750796952",27,1,,,0,0.00,0,1,22,""
0,"M. Kapra","Protocols for nutrition support of neuro surgical patients in the intensive care unit",2001,"JK Practitioner","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0035683003&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0035683003&origin=inward",37,"2021-01-18 11:20:05","Review","","0971-8834","https://api.elsevier.com/content/abstract/scopus_id/0035683003",8,3,193,197,0,0.00,0,1,20,""
1,"F. Fadeev","Combination of epidural electrical stimulation with ex vivo triple gene therapy for spinal cord injury: A proof of principle study",2021,"Neural Regeneration Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85092629839&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85092629839&origin=inward",29,"2021-01-18 11:20:05","Article","10.4103/1673-5374.293150","1673-5374","https://api.elsevier.com/content/abstract/scopus_id/85092629839",16,3,550,560,1,1.00,1,1,1,""
2,"M. Gu","Feasibility of diffusion tensor imaging for assessing functional recovery in rats with olfactory ensheathing cell transplantation after contusive spinal cord injury (Sci)",2017,"Medical Science Monitor","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85021224621&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85021224621&origin=inward",27,"2021-01-18 11:20:05","Article","10.12659/MSM.902126","1234-1010","https://api.elsevier.com/content/abstract/scopus_id/85021224621",23,,2961,2971,2,0.50,2,1,4,""
