Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"Y. Guo","Effect of Jisuikang on Nogo-66 receptor NgR expression in rats with spinal cord injury",2016,"Chinese Journal of Tissue Engineering Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85025146927&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85025146927&origin=inward",13,"2021-01-15 16:55:51","Article","10.3969/j.issn.2095-4344.2016.18.006","1673-8225","https://api.elsevier.com/content/abstract/scopus_id/85025146927",20,18,2622,2627,0,0.00,0,1,5,""
2,"Z. Zhou","Management of eosinophilic granuloma in pediatric patients: surgical intervention and surgery combined with postoperative radiotherapy and/or chemotherapy",2017,"Child's Nervous System","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85014025046&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85014025046&origin=inward",12,"2021-01-15 16:55:51","Article","10.1007/s00381-017-3363-8","0256-7040","https://api.elsevier.com/content/abstract/scopus_id/85014025046",33,4,583,593,2,0.50,2,1,4,""
3,"M.F. Fraioli","Spinal giant cell tumor in tuberous sclerosis: Case report and review of the literature",2013,"Journal of Spinal Cord Medicine","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84877623631&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84877623631&origin=inward",11,"2021-01-15 16:55:51","Article","10.1179/2045772312Y.0000000048","1079-0268","https://api.elsevier.com/content/abstract/scopus_id/84877623631",36,2,157,160,3,0.38,3,1,8,""
4,"A. Castel","Risk factors associated with progressive myelomalacia in dogs with complete sensorimotor loss following intervertebral disc extrusion: A retrospective case-control study",2019,"BMC Veterinary Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85076000671&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85076000671&origin=inward",9,"2021-01-15 16:55:51","Review","10.1186/s12917-019-2186-0","1746-6148","https://api.elsevier.com/content/abstract/scopus_id/85076000671",15,1,,,4,2.00,4,1,2,""
4,"C.M.O. Silva","Effect of prednisone on acute experimental spinal cord injury in rats",2008,"Arquivo Brasileiro de Medicina Veterinaria e Zootecnia","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=47749134161&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=47749134161&origin=inward",10,"2021-01-15 16:55:51","Article","10.1590/S0102-09352008000300018","0102-0935","https://api.elsevier.com/content/abstract/scopus_id/47749134161",60,3,641,650,4,0.31,4,1,13,""
8,"Y. Guo","Jisuikang, a chinese herbal formula, increases neurotrophic factor expression and promotes the recovery of neurological function after spinal cord injury",2017,"Neural Regeneration Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85032455487&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85032455487&origin=inward",7,"2021-01-15 16:55:51","Article","10.4103/1673-5374.215264","1673-5374","https://api.elsevier.com/content/abstract/scopus_id/85032455487",12,9,1519,1528,8,2.00,8,1,4,""
8,"B. Wimer","Curative Potential of Foremost Mitogen Applications",2003,"Cancer Biotherapy and Radiopharmaceuticals","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0347569582&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0347569582&origin=inward",8,"2021-01-15 16:55:51","Review","10.1089/108497803322702879","1084-9785","https://api.elsevier.com/content/abstract/scopus_id/0347569582",18,6,903,916,8,0.44,8,1,18,""
13,"R.B. Song","Von Frey anesthesiometry to assess sensory impairment after acute spinal cord injury caused by thoracolumbar intervertebral disc extrusion in dogs",2016,"Veterinary Journal","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84959150865&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84959150865&origin=inward",5,"2021-01-15 16:55:51","Article","10.1016/j.tvjl.2015.07.028","1090-0233","https://api.elsevier.com/content/abstract/scopus_id/84959150865",209,,144,149,13,2.60,13,1,5,""
13,"P. Philip","Reflex sympathetic dystrophy in central cord syndrome: Case report and review of the literature",1990,"Paraplegia","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0025055243&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0025055243&origin=inward",6,"2021-01-15 16:55:51","Article","10.1038/sc.1990.6","0031-1758","https://api.elsevier.com/content/abstract/scopus_id/0025055243",28,1,48,54,13,0.42,13,1,31,""
15,"R. Sofferman","The recovery potential of the optic nerve",1995,"Laryngoscope","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0029071856&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0029071856&origin=inward",4,"2021-01-15 16:55:51","Article","","0023-852X","https://api.elsevier.com/content/abstract/scopus_id/0029071856",105,7,1,38,15,0.58,15,1,26,""
