Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"S. Baranović","Anesthetic management of acute cervica l spinal cord injury in pregnancy",2014,"Acta Clinica Croatica","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84904543363&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84904543363&origin=inward",28,"2021-01-15 16:53:32","Article","","0353-9466","https://api.elsevier.com/content/abstract/scopus_id/84904543363",53,1,98,101,0,0.00,0,1,7,""
1,"A.F. Joaquim","Neuroprotective Agents as an Adjuvant Treatment in Patients with Acute Spinal Cord Injuries: A Qualitative Systematic Review of Randomized Trials",2020,"Clinical Spine Surgery","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85071222720&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85071222720&origin=inward",27,"2021-01-15 16:53:32","Review","10.1097/BSD.0000000000000861","2380-0186","https://api.elsevier.com/content/abstract/scopus_id/85071222720",33,2,65,75,1,1.00,1,1,1,""
5,"B. Aminmansour","Effects of progesterone and vitamin D on outcome of patients with acute traumatic spinal cord injury; a randomized, double-blind, placebo controlled study",2016,"Journal of Spinal Cord Medicine","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84978700469&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84978700469&origin=inward",25,"2021-01-15 16:53:32","Article","10.1080/10790268.2015.1114224","1079-0268","https://api.elsevier.com/content/abstract/scopus_id/84978700469",39,3,272,280,5,1.00,5,1,5,""
5,"F. Labombarda","Give progesterone a chance",2014,"Neural Regeneration Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84907154009&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84907154009&origin=inward",26,"2021-01-15 16:53:32","Article","10.4103/1673-5374.139456","1673-5374","https://api.elsevier.com/content/abstract/scopus_id/84907154009",9,15,1422,1424,5,0.71,5,1,7,""
8,"D. Stein","Effects of Sex Steroids on Damaged Neural Systems",2017,"Hormones, Brain and Behavior: Third Edition","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85043232738&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85043232738&origin=inward",23,"2021-01-15 16:53:32","Chapter","10.1016/B978-0-12-803592-4.00110-3","","https://api.elsevier.com/content/abstract/scopus_id/85043232738",5,,411,441,8,2.00,8,1,4,""
8,"Z. Yang","In vivo two-photon imaging reveals a role of progesterone in reducing axonal dieback after spinal cord injury in mice",2017,"Neuropharmacology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85006096964&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85006096964&origin=inward",24,"2021-01-15 16:53:32","Article","10.1016/j.neuropharm.2016.12.007","0028-3908","https://api.elsevier.com/content/abstract/scopus_id/85006096964",116,,30,37,8,2.00,8,1,4,""
11,"J. Datto","Does being female provide a neuroprotective advantage following spinal cord injury?",2015,"Neural Regeneration Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84945586936&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84945586936&origin=inward",21,"2021-01-15 16:53:32","Review","10.4103/1673-5374.165213","1673-5374","https://api.elsevier.com/content/abstract/scopus_id/84945586936",10,10,1533,1536,11,1.83,11,1,6,""
11,"D.G. Stein","Effects of sex steroids on damaged neural systems",2009,"Hormones, Brain and Behavior Online","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84884762146&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84884762146&origin=inward",22,"2021-01-15 16:53:32","Chapter","10.1016/B978-008088783-8.00069-3","","https://api.elsevier.com/content/abstract/scopus_id/84884762146",,,2223,2260,11,0.92,11,1,12,""
16,"N. Compagnone","Treatments for spinal cord injury: Is there hope in neurosteroids?",2008,"Journal of Steroid Biochemistry and Molecular Biology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=45449121003&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=45449121003&origin=inward",20,"2021-01-15 16:53:32","Article","10.1016/j.jsbmb.2008.03.022","0960-0760","https://api.elsevier.com/content/abstract/scopus_id/45449121003",109,3,307,313,16,1.23,16,1,13,""
21,"R. López-González","Therapeutic Potential of Motor Neurons Differentiated from Embryonic Stem Cells and Induced Pluripotent Stem Cells",2012,"Archives of Medical Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84859248744&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84859248744&origin=inward",19,"2021-01-15 16:53:32","Review","10.1016/j.arcmed.2012.01.007","0188-4409","https://api.elsevier.com/content/abstract/scopus_id/84859248744",43,1,1,10,21,2.33,21,1,9,""
