Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
3,"Laureen D. Hachem, Andrea J. Mothe, Charles H. Tator","Evaluation of the effects of riluzole on adult spinal cord-derived neural stem/progenitor cells in vitro and in vivo",2015,"International Journal Of Developmental Neuroscience","Pergamon-Elsevier Science Ltd","","",199,"2021-01-15 10:48:10","Article","10.1016/j.ijdevneu.2015.08.007","0736-5748","",47,,140,146,3,0.50,1,3,6,"Riluzole, a sodium/glutamate antagonist, has shown significant neuroprotective effects in experimental models of spinal cord injury (SCI) and is currently under clinical trial for patients with SCI. However, the effect of riluzole on adult spinal cord-derived NSPCs remains unknown. In this study, we examined the effects of riluzole on NSPC survival both in vitro and in vivo. NSPCs harvested from the adult rat spinal cord were exposed to riluzole (1-30 mu M) either alone or in combination with hydrogen peroxide or glutamate in vitro. Measures of intracellular reactive oxygen species (ROS), cell viability and proliferation were assessed. To examine the effects of riluzole on transplanted NSPCs in vivo, a rodent clip compression model of SCI was used. One week after injury, NSPCs were transplanted into the spinal cord and rats received either riluzole or vehicle treatment for two weeks (similar to the clinically accepted dosing regimen) at which time cords were processed for analysis. Exposure to riluzole (>= 10 mu M) for more than 48 h in vitro reduced NSPC viability. Riluzole treatment (1-10 mu M) did not significantly affect intracellular ROS levels or cell viability in the setting of in vitro oxidative stress. While glutamate (500 mu M) exposure for 96 h significantly increased adult NSPC proliferation and survival, this response was not blocked by concurrent treatment with riluzole (1-10 mu M) thus supporting the notion that the known anti-glutamatergic properties of riluzole are not mediated through direct inhibition of glutamate receptors. Furthermore, riluzole treatment did not impair the survival of transplanted NSPCs in a rodent model of SCI. These results suggest that although NSPCs may have a narrow tolerance to riluzole treatment in vitro, riluzole does not impair NSPC survival at doses that would be used clinically. (C) 2015 Elsevier Ltd. All rights reserved."
4,"Murat Sayin, Peyker Temiz, Ahmet Var, Cuneyt Temiz","The dose-dependent neuroprotective effect of alpha-lipoic acid in experimental spinal cord injury",2013,"Neurologia I Neurochirurgia Polska","Elsevier Urban & Partner Sp Z O O","","",186,"2021-01-15 10:48:10","Article","10.5114/ninp.2013.36207","0028-3843","",47,4,345,351,4,0.50,1,4,8,"Background and purpose: Free radical production after spinal cord injury (SCI) plays an important role in secondary damage. The aim of this study was to investigate neuroprotective effects of the powerful antioxidant alpha-lipoic acid (ALA) in a spinal cord clip compression injury model."
4,"Junkui Shang, Hui Qiao, Peng Hao, Yudan Gao, Wen Zhao, Hongmei Duan, Zhaoyang Yang, Xiaoguang Li","bFGF-Sodium Hyaluronate Collagen Scaffolds Enable the Formation of Nascent Neural Networks After Adult Spinal Cord Injury",2019,"Journal Of Biomedical Nanotechnology","Amer Scientific Publishers","","",190,"2021-01-15 10:48:10","Article","10.1166/jbn.2019.2732","1550-7033","",15,4,703,716,4,2.00,1,8,2,"Neural circuit reconstruction is the main target of functional restoration after adult spinal cord injury (SCI). The microenvironment after adult SCI is hostile to neural regeneration. Here, we designed a bFGF controlled releasing system (bFGF-CRS) by loading bFGF onto the sodium hyaluronate collagen scaffolds to modify the hostile microenvironment. We found that the bFGF-CRS scaffolds had proper mechanical properties for spinal cord regeneration and could slowly release bFGF for up to 6 weeks under the physiological condition. After implantation, the bFGF-CRS scaffolds could reduce microglial activation, promote revascularization, elicit endogenous neurogenesis and promote regrowth of transected axons. The endogenous mature newly born neurons could form synaptic-like connections with each other or with host neurons, including cortex neurons, brainstem neurons and spinal interneurons. The functional nascent neural networks between the lesion area and the host spinal cord were established. It eventually led to hindlimb locomotion recovery. Our study suggests that the bFGF-CRS scaffolds, modifying the microenvironment of the lesion area, can rebuild the damaged neural circuit, thus support great potential for SCI treatment in the clinical application."
4,"Long-yun Zhou, Zi-rui Tian, Min Yao, Xu-qing Chen, Yong-jia Song, Jie Ye, Nan-xing Yi, Xue-jun Cui, Yong-jun Wang","Riluzole promotes neurological function recovery and inhibits damage extension in rats following spinal cord injury: a meta-analysis and systematic review",2019,"Journal Of Neurochemistry","Wiley","","",197,"2021-01-15 10:48:10","Review","10.1111/jnc.14686","0022-3042","",150,1,6,27,4,2.00,0,9,2,"Spinal cord injury (SCI) is a devastating condition that has few treatment options. Riluzole, a sodium channel blocker used to treat amyotrophic lateral sclerosis, has been initially trialed in human SCI. We performed a systematic review to critically assess the efficacy of riluzole in locomotor recovery and damage extension in SCI rat models, and the potential for clinical translation. PubMed, Embase, Cochrane Library, and Chinese databases were searched from their inception date to March 2018. Two reviewers independently selected animal studies that evaluated neurological recovery and lesion area following riluzole treatment in SCI rat models, extracted data and assessed methodological quality. Pairwise meta-analysis, subgroup analysis, and network meta-analysis were performed to assess the effects of riluzole on SCI. Ten eligible studies were included. Two studies had high methodological quality. Overall, the Basso, Beattie, and Bresnahan scores were increased in riluzole-treated animals versus controls, and effect sizes showed a gradual increase from the 1st (five studies, n = 104, mean difference = 1.24, 95% CI = 0.11 to 2.37, p = 0.03) to 6th week after treatment (five studies, n = 120, mean difference = 2.34, 95% CI = 1.26 to 3.42, p < 0.0001). Riluzole was associated with improved outcomes in the inclined plane test and the tissue preservation area. Subgroup analyses suggested an association of locomotor recovery with riluzole dose. Network meta-analysis showed that 5 mg/kg riluzole exhibited greater protection than 2.5 and 8 mg/kg riluzole. Collectively, this review suggests that riluzole has a protective effect on SCI, with good safety and a clear mechanism of action and may be suitable for future clinical trials or applications. However, animal results should be interpreted with caution given the known limitations in animal experimental design and methodological quality."
4,"Starlyn L. M. Okada, Nicole S. Stivers, Peter K. Stys, David P. Stirling","An Ex Vivo Laser-induced Spinal Cord Injury Model to Assess Mechanisms of Axonal Degeneration in Real-time",2014,"Jove-Journal Of Visualized Experiments","Journal Of Visualized Experiments","","",198,"2021-01-15 10:48:10","Article","10.3791/52173","1940-087X","",,93,,,4,0.57,1,4,7,"Injured CNS axons fail to regenerate and often retract away from the injury site. Axons spared from the initial injury may later undergo secondary axonal degeneration. Lack of growth cone formation, regeneration, and loss of additional myelinated axonal projections within the spinal cord greatly limits neurological recovery following injury. To assess how central myelinated axons of the spinal cord respond to injury, we developed an ex vivo living spinal cord model utilizing transgenic mice that express yellow fluorescent protein in axons and a focal and highly reproducible laser-induced spinal cord injury to document the fate of axons and myelin (lipophilic fluorescent dye Nile Red) over time using two-photon excitation time-lapse microscopy. Dynamic processes such as acute axonal injury, axonal retraction, and myelin degeneration are best studied in real-time. However, the non-focal nature of contusion-based injuries and movement artifacts encountered during in vivo spinal cord imaging make differentiating primary and secondary axonal injury responses using high resolution microscopy challenging. The ex vivo spinal cord model described here mimics several aspects of clinically relevant contusion/compression-induced axonal pathologies including axonal swelling, spheroid formation, axonal transection, and peri-axonal swelling providing a useful model to study these dynamic processes in real-time. Major advantages of this model are excellent spatiotemporal resolution that allows differentiation between the primary insult that directly injures axons and secondary injury mechanisms; controlled infusion of reagents directly to the perfusate bathing the cord; precise alterations of the environmental milieu (e.g., calcium, sodium ions, known contributors to axonal injury, but near impossible to manipulate in vivo); and murine models also offer an advantage as they provide an opportunity to visualize and manipulate genetically identified cell populations and subcellular structures. Here, we describe how to isolate and image the living spinal cord from mice to capture dynamics of acute axonal injury."
4,"SS HAGHIGHI, MA PEREZESPEJO, XZ GENG, J PADRATZIK, JJ ORO, L SPOLLEN","EFFECT OF 21-AMINOSTEROID PRETREATMENT IN COMPRESSION TRAUMA TO THE SPINAL-CORD",1994,"Neurological Research","Forefront Publ Group","","",200,"2021-01-15 10:48:10","Article","","0161-6412","",16,4,268,272,4,0.15,1,6,27,"The present work was performed to establish whether pre-injury administration of the 27-Aminosteroid, U-74389F, is beneficial for treatment of acute spinal cord trauma in rats, as it has been demonstrated that the bolus administration of the same compound one hour after injury facilitates the return of the spinal cord function as measured by electrophysiological recordings in this compression animal model of spinal cord trauma. Cortical somatosensory evoked potentials (CSSEPs) were recorded as an indicator of spinal cord function before and after a severe compression injury. Vital signs and the CSSEPs were monitored up to five hours post-injury. U-4389F treatment was given as a single injection (15 mg kg(-1)) one hour prior to the injury which was followed by a continuous infusion (3 mg kg(-1) h(-1)) during the procedure. The CSSEPs were abolished immediately after this injury both, in the untreated and treated animal groups. The majority of the treated animals (80%) demonstrated recovery of the CSSEPs within the second hour post-injury. The control group showed 40% recovery at this time period. At five hours post-injury, recovery rates were 47% and 87% for control and treated groups respectively. We conclude that the administration of the 21-Aminosteroid, U74389F, one hour prior to spinal cord injury facilitates the return of spinal cord function as measured by CSSEPs in a compression rat model of acute spinal cord trauma, supporting and verifying our previous experiences using the same compound as i.v. bolus injections one, two and three hours after the trauma, respectively."
5,"Michelle C. Caruso, Margot C. Daugherty, Suzanne M. Moody, Jr. Falcone, Richard A., Karin S. Bierbrauer, Gary L. Geis","Lessons learned from administration of high-dose methylprednisolone sodium succinate for acute pediatric spinal cord injuries",2017,"Journal Of Neurosurgery-Pediatrics","Amer Assoc Neurological Surgeons","","",180,"2021-01-15 10:48:10","Article","10.3171/2017.7.PEDS1756","1933-0707","",20,6,567,574,5,1.25,1,6,4,"OBJECTIVE Methylprednisolone sodium succinate (MPSS) has been studied as a pharmacological adjunct that may be given to patients with acute spinal cord injury (ASCI) to improve neurological recovery. MPSS treatment became the standard of care in adults despite a lack of evidence supporting clinical benefit. More recently, new guidelines from neurological surgeon groups recommended no longer using MPSS for ASCI, due to questionable clinical benefit and known complications. However, little information exists in the pediatric population regarding MPSS use in the setting of ASCI. The aim of this paper was to describe steroid use and side effects in patients with ASCI at the authors' Level 1 pediatric trauma center in order to inform other hospitals that may still use this therapy."
5,"R Bergman, O Lanz, L Shell","A review of experimental and clinical treatments for acute spinal cord injury",2000,"Veterinary Medicine","Veterinary Medicine Publ Co","","",183,"2021-01-15 10:48:10","Review","","8750-7943","",95,11,855,,5,0.24,2,3,21,""
5,"H Bae, KD Nantwi, H Goshgarian","Effects of carotid body excision on recovery of respiratory function in C2 hemisected adult rats",2005,"Experimental Neurology","Academic Press Inc Elsevier Science","","",184,"2021-01-15 10:48:10","Article","10.1016/j.expneurol.2005.04.010","0014-4886","",195,1,140,147,5,0.31,2,3,16,"In a previous study, we described the spontaneous recovery of respiratory motor function in adult rats subjected to a left C2 hemisection 6-16 weeks post-injury without any therapeutic intervention. We extend the previous findings by demonstrating in the present study that rats subjected to a left C2 hemisection with bilateral carotid body excision will also recover respiratory-related activity in the paralyzed ipsilateral hemidiaphragm. However, in this instance, recovery is significantly accelerated; i.e., it is evident as early as 2 weeks after spinal cord injury."
5,"Wanshan Bai, Xinwei Wang, Zhanchao Wang, Huixue Wang, Jian Chen","The effect of astaxanthin (AST) on Neurotrophin-3 (NT-3) expression in rats after compressive spinal cord injury (SCI)""",2012,"African Journal Of Pharmacy And Pharmacology","Academic Journals","","",185,"2021-01-15 10:48:10","Article","10.5897/AJPP12.855","1996-0816","",6,34,2559,2564,5,0.56,1,5,9,"A great deal of this research has been centered on the neuroprotective benefits of astaxanthin. However, no studies have suggested that astaxanthin has therapeutic potential for SCI and the mechanisms underlying astaxanthin neuroprotection are not fully understood. The aim of this study was to determine the therapeutic efficacy of starting astaxanthin treatment 1 day after compressive spinal cord injury (SCI) in rat and to investigate the underlying mechanism. The SD rats were randomly divided into four groups namely: Sham control group, SCI model group, the methylprednisolone sodium succinate (MPSS) group and the astaxanthin treatment group. Western blot analysis and Reverse transcription-polymerase chain reaction (RT-PCR) were performed to detect the expression of the Neurotrophin-3 (NT-3). Noticeably, astaxanthin at the 80 mg/kg dosage exhibited similar effects as MPSS, which has been frequently used for clinical acute SCI. These results suggested that astaxanthin could increase the expression of NT-3 in SCI."
5,"Nathan Evaniew, Marcel Dvorak","Cochrane in CORR (R): Steroids for Acute Spinal Cord Injury (Review)",2016,"Clinical Orthopaedics And Related Research","Lippincott Williams & Wilkins","","",187,"2021-01-15 10:48:10","Review","10.1007/s11999-015-4601-6","0009-921X","",474,1,19,24,5,1.00,3,2,5,"Background"
