Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"N. Pukos","Delayed short-term tamoxifen treatment does not promote remyelination or neuron sparing after spinal cord injury",2020,"PLoS ONE","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85089128541&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85089128541&origin=inward",18,"2021-01-15 10:34:40","Article","10.1371/journal.pone.0235232","1932-6203","https://api.elsevier.com/content/abstract/scopus_id/85089128541",15,7,,,0,0.00,0,1,1,""
0,"X. Yang","Tamoxifen inhibits inflammatory pathways and improves locomotor function in traumatic spinal cord injury in rats",2016,"Journal of Biomaterials and Tissue Engineering","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84958692504&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84958692504&origin=inward",19,"2021-01-15 10:34:40","Article","10.1166/jbt.2016.1409","2157-9083","https://api.elsevier.com/content/abstract/scopus_id/84958692504",6,1,67,73,0,0.00,0,1,5,""
0,"K.W. Muir","Stem cells in stroke management",2011,"Reviews in Clinical Gerontology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=80052263537&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=80052263537&origin=inward",20,"2021-01-15 10:34:40","Article","10.1017/S0959259810000390","0959-2598","https://api.elsevier.com/content/abstract/scopus_id/80052263537",21,2,125,140,0,0.00,0,1,10,""
0,"W. Faillace","Recovery from cruciate paralysis due to axial subluxation from metastatic breast carcinoma: A case report",2000,"Breast Journal","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0034001459&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0034001459&origin=inward",21,"2021-01-15 10:34:40","Article","10.1046/j.1524-4741.2000.98118.x","1075-122X","https://api.elsevier.com/content/abstract/scopus_id/0034001459",6,2,139,142,0,0.00,0,1,21,""
1,"J. Shadrach","Semaphorin3A signaling is dispensable for motor axon reinnervation of the adult neuromuscular junction",2018,"eNeuro","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85048483408&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85048483408&origin=inward",17,"2021-01-15 10:34:40","Article","10.1523/ENEURO.0155-17.2018","2373-2822","https://api.elsevier.com/content/abstract/scopus_id/85048483408",5,3,,,1,0.33,1,1,3,""
4,"S.D. Holland","An ATF3-CreERT2 Knock-in mouse for axotomy- induced genetic editing: Proof of principle",2019,"eNeuro","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85064979720&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85064979720&origin=inward",16,"2021-01-15 10:34:40","Article","10.1523/ENEURO.0025-19.2019","2373-2822","https://api.elsevier.com/content/abstract/scopus_id/85064979720",6,2,,,4,2.00,4,1,2,""
6,"M.A.J. Chedrawe","Pioglitazone is superior to quetiapine, clozapine and tamoxifen at alleviating experimental autoimmune encephalomyelitis in mice",2018,"Journal of Neuroimmunology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85048167951&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85048167951&origin=inward",14,"2021-01-15 10:34:40","Article","10.1016/j.jneuroim.2018.06.001","0165-5728","https://api.elsevier.com/content/abstract/scopus_id/85048167951",321,,72,82,6,2.00,6,1,3,""
6,"J. Colón","Continuous tamoxifen delivery improves locomotor recovery 6 h after spinal cord injury by neuronal and glial mechanisms in male rats",2018,"Experimental Neurology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85032225345&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85032225345&origin=inward",15,"2021-01-15 10:34:40","Article","10.1016/j.expneurol.2017.10.006","0014-4886","https://api.elsevier.com/content/abstract/scopus_id/85032225345",299,,109,121,6,2.00,6,1,3,""
8,"A. Le Friec","Enhancing Plasticity of the Central Nervous System: Drugs, Stem Cell Therapy, and Neuro-Implants",2017,"Neural Plasticity","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85042410456&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85042410456&origin=inward",12,"2021-01-15 10:34:40","Review","10.1155/2017/2545736","2090-5904","https://api.elsevier.com/content/abstract/scopus_id/85042410456",2017,,,,8,2.00,8,1,4,""
8,"L.P. Osuna-Carrasco","Quantitative analysis of hindlimbs locomotion kinematics in spinalized rats treated with Tamoxifen plus treadmill exercise",2016,"Neuroscience","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84979658426&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84979658426&origin=inward",13,"2021-01-15 10:34:40","Article","10.1016/j.neuroscience.2016.07.023","0306-4522","https://api.elsevier.com/content/abstract/scopus_id/84979658426",333,,151,161,8,1.60,8,1,5,""
9,"I. Salgado","Tamoxifen and Src kinase inhibitors as neuroprotective/neuroregenerative drugs after spinal cord injury",2015,"Neural Regeneration Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84926203274&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84926203274&origin=inward",11,"2021-01-15 10:34:40","Review","10.4103/1673-5374.153685","1673-5374","https://api.elsevier.com/content/abstract/scopus_id/84926203274",10,3,385,390,9,1.50,9,1,6,""
14,"J. Colón","Tamoxifen administration immediately or 24 hours after spinal cord injury improves locomotor recovery and reduces secondary damage in female rats",2016,"Journal of Neurotrauma","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84988624721&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84988624721&origin=inward",10,"2021-01-15 10:34:40","Article","10.1089/neu.2015.4111","0897-7151","https://api.elsevier.com/content/abstract/scopus_id/84988624721",33,18,1696,1708,14,2.80,14,1,5,""
18,"N. Franco Rodríguez","Tamoxifen favoured the rat sensorial cortex regeneration after a penetrating brain injury",2013,"Brain Research Bulletin","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84882630873&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84882630873&origin=inward",8,"2021-01-15 10:34:40","Article","10.1016/j.brainresbull.2013.07.007","0361-9230","https://api.elsevier.com/content/abstract/scopus_id/84882630873",98,,64,75,18,2.25,18,1,8,""
