Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"Y. Shiga","Tissue-type plasminogen activator-primed human iPSC-derived neural progenitor cells promote motor recovery after severe spinal cord injury",2019,"Scientific Reports","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85076576639&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85076576639&origin=inward",16,"2021-01-14 19:44:12","Article","10.1038/s41598-019-55132-8","2045-2322","https://api.elsevier.com/content/abstract/scopus_id/85076576639",9,1,,,0,0.00,0,1,2,""
1,"Z. Cao","Directional axonal regrowth induced by an aligned fibrin nanofiber hydrogel contributes to improved motor function recovery in canine L2 spinal cord injury",2020,"Journal of Materials Science: Materials in Medicine","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85083678649&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85083678649&origin=inward",14,"2021-01-14 19:44:12","Article","10.1007/s10856-020-06375-9","0957-4530","https://api.elsevier.com/content/abstract/scopus_id/85083678649",31,5,,,1,1.00,1,1,1,""
1,"H. Yoon","Blocking the thrombin receptor promotes repair of demyelinated lesions in the adult brain",2020,"Journal of Neuroscience","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85079340752&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85079340752&origin=inward",15,"2021-01-14 19:44:12","Article","10.1523/JNEUROSCI.2029-19.2019","0270-6474","https://api.elsevier.com/content/abstract/scopus_id/85079340752",40,7,1483,1500,1,1.00,1,1,1,""
3,"A. Petter-Puchner","NON-activated protein C as post-treatment after spinal cord compression injury in rats",2006,"Acta Neurochirurgica","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=33745646562&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33745646562&origin=inward",13,"2021-01-14 19:44:12","Article","10.1007/s00701-006-0784-7","0001-6268","https://api.elsevier.com/content/abstract/scopus_id/33745646562",148,7,765,771,3,0.20,3,1,15,""
5,"D. Liu","Carvedilol promotes neurological function, reduces bone loss and attenuates cell damage after acute spinal cord injury in rats",2015,"Clinical and Experimental Pharmacology and Physiology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84920927251&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84920927251&origin=inward",12,"2021-01-14 19:44:12","Article","10.1111/1440-1681.12345","0305-1870","https://api.elsevier.com/content/abstract/scopus_id/84920927251",42,2,202,212,5,0.83,5,1,6,""
6,"W. Whetstone","Protease-activated receptor-1 supports locomotor recovery by biased agonist activated protein C after contusive spinal cord injury",2017,"PLoS ONE","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85010877103&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85010877103&origin=inward",11,"2021-01-14 19:44:12","Article","10.1371/journal.pone.0170512","1932-6203","https://api.elsevier.com/content/abstract/scopus_id/85010877103",12,1,,,6,1.50,6,1,4,""
10,"H.Q. Duan","Nafamostat mesilate attenuates inflammation and apoptosis and promotes locomotor recovery after spinal cord injury",2018,"CNS Neuroscience and Therapeutics","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85043267662&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85043267662&origin=inward",9,"2021-01-14 19:44:12","Article","10.1111/cns.12801","1755-5930","https://api.elsevier.com/content/abstract/scopus_id/85043267662",24,5,429,438,10,3.33,10,1,3,""
10,"T. Broggini","Plasticity Related Gene 3 (PRG3) overcomes myelin-associated growth inhibition and promotes functional recovery after spinal cord injury",2016,"Aging","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84995596076&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84995596076&origin=inward",10,"2021-01-14 19:44:12","Article","10.18632/aging.101066","1945-4589","https://api.elsevier.com/content/abstract/scopus_id/84995596076",8,10,2463,2487,10,2.00,10,1,5,""
18,"B.W. Festoff","Neuroprotective effects of recombinant thrombomodulin in controlled contusion spinal cord injury implicates thrombin signaling",2004,"Journal of Neurotrauma","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=3242891141&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=3242891141&origin=inward",8,"2021-01-14 19:44:12","Article","10.1089/0897715041526168","0897-7151","https://api.elsevier.com/content/abstract/scopus_id/3242891141",21,7,907,922,18,1.06,18,1,17,""
19,"M. Radulovic","Targeting the thrombin receptor modulates inflammation and astrogliosis to improve recovery after spinal cord injury",2016,"Neurobiology of Disease","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84971659189&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84971659189&origin=inward",7,"2021-01-14 19:44:12","Article","10.1016/j.nbd.2016.04.010","0969-9961","https://api.elsevier.com/content/abstract/scopus_id/84971659189",93,,226,242,19,3.80,19,1,5,""
