Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"J. Khieukhajee","The Prevalence and Predictive Factors of Painful Tonic Spasm in Patients with Neuromyelitis Optica Spectrum Disorder (NMOSD)",2020,"Journal of the Medical Association of Thailand","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85097620304&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85097620304&origin=inward",13,"2021-01-12 16:21:20","Article","10.35755/jmedassocthai.2020.12.11578","0125-2208","https://api.elsevier.com/content/abstract/scopus_id/85097620304",103,12,1354,1361,0,0.00,0,1,1,""
0,"M. Nerone","Type III disc herniation in a dog",2018,"Acta Scientiae Veterinariae","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85077607581&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85077607581&origin=inward",14,"2021-01-12 16:21:20","Article","","1678-0345","https://api.elsevier.com/content/abstract/scopus_id/85077607581",46,,,,0,0.00,0,1,3,""
0,"C. Parramon Teixido","Altered mental status associated with Ertapenem",2017,"European Journal of Clinical Pharmacy","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85019037093&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85019037093&origin=inward",15,"2021-01-12 16:21:20","Article","","2385-409X","https://api.elsevier.com/content/abstract/scopus_id/85019037093",19,1,63,65,0,0.00,0,1,4,""
0,"M. Fujii","Successful treatment of traumatic spinal epidural haematoma with fluoroscopically-guided percutaneous drainage: A report of two cases",2016,"Anaesthesia and Intensive Care","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85009765355&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85009765355&origin=inward",16,"2021-01-12 16:21:20","Article","10.1177/0310057x1604400611","0310-057X","https://api.elsevier.com/content/abstract/scopus_id/85009765355",44,6,777,780,0,0.00,0,1,5,""
1,"V. Albernaz","Traumatic spinal cord injury with schiff-sherrington posture and spontaneous resolution in a dog: MRI evaluation",2016,"Acta Veterinaria Brasilica","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84975815194&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84975815194&origin=inward",12,"2021-01-12 16:21:20","Article","10.21708/avb.2016.10.2.5736","1981-5484","https://api.elsevier.com/content/abstract/scopus_id/84975815194",10,2,177,181,1,0.20,1,1,5,""
2,"R.H.d.F. Chaves","Influence of tramadol on functional recovery of acute spinal cord injury in rats",2018,"Acta Cirurgica Brasileira","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85059795304&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85059795304&origin=inward",11,"2021-01-12 16:21:20","Article","10.1590/s0102-865020180120000006","0102-8650","https://api.elsevier.com/content/abstract/scopus_id/85059795304",33,12,1087,1094,2,0.67,2,1,3,""
8,"K. Potter-Baker","Reliability of TMS metrics in patients with chronic incomplete spinal cord injury",2016,"Spinal Cord","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84962090359&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84962090359&origin=inward",10,"2021-01-12 16:21:20","Article","10.1038/sc.2016.47","1362-4393","https://api.elsevier.com/content/abstract/scopus_id/84962090359",54,11,980,990,8,1.60,8,1,5,""
9,"J. Du","Calcification of the intervertebral disc and posterior longitudinal ligament in children",2012,"Journal of Spinal Disorders and Techniques","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84856701639&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84856701639&origin=inward",9,"2021-01-12 16:21:20","Article","10.1097/BSD.0b013e31820bb883","1536-0652","https://api.elsevier.com/content/abstract/scopus_id/84856701639",25,1,59,63,9,1.00,9,1,9,""
10,"I. Stetkarova","Segmental abdominal wall paresis caused by lateral low thoracic disc herniation",2007,"Spine","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=37349023965&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=37349023965&origin=inward",8,"2021-01-12 16:21:20","Article","10.1097/BRS.0b013e3181573ce5","0362-2436","https://api.elsevier.com/content/abstract/scopus_id/37349023965",32,22,,,10,0.71,10,1,14,""
13,"R.B. Song","Von Frey anesthesiometry to assess sensory impairment after acute spinal cord injury caused by thoracolumbar intervertebral disc extrusion in dogs",2016,"Veterinary Journal","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84959150865&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84959150865&origin=inward",7,"2021-01-12 16:21:20","Article","10.1016/j.tvjl.2015.07.028","1090-0233","https://api.elsevier.com/content/abstract/scopus_id/84959150865",209,,144,149,13,2.60,13,1,5,""
18,"R. Sripada","Regional anesthesia procedures for shoulder and upper arm surgery upper extremity update-2005 to present",2012,"International Anesthesiology Clinics","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84855905226&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84855905226&origin=inward",6,"2021-01-12 16:21:20","Article","10.1097/AIA.0b013e31821a0284","0020-5907","https://api.elsevier.com/content/abstract/scopus_id/84855905226",50,1,26,46,18,2.00,18,1,9,""
24,"T. Hemmen","Hypothermia after acute ischemic stroke",2009,"Journal of Neurotrauma","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=62649129765&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=62649129765&origin=inward",5,"2021-01-12 16:21:20","Review","10.1089/neu.2008.0574","0897-7151","https://api.elsevier.com/content/abstract/scopus_id/62649129765",26,3,387,391,24,2.00,24,1,12,""
48,"E. Penha","Use of autologous mesenchymal stem cells derived from bone marrow for the treatment of naturally injured spinal cord in dogs",2014,"Stem Cells International","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84896936359&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84896936359&origin=inward",4,"2021-01-12 16:21:20","Article","10.1155/2014/437521","1687-9678","https://api.elsevier.com/content/abstract/scopus_id/84896936359",2014,,,,48,6.86,48,1,7,""
52,"C. Cruz","Spinal cord injury and bladder dysfunction: New ideas about an old problem",2011,"TheScientificWorldJournal","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=79551472987&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79551472987&origin=inward",3,"2021-01-12 16:21:20","Review","10.1100/tsw.2011.26","1537-744X","https://api.elsevier.com/content/abstract/scopus_id/79551472987",11,,214,234,52,5.20,52,1,10,""
59,"I. Moreno-Duarte","Targeted therapies using electrical and magnetic neural stimulation for the treatment of chronic pain in spinal cord injury",2014,"NeuroImage","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84889682444&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84889682444&origin=inward",2,"2021-01-12 16:21:20","Review","10.1016/j.neuroimage.2013.05.097","1053-8119","https://api.elsevier.com/content/abstract/scopus_id/84889682444",85,,1003,1013,59,8.43,59,1,7,""
234,"D.M. Pöpping","Impact of epidural analgesia on mortality and morbidity after surgery: Systematic review and meta-analysis of randomized controlled trials",2014,"Annals of Surgery","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84900815847&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84900815847&origin=inward",1,"2021-01-12 16:21:20","Article","10.1097/SLA.0000000000000237","0003-4932","https://api.elsevier.com/content/abstract/scopus_id/84900815847",259,6,1056,1067,234,33.43,234,1,7,""
