Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"J. Sun","Winged adjustable replacement system for the treatment of lower cervical spine fracture dislocation",2013,"Chinese Journal of Tissue Engineering Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84940304985&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84940304985&origin=inward",15,"2021-01-12 11:53:00","Article","10.3969/j.issn.2095-4344.2013.22.006","1673-8225","https://api.elsevier.com/content/abstract/scopus_id/84940304985",17,22,4025,4033,0,0.00,0,1,8,""
0,"E. Obara","Severe hyponatremia after spinal cord injury. Case report",2007,"Anestezjologia Intensywna Terapia","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=35648946861&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=35648946861&origin=inward",16,"2021-01-12 11:53:00","Article","","0209-1712","https://api.elsevier.com/content/abstract/scopus_id/35648946861",39,3,131,132,0,0.00,0,1,14,""
1,"C.J. Mathias","Autonomic Disturbances in Spinal Cord Injuries",2012,"Primer on the Autonomic Nervous System","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84882874713&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84882874713&origin=inward",11,"2021-01-12 11:53:00","Chapter","10.1016/B978-0-12-386525-0.00104-9","","https://api.elsevier.com/content/abstract/scopus_id/84882874713",,,505,509,1,0.11,1,1,9,""
1,"T. Kawasaki","Renal function and endocrine responses to arm exercise in euhydrated individuals with spinal cord injury",2012,"European Journal of Applied Physiology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84861343108&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84861343108&origin=inward",12,"2021-01-12 11:53:00","Review","10.1007/s00421-011-2105-y","1439-6319","https://api.elsevier.com/content/abstract/scopus_id/84861343108",112,4,1537,1547,1,0.11,1,1,9,""
1,"R.E. Garrett","Vasopressin receptor antagonist use in a neurologic rehabilitation center",2010,"Journal of Spinal Cord Medicine","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77951827764&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77951827764&origin=inward",13,"2021-01-12 11:53:00","Article","10.1080/10790268.2010.11689675","1079-0268","https://api.elsevier.com/content/abstract/scopus_id/77951827764",33,1,65,67,1,0.09,1,1,11,""
1,"J.M. Bellingham","Successful Kidney Transplantation from a Donation After Cardiac Death Donor With an Ileal Conduit",2009,"Transplantation Proceedings","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=71249162111&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=71249162111&origin=inward",14,"2021-01-12 11:53:00","Article","10.1016/j.transproceed.2009.09.063","0041-1345","https://api.elsevier.com/content/abstract/scopus_id/71249162111",41,10,4420,4421,1,0.08,1,1,12,""
4,"A. Severino","Plasticity and function of spinal oxytocin and vasopressin signaling during recovery from surgery with nerve injury",2018,"Anesthesiology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85056720692&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85056720692&origin=inward",9,"2021-01-12 11:53:00","Article","10.1097/ALN.0000000000002290","0003-3022","https://api.elsevier.com/content/abstract/scopus_id/85056720692",129,3,544,556,4,1.33,4,1,3,""
4,"L. Montgomery","Altered vasopressin and natriuretic peptide levels in a rat model of spinal cord injury: Implications for the development of polyuria",2018,"American Journal of Physiology - Renal Physiology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85043532848&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85043532848&origin=inward",10,"2021-01-12 11:53:00","Article","10.1152/ajprenal.00229.2017","0363-6127","https://api.elsevier.com/content/abstract/scopus_id/85043532848",314,1,,,4,1.33,4,1,3,""
7,"R.C. Stratman","Hemodynamic management after spinal cord injury",2008,"Orthopedics","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=42149093790&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=42149093790&origin=inward",8,"2021-01-12 11:53:00","Review","10.3928/01477447-20080301-39","0147-7447","https://api.elsevier.com/content/abstract/scopus_id/42149093790",31,3,252,255,7,0.54,7,1,13,""
8,"S. Abrahamyan","Protective action of snake venom Naja naja oxiana at spinal cord hemisection.",2007,"Ideggyógyászati szemle","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=34347213065&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=34347213065&origin=inward",7,"2021-01-12 11:53:00","Article","","0019-1442","https://api.elsevier.com/content/abstract/scopus_id/34347213065",60,3,148,153,8,0.57,8,1,14,""
