Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"Bin Lv, Xing Zhang, Jishan Yuan, Yongxin Chen, Hua Ding, Xinbing Cao, Anquan Huang","Biomaterial-supported MSC transplantation enhances cell-cell communication for spinal cord injury.",2021,"Stem cell research & therapy","","","",1,"2021-01-15 17:40:36","Journal Article","10.1186/s13287-020-02090-y","1757-6512","",12,1,36,,0,0.00,0,7,1,"The spinal cord is part of the central nervous system (CNS) and serves to connect the brain to the peripheral nervous system and peripheral tissues. The cell types that primarily comprise the spinal cord are neurons and several categories of glia, including astrocytes, oligodendrocytes, and microglia. Ependymal cells and small populations of endogenous stem cells, such as oligodendrocyte progenitor cells, also reside in the spinal cord. Neurons are interconnected in circuits; those that process cutaneous sensory input are mainly located in the dorsal spinal cord, while those involved in proprioception and motor control are predominately located in the ventral spinal cord. Due to the importance of the spinal cord, neurodegenerative disorders and traumatic injuries affecting the spinal cord will lead to motor deficits and loss of sensory inputs.Spinal cord injury (SCI), resulting in paraplegia and tetraplegia as a result of deleterious interconnected mechanisms encompassed by the primary and secondary injury, represents a heterogeneously behavioral and cognitive deficit that remains incurable. Following SCI, various barriers containing the neuroinflammation, neural tissue defect (neurons, microglia, astrocytes, and oligodendrocytes), cavity formation, loss of neuronal circuitry, and function must be overcame. Notably, the pro-inflammatory and anti-inflammatory effects of cell-cell communication networks play critical roles in homeostatic, driving the pathophysiologic and consequent cognitive outcomes. In the spinal cord, astrocytes, oligodendrocytes, and microglia are involved in not only development but also pathology. Glial cells play dual roles (negative vs. positive effects) in these processes. After SCI, detrimental effects usually dominate and significantly retard functional recovery, and curbing these effects is critical for promoting neurological improvement. Indeed, residential innate immune cells (microglia and astrocytes) and infiltrating leukocytes (macrophages and neutrophils), activated by SCI, give rise to full-blown inflammatory cascades. These inflammatory cells release neurotoxins (proinflammatory cytokines and chemokines, free radicals, excitotoxic amino acids, nitric oxide (NO)), all of which partake in axonal and neuronal deficit.Given the various multifaceted obstacles in SCI treatment, a combinatorial therapy of cell transplantation and biomaterial implantation may be addressed in detail here. For the sake of preserving damaged tissue integrity and providing physical support and trophic supply for axon regeneration, MSC transplantation has come to the front stage in therapy for SCI with the constant progress of stem cell engineering. MSC transplantation promotes scaffold integration and regenerative growth potential. Integrating into the implanted scaffold, MSCs influence implant integration by improving the healing process. Conversely, biomaterial scaffolds offer MSCs with a sheltered microenvironment from the surrounding pathological changes, in addition to bridging connection spinal cord stump and offering physical and directional support for axonal regeneration. Besides, Biomaterial scaffolds mimic the extracellular matrix to suppress immune responses.Here, we review the advances in combinatorial biomaterial scaffolds and MSC transplantation approach that targets certain aspects of various intercellular communications in the pathologic process following SCI. Finally, the challenges of biomaterial-supported MSC transplantation and its future direction for neuronal regeneration will be presented."
0,"Yuichi Sekine, Jane A Lindborg, Stephen M Strittmatter","A proteolytic C-terminal fragment of Nogo-A (reticulon-4A) is released in exosomes and potently inhibits axon regeneration.",2020,"The Journal of biological chemistry","","","",2,"2021-01-15 17:40:36","Journal Article","10.1074/jbc.RA119.009896","1083-351X","",295,8,2175,2183,0,0.00,0,3,1,"Glial signals are known to inhibit axonal regeneration and functional recovery after mammalian central nervous system trauma, including spinal cord injury. Such signals include membrane-associated proteins of the oligodendrocyte plasma membrane and astrocyte-derived, matrix-associated proteins. Here, using cell lines and primary cortical neuron cultures, recombinant protein expression, immunoprecipitation and immunoblot assays, transmission EM of exosomes, and axon regeneration assays, we explored the secretion and activity of the myelin-associated neurite outgrowth inhibitor Nogo-A and observed exosomal release of a 24-kDa C-terminal Nogo-A fragment from cultured cells. We found that the cleavage site in this 1192-amino-acid-long fragment is located between amino acids 961-971. We also detected a Nogo-66 receptor (NgR1)-interacting Nogo-66 domain on the exosome surface. Enzyme inhibitor treatment and siRNA knockdown revealed that β-secretase 1 (BACE1) is the protease responsible for Nogo-A cleavage. Functionally, exosomes with the Nogo-66 domain on their surface potently inhibited axonal regeneration of mechanically injured cerebral cortex neurons from mice. Production of this fragment was observed in the exosomal fraction from neuronal tissue lysates after spinal cord crush injury of mice. We also noted that, relative to the exosomal marker Alix, a Nogo-immunoreactive, 24-kDa protein is enriched in exosomes 2-fold after injury. We conclude that membrane-associated Nogo-A produced in oligodendrocytes is processed proteolytically by BACE1, is released via exosomes, and is a potent diffusible inhibitor of regenerative growth in NgR1-expressing axons."
0,"Yao Li, Wen Han, Yanqing Wu, Kailiang Zhou, Zhilong Zheng, Haoli Wang, Ling Xie, Rui Li, Ke Xu, Yanlong Liu, Xiangyang Wang, Jian Xiao","Stabilization of Hypoxia Inducible Factor-1α by Dimethyloxalylglycine Promotes Recovery from Acute Spinal Cord Injury by Inhibiting Neural Apoptosis and Enhancing Axon Regeneration.",2019,"Journal of neurotrauma","","","",3,"2021-01-15 17:40:36","Journal Article","10.1089/neu.2018.6364","1557-9042","",36,24,3394,3409,0,0.00,0,12,2,"Spinal cord injury (SCI) is a devastating neurological disorder that usually leads to a loss of motor and sensory function in patients. The expression of hypoxia inducible factor-1α (HIF-1α) is increased, and exerts a protective role after traumatic SCI. However, the endogenous activity of HIF-1α is insufficient for promoting functional recovery. The present study tested the potential effect of the sustained activation of HIF-1α by the prolylhydroxylase (PHD) inhibitor dimethyloxalylglycine (DMOG) on anti-apoptotic process and the regulation of axonal regeneration after SCI. Here, we found that treatment with DMOG significantly increased the expression of HIF-1α and that the stabilization of HIF-1α induced by DMOG not only decreased the expression of apoptotic proteins to promote neural survival, but also enhanced axonal regeneration by regulating microtubule stabilization in vivo and in vitro. In addition, we found that DMOG promoted neural survival and axonal regeneration by activating autophagy, which is induced by the HIF-1α/BNIP3 signaling pathway, and that the inhibition of HIF-1α or autophagy abrogated the protective effect of DMOG, as expected. Taken together, our results demonstrate that treatment with DMOG improves functional recovery after SCI and that DMOG may serve as a potential candidate for treating SCI."
0,"Alka Singh, Rajeshwar Nath Srivastava, Ashok Agrahari, Suruchi Singh, Saloni Raj, Tanushri Chatterji, Abbas Ali Mahdi, Ravindra Kumar Garg, Raja Roy","Proton NMR based serum metabolic profile correlates with the neurological recovery in treated acute spinal cord injury (ASCI) subjects: A pilot study.",2018,"Clinica chimica acta; international journal of clinical chemistry","","","",4,"2021-01-15 17:40:36","Journal Article","10.1016/j.cca.2018.02.011","1873-3492","",480,,150,160,0,0.00,0,9,3,"Acute Spinal Cord Injury (ASCI) is still having substantial morbidity and mortality despite of advanced therapeutics. Major obstacles are paucity of monitoring tools or biomarkers for severity determination, recovery and prognostication. A prospective case control pilot study with serum 1H NMR spectroscopic metabolic profiling was carried out to evaluate metabolites perturbations and its relationship with recovery and to see role of stem cells in facilitating neurological recovery. Twenty subjects with ASCI were classified on the basis of therapeutic modality into surgical fixation alone (Group-1, n = 10), stem cell adjuvant (Group-2, n = 10) and healthy controls (Group-0, n = 10). Serum samples were collected at admission (baseline) and after six months (follow-up). NMR data of serum sample were quantified and subjected to Wilcoxon and ANOVA tests. Further validation was performed using supervised OSC-PCA and OPLS-DA by incorporating substantial control samples. Twenty-eight metabolites were identified; well resolved resonances of fifteen metabolites were quantified wherein seven were statistically significant. Predominantly amino acids and ketone bodies played vital role in the differentiation of groups. Serum NMR spectroscopy reveals certain metabolites perturbations having clear correlation with pattern of recovery in treated ASCI subject. Stem cells treatment group had comparatively effective recovery."
0,"Sheng Chang, Yunlong Bi, Xiangwei Meng, Lin Qu, Yang Cao","Adenovirus-delivered GFP-HO-1C[INCREMENT]23 attenuates blood-spinal cord barrier permeability after rat spinal cord contusion.",2018,"Neuroreport","","","",5,"2021-01-15 17:40:36","Journal Article","10.1097/WNR.0000000000000983","1473-558X","",29,5,402,407,0,0.00,0,5,3,"The blood-spinal cord barrier (BSCB) plays a key role in maintaining the microenvironment and is primarily composed of tight junction proteins and nonfenestrated capillary endothelial cells. After injury, BSCB damage results in increasing capillary permeability and release of inflammatory factors. Recent studies have reported that haem oxygenase-1 (HO-1) fragments lacking 23 amino acids at the C-terminus (HO-1C[INCREMENT]23) exert novel anti-inflammatory and antioxidative effects in vitro. However, no study has identified the role of HO-1C[INCREMENT]23 in vivo. We aimed to investigate the protective effects of HO-1C[INCREMENT]23 on the BSCB after spinal cord injury (SCI) in a rat model. Here, adenoviral HO-1C[INCREMENT]23 (Ad-GFP-HO-1C[INCREMENT]23) was intrathecally injected into the 10th thoracic spinal cord segment (T10) 7 days before SCI. In addition, nuclear and cytoplasmic extraction and immunofluorescence staining of HO-1 were used to examine the effect of Ad-GFP-HO-1C[INCREMENT]23 on HO-1 nuclear translocation. Evan's blue staining served as an index of capillary permeability and was detected by fluorescence microscopy at 633 nm. Western blotting was also performed to detect tight junction protein expression. The Basso, Beattie and Bresnahan score was used to evaluate kinematic functional recovery through the 28th day after SCI. In this study, the Ad-GFP-HO-1C[INCREMENT]23 group showed better kinematic functional recovery after SCI than the Ad-GFP and Vehicle groups, as well as smaller reductions in TJ proteins and capillary permeability compared with those in the Ad-GFP and Vehicle groups. These findings indicated that Ad-GFP-HO-1C[INCREMENT]23 might have a potential therapeutic effect that is mediated by its protection of BSCB integrity."
0,"Ken Kotaka, Jun Nagai, Kenneth Hensley, Toshio Ohshima","Lanthionine ketimine ester promotes locomotor recovery after spinal cord injury by reducing neuroinflammation and promoting axon growth.",2017,"Biochemical and biophysical research communications","","","",6,"2021-01-15 17:40:36","Journal Article","10.1016/j.bbrc.2016.12.069","1090-2104","",483,1,759,764,0,0.00,0,4,4,"The mammalian central nervous system (CNS) has limited regenerative ability after injury, largely due to scar formation and axonal growth inhibitors. Experimental suppression of neuroinflammation encourages recovery from spinal cord injury (SCI), yet practical means for pharmacologically treating SCI have remained elusive. Lanthionine ketimine (LK) is a natural brain sulfur amino acid metabolite with demonstrated anti-neuroinflammatory and neurotrophic activities. LK and its synthetic brain-penetrating ethyl ester (LKE) promote growth factor-dependent neurite extension in cultured cell and suppress microglial activation in animal models of neurodegeneration. Thus far however, LKE has not been explored as a potential therapy for SCI. The present study investigated the hypothesis that systemic LKE could improve motor functional recovery after SCI in a mouse model. Intraperitoneal administration of LKE (100 mg/kg/d) after near-complete transect of spinal cord at the T7 level significantly improved motor function over a 4-week time course. Vehicle-treated mice, in contrast, demonstrated negligible functional recovery. In terms of histology, LKE treatment reduced pro-neuroinflammatory microglia/macrophage activation evidenced by quantitative Iba1 labeling and shifted the microglial phenotype toward a more neurotrophic M2 character evidenced by changes in the M2 marker arginase-1. This was correlated with less dense scar formation and more extensive axonal regrowth across the transection site demonstrated by 5-hydroxytryptamine (5HT) immunolabeling of raphespinal tract axons. These data provide evidence that LKE or similar compounds have potential therapeutic value for recovery after certain forms of SCI."
0,"Bing Gong, Miroslav Radulovic, Maria E Figueiredo-Pereira, Christopher Cardozo","The Ubiquitin-Proteasome System: Potential Therapeutic Targets for Alzheimer's Disease and Spinal Cord Injury.",2016,"Frontiers in molecular neuroscience","","","",7,"2021-01-15 17:40:36","Journal Article","10.3389/fnmol.2016.00004","1662-5099","",9,,4,,0,0.00,0,4,5,"The ubiquitin-proteasome system (UPS) is a crucial protein degradation system in eukaryotes. Herein, we will review advances in the understanding of the role of several proteins of the UPS in Alzheimer's disease (AD) and functional recovery after spinal cord injury (SCI). The UPS consists of many factors that include E3 ubiquitin ligases, ubiquitin hydrolases, ubiquitin and ubiquitin-like molecules, and the proteasome itself. An extensive body of work links UPS dysfunction with AD pathogenesis and progression. More recently, the UPS has been shown to have vital roles in recovery of function after SCI. The ubiquitin hydrolase (Uch-L1) has been proposed to increase cellular levels of mono-ubiquitin and hence to increase rates of protein turnover by the UPS. A low Uch-L1 level has been linked with Aβ accumulation in AD and reduced neuroregeneration after SCI. One likely mechanism for these beneficial effects of Uch-L1 is reduced turnover of the PKA regulatory subunit and consequently, reduced signaling via CREB. The neuron-specific F-box protein Fbx2 ubiquitinates β-secretase thus targeting it for proteasomal degradation and reducing generation of Aβ. Both Uch-L1 and Fbx2 improve synaptic plasticity and cognitive function in mouse AD models. The role of Fbx2 after SCI has not been examined, but abolishing ß-secretase reduces neuronal recovery after SCI, associated with reduced myelination. UBB+1, which arises through a frame-shift mutation in the ubiquitin gene that adds 19 amino acids to the C-terminus of ubiquitin, inhibits proteasomal function and is associated with increased neurofibrillary tangles in patients with AD, Pick's disease and Down's syndrome. These advances in understanding of the roles of the UPS in AD and SCI raise new questions but, also, identify attractive and exciting targets for potential, future therapeutic interventions."
0,"Phillip G Popovich, C Amy Tovar, Stanley Lemeshow, Qin Yin, Lyn B Jakeman","Independent evaluation of the anatomical and behavioral effects of Taxol in rat models of spinal cord injury.",2014,"Experimental neurology","","","",8,"2021-01-15 17:40:36","Journal Article","10.1016/j.expneurol.2014.06.020","1090-2430","",261,,97,108,0,0.00,0,5,7,"The goal of the current manuscript was to replicate published data that show intrathecal infusions of Taxol® (paclitaxel), an anti-neoplastic microtubule stabilizing agent, reduce fibrogliotic scarring caused by a dorsal spinal hemisection (DHx) injury and increase functional recovery and growth of serotonergic axons after moderate spinal contusion injury. These experiments were completed as part of an NIH-NINDS contract entitled ""Facilities of Research Excellence in Spinal Cord Injury (FORE-SCI) - Replication"". Here, data are presented that confirm the anti-scarring effects of Taxol after DHx injury; however, Taxol did not confer neuroprotection or promote serotonergic axon growth nor did it improve functional recovery in a model of moderate spinal contusion injury. Thus, only partial replication was achieved. Possible explanations for disparate results in our studies and published data are discussed."
0,"Daisuke Umebayashi, Atsushi Natsume, Hideyuki Takeuchi, Masahito Hara, Yusuke Nishimura, Ryuichi Fukuyama, Naoyuki Sumiyoshi, Toshihiko Wakabayashi","Blockade of gap junction hemichannel protects secondary spinal cord injury from activated microglia-mediated glutamate exitoneurotoxicity.",2014,"Journal of neurotrauma","","","",9,"2021-01-15 17:40:36","Journal Article","10.1089/neu.2013.3223","1557-9042","",31,24,1967,1974,0,0.00,0,8,7,"We previously demonstrated that activated microglia release excessive glutamate through gap junction hemichannels and identified a novel gap junction hemichannel blocker, INI-0602, that was proven to penetrate the blood-brain barrier and be an effective treatment in mouse models of amyotrophic lateral sclerosis and Alzheimer disease. Spinal cord injury causes tissue damage in two successive waves. The initial injury is mechanical and directly causes primary tissue damage, which induces subsequent ischemia, inflammation, and neurotoxic factor release resulting in the secondary tissue damage. These lead to activation of glial cells. Activated glial cells such as microglia and astrocytes are common pathological observations in the damaged lesion. Activated microglia release glutamate, the major neurotoxic factor released into the extracellular space after neural injury, which causes neuronal death at high concentration. In the present study, we demonstrate that reduction of glutamate-mediated exitotoxicity via intraperitoneal administration of INI-0602 in the microenvironment of the injured spinal cord elicited neurobehavioral recovery and extensive suppression of glial scar formation by reducing secondary tissue damage. Further, this intervention stimulated anti-inflammatory cytokines, and subsequently elevated brain-derived neurotrophic factor. Thus, preventing microglial activation by a gap junction hemichannel blocker, INI-0602, may be a promising therapeutic strategy in spinal cord injury."
0,"E Masliah, E Díez-Tejedor","The pharmacology of neurotrophic treatment with Cerebrolysin: brain protection and repair to counteract pathologies of acute and chronic neurological disorders.",2012,"Drugs of today (Barcelona, Spain : 1998)","","","",10,"2021-01-15 17:40:36","Journal Article","10.1358/dot.2012.48(Suppl.A).1739716","1699-3993","",48,,3,24,0,0.00,0,2,9,"Neurotrophic factors are considered as part of the therapeutic strategy for neurological disorders like dementia, stroke and traumatic brain injury. Cerebrolysin is a neuropeptide preparation which mimics the action of endogenous neurotrophic factors on brain protection and repair. In dementia models, Cerebrolysin decreases β-amyloid deposition and microtubule-associated protein tau phosphorylation by regulating glycogen synthase kinase-3β and cyclin-dependent kinase 5 activity, increases synaptic density and restores neuronal cytoarchitecture. These effects protect integrity of the neuronal circuits and thus result in improved cognitive and behavioral performance. Furthermore, Cerebrolysin enhances neurogenesis in the dentate gyrus, the basis for neuronal replacement therapy in neurodegenerative diseases. Experimental studies in stroke animal models have shown that Cerebrolysin stabilizes the structural integrity of cells by inhibition of calpain and reduces the number of apoptotic cells after ischemic lesion. Cerebrolysin induces restorative processes, decreases infarct volume and edema formation and promotes functional recovery. Stroke-induced neurogenesis in the subventricular zone was also promoted by Cerebrolysin, thus supporting the brain's self-repair after stroke. Both, traumatic brain and spinal cord injury conditions stimulate the expression of natural neurotrophic factors to promote repair and regeneration processes -axonal regeneration, neuronal plasticity and neurogenesis- that is considered to be crucial for the future recovery. Neuroprotective effects of Cerebrolysin on experimentally induced traumatic spinal cord injury have shown that Cerebrolysin prevents apoptosis of lesioned motoneurons and promotes functional recovery. This section summarizes the most relevant data on the pharmacology of Cerebrolysin obtained from in vitro assays (biochemical and cell cultures) and in vivo animal models of acute and chronic neurological disorders."
