Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"ZhenYu Wang, LinQuan Zhou, XiaoTing Zheng, WenGe Liu","Effects of dexamethasone on autophagy and apoptosis in acute spinal cord injury.",2018,"Neuroreport","","","",1,"2021-01-16 13:24:28","Journal Article","10.1097/WNR.0000000000001076","1473-558X","",29,13,1084,1091,0,0.00,0,4,3,"Previous studies have indicated that spinal cord injury can induce autophagy. To a certain extent, increased autophagy has a protective effect on neurons. Early hormone therapy is well recognized as a treatment for spinal cord injury. However, whether the protective effect of autophagy is important in recovery from spinal cord injury remains unclear. In this study, we established an in-vitro model of spinal cord injury to study the effects of dexamethasone on mechanical injury, autophagy, and apoptosis in spinal cord neurons. The results showed that dexamethasone inhibited the level of autophagy in the injured nerve cells in a dose-dependent manner. High doses of dexamethasone protected the damaged spinal cord neurons by inhibiting apoptosis, but a protective effect from low hormone concentrations was not obvious. When autophagy was inhibited in damaged spinal cord neurons, apoptosis decreased significantly; in contrast, impairment of autophagy-induced activation of spinal cord neurons and apoptosis levels were significantly increased."
0,"Jae Myun Chung, Jin Young Ahn","Relationship between clinical and radiologic findings of spinal cord injury in decompression sickness.",2017,"Undersea & hyperbaric medicine : journal of the Undersea and Hyperbaric Medical Society, Inc","","","",2,"2021-01-16 13:24:28","Journal Article","10.22462/1.2.2017.9","1066-2936","",44,1,57,62,0,0.00,0,2,4,"Decompression sickness may involve the central nervous system. The most common site is spinal cord. This study was conducted to determine the relationship between magnetic resonance(MR) imaging findings of spinal damage. We conducted a retrospective review of 12 patients (male=10, female=2) who presented with spinal cord symptoms. We investigated their clinical features, neurological findings and radiologic findings. The depth and bottom time of the dive were 34.5 meters (range 22-56) and 22.7 minutes (range 10-55) respectively. Most divers ascended within appropriate time frame as shown by the decompression tables. The most frequent initial symptoms were lower limb weakness (n=12), followed by sensory disturbances (n=10) and bladder dysfuction (n=5). The chief radiologic abnormalities were continuous (n=3), or non-continuous (n=5) high-signal intensity on T2-weighted images at posterior paramedian portion of the spinal cord, mainly thoracic level. There were no abnormal findings in the remaining four (4) patients, and they showed good prognosis. All patients were treated with hyperbaric oxygen therapy and some received high-dose dexamethasone. On discharge, five (5) patients had made a full recovery, seven (7) had some residual neurological sequelae, and all patients except one (1) regained normal bladder function. Spinal cord decompression sickness is a neurological emergency. Early recognition and treatment may minimize neurological damage. Initial normal finding in MR imaging was a good predictor for prognosis in spinal decompression sickness."
0,"Wei-Bing Xu, Gang Lv, Yan-Feng Wang, Xu-Hua Lu, Tao Huang, Yue Zhu, Lian-Shun Jia","Combination of dexamethasone and aminoguanidine reduces secondary damage in compression spinal cord injury.",2009,"Cellular and molecular neurobiology","","","",3,"2021-01-16 13:24:28","Journal Article","10.1007/s10571-009-9380-8","1573-6830","",29,5,683,689,0,0.00,0,7,12,"The study was performed to investigate the effect of combination therapy with aminoguanidine (AG) and dexamethasone (DEX) on the compression spinal cord injury (SCI) in rat. Compared to the control group, the combination therapy group with AG (75 mg/kg) and DEX (0.025 mg/kg) significantly reduced the degree of (1) spinal cord edema, (2) the permeability of blood spinal cord barrier (measured by (99m)Tc-Albumin), (3) infiltration of neutrophils (MPO evaluation), (4) cytokines expression (tumor necrosis factor-alpha and interleukin-1 beta), and (5) apoptosis (measured by Bax and Bcl-2 expression). In addition, we have also clearly demonstrated that the combination therapy significantly ameliorated the recovery of limb function (evaluated by motor recovery score). Taken together, our results clearly indicated for the first time that strategies targeting multiple proinflammatory pathways may be more effective than a single effector molecule for the treatment of SCI."
0,"T Genovese, E Mazzon, C Crisafulli, E Esposito, R Di Paola, C Muià, P Di Bella, R Meli, P Bramanti, S Cuzzocrea","Combination of dexamethasone and etanercept reduces secondary damage in experimental spinal cord trauma.",2007,"Neuroscience","","","",4,"2021-01-16 13:24:28","Journal Article","10.1016/j.neuroscience.2007.06.059","0306-4522","",150,1,168,181,0,0.00,0,10,14,"The aim of our study was to evaluate the therapeutic efficacy of combination therapy with etanercept and dexamethasone (DEX) in vivo in experimental murine model of spinal cord trauma, which was induced by the application of vascular clips (force of 24 g) to the dura via a four-level T5-T8 laminectomy. Spinal cord injury in mice resulted in severe trauma characterized by edema, neutrophil infiltration, and cytokine production followed by recruitment of other inflammatory cells, production of inflammation mediators, tissue damage, apoptosis and disease. Treatment of the mice with etanercept (1.25 mg/kg) and DEX (0.025 mg/kg) when administered as a combination therapy but not as a single treatment significantly reduced the degree of (1) spinal cord inflammation and tissue injury (histological score), (2) infiltration of neutrophils (MPO evaluation), (3) inducible nitric oxide synthase, nitrotyrosine, and cytokines expression (tumor necrosis factor-alpha and interleukin-1 beta), (4) and apoptosis (Terminal deoxynucleotidyltransferase-mediated UTP end labeling staining, Fas-ligand expression and Bax and Bcl-2 expression). In a separate set of experiments we have also clearly demonstrated that the combination therapy significantly ameliorated the recovery of limb function (evaluated by motor recovery score). Taken together, our results clearly demonstrate for the first time that strategies targeting multiple proinflammatory pathways may be more effective than a single effector molecule for the treatment of spinal cord trauma."
0,"Tiziana Genovese, Emanuela Mazzon, Emanuela Esposito, Carmelo Muià, Rosanna Di Paola, Placido Bramanti, Salvatore Cuzzocrea","Beneficial effects of FeTSPP, a peroxynitrite decomposition catalyst, in a mouse model of spinal cord injury.",2007,"Free radical biology & medicine","","","",5,"2021-01-16 13:24:28","Journal Article","10.1016/j.freeradbiomed.2007.05.012","0891-5849","",43,5,763,780,0,0.00,0,7,14,"The aim of the present study was to assess the contribution of peroxynitrite formation in the pathophysiology of spinal cord injury (SCI) in mice. To this purpose, we used a peroxynitrite decomposition catalyst, 5,10,15,20-tetrakis(4-sulfonatophenyl)porphyrinato iron III chloride (FeTSPP). Spinal cord trauma was induced by the application of vascular clips (force of 24g) to the dura via a four-level T5-T8 laminectomy. SCI in mice resulted in severe trauma characterized by edema, neutrophil infiltration, production of inflammatory mediators, tissue damage, and apoptosis. FeTSPP treatment (10-100 mg/kg, i.p.) significantly reduced in dose-dependent manner 1 and 4 h after the SCI (1) the degree of spinal cord inflammation and tissue injury (histological score), (2) neutrophil infiltration (myeloperoxidase activity), (3) nitrotyrosine formation and poly-(ADP-ribose) polymerase activation, (4) proinflammmaory cytokines expression, (5) NF-kappaB activation, and (6) apoptosis (TUNEL staining, Bax and Bcl-2 expression). Moreover, FeTSPP significantly ameliorated the recovery of limb function (evaluated by motor recovery score) in a dose-dependent manner. Taken together, our results clearly demonstrate that FeTSPP treatment reduces the development of inflammation and tissue injury associated with spinal cord trauma similarly to dexamethasone, a well-known antiinflammatory agent which we have used as positive control."
0,"Tiziana Genovese, Emanuela Mazzon, Concetta Crisafulli, Emanuela Esposito, Rosanna Di Paola, Carmelo Muià, Paolo Di Bella, Placido Bramanti, Salvatore Cuzzocrea","Effects of combination of melatonin and dexamethasone on secondary injury in an experimental mice model of spinal cord trauma.",2007,"Journal of pineal research","","","",6,"2021-01-16 13:24:28","Journal Article","10.1111/j.1600-079X.2007.00454.x","0742-3098","",43,2,140,153,0,0.00,0,9,14,"This study investigates the effects of combination therapy with melatonin and dexamethasone on the degree of spinal cord injury caused by the application of vascular clip in mice. Spinal cord injury in mice resulted in severe trauma, characterized by edema, neutrophil infiltration, and apoptosis (measured by terminal deoxynucleotidyltransferase-mediated UTP end labeling staining, and immunoreaction of Bax, Bcl-2, and Fas Ligand). Infiltration of the spinal cord tissue with neutrophils (measured as increase in myeloperoxidase activity) was associated with enhanced immuno- histochemical and functional alterations revealed, respectively, by an increased of tumor necrosis factor (TNF)-alpha immunoreactivity, NOS as well as nitrotyrosine and loss of hind leg movement in spinal cord injury (SCI)-operated mice. In contrast, the degree of neutrophil infiltration at different time points, cytokine expression, histologic damage iNOS expression, apoptosis, was markedly reduced in the tissues obtained from SCI-treated mice with the combination therapy, and the motor recovery was also ameliorated. No anti-inflammatory effect was observed in animals treated with melatonin (10 mg/kg) or with dexamethasone (0.025 mg/kg) alone. This study shows that the combination therapy with melatonin and dexamethasone reduces the degree of secondary damage associated with spinal cord injury in mice, and supports the possible use of melatonin in combination with steroids to reduce the dose and the side effects related with the use of steroids for the management of inflammatory disease."
0,"Jason Sheehan, Anne Eischeid, Randi Saunders, Nader Pouratian","Potentiation of neurite outgrowth and reduction of apoptosis by immunosuppressive agents: implications for neuronal injury and transplantation.",2006,"Neurosurgical focus","","","",7,"2021-01-16 13:24:28","Journal Article","10.3171/foc.2006.20.5.10","1092-0684","",20,5,,,0,0.00,0,4,15,"Immunosuppressive agents are believed to play a role in recovery from spinal cord injury, but the underlying mechanisms by which neuronal function is improved by these agents are poorly understood. In this study, the authors evaluate the effect of immunosuppressive medications on neurite outgrowth and cell survival after a pharmacologically induced injury. Differentiated human neuroblastoma SH-SY5Y cells were injured using the calcium agonist thapsigargin. After cellular injury, neurite outgrowth in the presence or absence of immunosuppressive agents was measured. Apoptosis was quantified with the aid of a terminal deoxynucleotidyl transferase-mediated deoxyuridine triphosphate nick-end labeling assay. Neurite outgrowth was severely restricted following thapsigargin injury. Outgrowth was potentiated, however, by the addition of concentrations of 1 and 10 mM cyclosporin A in a dose-dependent fashion. Similarly, addition of 10 nM FK506 increased the percentage of neurites in the 20- to 40-micron range. A low dose (1 mM) of dexamethasone did not have a significant effect on neurite outgrowth, but a higher dose (10 mM) increased the percentage of neurites in the 10- to 45-micron range. These agents also lessened the degree of thapsigargin-induced apoptosis. Immunosuppressive agents such as cyclosporin A, FK506, and dexamethasone can potentiate neurite outgrowth and protect against apoptotic cell death in a human postmitotic neuronal cell line. Such effects may have implications for lessening neuronal injury after neurotrauma, stroke, or neurodegeneration."
0,"Jesús Vaquero, Mercedes Zurita","Tissue expression of 165-aa vascular permeability factor after spinal cord injury is not influenced by dexamethasone administration in rats.",2004,"Neuroscience letters","","","",8,"2021-01-16 13:24:28","Journal Article","10.1016/j.neulet.2004.04.082","0304-3940","",365,3,214,217,0,0.00,0,2,17,"Using immunohistochemistry, RT-PCR, and Western Blot techniques, we studied the tissue expression of the 165-aa Vascular permeability factor (VPF) after spinal cord injury (SCI) in adult Wistar rats. The results were compared according to that the animals received or non-dexamethasone, at the dose of 1mg/kg and day after trauma. Furthermore, the different functional recovery between treated and non-treated animals was recorded. Although the administration of dexamethasone showed a beneficial effect on the functional recovery of the animals, the tissue expression of VPF after SCI is not influenced by dexamethasone administration. Therefore, the neuroprotective effect of the dexamethasone after experimental SCI is not mediated through an interference on the biological effects of the 165-aa vascular permeability factor."
0,"S González, F Labombarda, M C Gonzalez Deniselle, F E Saravia, P Roig, A F De Nicola","Glucocorticoid effects on Fos immunoreactivity and NADPH-diaphorase histochemical staining following spinal cord injury.",2001,"Brain research","","","",9,"2021-01-16 13:24:28","Journal Article","10.1016/s0006-8993(01)02717-2","0006-8993","",912,2,144,153,0,0.00,0,6,20,"Glucocorticoids (GC) provide neuroprotection and early recovery after spinal cord injury (SCI). While several mechanisms were proposed to account for these effects, limited information exists regarding GC actions in sensory areas of the spinal cord. Presently, we studied the time course of Fos expression, and reduced nicotinamide adenine dinucleotide phosphate-diaphorase (NADPH-d) histochemical staining to monitor neuronal responses to SCI with or without GC treatment. Rats with sham-operation or transection at the thoracic level (T7-T8) received vehicle or 5 mg/kg of the GC dexamethasone (DEX) at 5 min post-lesion and were sacrificed 2 or 4 h after surgery. Another group of SCI rats received vehicle or intensive DEX treatment (5 min, 6 h, 18 h and 46 h post-lesion) and were sacrificed 48 h after surgery. The number of NADPH-d positive neurons or Fos immunoreactive nuclei was studied by computer-assisted image analysis in superficial dorsal horn (Laminae I-III) and central canal area (Lamina X) below the lesion. While constitutive Fos immunoreactive nuclei were sparse in controls, SCI increased Fos expression at 2 and 4 h after injury. DEX treatment significantly enhanced the number of Fos positive nuclei in Laminae I-III by 4 h after transection, although the response was not maintained by intensive steroid treatment when tested at 48 h after SCI. NADPH-d positive neurons in Laminae I-III increased at 2 and 4 h after SCI while a delayed increased was found in central canal area (Lamina X). DEX treatment decreased NADPH-d positive neurons to sham-operated levels at all time points examined. Thus, while GC stimulation of Fos suggests activation of neurons involved in sympathetic outflow and/or pain, down-regulation of NADPH-d indicates attenuation of nociceptive outflow, considering the role of enzyme-derived nitric oxide in pain-related mechanisms. Differential hormonal effects on these molecules agree with their localization in different cell populations."
0,"C Brandoli, B Shi, B Pflug, P Andrews, J R Wrathall, I Mocchetti","Dexamethasone reduces the expression of p75 neurotrophin receptor and apoptosis in contused spinal cord.",2001,"Brain research. Molecular brain research","","","",10,"2021-01-16 13:24:28","Journal Article","10.1016/s0169-328x(00)00284-9","0169-328X","",87,1,61,70,0,0.00,0,6,20,"Apoptosis is an important cause of secondary cell death in spinal cord injury (SCI). SCI induces the expression of the low affinity neurotrophin receptor p75 (p75NTR), that in the absence of the high affinity component, TrkA, can promote cell death by apoptosis. We therefore hypothesized that a reduction of p75NTR expression in SCI may increase tissue sparing and therefore improve recovery of function. As a tool to test our hypothesis we used the synthetic glucocorticoid dexamethasone (DEX) to down-regulate p75NTR expression. A standardized thoracic spinal cord contusion injury was produced in female rats. Laminectomized and SCI rats received various doses of DEX immediately after injury and the treatment was continued daily for 7 days. DEX, given at high doses (20 mg/kg, s.c.) but not at low doses (1 or 8 mg/kg) prevented the increase in p75NTR mRNA and protein in SCI rats, without affecting the expression of TrkA. High doses of DEX also reduced cellular apoptosis both in white and gray matters. This effect correlated with the ability of DEX to accelerate behavioral recovery of function measured by a combined behavioral score. These data suggest that reduction of p75NTR in SCI may be a therapeutic strategy to limit cell and tissue damage and therefore to improve recovery of function in SCI patients."
