Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"Hui Wang, Wen-Xian Zhou, Jin-Feng Huang, Xuan-Qi Zheng, Hai-Jun Tian, Bin Wang, Wei-Li Fu, Ai-Min Wu","Endocrine Therapy for the Functional Recovery of Spinal Cord Injury.",2020,"Frontiers in neuroscience","","","",1,"2021-01-16 14:37:56","Journal Article","10.3389/fnins.2020.590570","1662-4548","",14,,590570,,0,0.00,0,8,1,"Spinal cord injury (SCI) is a major cause of physical disability and leads to patient dissatisfaction with their quality of life. Patients with SCI usually exhibit severe clinical symptoms, including sensory and motor dysfunction below the injured levels, paraplegia, quadriplegia and urinary retention, which can exacerbate the substantial medical and social burdens. The major pathological change observed in SCI is inflammatory reaction, which induces demyelination, axonal degeneration, and the apoptosis and necrosis of neurons. Traditional medical treatments are mainly focused on the recovery of motor function and prevention of complications. To date, numerous studies have been conducted to explore the cellular and molecular mechanism of SCI and have proposed lots of effective treatments, but the clinical applications are still limited due to the complex pathogenesis and poor prognosis after SCI. Endocrine hormones are kinds of molecules that are synthesized by specialized endocrine organs and can participate in the regulation of multiple physiological activities, and their protective effects on several disorders have been widely discussed. In addition, many studies have identified that endocrine hormones can promote nerve regeneration and functional recovery in individuals with central nervous system diseases. Therefore, studies investigating the clinical applications of endocrine hormones as treatments for SCI are necessary. In this review, we described the neuroprotective roles of several endocrine hormones in SCI; endocrine hormone administration reduces cell death and promotes functional repair after SCI. We also proposed novel therapies for SCI."
0,"Andrew N Stewart, Steven M MacLean, Arnold J Stromberg, Jessica P Whelan, William M Bailey, John C Gensel, Melinda E Wilson","Considerations for Studying Sex as a Biological Variable in Spinal Cord Injury.",2020,"Frontiers in neurology","","","",2,"2021-01-16 14:37:56","Journal Article","10.3389/fneur.2020.00802","1664-2295","",11,,802,,0,0.00,0,7,1,"In response to NIH initiatives to investigate sex as a biological variable in preclinical animal studies, researchers have increased their focus on male and female differences in neurotrauma. Inclusion of both sexes when modeling neurotrauma is leading to the identification of novel areas for therapeutic and scientific exploitation. Here, we review the organizational and activational effects of sex hormones on recovery from injury and how these changes impact the long-term health of spinal cord injury (SCI) patients. When determining how sex affects SCI it remains imperative to expand outcomes beyond locomotor recovery and consider other complications plaguing the quality of life of patients with SCI. Interestingly, the SCI field predominately utilizes female rodents for basic science research which contrasts most other male-biased research fields. We discuss the unique caveats this creates to the translatability of preclinical research in the SCI field. We also review current clinical and preclinical data examining sex as biological variable in SCI. Further, we report how technical considerations such as housing, size, care management, and age, confound the interpretation of sex-specific effects in animal studies of SCI. We have uncovered novel findings regarding how age differentially affects mortality and injury-induced anemia in males and females after SCI, and further identified estrus cycle dysfunction in mice after injury. Emerging concepts underlying sexually dimorphic responses to therapy are also discussed. Through a combination of literature review and primary research observations we present a practical guide for considering and incorporating sex as biological variable in preclinical neurotrauma studies."
0,"Thomas Theis, Suneel Kumar, Elena Wei, Jennifer Nguyen, Vicci Glynos, Nikita Paranjape, Hadi Askarifirouzjaei, Leila Khajouienejad, Francois Berthiaume, Wise Young, Melitta Schachner","Myristoylated alanine-rich C-kinase substrate effector domain peptide improves sex-specific recovery and axonal regrowth after spinal cord injury.",2020,"FASEB journal : official publication of the Federation of American Societies for Experimental Biology","","","",3,"2021-01-16 14:37:56","Journal Article","10.1096/fj.202000026RR","1530-6860","",34,9,12677,12690,0,0.00,0,11,1,"Myristoylated alanine-rich C-kinase substrate (MARCKS) is an intracellular receptor for polysialic acid. MARCKS supports development, synaptic plasticity, and regeneration after injury. MARCKS binds with its functionally essential effector domain (ED) to polysialic acid. A 25-mer peptide comprising the ED of MARCKS stimulates neuritogenesis of primary hippocampal neurons after addition to the culture. This motivated us to investigate whether ED peptide has similar effects in spinal cord injury. ED peptide supported recovery and regrowth of monoaminergic axons in female, but not in male mice. Sex-specific differences in response to ED peptide application also occurred in cultured neurons. In female but not male neurons, the ED peptide enhanced neurite outgrowth that could be suppressed by inhibitors of the estrogen receptors α and β, fibroblast growth factor receptor-1, protein kinase C, and matrix metalloproteinase 2. In addition, we observed female-specific elevation of phosphorylated MARCKS levels after ED peptide treatment. In male neurons, the ED peptide enhanced neuritogenesis in the presence of an androgen receptor inhibitor to the extent seen in ED peptide-treated female neurons. However, inhibition of androgen receptor did not lead to increased phosphorylation of MARCKS. These results provide insights into the functions of a novel compound contributing to gender-dependent regeneration."
0,"April Cox, Mollie Capone, Denise Matzelle, Alexey Vertegel, Mikhail Bredikhin, Abhay Varma, Azizul Haque, Donald C Shields, Naren L Banik","Nanoparticle-Based Estrogen Delivery to Spinal Cord Injury Site Reduces Local Parenchymal Destruction and Improves Functional Recovery.",2020,"Journal of neurotrauma","","","",4,"2021-01-16 14:37:56","Journal Article","10.1089/neu.2020.7047","1557-9042","",,,,,0,0.00,0,9,1,"Spinal cord injury (SCI) patients sustain significant functional impairments; this is causally related to restricted neuronal regeneration after injury. The ensuing reactive gliosis, inflammatory cascade, and glial scar formation impede axonal regrowth. Although systemic anti-inflammatory agents (steroids) have been previously administered to counteract this, no current therapeutic is approved for post-injury neuronal regeneration, in part because of related side effects. Likewise, therapeutic systemic estrogen levels exhibit neuroprotective properties, but dose-dependent side effects are prohibitive. The current study thus uses low-dose estrogen delivery to the spinal cord injury (SCI) site using an agarose gel patch embedded with estrogen-loaded nanoparticles. Compared to controls, spinal cords from rodents treated with nanoparticle site-directed estrogen demonstrated significantly decreased post-injury lesion size, reactive gliosis, and glial scar formation. However, axonal regeneration, vascular endothelial growth factor production, and glial-cell-derived neurotrophic factor levels were increased with estrogen administration. Concomitantly improved locomotor and bladder functional recovery were observed with estrogen administration after injury. Therefore, low-dose site-directed estrogen may provide a future approach for enhanced neuronal repair and functional recovery in SCI patients."
0,"Amany Farag, S Lashen, R Eltaysh","Histoarchitecture restoration of cerebellar sub-layers as a response to estradiol treatment following Kainic acid-induced spinal cord injury.",2019,"Cell and tissue research","","","",5,"2021-01-16 14:37:56","Journal Article","10.1007/s00441-019-02992-1","1432-0878","",376,3,309,323,0,0.00,0,3,2,"One of the major impacts of spinal cord injury (SCI) is the cerebellar neurological malfunction and deformation of its sub-layers. This could be due to the enormous innervation of the spinocerebellar tract from the posterior gray horn in the spinal cord to the ipsilateral cerebellum. Although the neuroprotective role of estradiol in spinal cord (SC) injuries, as well as its ability to delay secondary cell death changes, is well-known, its effect on cerebellar layers is not fully investigated. In this study, a SCI model was achieved by injection of Kainic acid into SC of adult Male Wistar rats in order to assess the effects of SCI on the cerebellum. The animals were classified into SCI group (animals with SCI), estradiol-treated group (animals with SCI and received estradiol), control groups, and sham control group. The microscopical examination 24 h after induction of SCI revealed that KA induced the most characteristics of neurodegeneration including astrocytic propagation and microglial activation. The estradiol was injected intraperitoneally 20 min after induction of SCI, and the samples were collected at 1, 3, 7, 14, and 30 days. Histologically, the estradiol reduced the inflammatory response, enhanced the recovery of molecular, granular, and Purkinje cell layers, and therefore aided in the restoration of layer organization. These findings were also confirmed by immunohistochemical staining and gene expression profiling."
0,"Dana M Otzel, Jimmy Lee, Fan Ye, Stephen E Borst, Joshua F Yarrow","Activity-Based Physical Rehabilitation with Adjuvant Testosterone to Promote Neuromuscular Recovery after Spinal Cord Injury.",2018,"International journal of molecular sciences","","","",6,"2021-01-16 14:37:56","Journal Article","10.3390/ijms19061701","1422-0067","",19,6,,,0,0.00,0,5,3,"Neuromuscular impairment and reduced musculoskeletal integrity are hallmarks of spinal cord injury (SCI) that hinder locomotor recovery. These impairments are precipitated by the neurological insult and resulting disuse, which has stimulated interest in activity-based physical rehabilitation therapies (ABTs) that promote neuromuscular plasticity after SCI. However, ABT efficacy declines as SCI severity increases. Additionally, many men with SCI exhibit low testosterone, which may exacerbate neuromusculoskeletal impairment. Incorporating testosterone adjuvant to ABTs may improve musculoskeletal recovery and neuroplasticity because androgens attenuate muscle loss and the slow-to-fast muscle fiber-type transition after SCI, in a manner independent from mechanical strain, and promote motoneuron survival. These neuromusculoskeletal benefits are promising, although testosterone alone produces only limited functional improvement in rodent SCI models. In this review, we discuss the (1) molecular deficits underlying muscle loss after SCI; (2) independent influences of testosterone and locomotor training on neuromuscular function and musculoskeletal integrity post-SCI; (3) hormonal and molecular mechanisms underlying the therapeutic efficacy of these strategies; and (4) evidence supporting a multimodal strategy involving ABT with adjuvant testosterone, as a potential means to promote more comprehensive neuromusculoskeletal recovery than either strategy alone."
0,"Shuangfei Ni, Yong Cao, Liyuan Jiang, Zixiang Luo, Hongbin Lu, Jianzhong Hu, Tianding Wu","Synchrotron Radiation Imaging Reveals the Role of Estrogen in Promoting Angiogenesis After Acute Spinal Cord Injury in Rats.",2018,"Spine","","","",7,"2021-01-16 14:37:56","Journal Article","10.1097/BRS.0000000000002629","1528-1159","",43,18,1241,1249,0,0.00,0,7,3,"The efficacy of estrogen on vessel angiogenesis in acute spinal cord injury (SCI) in a rat model was evaluated by synchrotron radiation. Here, we investigate the change in injured spinal cord vessels and used the synchrotron radiation to investigate the effect of estrogen on vessel angiogenesis and functional recovery in a rat model of SCI. The promotion of angiogenesis after SCI may be a therapeutic target in the treatment of SCI. Estrogen has been reported to improve locomotor recovery after SCI. However, how estrogen regulates angiogenesis in acute SCI and enhances neurological functional recovery has not been fully characterized. Synchrotron radiation imaging combined with histological methods was used to image angiogenesis in acute spinal cord treatment with estrogen in rats. Synchrotron radiation imaging vividly demonstrated three-dimensional vessel changes in the spinal cord after injury. The imaging showed that vessel number, vessel volume fraction, and vessel connectivity value in the groups treated with estrogen after SCI were significantly increased compared to control groups (P < 0.05). Vessel angiogenesis increased in groups treated with estrogen compared with control rats, which was confirmed with histological staining. Estrogen treatment also attenuated the injury-induced lesion area compared with control groups and improved locomotor functional recovery after SCI. The results indicated that synchrotron radiation is a powerful imaging tool for visualizing angiogenesis after acute SCI. Estrogen treatment exerted a neuroprotective effect on acute SCI treatment by promoting angiogenesis and reducing the injury-induced lesion area could be recommended as a potential preclinical treatment approach for acute SCI. N/A."
0,"Jennifer M Colón, Pablo A González, Ámbar Cajigas, Wanda I Maldonado, Aranza I Torrado, José M Santiago, Iris K Salgado, Jorge D Miranda","Continuous tamoxifen delivery improves locomotor recovery 6h after spinal cord injury by neuronal and glial mechanisms in male rats.",2018,"Experimental neurology","","","",8,"2021-01-16 14:37:56","Journal Article","10.1016/j.expneurol.2017.10.006","1090-2430","",299,,109,121,0,0.00,0,8,3,"No treatment is available for patients with spinal cord injury (SCI). Patients often arrive to the hospital hours after SCI suggesting the need of a therapy that can be used on a clinically relevant window. Previous studies showed that Tamoxifen (TAM) treatment 24h after SCI benefits locomotor recovery in female rats. Tamoxifen exerts beneficial effects in male and female rodents but a gap of knowledge exists on: the therapeutic window of TAM, the spatio-temporal mechanisms activated and if this response is sexually dimorphic. We hypothesized that TAM will favor locomotor recovery when administered up-to 24h after SCI in male Sprague-Dawley rats. Rats received a thoracic (T10) contusion using the MACSIS impactor followed by placebo or TAM (15mg/21days) pellets in a therapeutic window of 0, 6, 12, or 24h. Animals were sacrificed at 2, 7, 14, 28 or 35days post injury (DPI) to study the molecular and cellular changes in the acute and chronic stages. Immediate or delayed therapy (t=6h) improved locomotor function, increased white matter spared tissue, and neuronal survival. TAM reduced reactive gliosis during chronic stages and increased the expression of Olig-2. A significant difference was observed in estrogen receptor alpha between male and female rodents from 2 to 28 DPI suggesting a sexually dimorphic characteristic that could be related to the behavioral differences observed in the therapeutic window of TAM. This study supports the use of TAM in the SCI setting due to its neuroprotective effects but with a significant sexually dimorphic therapeutic window."
0,"Jiayu Xiao, Jiqiang Zhang, Yangang Zhao, Wenjie Huang, Zhikai Guo, Bingyin Su, Qiang Guo","Sex differences of steroid receptor coactivator-1 expression after spinal cord injury in mice.",2017,"Neurological research","","","",9,"2021-01-16 14:37:56","Journal Article","10.1080/01616412.2017.1367077","1743-1328","",39,11,1022,1027,0,0.00,0,7,4,"The neural functional recovery of female is often better than that of male after spinal cord injury (SCI). Evidences show that estrogen can attenuate inflammation and promote the neural survival and regeneration after SCI. SRC-1 is an essential initiation factor for the estrogen-regulated target gene transcription and plays a key role in regulating estrogen activity. However, it is not known whether and how SRC-1 mediates the neural regeneration promoted by estrogen after SCI. Study of the sex differences and changes of SRC-1 expression after SCI will be helpful to understand the above questions. In this study, the sex differences of expressions of SRC-1 and cytoskeleton-associated protein Profilin-1 in normal and SCI mice were detected by immunohistochemistry at 1-, 3-, and 7 days after injury, respectively. Although the SRC-1 expression in female mice was lower than that in males under normal conditions, its expression in females was more dominant after SCI. The expression of Profilin-1 in both sexes increased first, and then decreased at 3 days after injury. However, there was a second increase in females at 7 days after injury. Our study suggests that the more SRC-1 expression in females after SCI may play a role in improving the efficiency of estrogen function and thus, promote regeneration better. SRC-1 may also participate in the regulation of Profilin-1 in spinal cord, which is important in the assembly and extension of the axonal cytoskeleton during regeneration after SCI."
0,"Adib Zendedel, Fabian Mönnink, Gholamreza Hassanzadeh, Arash Zaminy, Malek Masoud Ansar, Pardes Habib, Alexander Slowik, Markus Kipp, Cordian Beyer","Estrogen Attenuates Local Inflammasome Expression and Activation after Spinal Cord Injury.",2018,"Molecular neurobiology","","","",10,"2021-01-16 14:37:56","Journal Article","10.1007/s12035-017-0400-2","1559-1182","",55,2,1364,1375,0,0.00,0,9,3,"17-estradiol (E2) is a neuroprotective hormone with a high anti-inflammatory potential in different neurological disorders. The inflammatory response initiated by spinal cord injury (SCI) involves the processing of interleukin-1beta (IL-1b) and IL-18 mediated by caspase-1 which is under the control of an intracellular multiprotein complex called inflammasome. We recently described in a SCI model that between 24 and 72 h post-injury, most of inflammasome components including IL-18, IL-1b, NLRP3, ASC, and caspase-1 are upregulated. In this study, we investigated the influence of E2 treatment after spinal cord contusion on inflammasome regulation. After contusion of T9 spinal segment, 12-week-old male Wistar rats were treated subcutaneously with E2 immediately after injury and every 12 h for the next 3 days. Behavioral scores were significantly improved in E2-treated animals compared to vehicle-treated groups. Functional improvement in E2-treated animals was paralleled by the attenuated expression of certain inflammasome components such as ASC, NLRP1b, and NLRP3 together with IL1b, IL-18, and caspase-1. On the histopathological level, microgliosis and oligodendrocyte injury was ameliorated. These findings support and extend the knowledge of the E2-mediated neuroprotective function during SCI. The control of the inflammasome machinery by E2 might be a missing piece of the puzzle to understand the anti-inflammatory potency of E2."
