Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"Sajad Fakhri, Amir Kiani, Cyrus Jalili, Fatemeh Abbaszadeh, Sana Piri, Mohammad Hosein Farzaei, Mohsen Rastegari-Pouyani, Ehsan Mohammadi-Noori, Haroon Khan","Intrathecal Administration of Melatonin Ameliorates the Neuroinflammation-mediated Sensory and Motor Dysfunction in a rat Model of Compression Spinal Cord Injury.",2020,"Current molecular pharmacology","","","",1,"2021-01-16 15:30:29","Journal Article","10.2174/1874467213666201230101811","1874-4702","",,,,,0,0.00,0,9,1,"Spinal cord injury (SCI), often characterized by sensory-motor dysfunction, is a major debilitating disorder of the central nervous system. As no useful treatment for post-SCI complications has been approved thus far, finding novel treatments is of great importance. Considering the promising effects of melatonin (MEL) against destructive mechanisms in other models of brain damage, in the current study we evaluated its ameliorative effects on sensory-motor outcomes, inflammatory mediators, histological changes and other post-SCI complications. Rats, in SCI and MEL groups, underwent laminectomy followed by a severe compression injury by an aneurysm clip. Then, intrathecal treatment with vehicle (5% dimethyl sulfoxide) or MEL was carried out post-injury. Acetone drop, von Frey, inclined plane, and BBB tests as well as weight changes and auricle temperature, were used to evaluate the neuropathic pain, motor function, and other post-SCI complications. The effects of MEL on the activity of MMP-2 and MMP-9 were assessed using gelatin zymography method every week till day 28 post-SCI. Histopathological assessments were performed on days 14, 21, and 28. MEL treatment resulted in decreased motor dysfunction, mechanical and cold allodynia, auricle temperature, and also ameliorated weight loss. Moreover, MEL suppressed MMP-9 activity while increasing that of MMP-2 post-SCI indicating its anti-neuroinflammatory effects. Also, MEL significantly preserved white matter myelinated areas and the number of sensory neurons post-SCI. The results suggest MEL as a promising candidate for medical therapies with advantageous effects on improving functional recovery through suppressing inflammatory mediators, and attenuating spinal tissue damages."
0,"Minghao Yao, Jinrui Li, Junni Zhang, Shanshan Ma, Luyu Wang, Feng Gao, Fangxia Guan","Dual-enzymatically cross-linked gelatin hydrogel enhances neural differentiation of human umbilical cord mesenchymal stem cells and functional recovery in experimental murine spinal cord injury.",2020,"Journal of materials chemistry. B","","","",2,"2021-01-16 15:30:29","Journal Article","10.1039/d0tb02033h","2050-7518","",,,,,0,0.00,0,7,1,"Recently, an advanced stem cell and tissue engineering approach has been recognized as an emerging and fascinating strategy to promote neural repair in spinal cord injury (SCI). Hydrogels can be properly engineered to encapsulate cells, enhance cell viability and neural differentiation, and provide the advantage of flexible adaptation to irregular defects. In this study, a dual-enzymatically cross-linked gelatin hydrogel with hydrogen horseradish peroxidase (HRP) and galactose oxidase (GalOx) was proposed to combine human umbilical cord mesenchymal stem cells (hUC-MSCs) for facilitating nerve regeneration post-SCI. In vitro, hUC-MSCs in this 3D gelatin hydrogel displayed good viability, proliferation, and neuronal differentiation. To further evaluate the neural regeneration effect of hUC-MSCs loaded into gelatin hydrogels in vivo, a clinically-relevant and force-controlled contusion model of mouse spinal cords was established. We found that implantation of a hydrogel loaded with hUC-MSCs significantly promoted the motor function recovery evaluated by Basso Mouse Scale (BMS) and footprint tests. Further histological analysis showed that the hydrogel and hUC-MSC combined transplantation dramatically decreased inflammation, inhibited apoptosis and promoted neurogenesis. Overall, implantation of this dual-enzymatically cross-linked and MSC-laden 3D gelatin hydrogel is a promising therapeutic strategy for SCI treatment."
0,"Pinghui Zhou, Panpan Xu, Jingjing Guan, Changchun Zhang, Jianrong Chang, Fugen Yang, Hui Xiao, Hengheng Sun, Zhuoran Zhang, Mengqing Wang, Jianguo Hu, Yingji Mao","Promoting 3D neuronal differentiation in hydrogel for spinal cord regeneration.",2020,"Colloids and surfaces. B, Biointerfaces","","","",3,"2021-01-16 15:30:29","Journal Article","10.1016/j.colsurfb.2020.111214","1873-4367","",194,,111214,,0,0.00,0,12,1,"Spinal cord injury (SCI) affects millions of people worldwide, and results in the loss of neurons and limited recovery of functions. Bone mesenchymal stem cells (BMSCs) and neural stem cells (NSCs) can proliferate or differentiate into other specific cell types. These cells represent potential treatments for SCIs. However, recent studies have shown that NSCs mainly differentiate into astrocytes, rather than neurons, in the microenvironment of an SCI. BMSCs have been reported to promote neuronal differentiation of NSCs and reduce the formation of astrocytes. Furthermore, three-dimensional (3D) gelatin methacryloyl (GelMA) provides superior mechanical properties and functional characteristics for cell proliferation, migration, and differentiation. In this study, we proposed a functional scaffold developed by loading BMSCs and NSCs into 3D GelMA hydrogel. BMSCs and NSCs that were photo-encapsulated in the 3D GelMA hydrogel survived and demonstrated good proliferation in vitro. The NSCs differentiated more toward neurons and oligodendrocytes than toward astrocytes, a phenomenon more noticeable in low-modulus hydrogels. When functional hydrogel scaffolds, loaded with BMSCs and NSCs, were implanted into the hemisection site of the rat spinal cord, they could significantly promote motor function recovery and neuronal differentiation, and decrease glial scarring, fibrotic scarring, and inflammatory responses. The immense therapeutic potential of this system to promote axonal regeneration was thereby demonstrated. Taken together, loading of the GelMA scaffold with BMSCs and NSCs is a promising therapeutic strategy to trigger functional regeneration of the spinal cord."
0,"Dezun Ma, Yannan Zhao, Lei Huang, Zhifeng Xiao, Bing Chen, Ya Shi, He Shen, Jianwu Dai","A novel hydrogel-based treatment for complete transection spinal cord injury repair is driven by microglia/macrophages repopulation.",2020,"Biomaterials","","","",4,"2021-01-16 15:30:29","Journal Article","10.1016/j.biomaterials.2020.119830","1878-5905","",237,,119830,,0,0.00,0,8,1,"Microglia/macrophage mediated-inflammation, a main contributor to the microenvironment after spinal cord injury (SCI), persists for a long period of time and affects SCI repair. However, the effects of microglia/macrophage mediated-inflammation on neurogenic differentiation of endogenous neural stem/progenitor cells (NSPCs) are not well understood. In this study, to attenuate activated microglia/macrophage mediated-inflammation in the spinal cord of complete transection SCI mice, a combination of photo-crosslinked hydrogel transplantation and CSF1R inhibitor (PLX3397) treatment was used to replace the prolonged, activated microglia/macrophages via cell depletion and repopulation. This combined treatment in SCI mice produced a significant reduction in CD68-positive reactive microglia/macrophages and mRNA levels of pro-inflammatory factors, and a substantial increase in the number of Tuj1-positive neurons in the lesion area compared with single treatment methods. Moreover, most of the newborn Tuj1-positive neurons were confirmed to be generated from endogenous NSPCs using a genetic fate mapping mouse line (Nestin-CreERT2; LSL-tdTomato) that can label and trace NSPC marker-nestin expressing cells and their progenies. Collectively, our findings show that the combined treatment method for inhibiting microglia/macrophage mediated-inflammation promotes endogenous NSPC neurogenesis and improves functional recovery, which provides a promising therapeutic strategy for complete transection SCI."
0,"Rajasekaran Subbarayan, Rajamani Barathidasan, Selvaraj T K Raja, Gnanamani Arumugam, Sarah Kuruvilla, Palanivelu Shanthi, Suresh Ranga Rao","Human gingival derived neuronal cells in the optimized caffeic acid hydrogel for hemitransection spinal cord injury model.",2020,"Journal of cellular biochemistry","","","",5,"2021-01-16 15:30:29","Journal Article","10.1002/jcb.29452","1097-4644","",121,3,2077,2088,0,0.00,0,7,1,"Spinal cord injury induces scar formation causes axonal damage that leads to the degeneration of axonal function. Still, there is no robust conceptual design to regenerate the damaged axon after spinal injury. Therefore, the present study demonstrates that human gingival derived neuronal stem cells (GNSCs) transplants in the injectable caffeic acid bioconjugated hydrogel (CBGH) helps to bridge the cavity and promote the engraftment and repopulation of transplants in the injured spinal tissue. Our study reports that the bioluminescence imaging in vivo imaging system (IVIS) provides a satisfactory progression in CBGH-GNSCs transplants compare to lesion control and CBGH alone. Immune regulators interleukin-6 (IL-6), tumor necrosis factor-α, neutrophil elastase are decreased, IL-10 is increased. Likewise, immunostaining (TAU/TUJ-1, SOX-2/NeuN, MAP-2/PSD93, NSE, S100b, and GFAP) shown repopulated cells. Also, TRA-1-81 expression confirms the absence of immune rejection in the CBGH-GNSCs transplants. However, locomotor recovery test, gene (IL-6, CASPASE3, p14-ARF, VEGF, LCAM, BDNF, NT3, NGN2, TrKc, FGF2, Sox-2, TUJ-1, MAP-2, Nestin, and NeuN) and protein expression (TAU, TUJ-1, SOX-2 MAP-2, PSD93, NeuN, TRA-1-81, GFAP, TAU, and MBP) shows functional improvements in the CBGH-GNSCs group. Further, GABA and glutamine level demonstrates the new synaptic vesicle formation. Hence, the CBGH scaffold enhances GNSCs transplants to restore the injured spinal tissue."
0,"Xing-Rui Huang, Hao Xu, Ye Zhang, Yuan-Bin Jiang, Chen-Lin Xia, Shu-Chen Fang","[Repair effect of bFGF combined with bone marrow mesenchymal stem cells on spinal cord injury in rats].",2019,"Zhongguo gu shang = China journal of orthopaedics and traumatology","","","",6,"2021-01-16 15:30:29","Journal Article","10.3969/j.issn.1003-0034.2019.07.013","1003-0034","",32,7,653,657,0,0.00,0,6,2,"To observe the repair effect of bone marrow mesenchymal stem cells (BMSCs) combined with basic fibroblast growth factor (bFGF) on spinal cord injury in rats and explore its mechanism. SD rat BMSCs were obtained by serum culture technique. Eighty healthy 6-week-old male SD rats(weight about 240 g) were randomly divided into 4 groups with 20 each. The sham operation group underwent simple laminectomy without damaging spinal cord and was kept in the same condition as the other 3 groups. The other 3 groups underwent left T9 spinal cord hemisection to establish spinal cord injury model. After 9 days of modeling the local transplantation was performed. The Control group was implanted with gelatin sponge containing normal saline. The BMSCs transplantation group was implanted with gelatin sponge containing BMSCs. The bFGF+BMSCs transplantation group was implanted with gelatin sponge containing bFGF+BMSCs. After 4 and 8 weeks, the expression of NF-200 and GFAP in injured spinal cord tissue was analyzed by Western blotting and the recovery of hind limb function was evaluated by Basso Beattie Bresnahan(BBB) motor function score scale. The BBB scores of BMSCs transplantation group and bFGF+BMSCs transplantation group were better than control group at 4 and 8 weeks after operation (P<0.05) and there was significant difference between bFGF+BMSCs transplantation group and BMSCs transplantation group (P<0.05). After 4 and 8 weeks postoperatively, NF-200 expression was minimal in control group and only a small amount was expressed in BMSCs transplantation group while in bFGF+BMSCs transplantation group NF-200 was highly expressed(P<0.05). GFAP expression was high in control group, middle in BMSCs transplantation group and low in bFGF BMSCs transplantation group(P<0.05). There was significant difference between bFGF+BMSCs transplantation group, BMSCs transplantation group and control group(P<0.05). The combined transplantation of BMSCs and bFGF can repair the spinal cord injury in rats. The mechanism may be related to the decrease of GFAP expression and the increase of NF-200 expression."
0,"Hamideh Babaloo, Somayeh Ebrahimi-Barough, Mohammad Ali Derakhshan, Meysam Yazdankhah, Nasrin Lotfibakhshaiesh, Masoud Soleimani, Mohammad-Taghi Joghataei, Jafar Ai","PCL/gelatin nanofibrous scaffolds with human endometrial stem cells/Schwann cells facilitate axon regeneration in spinal cord injury.",2019,"Journal of cellular physiology","","","",7,"2021-01-16 15:30:29","Journal Article","10.1002/jcp.27936","1097-4652","",234,7,11060,11069,0,0.00,0,8,2,"The significant consequences of spinal cord injury (SCI) include sensory and motor disability resulting from the death of neuronal cells and axon degeneration. In this respect, overcoming the consequences of SCI including the recovery of sensory and motor functions is considered to be a difficult tasks that requires attention to multiple aspects of treatment. The breakthrough in tissue engineering through the integration of biomaterial scaffolds and stem cells has brought a new hope for the treatment of SCI. In the present study, human endometrial stem cells (hEnSCs) were cultured with human Schwann cells (hSC) in transwells, their differentiation into nerve-like cells was confirmed by quantitative real-time reverse transcription polymerase chain reaction (qRT-PCR) and immunocytochemistry techniques. The differentiated cells (co-hEnSC) were then seeded on the poly ε-caprolactone (PCL)/gelatin scaffolds. The SEM images displayed the favorable seeding and survival of the cells on the scaffolds. The seeded scaffolds were then transplanted into hemisected SCI rats. The growth of neuronal cells was confirmed with immunohistochemical study using NF-H as a neuronal marker. Finally, the Basso, Beattie, and Bresnahan (BBB) test confirmed the recovery of sensory and motor functions. The results suggested that combination therapy using the differentiated hEnSC seeded on PCL/gelatin scaffolds has the potential to heal the injured spinal cord and to limit the secondary damage."
0,"Chong Wang, Haibing Yue, Qian Feng, Bingzhe Xu, Liming Bian, Peng Shi","Injectable Nanoreinforced Shape-Memory Hydrogel System for Regenerating Spinal Cord Tissue from Traumatic Injury.",2018,"ACS applied materials & interfaces","","","",8,"2021-01-16 15:30:29","Journal Article","10.1021/acsami.8b08929","1944-8252","",10,35,29299,29307,0,0.00,0,6,3,"Traumatic injury in the central nervous system can lead to loss of functional neurons. Transplantation of neural progenitors is a promising therapeutic strategy. However, infusion of dissociated cells often suffers from low viability, uneven cell distribution, and poor in vivo engraftment that could be reinforced by a better cell delivery system. Here, we develop an injectable composite hydrogel system for use as a minimally invasive treatment of spinal cord injury (SCI) using motor neurons (MNs) derived from embryonic stem cells (ESCs). The composite hydrogel is based on a modified gelatin matrix integrated with shape-memory polymer fibers. The gelatin matrix creates a local microenvironment for cell assembly and also acts as a lubricant during injection through a fine catheter. Notably, shape-memory fiber scaffolds are able to recover to maintain the microstructures even after dramatic deformation from injection operation, providing the necessary support and guidance for motor neuron differentiation. We find that the composite hydrogel with an aligned fiber scaffold greatly improves the viability of ESCs and their differentiation toward MNs both in vitro and in vivo. When transplanted to SCI animals by injection, the ESC-loaded composite hydrogels are identified to significantly enhance tissue regeneration and motor function recovery in mice. With this proof-of-concept study, we believe that the injectable composite hydrogel system provides a promising solution for in vivo cell delivery with minimum invasiveness and can be readily extended to other stem-cell-based regenerative treatments."
0,"Guo-Hui Wu, Hui-Juan Shi, Ming-Tian Che, Meng-Yao Huang, Qing-Shuai Wei, Bo Feng, Yuan-Huan Ma, Lai-Jian Wang, Bin Jiang, Ya-Qiong Wang, Inbo Han, Eng-Ang Ling, Xiang Zeng, Yuan-Shan Zeng","Recovery of paralyzed limb motor function in canine with complete spinal cord injury following implantation of MSC-derived neural network tissue.",2018,"Biomaterials","","","",9,"2021-01-16 15:30:29","Journal Article","10.1016/j.biomaterials.2018.07.010","1878-5905","",181,,15,34,0,0.00,0,14,3,"We have reported previously that bone marrow mesenchymal stem cell (MSC)-derived neural network scaffold not only survived in the injury/graft site of spinal cord but also served as a ""neuronal relay"" that was capable of improving the limb motor function in a complete spinal cord injury (SCI) rat model. It remained to be explored whether such a strategy was effective for repairing the large spinal cord tissue loss as well as restoring motor function in larger animals. We have therefore extended in this study to construct a canine MSC-derived neural network tissue in vitro with the aim to evaluate its efficacy in treating adult beagle dog subjected to a complete transection of the spinal cord. The results showed that after co-culturing with neurotropin-3 overexpressing Schwann cells in a gelatin sponge scaffold for 14 days, TrkC overexpressing MSCs differentiated into neuron-like cells. In the latter, some cells appeared to make contacts with each other through synapse-like structures with trans-synaptic electrical activities. Remarkably, the SCI canines receiving the transplantation of the MSC-derived neural network tissue demonstrated a gradual restoration of paralyzed limb motor function, along with improved electrophysiological presentation when compared with the control group. Magnetic resonance imaging and diffusion tensor imaging showed that the canines receiving the MSC-derived neural network tissue exhibited robust nerve tract regeneration in the injury/graft site. Histological analysis showed that some of the MSC-derived neuron-like cells had survived in the injury/graft site up to 6.5 months. Implantation of MSC-derived neural network tissue significantly improved the microenvironment of the injury/graft site. It is noteworthy that a variable number of them had integrated with the regenerating corticospinal tract nerve fibers and 5-HT nerve fibers through formation of synapse-like contacts. The results suggest that the transplanted MSC-derived neural network tissue may serve as a structural and functional ""neuronal relay"" to restore the paralyzed limb motor function in the canine with complete SCI."
0,"Lei Fan, Can Liu, Xiuxing Chen, Yan Zou, Zhengnan Zhou, Chenkai Lin, Guoxin Tan, Lei Zhou, Chenyun Ning, Qiyou Wang","Directing Induced Pluripotent Stem Cell Derived Neural Stem Cell Fate with a Three-Dimensional Biomimetic Hydrogel for Spinal Cord Injury Repair.",2018,"ACS applied materials & interfaces","","","",10,"2021-01-16 15:30:29","Journal Article","10.1021/acsami.8b05293","1944-8252","",10,21,17742,17755,0,0.00,0,10,3,"Current treatment approaches for spinal cord injuries (SCIs) are mainly based on cellular transplantation. Induced pluripotent stem cells (iPSCs) without supply constraints and ethical concerns have emerged as a viable treatment option for repairing neurological disorders. However, the primarily limitations in the neuroregeneration field are uncontrolled cell differentiation, and low cell viability caused by the ischemic environment. The mechanical property of three-dimensional (3D) hydrogel can be easily controlled and shared similar characteristics with nerve tissue, thus promoting cell survival and controlled cell differentiation. We propose the combination of a 3D gelatin methacrylate (GelMA) hydrogel with iPSC-derived NSCs (iNSCs) to promote regeneration after SCI. In vitro, the iNSCs photoencapsulated in the 3D GelMA hydrogel survived and differentiated well, especially in lower-moduli hydrogels. More robust neurite outgrowth and more neuronal differentiation were detected in the soft hydrogel group. To further evaluate the in vivo neuronal regeneration effect of the GelMA hydrogels, a mouse spinal cord transection model was generated. We found that GelMA/iNSC implants significantly promoted functional recovery. Further histological analysis showed that the cavity areas were significantly reduced, and less collagen was deposited in the GelMA/iNSC group. Furthermore, the GelMA and iNSC combined transplantation decreased inflammation by reducing activated macrophages/microglia (CD68-positive cells). Additionally, GelMA/iNSC implantation showed striking therapeutic effects of inhibiting GFAP-positive cells and glial scar formation while simultaneously promoting axonal regeneration. Undoubtedly, use of this 3D hydrogel stem cell-loaded system is a promising therapeutic strategy for SCI repair."
