Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"Di Zhang, Wenming Zhang, Xianwei Zhou, Huiyong Shen, Song Jin","[Treatment of chronic thoracolumbar osteoporotic fractures combined with kyphosis with cement-injectable cannulated pedicle screw and multiple level Schwab grade Ⅰ osteotomy].",2020,"Zhongguo xiu fu chong jian wai ke za zhi = Zhongguo xiufu chongjian waike zazhi = Chinese journal of reparative and reconstructive surgery","","","",1,"2021-01-16 15:33:35","Journal Article","10.7507/1002-1892.202006129","1002-1892","",34,12,1533,1538,0,0.00,0,5,1,"To evaluate the effectiveness of cement-injectable cannulated pedicle screw combined with multiple level Schwab grade Ⅰ osteotomy for chronic thoracolumbar osteoporotic fractures with kyphosis. The clinical data of 27 patients with symptomatic chronic thoracolumbar osteoporotic fractures combined with kyphosis treated between June 2015 and June 2017 were retrospectively analysed. Among them, there were 8 males and 19 females, with an average age of 69.5 years (range, 56-81 years). The damage segment (kyphosis vertex) included T 11 in 4 cases, T 12 in 12 cases, L 1 in 10 cases, and L 2 in 1 case. The disease duration ranged from 3 to 21 months, with an average of 12.5 months. The T value of lumbar vertebral bone mineral density ranged from -4.9 to -2.5, with an average value of -3.61. The American Spinal Injury Association (ASIA) classification was used to evaluate spinal cord injury, there were 1 case of grade D and 26 cases of grade E. The visual analogue scale (VAS) score, Oswestry disability index (ODI), kyphosis Cobb angle of fracture site, and sagittal vertical axis (SVA) data were obtained before operation, at 2 weeks after operation, 3 months after operation, and last follow-up, to evaluate the quality of life and improvement of sagittal spine parameters. No complications related to pedicle screw and bone cement occurred. The incisions healed by first intention in 26 cases, and 1 incision healed after dressing change due to poor blood glucose control. There were no complications such as bedsore, hypostatic pneumonia, or deep venous thrombosis. All patients were followed up 8-24 months, with an average of 16.6 months. The VAS score, ODI score, Cobb angle, and SVA were significantly improved when compared with those before operation ( P<0.05). There was no significant difference in Cobb angle between each time point after operation ( P>0.05); the VAS score and ODI score at 3 months after operation and last follow-up were significantly better than those at 2 weeks after operation ( P<0.05), and the ODI score at last follow-up was further improved when compared with the score at 3 months ( P<0.05), but there was no significant difference in VAS score ( P>0.05); SVA at last follow-up was significantly worse than that at 2 weeks and 3 months after operation ( P<0.05), but there was no significant difference between at 2 weeks and 3 months after operation ( P>0.05). During the follow-up period, there was no complication such as pedicle screw loosening, breakage or cutting, adjacent vertebral fracture, proximal junctional kyphosis, and so on. For the chronic thoracolumbar osteoporotic fractures combined with kyphosis, the cement-injectable cannulated pedicle screw and multiple level Schwab grade Ⅰ osteotomy has the advantages of less operation trauma, quick recovery, and remarkable effectiveness."
0,"Xing Li, Dan Luo, Yu Hou, Yonghui Hou, Shudong Chen, Jiheng Zhan, Jiyao Luan, Le Wang, Dingkun Lin","Sodium Tanshinone IIA Silate Exerts Microcirculation Protective Effects against Spinal Cord Injury In Vitro and In Vivo.",2020,"Oxidative medicine and cellular longevity","","","",2,"2021-01-16 15:33:35","Journal Article","10.1155/2020/3949575","1942-0994","",2020,,3949575,,0,0.00,0,9,1,"Spinal cord microcirculation involves functioning endothelial cells at the blood spinal cord barrier (BSCB) and maintains normal functioning of spinal cord neurons, axons, and glial cells. Protection of both the function and integrity of endothelial cells as well as the prevention of BSCB disruption may be a strong strategy for the treatment of spinal cord injury (SCI) cases. Sodium Tanshinone IIA silate (STS) is used for the treatment of coronary heart disease and improves microcirculation. Whether STS exhibits protective effects for SCI microcirculation is not yet clear. The purpose of this study is to investigate the protective effects of STS on oxygen-glucose deprivation- (OGD-) induced injury of spinal cord endothelial cells (SCMECs) in vitro and to explore effects on BSCB and neurovascular protection in vivo. SCMECs were treated with various concentrations of STS (1 μM, 3 μM, and 10 μM) for 24 h with or without OGD-induction. Cell viability, tube formation, migration, and expression of Notch signaling pathway components were evaluated. Histopathological evaluation (H&E), Nissl staining, BSCB permeability, and the expression levels of von Willebrand Factor (vWF), CD31, NeuN, and Notch signaling pathway components were analyzed. STS was found to improve SCMEC functions and reduce inflammatory mediators after OGD. STS also relieved histopathological damage, increased zonula occludens-1 (ZO-1), inhibited BSCB permeability, rescued microvessels, protected motor neuromas, and improved functional recovery in a SCI model. Moreover, we uncovered that the Notch signaling pathway plays an important role during these processes. These results indicated that STS protects microcirculation in SCI, which may be used as a therapeutic strategy for SCI in the future."
0,"Ning He, Xiaohe Zheng, Teng He, Gerong Shen, Kunyu Wang, Jue Hu, Mingzhi Zheng, Yueming Ding, Xinghui Song, Jinjie Zhong, Ying-Ying Chen, Lin-Lin Wang, Yueliang Shen","MCC950 reduces neuronal apoptosis in spinal cord injury in mice.",2020,"CNS & neurological disorders drug targets","","","",3,"2021-01-16 15:33:35","Journal Article","10.2174/1871527319666201005170659","1996-3181","",,,,,0,0.00,0,13,1,"Traumatic spinal cord injury (SCI) is a severe condition usually accompanied by an inflammatory process that gives rise to uncontrolled local apoptosis and a subsequent unfavorable prognosis. One reason for this unfavorable outcome could be the activation of the NLRP3 inflammasome. MCC950 is a specific inhibitor of NLRP3 that further inhibits the formation of the NLRP3 inflammasome. The purpose of this study was to determine whether the NLRP3 inflammasome was associated with the severity of local apoptosis and whether MCC950 could prevent neuronal apoptosis following SCI. In this study, primary cortical neurons were cultured in vitro. With or without pretreatment/posttreatment with MCC950, neurons were subjected to oxygen-glucose deprivation (OGD) for 2 h and then reperfusion for 20 h. Immunofluorescence was used to determine the expression of NLRP3, ASC and cleaved caspase-1 in neurons. In vivo, SCI model mice were established with a 5 g weight-drop method. MCC950 was intraperitoneally injected at 0, 2, 4, 6, 8, 10, and 12 days after SCI. Basso Mouse Scale (BMS) scores and footprint assays were used to assess motor function. Paw withdrawal threshold and tail flick latency were used to assess somatosensory function. H&E, Nissl and TUNEL staining were used to measure histological changes and apoptosis at 3 days after SCI, and scar formation was observed by Masson staining and GFAP immunohistochemical analysis at 28 days after SCI. Immunofluorescence analysis confirmed that MCC950 inhibited OGD-induced activation of the NLRP3 inflammasome in neurons. Behavioral tests, Masson staining and GFAP immunohistochemical analysis showed that MCC950-treated mice had improved neuronal functional recovery and reduced scar formation at 28 days after SCI. H&E, Nissl and TUNEL staining confirmed that there were more living neurons and fewer apoptotic neurons in MCC950-treated mice than control mice at 3 days after SCI. These results reveal that MCC950 exerts neuroprotective effects by reducing neuronal apoptosis, preserving the survival of the remaining neurons, attenuating the severity of the damage, and promoting the recovery of motor function after SCI."
0,"Zhiyong Xiao, Yingtao Yao, Zhiyu Wang, Qing Tian, Jiedong Wang, Li Gu, Bo Li, Qixin Zheng, Yongchao Wu","Local Delivery of Taxol From FGL-Functionalized Self-Assembling Peptide Nanofiber Scaffold Promotes Recovery After Spinal Cord Injury.",2020,"Frontiers in cell and developmental biology","","","",4,"2021-01-16 15:33:35","Journal Article","10.3389/fcell.2020.00820","2296-634X","",8,,820,,0,0.00,0,9,1,"Taxol has been clinically approved as an antitumor drug, and it exerts its antitumor effect through the excessive stabilization of microtubules in cancer cells. Recently, moderate microtubule stabilization by Taxol has been shown to efficiently promote neurite regeneration and functional recovery after spinal cord injury (SCI). However, the potential for the clinical translation of Taxol in treating SCI is limited by its side effects and low ability to cross the blood-spinal cord barrier (BSCB). Self-assembled peptide hydrogels have shown potential as drug carriers for the local delivery of therapeutic agents. We therefore hypothesized that the localized delivery of Taxol by a self-assembled peptide scaffold would promote axonal regeneration by stabilizing microtubules during the treatment of SCI. In the present study, the mechanistic functions of the Taxol-releasing system were clarified in vitro and in vivo using immunofluorescence labeling, histology and neurobehavioral analyses. Based on the findings from the in vitro study, Taxol released from a biological functionalized SAP nanofiber scaffold (FGLmx/Taxol) remained active and promoted neurite extension. In this study, we used a weight-drop contusion model to induce SCI at T9. The local delivery of Taxol from FGLmx/Taxol significantly decreased glial scarring and increased the number of nerve fibers compared with the use of FGLmx and 5% glucose. Furthermore, animals administered FGLmx/Taxol exhibited neurite preservation, smaller cavity dimensions, and decreased inflammation and demyelination. Thus, the local delivery of Taxol from FGLmx/Taxol was effective at promoting recovery after SCI and has potential as a new therapeutic strategy for SCI."
0,"Linbo Zheng, Xialin Tang, Minyi Lu, Shuangxi Sun, Shanshan Xie, Jun Cai, Jie Zan","microRNA-421-3p prevents inflammatory response in cerebral ischemia/reperfusion injury through targeting m6A Reader YTHDF1 to inhibit p65 mRNA translation.",2020,"International immunopharmacology","","","",5,"2021-01-16 15:33:35","Journal Article","10.1016/j.intimp.2020.106937","1878-1705","",88,,106937,,0,0.00,0,7,1,"Ischemic stroke is one of the leading causes of death globally, and inflammation is considered as a vital contributor to the pathophysiology of ischemic stroke. Recently, microRNA-421-3p-derived macrophages is found to promote motor function recovery in spinal cord injury. Here, we explored whether microRNA-421-3p is involved in inflammation responses during cerebral ischemia/reperfusion (I/R) injury and its molecular mechanism. An in vivo experimental animal model of intraluminal middle cerebral artery occlusion/reperfusion (MCAO/R) and in vitro model of microglial subjected to oxygen-glucose deprivation and reoxygenation (OGD/R) were used. The effects of microRNA-421-3p on cerebral I/R injury and its underlying mechanism were detected by quantitative real-time PCR, western blotting, immunofluorescence staining, RNA immunoprecipitation, flow cytometry, luciferase reporter assay, and bioinformatics analysis. We find that microRNA-421-3p is significantly decreased in cerebral I/R injury in vitro and in vivo. Furthermore, overexpression of microRNA-421-3p evidently suppresses pro-inflammatory factor expressions and inhibits NF-κB p65 protein expression and nuclear translocation in BV2 microglia cells treated with OGD/R. However, microRNA-421-3p neither promotes p65 mRNA expression, nor affects p65 mRNA or protein stability. Moreover, we find the m6A 'reader' protein YTH domain family protein 1 (YTHDF1) is the specific target of microRNA-421-3p, and YTHDF1 specifically binds to the m6a site of p65 mRNA to promote its translation. microRNA-421-3p prevents inflammatory response in cerebral ischemia/reperfusion injury through targeting YTHDF1 to inhibit p65 mRNA translation. These findings provide novel insights into understanding the molecular pathogenesis of cerebral I/R injury."
0,"Liang Wu, Zhanfeng Niu, Xulei Hu, Huili Liu, Shuang Li, Lei Chen, Danhao Zheng, Zhuang Liu, Taotao Liu, Fuqiang Xu, Anne Manyande, Jie Wang, Hechun Xia","Regional cerebral metabolic levels and turnover in awake rats after acute or chronic spinal cord injury.",2020,"FASEB journal : official publication of the Federation of American Societies for Experimental Biology","","","",6,"2021-01-16 15:33:35","Journal Article","10.1096/fj.202000447R","1530-6860","",34,8,10547,10559,0,0.00,0,13,1,"Spinal cord injury (SCI) is a common cause of disability, which often leads to sensorimotor cortex dysfunction above the spinal injury site. However, the cerebral regional effects on metabolic information after SCI have been little studied. Here, adult Sprague-Dawley rats were divided into acute and chronic treatment groups and sham groups with day-matched periods. The Basso, Beatte, and Bresnahan scores method were utilized to evaluate the changes in behaviors during the recovery of the animals, and the metabolic information was measured with the 1 H-observed/13 C-edited NMR method. Total metabolic concentrations in every region were almost similar in both treated groups. However, the metabolic kinetics in most regions in the acute group were significantly altered (P < .05), particularly in the cortical area, thalamus and medulla (P < .01). After long-term recovery, some metabolic kinetics were recovered, especially in the temporal cortex, occipital cortex, and medulla. The metabolic kinetic changes revealed the alteration of metabolism and neurotransmission in different brain regions after SCI, which present evidence for the alternation of brain glucose oxidation. Therefore, this shows the significant influence of SCI on cerebral function and neuroscience research. This study also provides the theoretical basis for clinical therapy after SCI, such as mitochondrial transplantation."
0,"Yoshitaka Tanie, Tomoharu Kuboyama, Chihiro Tohda","GRP78-Mediated Signaling Contributes to Axonal Growth Resulting in Motor Function Recovery in Spinal Cord-Injured Mice.",2020,"Frontiers in pharmacology","","","",7,"2021-01-16 15:33:35","Journal Article","10.3389/fphar.2020.00789","1663-9812","",11,,789,,0,0.00,0,3,1,"Promoting axonal growth is essential for repairing damaged neuronal connections and motor function in spinal cord injury (SCI). Neuroleukin (NLK) exerts axonal growth activity in vitro and in vivo, but the mechanism remains unclear. This study reveals that the 78-kDa glucose-regulated protein (GRP78) is a NLK neuronal receptor that contributes to recovery from SCI. Binding and immunoprecipitation assays indicated that NLK binds to GRP78. Pretreatment to cultured neurons with a GRP78-neutralizing antibody suppressed NLK-induced axonal growth. Blocking cell surface GRP78 inhibited neuronal NLK-induced Akt activation. Treatment with an Akt inhibitor suppressed NLK-induced axonal growth. Continuous administration of NLK into the lateral ventricle of SCI mice increased axonal density in the injured region and restored motor function, which was not observed when NLK was simultaneously administered with a GRP78-neutralizing antibody. These results indicate that GRP78 regulates the NLK-induced axonal growth activity; NLK-GRP78 signaling promotes motor function recovery in SCI, presenting as a potential therapeutic target."
0,"Jianhang Jiao, Guanjie Zhao, Yang Wang, Pengfei Ren, Minfei Wu","MCC950, a Selective Inhibitor of NLRP3 Inflammasome, Reduces the Inflammatory Response and Improves Neurological Outcomes in Mice Model of Spinal Cord Injury.",2020,"Frontiers in molecular biosciences","","","",8,"2021-01-16 15:33:35","Journal Article","10.3389/fmolb.2020.00037","2296-889X","",7,,37,,0,0.00,0,5,1,"Spinal cord injury (SCI) is a serious condition that affects bodily function; however, there is no effective therapy in clinical practice. MCC950, a selective NOD-like receptor protein-3 (NLRP3) inflammasome inhibitor, has been reported to alleviate canonical and non-canonical NLRP3 inflammasome activation of the inflammatory response in vitro and in vivo. However, the effect of MCC950 treatment on neurological post-SCI recovery remains unclear. In this study, we assessed the pharmacological effect of MCC950 on an experimental SCI model in vivo and neuronal injury in vitro. We found that MCC950 improved the grip strength, hind limb movements, spinal cord edema, and pathological injury in the SCI mice. We demonstrated that it exerted this effect by blocking NLRP3 inflammasome assembly, including NLRP3-ASC and NLRP3-Caspase-1 complexes, as well as the release of pro-inflammatory cytokines TNF-α, IL-1β, and IL-18. Moreover, we found that MCC950 reduced spinal neuron injury and NLRP3 inflammasome activation, which had been induced by oxygen-glucose deprivation (OGD) or lipopolysaccharides (LPS) in vitro. In conclusion, our findings indicate that MCC950 alleviates inflammatory response and improves functional recovery in the acute mice model of SCI by blocking NLRP3 inflammasome assembly and alleviating downstream neuroinflammation. Therefore, these findings could prove useful in the development of effective therapeutic strategies for the treatment and prognosis of SCI."
0,"Sipin Zhu, Mengji Chen, Min Chen, Jiahui Ye, Yibo Ying, Qiuji Wu, Haicheng Dou, Liyunian Bai, Fangmin Mao, Wenfei Ni, Kehe Yu","Fibroblast Growth Factor 22 Inhibits ER Stress-Induced Apoptosis and Improves Recovery of Spinal Cord Injury.",2020,"Frontiers in pharmacology","","","",9,"2021-01-16 15:33:35","Journal Article","10.3389/fphar.2020.00018","1663-9812","",11,,18,,0,0.00,0,11,1,"Currently, inhibiting or reducing neuronal cell death is the main strategy to improve recovery of spinal cord injury (SCI). Therapies using nerve growth factors to treat SCI mainly focused on reducing the area damaged by postinjury degeneration to promote functional recovery. In this report, we investigated the mechanism of ER (endoplasmic reticulum) stress-induced apoptosis and the protective action of fibroblast growth factor 22 (FGF22) in vivo. Our results demonstrated that ER stress-induced apoptosis plays a significant role in injury of SCI model rats. FGF22 administration promoted recovery and increased neuron survival in the spinal cord lesions of model mice. The protective effect of FGF22 is related to decreased expression of CHOP (C/EBP-homologous protein), GRP78 (glucose-regulated protein 78), caspase-12, X-box binding protein 1 (XBP1), eukaryotic initiation factor 2α (Eif-2α) and Bad which are ER stress-induced apoptosis response proteins. Moreover, FGF22 administration also increased the number of neurons and the expression of growth-associated protein 43 (GAP43) which was related to axon regeneration. We also demonstrated that the protective effect of FGF22 effectively reduces neuronal apoptosis and promotes axonal regeneration. Our study first illustrated that the function of FGF22 is related to the inhibition of ER stress-induced cell death in SCI recovery via activation of downstream signals. This study also suggested a new tendency of FGF22 therapy development in central neural system injuries, which involved chronic ER stress-induced apoptosis."
0,"Adel B Ghnenis, Daniel T Burns, Wupu Osimanjiang, Guanglong He, Jared S Bushman","A Long-Term Pilot Study on Sex and Spinal Cord Injury Shows Sexual Dimorphism in Functional Recovery and Cardio-Metabolic Responses.",2020,"Scientific reports","","","",10,"2021-01-16 15:33:35","Journal Article","10.1038/s41598-020-59628-6","2045-2322","",10,1,2762,,0,0.00,0,5,1,"More than a quarter of a million individuals in the US live with spinal cord injury (SCI). SCI disrupts neural circuitry to vital organs in the body. Despite severe incidences of long-term peripheral complications from SCI, the cardio-metabolic consequences and divergences in sex-related responses are not well described. We examined the effects of SCI on functional recovery, cardiac structure and function, body composition, and glucose metabolism on adult female and male Sprague Dawley (SD) rats. SCI was induced at T10 via contusion. Measured outcomes include behavioral assessment, body weight, dual-energy X-ray absorptiometry (DEXA) for body composition, echocardiography for cardiac structure and function, intraperitoneal glucose tolerance test (IPGTT) for glucose metabolism, insulin tolerance test (ITT), and histology of cardiac structure at the endpoint. There was a decrease in body fat percentage in both sexes, with SCI females disproportionately affected in percent body fat change. Left ventricular internal diameter during systole (LVIDs) was decreased in SCI females more than in SCI males. No significant differences in glucose metabolism were observed up to 20 weeks post-injury (PI). These data show significant cardio-metabolic differences as a consequence of SCI and, furthermore, that sex is an underlying factor in these differences."
