Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"Xiaoli Hu, Rui Li, Yanqing Wu, Yi Li, Xingfeng Zhong, Guanyinsheng Zhang, Yanmin Kang, Shuhua Liu, Ling Xie, Junming Ye, Jian Xiao","Thermosensitive heparin-poloxamer hydrogel encapsulated bFGF and NGF to treat spinal cord injury",2020,"Journal Of Cellular And Molecular Medicine","Wiley","","",41,"2021-01-16 15:40:03","Article","10.1111/jcmm.15478","1582-1838","",24,14,8166,8178,0,0.00,0,11,1,"The application of growth factors (GFs) for treating chronic spinal cord injury (SCI) has been shown to promote axonal regeneration and functional recovery. However, direct administration of GFs is limited by their rapid degradation and dilution at the injured sites. Moreover, SCI recovery is a multifactorial process that requires multiple GFs to participate in tissue regeneration. Based on these facts, controlled delivery of multiple growth factors (GFs) to lesion areas is becoming an attractive strategy for repairing SCI. Presently, we developed a GFs-based delivery system (called GFs-HP) that consisted of basic fibroblast growth factor (bFGF), nerve growth factor (NGF) and heparin-poloxamer (HP) hydrogel through self-assembly mode. This GFs-HP was a kind of thermosensitive hydrogel that was suitable for orthotopic administration in vivo. Meanwhile, a 3D porous structure of this hydrogel is commonly used to load large amounts of GFs. After single injection of GFs-HP into the lesioned spinal cord, the sustained release of NGF and bFGF from HP could significantly improve neuronal survival, axon regeneration, reactive astrogliosis suppression and locomotor recovery, when compared with the treatment of free GFs or HP. Moreover, we also revealed that these neuroprotective and neuroregenerative effects of GFs-HP were likely through activating the phosphatidylinositol 3 kinase and protein kinase B (PI3K/Akt) and mitogen-activated protein kinase/extracellular signal-regulated kinase (MAPK/ERK) signalling pathways. Overall, our work will provide an effective therapeutic strategy for SCI repair."
0,"Xiaoli Hu, Rui Li, Yanqing Wu, Yi Li, Xingfeng Zhong, Guanyinsheng Zhang, Yanmin Kang, Shuhua Liu, Ling Xie, Junming Ye, Jian Xiao","Thermosensitive heparin-poloxamer hydrogel encapsulated bFGF and NGF to treat spinal cord injury",2020,"Journal Of Cellular And Molecular Medicine","Wiley","","",42,"2021-01-16 15:40:03","Article","10.1111/jcmm.15478","1582-1838","",,,,,0,0.00,0,11,1,"The application of growth factors (GFs) for treating chronic spinal cord injury (SCI) has been shown to promote axonal regeneration and functional recovery. However, direct administration of GFs is limited by their rapid degradation and dilution at the injured sites. Moreover, SCI recovery is a multifactorial process that requires multiple GFs to participate in tissue regeneration. Based on these facts, controlled delivery of multiple growth factors (GFs) to lesion areas is becoming an attractive strategy for repairing SCI. Presently, we developed a GFs-based delivery system (called GFs-HP) that consisted of basic fibroblast growth factor (bFGF), nerve growth factor (NGF) and heparin-poloxamer (HP) hydrogel through self-assembly mode. This GFs-HP was a kind of thermosensitive hydrogel that was suitable for orthotopic administration in vivo. Meanwhile, a 3D porous structure of this hydrogel is commonly used to load large amounts of GFs. After single injection of GFs-HP into the lesioned spinal cord, the sustained release of NGF and bFGF from HP could significantly improve neuronal survival, axon regeneration, reactive astrogliosis suppression and locomotor recovery, when compared with the treatment of free GFs or HP. Moreover, we also revealed that these neuroprotective and neuroregenerative effects of GFs-HP were likely through activating the phosphatidylinositol 3 kinase and protein kinase B (PI3K/Akt) and mitogen-activated protein kinase/extracellular signal-regulated kinase (MAPK/ERK) signalling pathways. Overall, our work will provide an effective therapeutic strategy for SCI repair."
0,"Robert B. Shultz, Yinghui Zhong","Hydrogel-based local drug delivery strategies for spinal cord repair",2021,"Neural Regeneration Research","Wolters Kluwer Medknow Publications","","",43,"2021-01-16 15:40:03","Review","10.4103/1673-5374.290882","1673-5374","",16,2,247,253,0,0.00,0,2,1,"Spinal cord injury results in significant loss of motor, sensory, and autonomic functions. Although a wide range of therapeutic agents have been shown to attenuate secondary injury or promote regeneration/repair in animal models of spinal cord injury, clinical translation of these strategies has been limited, in part due to difficulty in safely and effectively achieving therapeutic concentrations in the injured spinal cord tissue. Hydrogel-based drug delivery systems offer unique opportunities to locally deliver drugs to the injured spinal cord with sufficient dose and duration, while avoiding deleterious side effects associated with systemic drug administration. Such local drug delivery systems can be readily fabricated from biocompatible and biodegradable materials. In this review, hydrogel-based strategies for local drug delivery to the injured spinal cord are extensively reviewed, and recommendations are made for implementation."
0,"I Morgado, Patricia, Miriam Palacios, Juan Larrain","In situ injectable hydrogels for spinal cord regeneration: advances from the last 10 years",2020,"Biomedical Physics & Engineering Express","Iop Publishing Ltd","","",44,"2021-01-16 15:40:03","Review","10.1088/2057-1976/ab52e8","2057-1976","",6,1,,,0,0.00,0,3,1,"Spinal cord injury (SCI) is a tremendously devastating disorder with no effective therapy. Neuroprotective strategies have been applied aiming to prevent secondary cell death but no successful and robust effects have been observed. Recently, combinatorial approaches using biomaterials with cells and/or growth factors have demonstrated promising therapeutic effects because of the improvement of axonal growth and in vivo functional recovery in model organisms. In situ injectable hydrogels are a particularly attractive neuroregenerative approach to improve spinal cord repair and regeneration since they can be precisely injected into the lesion site filling the space prior to gelification, decrease scarring and promote axon growth due to the hydrogel?s soft structure. Important advances regarding the use of hydrogels as potential therapeutic approaches has been reported during the last 10 years. Injectable alginate hydrogel loaded with GDNF, thermoresponsives heparin-poloxamer loaded with NGF and imidazole-poly(organophosphazenes) hydrogels are just three examples of biomaterials that can promote neurite, axon growth and improve functional recovery in hemisected and resected rats. Here we will review the status of in situ injectable hydrogels for spinal cord regeneration with special focus in the advantages of using hydrogel scaffolds, the ideal polymers to be used, the gelification process and the cells or growth factors combined. The in vitro and in vivo results reported for those biomaterials will be presented, compared and discussed."
0,"Sinan Bahadir, Vugar Nabi, Prashant Adhikari, Selim Ayhan, Emre Acaroglu","Anterior Spinal Artery Syndrome: Rare Precedented Reason of Postoperative Plegia After Spinal Deformity Surgery: Report of 2 Cases",2020,"World Neurosurgery","Elsevier Science Inc","","",45,"2021-01-16 15:40:03","Article","10.1016/j.wneu.2020.05.216","1878-8750","",141,,203,209,0,0.00,0,5,1,"BACKGROUND: Complications in spinal deformity surgery vary from insignificant to severe. Apart from direct mechanical insult, ischemia can also cause spinal cord injury. Ischemic injury may be detected during surgery or may manifest itself postoperatively. We present 2 cases of anterior spinal artery syndrome."
1,"Zhouming Deng, Jiajia Su, Lin Cai, Ansong Ping, Wei Jin, Renxiong Wei, Yan Zhan","Evidence-based treatment for acute spinal cord injury",2011,"Neural Regeneration Research","Wolters Kluwer Medknow Publications","","",37,"2021-01-16 15:40:03","Article","10.3969/j.issn.1673-5374.2011.23.005","1673-5374","",6,23,1791,1795,1,0.10,0,7,10,"OBJECTIVE: To formulate an evidence-based treatment for one patient with acute spinal cord injury and summarize evidence for evaluating acute spinal cord injury treatment. METHODS: Studies related to the treatment for acute spinal cord injury were identified via a search of National Guideline Clearinghouse (NGC, 2000-11), the Cochrane Library (Issue 1, 2011), TRIP Database (2000-11), and PubMed (1966-2011). Treatment strategies were formulated according to three basic principles: best evidence, doctor's professional experience, and wishes of the patient. RESULTS: A total of 34 articles were selected, including 1 NGC guideline, 22 systematic reviews, and 11 randomized controlled trials. Based on our review, we arrived at the following recommendations: no clinical evidence exists definitively to recommend the use of any of neuroprotective pharmaceuticals; surgery should be undertaken early; mechanical compression devices and low-molecular weight heparin should be employed to prevent thrombosis; respiratory muscle training is beneficial for pulmonary function and quality of life; and functional electrical stimulation and acupuncture can promote functional recovery. The patient accordingly underwent surgery 6 hours after trauma without receiving any neuroprotective pharmaceuticals; low-molecular weight heparin and intermittent pneumatic compression were applied to prevent thrombosis. He also underwent respiratory muscle training daily for 8 weeks and received functional electrical stimulation for 15 minutes and acupuncture for 30 minutes every day. After follow-up for 3 months, the above therapeutic regimen was confirmed efficacious for acute spinal cord injury. CONCLUSION: Evidence-based medicine provides an individualized treatment protocol for acute spinal cord injury, which can significantly improve the therapeutic effect and prognosis."
1,"Yiyan Zheng, Yi Ping Zhang, Lisa B. E. Shields, Yongjie Zhang, Marcus W. Siu, Darlene A. Burke, Jianhong Zhu, Xiaoling Hu, John R. Dimar, Christopher B. Shields","Effect of Heparin Following Cervical Spinal Cord Injuries in Rats",2011,"Neurosurgery","Oxford Univ Press Inc","","",38,"2021-01-16 15:40:03","Article","10.1227/NEU.0b013e3182241f3b","0148-396X","",69,4,930,941,1,0.10,0,10,10,"BACKGROUND: Risks of neurological deterioration after heparin administration following cervical spinal cord injury (SCI) in humans are unknown."
1,"Abdullkhaleg Albashari, Yan He, Yanni Zhang, Jihea Ali, Feiou Lin, Zengming Zheng, Keke Zhang, Yanfan Cao, Chun Xu, Lihua Luo, Jianming Wang, Qingsong Ye","Thermosensitive bFGF-Modified Hydrogel with Dental Pulp Stem Cells on Neuroinflammation of Spinal Cord Injury",2020,"Acs Omega","Amer Chemical Soc","","",39,"2021-01-16 15:40:03","Article","10.1021/acsomega.0c01379","2470-1343","",5,26,16064,16075,1,1.00,0,12,1,"Acute spinal cord injury (SCI) induces severe neuroinflammation, which increases intermediary filaments and neurodegeneration. Previous studies have shown that a basic fibroblast growth factor (bFGF) and dental pulp stem cells (DPSCs) contribute to a protective effect on injured neuronal cells, but the mechanism of SCI repair is still unclear. In this study, in situ heparin (HeP) hydrogel injection containing bFGF and DPSCs (HeP-bFGF-DPSCs), as well as in vitro studies of bFGF and DPSCs, proved an effective control over inflammation. The in vivo application of HeP-bFGF-DPSCs regulated inflammatory reactions and accelerated the nerve regeneration through micro- tubule stabilization and tissue vasculature. Our mechanistic investigation also showed that bFGF-DPSCs treatment inhibited microglia/macrophage proliferation and activation. Furthermore, HeP-bFGF-DPSCs prevented microglia/macrophage activation and reduced proinflammatory cytokine release. In this paper, we discovered that bFGF and DPSCs worked together to attenuate tissue inflammation of the injured spinal cord, resulting in a superior nerve repair. Our results indicated that a thermosensitive hydrogel delivering bFGF and DPSCs could serve as a promising treatment option for spinal cord injuries."
1,"Thomas M. Kessler, Luca R. Traini, Blayne Welk, Marc P. Schneider, Jeffrey Thavaseelan, Armin Curt","Early neurological care of patients with spinal cord injury",2018,"World Journal Of Urology","Springer","","",40,"2021-01-16 15:40:03","Article","10.1007/s00345-018-2343-2","0724-4983","",36,10,1529,1536,1,0.33,0,6,3,"PurposeConsidering the major clinical challenges of managing patients with spinal cord injury (SCI), we summarized the relevant aspects of the early (within 1year after SCI) neurological care emphasizing common standards.MethodsThis review was performed according to the methodology recommended by the Joint SIU-ICUD International Consultation. Embase and Medline databases were used to identify literature relevant to the early neurological care of SCI patients. Recommendations were developed by consensus and graded using a modified Oxford system which identifies level of evidence (LOE) and grade of recommendation (GOR).ResultsEmergency health care providers must address altered mental status, evidence of intoxication, suspected extremity fracture/distracting injury, focal neurological deficit and spinal pain/tenderness to determine the risk of SCI in a trauma patient [LOE 1, GOR A]. Neurogenic shock must be recognized and treated [LOE 3, GOR A]. Spine surgeons should consider early decompression and spine fixation/stabilization, where indicated, and should promote early active rehabilitation to improve functional recovery [LOE 2, GOR B]. Clinicians should refer SCI patients to specialized SCI rehabilitation centers [LOE 4, GOR B], must apply interventions to prevent venous thromboembolism (i.e., compression devices and low-molecular weight heparin/unfractionated heparin) after acute SCI respecting contraindications [LOE 1, GOR A]. Contemporary guidelines to manage pain must be employed [LOE 1, GOR A] and methods to reduce the risk of pressure ulcers should be used [LOE 3, GOR B].ConclusionsEarly treatment, prevention of associated complications and individualized patient-targeted rehabilitation programs provided by a specialized interdisciplinary team are crucial to optimize the outcome after SCI."
5,"Chenggui Wang, Zhe Gong, Xianpeng Huang, Jingkai Wang, Kaishun Xia, Liwei Ying, Jiawei Shu, Chao Yu, Xiaopeng Zhou, Fangcai Li, Chengzhen Liang, Qixin Chen","An injectable heparin-Laponite hydrogel bridge FGF4 for spinal cord injury by stabilizing microtubule and improving mitochondrial function",2019,"Theranostics","Ivyspring Int Publ","","",34,"2021-01-16 15:40:03","Article","10.7150/thno.37601","1838-7640","",9,23,7016,7032,5,2.50,1,12,2,"Rationale: Spinal cord injury (SCI) remains a critical clinical challenge. The controlled release of FGF4, a novel neuroprotective factor, from a versatile Laponite hydrogel to the injured site was a promising strategy to promote axon regeneration and motor functional recovery after SCI."
