Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"Min Luo, Yu Qing Li, Ya Feng Lu, Yue Wu, RenShuai Liu, Yu Rong Zheng, Mei Yin","Exploring the potential of RhoA inhibitors to improve exercise-recoverable spinal cord injury: A systematic review and meta-analysis.",2021,"Journal of chemical neuroanatomy","","","",1,"2021-01-16 15:47:09","Journal Article","10.1016/j.jchemneu.2020.101879","1873-6300","",111,,101879,,0,0.00,0,7,1,"The spinal cord is one of the central nervous system. Spinal cord injury (SCI) will cause loss of physical function and dysfunction below the injury site, causing them to lose sensation and mobility, thereby reducing the quality of life of patients. Although regular rehabilitation management can reduce its severity, the current effective treatment methods are limited to the treatment of secondary injuries to SCI. The purpose of treatment should not only include the restoration of the histology of the lesion, but also should focus on the restoration of sensory and mobility and. The key to effective treatment is to reduce secondary injuries. RhoA inhibitor can improve the pathophysiological changes related to secondary injury and promote the recovery of activity ability, so it may become a clinical drug for the treatment of SCI. This article systematically analyzed the effects of RhoA inhibitors on the promotion of axon regeneration and the recovery of mobility and compared the therapeutic effects of different inhibitors on SCI and their effects on physical function recovery. We used a meta-analysis to systematically evaluate the effects of Rho inhibitors on SCI treatment and the recovery of body function. 21 articles (738 animals) were identified in the literatures search. Studies were selected if they reported the therapeutic effects of RhoA/ROCK inhibitors (BA-210, EGCG, β-elemene, C3-exoenzmye, LINGO-1-Fc, Ibuprofen, SiRhoA, iRhoA + FK506, Fasudil, p21Cip1/WAF1, HA-1007, Y-27,632 and C3bot154-182). We measure the functional recovery by BBB and BMS scores. The random effect model of weighted mean difference (WMD, 95 % confidence interval) was used to analyze the effects. The WMD of the forest graph was 2.277; 95 % CI: 1.705∼2.849, P < 0.001, suggesting that RhoA inhibitors can effectively treat SCI. In addition to EGCG, all the other agents also showed the effects on the activity recovery post-SCI (P < 0.05). β-elemene, LINGO-1-Fc, Ibuprofen, SiRhoA, RhoA + FK506, Fasudil, p21Cip1/WAF1 and Y-27,632 have similar effects to BA-210, they can promote axon germination and nerve fiber regeneration after thoracic spinal cord injury and reduce the formation of syringomyelia and protect white matter, thereby improving locomotor recovery. RhoA inhibitors have great potential to restore motor function and provide a new trend for the treatment of SCI."
0,"Andrea Bighinati, Maria Letizia Focarete, Chiara Gualandi, Micaela Pannella, Alessandro Giuliani, Sarah Beggiato, Luca Ferraro, Luca Lorenzini, Luciana Giardino, Laura Calzà","Improved Functional Recovery in Rat Spinal Cord Injury Induced by a Drug Combination Administered with an Implantable Polymeric Delivery System.",2020,"Journal of neurotrauma","","","",2,"2021-01-16 15:47:09","Journal Article","10.1089/neu.2019.6949","1557-9042","",37,15,1708,1719,0,0.00,0,10,1,"Spinal cord injury (SCI) is an incurable condition, in which a cascade of cellular and molecular events triggered by inflammation and excitotoxicity impairs endogenous regeneration, namely remyelination and axonal outgrowth. We designed a treatment solution based on an implantable biomaterial (electrospun poly (l-lactic acid) [PLLA]) loaded with ibuprofen and triiodothyronine (T3) to counteract inflammation, thus improving endogenous regeneration. In vivo efficacy was tested by implanting the drug-loaded PLLA in the rat model of T8 contusion SCI. We observed the expected recovery of locomotion beginning on day 7. In PLLA-implanted rats (i.e., controls), the recovery stabilized at 21 days post-lesion (DPL), after which no further improvement was observed. On the contrary, in PLLA + ibuprofen (Ibu) + T3 (PLLA-Ibu-T3) rats a further recovery and a significant treatment effect were observed, also confirmed by the gait analysis on 49 DPL. Glutamate release at 24 h and 8 DPL was reduced in PLLA-Ibu-T3- compared to PLLA-implanted rats, such as the estimated lesion volume at 60 DPL. The myelin- and 200-neurofilament-positive area fraction was higher in PLLA-Ibu-T3-implanted rats, where the percentage of astrocytes was significantly reduced. The implant of a PLLA electrospun scaffold loaded with Ibu and T3 significantly improves the endogenous regeneration, leading to an improvement of functional locomotion outcome in the SCI."
0,"Lei Qi, Haiyan Jiang, Xiaohui Cui, Guiwen Liang, Ming Gao, Zhongwei Huang, Qinghua Xi","Synthesis of methylprednisolone loaded ibuprofen modified dextran based nanoparticles and their application for drug delivery in acute spinal cord injury.",2017,"Oncotarget","","","",3,"2021-01-16 15:47:09","Journal Article","10.18632/oncotarget.20649","1949-2553","",8,59,99666,99680,0,0.00,0,7,4,"To improve the therapeutic efficacy of spinal cord injury (SCI), the methylprednisolone was incorporated into nanoparticles based on the ibuprofen modified dextran. The ibuprofen modified dextran was synthesized using a direct esterification linkage between the carboxylic acids of hydrophobic drug and the hydroxyl groups of the polymer backbone. The morphology of methylprednisolone loaded nanoparticles was evaluated by transmission electron microscopy (TEM) and dynamic light scattering (DLS). The therapeutic efficacy of the prepared nanoparticles on the acute SCI model rats was assessed. It is demonstrated that methylprednisolone loaded ibuprofen modified dextran based nanoparticles (MP-loaded NPs) could promote the recovery of neurological deficits, enhance growth of neurons, decrease degeneration of injuried neurons and reduce the tissue tumor necrosis factor alpha (TNF-α) levels significantly in the SCI rats. Subsequently, the study indicates that synthesis of methylprednisolone loaded ibuprofen modified dextran based nanoparticles has a great potential in the synergetic effect treatment for spinal cord injury and nanoparticles based drug delivery system will become a powerful weapon of human conquest of disease."
0,"Marcel A Kopp, Thomas Liebscher, Ralf Watzlawick, Peter Martus, Stefan Laufer, Christian Blex, Ralf Schindler, Gerhard J Jungehulsing, Sven Knüppel, Martin Kreutzträger, Axel Ekkernkamp, Ulrich Dirnagl, Stephen M Strittmatter, Andreas Niedeggen, Jan M Schwab","SCISSOR-Spinal Cord Injury Study on Small molecule-derived Rho inhibition: a clinical study protocol.",2016,"BMJ open","","","",4,"2021-01-16 15:47:09","Controlled Clinical Trial","10.1136/bmjopen-2015-010651","2044-6055","",6,7,,,0,0.00,0,15,5,"The approved analgesic and anti-inflammatory drugs ibuprofen and indometacin block the small GTPase RhoA, a key enzyme that impedes axonal sprouting after axonal damage. Inhibition of the Rho pathway in a central nervous system-effective manner requires higher dosages compared with orthodox cyclooxygenase-blocking effects. Preclinical studies on spinal cord injury (SCI) imply improved motor recovery after ibuprofen/indometacin-mediated Rho inhibition. This has been reassessed by a meta-analysis of the underlying experimental evidence, which indicates an overall effect size of 20.2% regarding motor outcome achieved after ibuprofen/indometacin treatment compared with vehicle controls. In addition, ibuprofen/indometacin may also limit sickness behaviour, non-neurogenic systemic inflammatory response syndrome (SIRS), neuropathic pain and heterotopic ossifications after SCI. Consequently, 'small molecule'-mediated Rho inhibition after acute SCI warrants clinical investigation. Protocol of an investigator-initiated clinical open-label pilot trial on high-dose ibuprofen treatment after acute traumatic, motor-complete SCI. A sample of n=12 patients will be enrolled in two cohorts treated with 2400 mg/day ibuprofen for 4 or 12 weeks, respectively. The primary safety end point is an occurrence of serious adverse events, primarily gastroduodenal bleedings. Secondary end points are pharmacokinetics, feasibility and preliminary effects on neurological recovery, neuropathic pain and heterotopic ossifications. The primary safety analysis is based on the incidence of severe gastrointestinal bleedings. Additional analyses will be mainly descriptive and casuistic. The clinical trial protocol was approved by the responsible German state Ethics Board, and the Federal Institute for Drugs and Medical Devices. The study complies with the Declaration of Helsinki, the principles of Good Clinical Practice and all further applicable regulations. This safety and pharmacokinetics trial informs the planning of a subsequent randomised controlled trial. Regardless of the result of the primary and secondary outcome assessments, the clinical trial will be reported as a publication in a peer-reviewed journal. NCT02096913; Pre-results."
0,"F Streijger, J H T Lee, G J Duncan, M T L Ng, P Assinck, T Bhatnagar, W T Plunet, W Tetzlaff, B K Kwon","Combinatorial treatment of acute spinal cord injury with ghrelin, ibuprofen, C16, and ketogenic diet does not result in improved histologic or functional outcome.",2014,"Journal of neuroscience research","","","",5,"2021-01-16 15:47:09","Journal Article","10.1002/jnr.23372","1097-4547","",92,7,870,883,0,0.00,0,9,7,"Because of the complex, multifaceted nature of spinal cord injury (SCI), it is widely believed that a combination of approaches will be superior to individual treatments. Therefore, we employed a rat model of cervical SCI to evaluate the combination of four noninvasive treatments that individually have been reported to be effective for acute SCI during clinically relevant therapeutic time windows. These treatments included ghrelin, ibuprofen, C16, and ketogenic diet (KD). These were selected not only because of their previously reported efficacy in SCI models but also for their potentially different mechanisms of action. The administration of ghrelin, ibuprofen, C16, and KD several hours to days postinjury was based on previous observations by others that each treatment had profound effects on the pathophysiology and functional outcome following SCI. Here we showed that, with the exception of a modest improvement in performance on the Montoya staircase test at 8-10 weeks postinjury, the combinatorial treatment with ghrelin, ibuprofen, C16, and KD did not result in any significant improvements in the rearing test, grooming test, or horizontal ladder. Histologic analysis of the spinal cords did not reveal any significant differences in tissue sparing between treatment and control groups. Although single approaches of ghrelin, ibuprofen, C16, and KD have been reported to be beneficial after SCI, our results show that the combination of the four interventions did not confer significant functional or histological improvements in a cervical model of SCI. Possible interactions among the treatments may have negated their beneficial effects, emphasizing the challenges that have to be addressed when considering combinatorial drug therapies for SCI."
0,"Ralf Watzlawick, Emily S Sena, Ulrich Dirnagl, Benedikt Brommer, Marcel A Kopp, Malcolm R Macleod, David W Howells, Jan M Schwab","Effect and reporting bias of RhoA/ROCK-blockade intervention on locomotor recovery after spinal cord injury: a systematic review and meta-analysis.",2014,"JAMA neurology","","","",6,"2021-01-16 15:47:09","Journal Article","10.1001/jamaneurol.2013.4684","2168-6157","",71,1,91,99,0,0.00,0,8,7,"Blockade of small GTPase-RhoA signaling pathway is considered a candidate translational strategy to improve functional outcome after spinal cord injury (SCI) in humans. Pooling preclinical evidence by orthodox meta-analysis is confounded by missing data (publication bias). To conduct a systematic review and meta-analysis of RhoA/Rho-associated coiled-coil containing protein kinase (ROCK) blocking approaches to (1) analyze the impact of bias that may lead to inflated effect sizes and (2) determine the normalized effect size of functional locomotor recovery after experimental thoracic SCI. We conducted a systematic search of PubMed, EMBASE, and Web of Science and hand searched related references. Studies were selected if they reported the effect of RhoA/ROCK inhibitors (C3-exoenzmye, fasudil, Y-27632, ibuprofen, siRhoA, and p21) in experimental spinal cord hemisection, contusion, or transection on locomotor recovery measured by the Basso, Beattie, and Bresnahan score or the Basso Mouse Scale for Locomotion. Two investigators independently assessed the identified studies. Details of individual study characteristics from each publication were extracted and effect sizes pooled using a random effects model. We assessed risk for bias using a 9-point-item quality checklist and calculated publication bias with Egger regression and the trim and fill method. A stratified meta-analysis was used to assess the impact of study characteristics on locomotor recovery. Thirty studies (725 animals) were identified. RhoA/ROCK inhibition was found to improve locomotor outcome by 21% (95% CI, 16.0-26.6). Assessment of publication bias by the trim and fill method suggested that 30% of experiments remain unpublished. Inclusion of these theoretical missing studies suggested a 27% overestimation of efficacy, reducing the overall efficacy to a 15% improvement in locomotor recovery. Low study quality was associated with larger estimates of neurobehavioral outcome. Taking into account publication bias, RhoA/ROCK inhibition improves functional outcome in experimental SCI by 15%. This is a plausible strategy for the pharmacological augmentation of neurorehabilitation after human SCI. These findings support the necessity of a systematic analysis to identify preclinical bias before embarking on a clinical trial."
0,"Elena Redondo-Castro, Xavier Navarro","Chronic ibuprofen administration reduces neuropathic pain but does not exert neuroprotection after spinal cord injury in adult rats.",2014,"Experimental neurology","","","",7,"2021-01-16 15:47:09","Journal Article","10.1016/j.expneurol.2013.11.008","1090-2430","",252,,95,103,0,0.00,0,2,7,"Ibuprofen is commonly used as an anti-inflammatory analgesic drug, although it is not amongst the first-line treatments for neuropathic pain. Its main effects are mediated by non-specific inhibition of COX enzymes, but it also exerts some COX-independent effects, such as the inhibition of RhoA signaling and the modulation of glial activity. These effects have boosted the use of ibuprofen as a tool to promote axonal regeneration and to increase functional recovery after neural injuries, although with controversial results showing positive and negative outcomes of ibuprofen treatment in several experimental models. We have evaluated the effects of ibuprofen administered at 60 mg/kg twice a day to rats subjected to a mild spinal cord contusion. Our results indicate that ibuprofen ameliorates mechanical hyperalgesia in rats by reducing central hyperexcitability, but failed to produce improvements in the recovery of locomotion. Despite an early effect on reducing microglial reactivity, the ibuprofen treatment did not provide histological evidence of neuroprotection; indeed the volume of cord tissue spared rostral to the lesion was decreased in ibuprofen treated rats. In summary, the early modulation of neuroinflammation produced by the administration of ibuprofen seems to eventually lead to a worse resolution of detrimental events occurring in the secondary injury phase, but also to reduce the development of neuropathic pain."
0,"Kelli G Sharp, Kelly Matsudaira Yee, Travis L Stiles, Robert M Aguilar, Oswald Steward","A re-assessment of the effects of treatment with a non-steroidal anti-inflammatory (ibuprofen) on promoting axon regeneration via RhoA inhibition after spinal cord injury.",2013,"Experimental neurology","","","",8,"2021-01-16 15:47:09","Journal Article","10.1016/j.expneurol.2013.06.023","1090-2430","",248,,321,337,0,0.00,0,5,8,"This study was undertaken as part of the NIH ""Facilities of Research Excellence-Spinal Cord Injury"" project to support independent replication of published studies. Here, we repeat key parts of a study reporting that rats treated with ibuprofen via subcutaneous minipump exhibited greater recovery of motor function and enhanced axonal growth after spinal cord injury. We carried out 3 separate experiments in which young adult female Sprague-Dawley rats received dorsal over-hemisections at T6-T7, and then were implanted with osmotic minipumps for subcutaneous delivery of ibuprofen or saline. Motor function was assessed with the BBB Locomotor Rating Scale, footprint analysis, and with a grid walk task. Combined group sizes for functional analyses were n=34 rats treated with ibuprofen and n=39 controls. Bladder function was assessed by measuring the amount of urine retained in the bladder twice per day. Four weeks post-injury, CST axons were traced by injecting BDA into the sensorimotor cortex; 5HT axons were assessed by immunostaining. Analysis of data from all rats revealed no significant differences between groups. Analysis of data excluding rats with lesions that were larger than intended indicated improved locomotor function in ibuprofen-treated rats at early post-lesion intervals in one of the individual experiments. Rats that received Ibuprofen did not demonstrate statistically significant improvements in bladder function. Quantitative analyses of CST and 5HT axon distribution also did not reveal differences between ibuprofen-treated and control rats. Taken together, our results only partially replicate the findings that treatment with ibuprofen improves motor function after SCI but fail to replicate findings regarding enhanced axon growth."
0,"M A Kopp, T Liebscher, A Niedeggen, S Laufer, B Brommer, G J Jungehulsing, S M Strittmatter, U Dirnagl, J M Schwab","Small-molecule-induced Rho-inhibition: NSAIDs after spinal cord injury.",2012,"Cell and tissue research","","","",9,"2021-01-16 15:47:09","Journal Article","10.1007/s00441-012-1334-7","1432-0878","",349,1,119,132,0,0.00,0,9,9,"Limited axonal plasticity within the central nervous system (CNS) is a major restriction for functional recovery after CNS injury. The small GTPase RhoA is a key molecule of the converging downstream cascade that leads to the inhibition of axonal re-growth. The Rho-pathway integrates growth inhibitory signals derived from extracellular cues, such as chondroitin sulfate proteoglycans, Nogo-A, myelin-associated glycoprotein, oligodendrocyte-myelin glycoprotein, Ephrins and repulsive guidance molecule-A, into the damaged axon. Consequently, the activation of RhoA results in growth cone collapse and finally outgrowth failure. In turn, the inhibition of RhoA-activation blinds the injured axon to its growth inhibitory environment resulting in enhanced axonal sprouting and plasticity. This has been demonstrated in various CNS-injury models for direct RhoA-inhibition and for downstream/upstream blockade of the RhoA-associated pathway. In addition, RhoA-inhibition reduces apoptotic cell death and secondary damage and improves locomotor recovery in clinically relevant models after experimental spinal cord injury (SCI). Unexpectedly, a subset of ""small molecules"" from the group of non-steroid anti-inflammatory drugs, particularly the FDA-approved ibuprofen, has recently been identified as (1) inhibiting RhoA-activation, (2) enhancing axonal sprouting/regeneration, (3) protecting ""tissue at risk"" (neuroprotection) and (4) improving motor recovery confined to realistic therapeutical time-frames in clinically relevant SCI models. Here, we survey the effect of small-molecule-induced RhoA-inhibition on axonal plasticity and neurofunctional outcome in CNS injury paradigms. Furthermore, we discuss the body of preclinical evidence for a possible clinical translation with a focus on ibuprofen and illustrate putative risks and benefits for the treatment of acute SCI."
0,"Bin Xing, Hui Li, Hongyu Wang, Dhriti Mukhopadhyay, Daniel Fisher, Christopher J Gilpin, Shuxin Li","RhoA-inhibiting NSAIDs promote axonal myelination after spinal cord injury.",2011,"Experimental neurology","","","",10,"2021-01-16 15:47:09","Journal Article","10.1016/j.expneurol.2011.06.018","1090-2430","",231,2,247,260,0,0.00,0,7,10,"Nonsteroidal anti-inflammatory drugs (NSAIDs) are extensively used to relieve pain and inflammation in humans via cyclooxygenase inhibition. Our recent research suggests that certain NSAIDs including ibuprofen suppress intracellular RhoA signal and improve significant axonal growth and functional recovery following axonal injury in the CNS. Several NSAIDs have been shown to reduce generation of amyloid-beta42 peptide via inactivation of RhoA signal, supporting potent RhoA-repressing function of selected NSAIDs. In this report, we demonstrate that RhoA-inhibiting NSAIDs ibuprofen and indomethacin dramatically reduce cell death of oligodendrocytes in cultures or along the white matter tracts in rats with a spinal cord injury. More importantly, we demonstrate that treatments with the RhoA-inhibiting NSAIDs significantly increase axonal myelination along the white matter tracts following a traumatic contusion spinal cord injury. In contrast, non-RhoA-inhibiting NSAID naproxen does not have such an effect. Thus, our results suggest that RhoA inactivation with certain NSAIDs benefits recovery of injured CNS axons not only by promoting axonal elongation, but by enhancing glial survival and axonal myelination along the disrupted axonal tracts. This study, together with previous reports, supports that RhoA signal is an important therapeutic target for promoting recovery of injured CNS and that RhoA-inhibiting NSAIDs provide great therapeutic potential for CNS axonal injuries in adult mammals."
