Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"Atiyeh Mohammadshirazi, Hoda Sadrosadat, Razieh Jaberi, Masoomeh Zareikheirabadi, Sara Mirsadeghi, Zahra Naghdabadi, Mahdieh Ghaneezabadi, Mehdi Fardmanesh, Hossein Baharvand, Sahar Kiani","Combinational therapy of lithium and human neural stem cells in rat spinal cord contusion model.",2019,"Journal of cellular physiology","","","",1,"2021-01-17 15:35:25","Journal Article","10.1002/jcp.28680","1097-4652","",234,11,20742,20754,0,0.00,0,10,2,"A large number of treatment approaches have been used for spinal cord injury improvement, a medically incurable disorder, and subsequently stem cell transplantation appears to be a promising strategy. The main objective of this study is to ascertain whether combinational therapy of human neural stem cells (hNSCs) together with lithium chloride improves cell survival, proliferation, and differentiation in a rat spinal contusion model, or not. Contusive spinal cord injury was implemented on Wistar male rats. Experimental groups comprised of: control, hNSCs transplanted, lithium chloride (Li), and hNSCs and lithium chloride (hNSCs + Li). In every experimental group, locomotor activity score and motor evoked potential (MEP) were performed to evaluate motor recovery as well as histological assessments to determine mechanisms of improvement. In accordance with our results, the hNSCs + Li and the Li groups showed significant improvement in locomotor scores and MEP. Also, Histological assessments revealed that transplanted hNSCs are capable of differentiation and migration along the spinal cord. Although NESTIN-positive cells were proliferated significantly in the Lithium group in comparison with control and the hNSCs + Li groups, the quantity of ED1 cells in the hNSCs + Li was significantly larger than the other two groups. Our results demonstrate that combinational therapy of hNSCs with lithium chloride and lithium chloride individually are adequate for ameliorating more than partial functional recovery and endogenous repair in spinal cord-injured rats."
0,"Alireza Abdanipour, Fatemeh Moradi, Farzaneh Fakheri, Mehrdad Ghorbanlou, Reza Nejatbakhsh","The effect of lithium chloride on BDNF, NT3, and their receptor mRNA levels in the spinal contusion rat models.",2019,"Neurological research","","","",2,"2021-01-17 15:35:25","Journal Article","10.1080/01616412.2019.1588507","1743-1328","",41,6,577,583,0,0.00,0,5,2,"Nowadays, there seems to be no decisive way for treatment of spinal cord injury (SCI).Extensive cell death (apoptosis and necrosis) occurring in SCI can cause considerable progressive sensorimotor disabilities. Preventing cell death by improving endogenous regenerative capability could an effective strategy for the treatment of SCI. This study was designed to evaluate the effects of lithium chloride (LiCl) on the cell survival through overexpression of BDNF and NT3 mRNA level and their receptors in the contusion rat models. Rats were randomly divided into four experimental groups (eight rats/group) including: contused animals (the non-treatment group); contused animals (the control group) which received laminectomy; contused animals received normal saline (vehicle)and contused animals received intraperitoneal injection of 20 mg/kg LiCl three days after surgery. Injection continued for 14 days as treatment. Basso, Beattie, Bresnahan (BBB) rating scale was used to assess the motor function of the rats. To evaluate the histopathological and gene expression analysis, rats were sacrificed 28 days after surgery. Real-time reverse transcriptase polymerase chain reaction (RT-PCR) was performed to obtain the relative levels of mRNA for BDNF, NT3 and their receptors. The results showed LiCl ameliorates BBB scores via up-regulation of BDNF and TrkB receptors. Also, histological analysis showed that the numerical density per area of TUNEL- positive cells and the percentage of cavity significantly decreased in the LiCl-treated group. Our findings suggest that LiCl protects neural cells and effectively enhances locomotor function, which was done through up-regulation of endogenous BDNF expression in rats with SCI. SCI: spinal cord injury; LiCl: lithium chloride; BDNF: Brain-derived neurotrophic factor; NT3: Neurotrophin-3; BBB: Basso, Beattie, Bresnahan; TrkB: Tropomyosin receptor kinase B; TUNEL: Terminal deoxynucleotidyl transferase dUTP nick end labeling."
0,"Duo Zhang, Fang Wang, Xu Zhai, Xiao-Hui Li, Xi-Jing He","Lithium promotes recovery of neurological function after spinal cord injury by inducing autophagy.",2018,"Neural regeneration research","","","",3,"2021-01-17 15:35:25","Journal Article","10.4103/1673-5374.241473","1673-5374","",13,12,2191,2199,0,0.00,0,5,3,"Lithium promotes autophagy and has a neuroprotective effect on spinal cord injury (SCI); however, the underlying mechanisms remain unclear. Therefore, in this study, we investigated the effects of lithium and the autophagy inhibitor 3-methyladenine (3-MA) in a rat model of SCI. The rats were randomly assigned to the SCI, lithium, 3-MA and sham groups. In the 3-MA group, rats were intraperitoneally injected with 3-MA (3 mg/kg) 2 hours before SCI. In the lithium and 3-MA groups, rats were intraperitoneally injected with lithium (LiCl; 30 mg/kg) 6 hours after SCI and thereafter once daily until sacrifice. At 2, 3 and 4 weeks after SCI, neurological function and diffusion tensor imaging indicators were remarkably improved in the lithium group compared with the SCI and 3-MA groups. The Basso, Beattie and Bresnahan locomotor rating scale score and fractional anisotropy values were increased, and the apparent diffusion coefficient value was decreased. Immunohistochemical staining showed that immunoreactivities for Beclin-1 and light-chain 3B peaked 1 day after SCI in the lithium and SCI groups. Immunoreactivities for Beclin-1 and light-chain 3B were weaker in the 3-MA group than in the SCI group, indicating that 3-MA inhibits lithium-induced autophagy. Furthermore, NeuN+ neurons were more numerous in the lithium group than in the SCI and 3-MA groups, with the fewest in the latter. Our findings show that lithium reduces neuronal damage after acute SCI and promotes neurological recovery by inducing autophagy. The neuroprotective mechanism of action may not be entirely dependent on the enhancement of autophagy, and furthermore, 3-MA might not completely inhibit all autophagy pathways."
0,"Fang Wang, Chao Zhou, Zheng-Chao Gao, Yu-Huan Li, Wen-Long Yang, Dong Wang, Hao-Peng Li, Xi-Jing He","[Depressant effect of Lithium on apoptosis of nerve cells of adult rats after spinal cord injury].",2018,"Zhongguo gu shang = China journal of orthopaedics and traumatology","","","",4,"2021-01-17 15:35:25","Journal Article","10.3969/j.issn.1003-0034.2018.04.016","1003-0034","",31,4,379,385,0,0.00,0,8,3,"To study whether lithium agent produces neuroprotective effect by inhibiting the nerve cell apoptosis of rats after spinal cord injury. Forty-two male SD rats weighing 200 to 250 g were randomly divided into 3 groups: blank control group(n=6) without surgery, normal saline(NS) group(n=18) with intraperitoneal injection of NS (40 mg/kg); and Lithium chloride (Licl) group (n=18) with intraperitoneal injection of Licl (40 mg/kg). After Allen method modeling, Licl group started intraperitoneal injection of Licl solution (40 mg·kg⁻¹·d⁻¹) within 15 min after operation to the second week. NS group, during the same interval, was injected with a same amount of NS. Postoperative 3, 7, 14 d, BBB scores in each group were measured;the expression of Bcl-2 and Bax protein were observed by immunohistochemisty staining;TUNEL staining was used to observe the nerve cell apoptosis. The BBB scores in blank control group were 21. Postoperative 7, 14 d, BBB scores of Licl group were higher than that of NS group(P<0.05). As for the Bcl-2 protein expression, black control group has a level of 0.081±0.003;7 d and 14 d postoperatively, the level in Licl group was 0.151±0.003, 0.163±0.003 and in NS group, 0.143±0.003, 0.154±0.002, respectively. Licl group showed significantly increased Bcl-2 protein expression(P<0.05). As for the Bax protein expression, black control group showed a level of 0.071±0.003; 7 d and 14 d postoperatively, the level in Licl group was 0.121±0.002, 0.106±0.002 and in NS group was 0.126±0.001, 0.120±0.002, respectively. The Bax protein expression is significantly inhibited in the Licl group(P<0.05). In nerve cell apoptosis by TUNEL staining, the positive cells were fewer in the black control group with apoptosis index (AI) of 1.98±0.19;while 7d and 14d postoperatively, the AI of Licl group was 13.12±0.69, 4.29±1.00 and of NS group, 18.26±0.87, 5.48±0.70, respectively. Licl group showed significant inhibition of the cell apoptosis(P<0.05). Licl can promote the Bcl-2 protein expression and inhibit the Bax proteins expression in nerve cells of rat after SCI, thereby playing a role in the inhibition of nerve cell apoptosis. This may be one of the mechanisms that Licl can promote the recovery of motor function of rats after SCI."
0,"Li-Qun Zhang, Wen-Ming Zhang, Lingxiao Deng, Zi-Xing Xu, Wen-Bin Lan, Jian-Hua Lin","Transplantation of a Peripheral Nerve with Neural Stem Cells Plus Lithium Chloride Injection Promote the Recovery of Rat Spinal Cord Injury.",2018,"Cell transplantation","","","",5,"2021-01-17 15:35:25","Journal Article","10.1177/0963689717752945","1555-3892","",27,3,471,484,0,0.00,0,6,3,"Transplantation of neural stem cells (NSCs) holds great potential for the treatment of spinal cord injury (SCI). However, transplanted NSCs poorly survive in the SCI environment. We injected NSCs into tibial nerve and transplanted tibial nerve into a hemisected spinal cord and investigated the effects of lithium chloride (LiCl) on the survival of spinal neurons, axonal regeneration, and functional recovery. Our results show that most of the transplanted NSCs expressed glial fibrillary acidic protein, while there was no obvious expression of nestin, neuronal nuclei, or acetyltransferase found in NSCs. LiCl treatment produced less macrosialin (ED1) expression and axonal degeneration in tibial nerve after NSC injection. Our results also show that a regimen of LiCl treatment promoted NSC differentiation into NF200-positive neurons with neurite extension into the host spinal cord. The combination of tibial nerve transplantation with NSCs and LiCl injection resulted in more host motoneurons surviving in the spinal cord, more regenerated axons in tibial nerve, less glial scar area, and decreased ED1 expression. We conclude that lithium may have therapeutic potential in cell replacement strategies for central nervous system injury due to its ability to promote survival and neuronal generation of grafted NSCs and reduced host immune reaction."
0,"Baoman Li, Jiaan Ren, Li Yang, Xiaowei Li, Guangfeng Sun, Maosheng Xia","Lithium Inhibits GSK3β Activity via Two Different Signaling Pathways in Neurons After Spinal Cord Injury.",2018,"Neurochemical research","","","",6,"2021-01-17 15:35:25","Journal Article","10.1007/s11064-018-2488-9","1573-6903","",43,4,848,856,0,0.00,0,6,3,"Spinal cord injury (SCI) is a type of long-term disability with a high morbidity rate in clinical settings for which there is no effective clinical treatment to date. Usually, lithium is used as a popular mood stabilizer. Recently, growing evidence has shown that lithium has clear neuroprotective effects after SCI, and the administration of lithium can effectively improve locomotor recovery. However, the exact neuroprotective mechanism of lithium is still not understood. Glycogen synthase kinase-3 beta (GSK3β) is a serine/threonine kinase that plays an important role in the neuroprotective effects of lithium both in vivo and in vitro. In this study, we discovered that lithium inhibits GSK3β activity through two different signaling pathways in spinal cord neurons. In the acute phase, lithium inhibited GSK3β activity by stimulating phosphorylation of AKT; in the chronic phase, we first discovered that lithium additionally upregulated the expression of Na+, K+-ATPase α1 (NKA α1), which had an inhibitory effect on GSK3β activity by inducing the expression of glucocorticoid inducible kinase 1 (SGK1). SGK1 is well known as a regulator of the GSK3β/β-catenin signaling pathway. Moreover, the suppressed activity of GSK3β increased the level of β-catenin in the cytoplasm, which gave rise to the translocation of the freely stabilized β-catenin to the nucleus. In addition, the accumulation of β-catenin in the nucleus had the benefits of neuronal survival. Hopefully our findings from this study are beneficial in revealing the neuroprotective mechanism of lithium and in offering novel targets for the development of new SCI therapeutic drugs."
0,"Minji Tong, Zili He, Xiaoxiao Lin, Yulong Zhou, Qingqing Wang, Zengming Zheng, Jian Chen, Huazi Xu, Naifeng Tian","Lithium chloride contributes to blood-spinal cord barrier integrity and functional recovery from spinal cord injury by stimulating autophagic flux.",2018,"Biochemical and biophysical research communications","","","",7,"2021-01-17 15:35:25","Journal Article","10.1016/j.bbrc.2017.12.119","1090-2104","",495,4,2525,2531,0,0.00,0,9,3,"Blood-spinal cord barrier (BSCB) disruption following spinal cord injury (SCI) significantly compromises functional neuronal recovery. Autophagy is a potential therapeutic target when seeking to protect the BSCB. We explored the effects of lithium chloride (LiCl) on BSCB permeability and autophagy-induced SCI both in a rat model of SCI and in endothelial cells subjected to oxygen-glucose deprivation. We evaluated BSCB status using the Evans Blue dye extravasation test and measurement of tight junction (TJ) protein levels; we also assessed functional locomotor recovery. We detected autophagy-associated proteins in vivo and in vitro using both Western blotting and immunofluorescence staining. We found that, in a rat model of SCI, LiCl attenuated the elevation in BSCB permeability, improved locomotor recovery, and inhibited the degradation of TJ proteins including occludin and claudin-5. LiCl significantly induced the extent of autophagic flux after SCI by increasing LC3-II and ATG-5 levels, and abolishing p62 accumulation. In addition, a combination of LiCl and the autophagy inhibitor chloroquine not only partially eliminated the BSCB-protective effect of LiCl, but also exacerbated TJ protein degradation both in vivo and in vitro. Together, these findings suggest that LiCl treatment alleviates BSCB disruption and promotes locomotor recovery after SCI, partly by stimulating autophagic flux."
0,"Junfeng Zhang, Shisheng Li, Yaochi Wu","Recovery of spinal cord injury following electroacupuncture in rats through enhancement of Wnt/β-catenin signaling.",2017,"Molecular medicine reports","","","",8,"2021-01-17 15:35:25","Journal Article","10.3892/mmr.2017.6801","1791-3004","",16,2,2185,2190,0,0.00,0,3,4,"Electroacupuncture (EA) has been demonstrated to promote the functional recovery of neurons following spinal cord injury (SCI); however, the mechanisms underlying its effects have yet to be elucidated. The Wnt/β-catenin signaling pathway has been implicated in the regulation of the balance between growth, proliferation and differentiation of neural precursor cells. The present study aimed to investigate the effects of EA therapy on Wnt/β‑catenin‑regulated gene expression and neuronal recovery in rats with SCI. The Allen method was used to establish SCI in rats, and alterations in Wnt1 and Nestin mRNA and protein expression levels in response to SCI were determined on days 1, 3, 7 and 14 post‑injury using reverse transcription‑quantitative polymerase chain reaction and western blot analysis. To evaluate the effects of EA treatment on SCI, the following four treatment groups were employed: SCI, SCI + EA, SCI + lithium chloride (LiCl) and SCI + LiCl + EA. The protein expression levels of Wnt1, Nestin and nuclear β‑catenin were evaluated on day 3 post‑treatment, and neuronal nuclear antigen (NeuN) protein expression levels were evaluated on day 21 post‑treatment using western blot analysis. The Basso, Beattie and Bresnahan scoring method was used to evaluate spinal cord recovery on day 28 post‑treatment across the four treatment groups. EA therapy at the Dazhui and Mingmen acupuncture points significantly increased the expression levels of Wnt1, Nestin, β‑catenin and NeuN, thus suggesting that EA therapy may promote spinal cord recovery following injury. The underlying mechanism was demonstrated to involve enhanced Wnt/β‑catenin signaling, which may promote the proliferation and differentiation of neural stem cells. However, further studies are required to elucidate the detailed effects and underlying molecular mechanisms of EA therapy on SCI."
0,"Peilin Liu, Zijuan Zhang, Qingde Wang, Rundong Guo, Wei Mei","Lithium Chloride Facilitates Autophagy Following Spinal Cord Injury via ERK-dependent Pathway.",2017,"Neurotoxicity research","","","",9,"2021-01-17 15:35:25","Journal Article","10.1007/s12640-017-9758-1","1476-3524","",32,4,535,543,0,0.00,0,5,4,"Spinal cord injury (SCI) is one major cause of death and results in long-term disability even in the most productive periods of human lives with few efficacious drugs. Autophagy is a potential therapeutic target for SCI. In the present study, we examined the role of lithium in functional recovery in the rat model of SCI and explored the related mechanism. Locomotion tests were employed to assess the functional recovery after SCI, Western blotting and RT-PCT to determine the level of p-ERK and LC3-II as well as p62, immunofluorescence imaging to localize LC3 and p62. Here, we found that both the expression of LC3-II and p62 were increased after SCI. However, lithium chloride enhanced the level of LC3-II while abrogated the abundance of p62. Furthermore, lithium treatment facilitated ERK activation in vivo, and inhibition of MEK/ERK signaling pathway suppressed lithium-evoked autophagy flux. Taken together, our results illustrated that lithium facilitated functional recovery by enhancing autophagy flux."
0,"Zili He, Yulong Zhou, Qingqing Wang, Jiawei Li, Zengming Zheng, Jian Chen, Hongyu Zhang, Zhouguang Wang, Huazi Xu, Jian Xiao","Inhibiting endoplasmic reticulum stress by lithium chloride contributes to the integrity of blood-spinal cord barrier and functional recovery after spinal cord injury.",2017,"American journal of translational research","","","",10,"2021-01-17 15:35:25","Journal Article","","1943-8141","",9,3,1012,1024,0,0.00,0,10,4,"Endoplasmic reticulum (ER) stress play important roles in the spinal cord injury (SCI), which including blood-spinal cord barrier (BSCB) disruption. Lithium chloride (LiCl) is a clinical drug for bipolar mood disorders and contributes to neuroprotection. This study aims to investigate the effects of LiCl on BSCB disruption and the ER stress pathway induced by spinal cord injury. We examined the integrity of the BSCB with Evans Blue dye and macrophages extravasation, measured the microvessels loss, the junction proteins degeneration, the activation ER stress, and the locomotor function recovery. Our data indicated that LiCl treatment could attenuates BSCB disruption and improved the recovery of functional locomotion in rats SCI model, reduced the structure damage and number loss of microvessels, increased the expressions of junction proteins, including p120, β-catenin, occludin, and claudin-5, via reversed the upregulated ER stress associated proteins. In addition, LiCl significantly inhibited the increase of ER stress markers and prevents loss of junction proteins in thapsigargin (TG)-treated human brain microvascular endothelial cells (HBMEC). These findings suggest that LiCl treatment alleviates BSCB disruption and promote the neurological function recovery after SCI, partly through inhibiting the activation of ER stress."
