"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",0,"Issei Sakamoto, Naoyuki Himi, Norito Hayashi, Naohiko Okabe, Emi Nakamura-Maruyama, Ikuko Tsukamoto, Toru Hasegawa, Osamu Miyamoto","The protective effect and mechanism of COA-Cl in acute phase after spinal cord injury.",2020,"Neuroscience research",NA,NA,NA,1,"2021-01-12 10:18:51","Journal Article","10.1016/j.neures.2020.10.003","1872-8111",NA,NA,NA,NA,NA,0,0,0,8,1,"Spinal cord injury (SCI) induces severe motor and sensory dysfunction. We previously showed the neuroprotective effects of COA-Cl, a novel synthesized adenosine analog, in a rat stroke model. In this study, we evaluated the neuroprotective effects of COA-Cl in acute phase of SCI. SCI was induced in rats at the T9 vertebra by using a drop device. Rats were divided into acute and subacute groups. A 5-day dose of 6 mg/kg COA-Cl in saline was given to the acute group immediately after SCI and the subacute group 4 days after SCI. Motor function assessed by Basso-Beattie-Bresnahan scoring and inclined plane test improved significantly in the acute group while the subacute group did not. Histological evaluation and TUNEL staining revealed that both the cavity volume and apoptosis were significantly decreased in the acute group compared with the subacute group. In addition, pERK/ERK was increased in the acute group 7 days after SCI. These results suggest that COA-Cl exerts neuroprotective effects via the ERK pathway when administered in the acute phase after SCI, resulting in the recovery of motor function. COA-Cl could be a novel therapeutic agent for the acute phase of SCI.","adenosine"
"2",0,"Panfeng Wang, Yuntong Zhang, Yan Xia, Dayuan Xu, Hongrui Wang, Dong Liu, Shuogui Xu, Yongming Sun","MicroRNA-139-5p Promotes Functional Recovery and Reduces Pain Hypersensitivity in Mice with Spinal Cord Injury by Targeting Mammalian Sterile 20-like Kinase 1.",2020,"Neurochemical research",NA,NA,NA,2,"2021-01-12 10:18:51","Journal Article","10.1007/s11064-020-03170-4","1573-6903",NA,NA,NA,NA,NA,0,0,0,8,1,"Currently, there is no cure for spinal cord injury (SCI), a heavy burden on patients physiology and psychology. We found that microRNA-139-5p (miR-139-5p) expression was significantly downregulated in damaged spinal cords in mice. So, we aimed to test the effect of treatment with miR-139-5p on functional recovery and neuropathic pain in mice with SCI and investigate the underlying mechanism. The luciferase reporter assay revealed that miR-139-5p directly targeted mammalian sterile 20-like kinase 1 (Mst1), and miR-139-5p treatment suppressed Mst1 protein expression in damaged spinal cords of mice. Wild-type mice and Mst1(-/-) mice were exposed to SCI and treated with miR-139-5p agomir via intrathecal infusion. Treatment of SCI mice with miR-139-5p accelerated locomotor functional recovery, reduced hypersensitivities to mechanical and thermal stimulations, and promoted neuronal survival in damaged spinal cords. Treatment with miR-139-5p enhanced phosphorylation of adenosine monophosphate-activated protein kinase alpha (AMPKα), improved mitochondrial function, and suppressed NF-κB-related inflammation in damaged spinal cords. Deficiency of Mst1 had similar benefits in mice with SCI. Furthermore, miR-139-5p treatment did not provide further protection in Mst1(-/-) mice against SCI. In conclusion, miR-139-5p treatment enhanced functional recovery and reduced pain hypersensitivity in mice with SCI, possibly through targeting Mst1.","adenosine"
"3",0,"Wenping Lin, Wenkai Chen, Kai Liu, Pengfei Ma, Peng Qiu, Can Zheng, Xin Zhang, Pingjuan Tan, Xiaojing Xi, Xu He","Mitigation of Microglia-mediated Acute Neuroinflammation and Tissue Damage by Heme Oxygenase 1 in a Rat Spinal Cord Injury Model.",2020,"Neuroscience",NA,NA,NA,3,"2021-01-12 10:18:51","Journal Article","10.1016/j.neuroscience.2020.08.001","1873-7544",NA,NA,NA,NA,NA,0,0,0,10,1,"Acute neuroinflammation is the major detrimental factor that causes secondary tissue damage after spinal cord injury (SCI). Curbing neuroinflammation would reduce the neuronal death and benefit functional recovery. In the current study, we used a HO-1-encoding lentivirus to transduce microglia, and adoptively transferred these microglia into injured rat spinal cords. Lentivirus-induced overexpression of exogenous HO-1 significantly inhibited microglia-mediated inflammatory response after SCI, as demonstrated by lower expression of pro-inflammatory mediators in transferred microglia. In addition, the overall post-SCI neuroinflammation was also suppressed by HO-1-overexpressing microglia, as indicated by less leukocyte infiltration and lower pro-inflammatory cytokine production in the spinal cord. Consistently, the tissue damage and neuronal apoptosis were decreased in injured spinal cords, while the locomotor function was moderately improved. We further identified that adenosine 5'-monophosphate-activated protein kinase (AMPK) signaling was involved in the regulatory effect of HO-1 on microglia, because HO-1 overexpression increased the activating phosphorylation of AMPKα. Moreover, the AMPK inhibitor compound C diminished the anti-inflammatory effect of HO-1 in lipopolysaccharide-stimulated microglia in vitro. Taken together, we proved that microglial HO-1 reduced acute post-SCI neuroinflammation. Our study might provide a promising therapeutic approach to benefit SCI recovery.","adenosine"
"4",0,"Giuliano Taccola, Betsy Habeth Salazar, Rosamaria Apicella, Matthew Kevin Hogan, Philip John Horner, Dimitry Sayenko","Selective Antagonism of A1 Adenosinergic Receptors Strengthens the Neuromodulation of the Sensorimotor Network During Epidural Spinal Stimulation.",2020,"Frontiers in systems neuroscience",NA,NA,NA,4,"2021-01-12 10:18:51","Journal Article","10.3389/fnsys.2020.00044","1662-5137",NA,14,NA,44,NA,0,0,0,6,1,"Although epidural spinal stimulation (ESS) results in promising therapeutic effects in individuals with spinal cord injury (SCI), its potential to generate functional motor recovery varies between individuals and remains largely unclear. However, both preclinical and clinical studies indicate the capacity of electrical and pharmacological interventions to synergistically increase the engagement of spinal sensorimotor networks and regain motor function after SCI. This study explored whether selective pharmacological antagonism of the adenosine A1 receptor subtype synergizes with ESS, thereby increasing motor response. We hypothesized that selective pharmacological antagonism of A1 receptors during ESS would produce facilitatory effects in spinal sensorimotor networks detected as an increased amplitude of spinally-evoked motor potentials and sustained duration of ESS induced activity. Terminal experiments were performed in adult rats using trains of stereotyped pulses at 40 Hz delivered at L5 with the local administration to the cord of 8-cyclopentyl-1,3-dipropylxanthine (DPCPX). We demonstrated that ESS combined with the blockage of A1 receptors increased the magnitude of the endogenous modulation and postponed the decay of responses that occur during ESS alone. Although DPCPX significantly increased the yield of repetitive stimulation in intact spinal cords, the effects of A1 antagonism on motor evoked responses after an acute spinal transection was not detected. These studies support the future investigation of the optimal dosage, methods of delivery, and systemic effects of the synergistic application of A1 antagonists and spinal stimulation in the intact and injured spinal cord.","adenosine"
"5",0,"Sen Lin, He Tian, Jiaquan Lin, Chang Xu, Yajiang Yuan, Shuang Gao, Changwei Song, Pengfei Lv, Xifan Mei","Zinc promotes autophagy and inhibits apoptosis through AMPK/mTOR signaling pathway after spinal cord injury.",2020,"Neuroscience letters",NA,NA,NA,5,"2021-01-12 10:18:51","Journal Article","10.1016/j.neulet.2020.135263","1872-7972",NA,736,NA,135263,NA,0,0,0,9,1,"Autophagy is a intracellular biological process that controls the homeostasis of nutrition deprivation and starvation and has been associated with the development of traumatic diseases. Zinc, an important chemical element involved in life activities, has improved nerve recovery effects through intraperitoneal injection. The purpose of this study was to probe the possible modulation of autophagy and apoptosis from the injured spinal cord and neurons by zinc administration. It was shown that zinc significantly induced the level of Beclin1 and LC3B by activating adenosine 5'-monophosphate (AMP)-activated protein kinase (AMPK) signaling pathway. In addition, zinc suppressed apoptosis in the injured spinal cord. Taken together, these findings suggested that zinc through promoting neurons autophagy and inhibiting apoptosis.","adenosine"
"6",0,"Ziru Zhao, Xiao Hu, Zhourui Wu, Qi Chen, Qihui Shao","A Selective P2Y Purinergic Receptor Agonist 2-MesADP Enhances Locomotor Recovery after Acute Spinal Cord Injury.",2020,"European neurology",NA,NA,NA,6,"2021-01-12 10:18:51","Journal Article","10.1159/000507854","1421-9913",NA,83,2,195,212,0,0,0,5,1,"Spinal cord injury (SCI) causes most severe motor and sensory dysfunctions. In Chinese traditional medicine, the agonist of a purinergic receptor is believed to have a positive effect on SCIs, and 2-Methylthio-adenosine-5'-diphosphate (2-MesADP) is a selective agonist of the P2Y purinergic receptor. To investigate its therapeutic function and molecular mechanism in SCI, transcriptome analysis associated with weighted gene co-expression network analysis (WGCNA) was carried out at various time points after T9 crush injury. 2-MesADP demonstrated recovery of limb motor function at the 6 weeks after injury, accompanied by neuronal regeneration and axon remyelination at 2 and 6 weeks. Furthermore, gene profiling revealed alternated gene expression with the treatment of 2-MesADP. These genes were assigned to a total of 38 modules, followed by gene ontology analysis; of these, 18 represented neuronal apoptosis and regeneration, immune response, synaptic transmission, cell cycle, and angiogenesis. In the neuronal apoptosis and regeneration module, Nefh, NeuroD6, and Dcx in the 2-MesADP group were noticed due to their interesting expression pattern. The gene expression patterns of Mag, Mog, and Cnp, which played key roles in myelination, were significantly changed with the treatment of 2-MesADP. Wnt signal pathway was the most important pathway in 2-MesADP treatment for acute SCI. 2-MesADP enhanced locomotor recovery in mouse SCI by altering the expression of neuronal apoptosis and remyelination-related genes and Wnt signaling pathways.","adenosine"
"7",0,"Muddanna Sakkattu Rao, Ebtesam M Abd-El-Basset","dBcAMP Rescues the Neurons From Degeneration in Kainic Acid-Injured Hippocampus, Enhances Neurogenesis, Learning, and Memory.",2020,"Frontiers in behavioral neuroscience",NA,NA,NA,7,"2021-01-12 10:18:51","Journal Article","10.3389/fnbeh.2020.00018","1662-5153",NA,14,NA,18,NA,0,0,0,2,1,"Dibutyryl cyclic adenosine monophosphate (dBcAMP) is a cell-permeable synthetic analog of cyclic adenosine monophosphate (cAMP). Although the elevation of cAMP levels was reported to promote the functional recovery in spinal cord injury, its role in neurogenesis or functional recovery after hippocampal injury is unknown. The objective of the study was to investigate the effects of dBcAMP on learning, memory, and hippocampal neurogenesis in the excitotoxically lesioned hippocampus. An excitotoxic lesion was induced in the hippocampi of 4-month-old male BALB/c mice by injecting 0.25 μg/μl into the lateral ventricles of both sides. The lesioned mice (L) were divided into L+dBcAMP and L+phosphate-buffered saline (PBS) groups. Sham surgery (S) was done by the injection of 1 μl of sterile saline into the lateral ventricles. The sham surgery mice were divided into S+dBcAMP and S+PBS groups. Mice in the L+dBcAMP and S+dBcAMP groups were treated with dBcAMP for 1 week (i.p., 50 mg/kg), whereas mice in the L+PBS and S+PBS groups were treated with PBS. The mice in all groups were subjected to water maze and passive avoidance tests at the end of the 4th week. Cresyl violet staining and NeuN and doublecortin immunostaining were done to analyze the morphology and neurogenesis. The water maze learning sessions did not show a significant difference in escape latency between the groups, suggesting an unimpaired learning ability of mice in all groups. The L+dBcAMP mice had significantly short entry latency and higher target quadrant time/distance traveled compared to the L+PBS group, suggesting better memory retention. The L+dBcAMP group had a significantly improved memory retention compared to the L+PBS mice during the passive avoidance test. Morphological studies showed significantly greater adult neurons and increased hippocampal neurogenesis in the hippocampus of mice in the L+dBcAMP group compared to those in the L+PBS group. There was no significant difference between the S+dBcAMP and S+PBS groups in the water maze/passive avoidance tests and the number of neurons. In conclusion, dBcAMP protects the hippocampal neuron from degeneration and enhances hippocampal neurogenesis, learning, and memory.","adenosine"
"8",0,"Ruijuan Zhou, Shifeng Kan, Song Cai, Ran Sun, Haixin Yuan, Bo Yu","Scopoletin Activates Adenosine Monophosphate-Activated Protein Kinase/Mammalian Target of Rapamycin Signaling Pathway and Improves Functional Recovery after Spinal Cord Injury in Rats.",2020,"Pharmacology",NA,NA,NA,8,"2021-01-12 10:18:51","Journal Article","10.1159/000503866","1423-0313",NA,105,5,349,359,0,0,0,6,1,"Scopoletin (SPT) is known to exert neuroprotective autophagy effect. However, the efficacy of SPT in the treatment of spinal cord injury (SCI) has yet not been explored. The investigation was intended to elucidate whether SPT can exert neuroprotective effect by triggering neuronal autophagy after SCI. The study was also directed to investigate the role of adenosine monophosphate-activated protein kinase (AMPK)/mammalian target of rapamycin (mTOR) signaling pathway in the autophagy facilitated by SPT. The SCI was developed in female Sprague-Dawley rats by damaging the T10 spinal level using an impounder impact. Three animals groups were investigated - Sham group, SCI group, and SCI + SPT group. The SCI + SPT group was administered with SPT (100 mg/kg) intraperitoneally. Basso, Beattie, and Bresnahan scores and angle of incline test revealed that SPT administration improved the movement of hind limbs after SCI induction. Results indicated that SPT imparted neuronal protection, alleviated neuronal apoptosis, and improved neuronal autophagy. SPT-induced autophagy was identified by increased Beclin-1 expression and LC3B-positive neuronal cells. Further investigations revealed that SPT triggers the pathway involving AMPK/mTOR signaling, thereby stimulating autophagy in SCI-induced rat model. The findings of the present investigation strongly advocate the beneficial effects of SPT in the treatment of the SCI. SPT ameliorates the AMPK/mTOR signaling-induced autophagy and thereby improves functional recovery in SCI-induced rats.","adenosine"
"9",0,"Syed Suhail Andrabi, Jun Yang, Yue Gao, Youzhi Kuang, Vinod Labhasetwar","Nanoparticles with antioxidant enzymes protect injured spinal cord from neuronal cell apoptosis by attenuating mitochondrial dysfunction.",2020,"Journal of controlled release : official journal of the Controlled Release Society",NA,NA,NA,9,"2021-01-12 10:18:51","Journal Article","10.1016/j.jconrel.2019.12.001","1873-4995",NA,317,NA,300,311,0,0,0,5,1,"In spinal cord injury (SCI), the initial damage leads to a rapidly escalating cascade of degenerative events, known as secondary injury. Loss of mitochondrial homeostasis after SCI, mediated primarily by oxidative stress, is considered to play a crucial role in the proliferation of secondary injury cascade. We hypothesized that effective exogenous delivery of antioxidant enzymes - superoxide dismutase (SOD) and catalase (CAT), encapsulated in biodegradable nanoparticles (nano-SOD/CAT) - at the lesion site would protect mitochondria from oxidative stress, and hence the spinal cord from secondary injury. Previously, in a rat contusion model of severe SCI, we demonstrated extravasation and retention of intravenously administered nanoparticles specifically at the lesion site. To test our hypothesis, a single dose of nano-SOD/CAT in saline was administered intravenously 6 h post-injury, and the spinal cords were analyzed one week post-treatment. Mitochondria isolated from the affected region of the spinal cord of nano-SOD/CAT-treated animals demonstrated significantly reduced mitochondrial reactive oxygen species (ROS) activities, increased mitochondrial membrane potential, reduced calcium levels, and also higher adenosine triphosphate (ATP) production capacity than those isolated from the spinal cords of untreated control or SOD/CAT solution treated animals. Although the treatment did not achieve the same mitochondrial function as in the spinal cords of sham control animals, it significantly attenuated mitochondrial dysfunction following SCI. Further, immunohistochemical analyses of the spinal cords of treated animals showed significantly lower ROS, cleaved caspase-3, and cytochrome c activities, leading to reduced spinal cord neuronal cell apoptosis and smaller lesion area than in untreated animals. These results imply that the treatment significantly attenuated progression of secondary injury that was also reflected from less weight loss and improved locomotive recovery of treated vs. untreated animals. In conclusion, nano-SOD/CAT mitigated activation of cascade of degenerating factors by protecting mitochondria and hence the spinal cord from secondary injury. An effective treatment during the acute phase following SCI could potentially have a positive long-term impact on neurological and functional recovery.","adenosine"
"10",0,"Shutao Gao, Tao Xu, Hailong Guo, Qiang Deng, Chuanhui Xun, Weidong Liang, Weibin Sheng","Ameliorative effects of echinacoside against spinal cord injury via inhibiting NLRP3 inflammasome signaling pathway.",2019,"Life sciences",NA,NA,NA,10,"2021-01-12 10:18:51","Journal Article","10.1016/j.lfs.2019.116978","1879-0631",NA,237,NA,116978,NA,0,0,0,7,2,"The activation of NLRP3 inflammasome, which initiates an inflammatory cascade and triggers inflammatory death, plays a crucial role in the pathogenesis of spinal cord injury (SCI). Echinacoside (ECH) is a phenylethanoid glycoside possessing prominent anti-inflammatory effects and various neuroprotective properties in the central nervous system, but the effect of ECH on SCI was rarely studied. Therefore, the purpose of this experiment was to look into the therapeutic effects of ECH on SCI and the underlying mechanisms. Basso-Beattie-Bresnahan (BBB) locomotion scale, Nissl staining, and hematoxylin-eosin (HE) staining was employed to examine the therapeutic effects of ECH on SCI. In addition, reactive oxygen species (ROS) generation, mitochondrial membrane potential (MMP) in BV-2 cells stimulated with lipopolysaccharides and adenosine 5'-triphosphate were examined. The expression levels of proteins involving NLRP3 inflammasome-related pathway were measured. The in vivo experiment indicated that administration of ECH significantly enhanced the BBB scores, reduced the neuron loss, and ameliorated the tissue architecture after SCI. Additionally, ECH dramatically inhibited NLRP3 inflammasome activation in the rat SCI model. In vitro study indicated that ECH significantly reduced ROS level, improved the MMP, blocked activation of NF-κB, and inhibited the NLRP3 inflammasome signaling pathway. The effect of ECH on inhibition of NLRP3 inflammasome signaling pathway was partially governed by suppression of the generation of ROS and activation of NF-κB. ECH can accelerate motor function recovery in rats following SCI by inhibiting NLRP3 inflammasome-related signaling pathway, suggesting that ECH may serve as a potential therapeutic agent for treating SCI.","adenosine"
