"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",0,"Jonathon Chon Teng Chio, Jian Wang, Vithushan Surendran, Lijun Li, Mohammad-Masoud Zavvarian, Katarzyna Pieczonka, Michael G Fehlings","Delayed administration of high dose human immunoglobulin G enhances recovery after traumatic cervical spinal cord injury by modulation of neuroinflammation and protection of the blood spinal cord barrier.",2021,"Neurobiology of disease",NA,NA,NA,1,"2021-01-12 11:14:33","Journal Article","10.1016/j.nbd.2020.105187","1095-953X",NA,148,NA,105187,NA,0,0,0,7,1,"The neuroinflammatory response plays a major role in the secondary injury cascade after traumatic spinal cord injury (SCI). To date, systemic anti-inflammatory medications such as methylprednisolone sodium succinate (MPSS) have shown promise in SCI. However, systemic immunosuppression can have detrimental side effects. Therefore, immunomodulatory approaches including the use of human immunoglobulin G (hIgG) could represent an attractive alternative. While emerging preclinical data suggests that hIgG is neuroprotective after SCI, the optimal time window of administration and the mechanism of action remain incompletely understood. These knowledge gaps were the focus of this research study. Female adult Wistar rats received a clip compression-contusion SCI at the C7/T1 level of the spinal cord. Injured rats were randomized, in a blinded manner, to receive a single intravenous bolus of hIgG (2 g/kg) or control buffer at 15 minutes (min), 1 hour (h) or 4 h post-SCI. At 24 h and 8 weeks post-SCI, molecular, histological and neurobehavioral analyses were undertaken. At all 3 administration time points, hIgG (2 g/kg) resulted in significantly better short-term and long-term outcomes as compared to control buffer. No significant differences were observed when comparing outcomes between the different time points of administration. At 24 h post-injury, hIgG (2 g/kg) administration enhanced the integrity of the blood spinal cord barrier (BSCB) by increasing expression of tight junction proteins and reducing inflammatory enzyme expression. Improvements in BSCB integrity were associated with reduced immune cell infiltration, lower amounts of albumin and Evans Blue in the injured spinal cord and greater expression of anti-inflammatory cytokines. Furthermore, hIgG (2 g/kg) increased expression of neutrophil chemoattractants in the spleen and sera. After hIgG (2 g/kg) treatment, there were more neutrophils in the spleen and fewer neutrophils in the blood. hIgG also co-localized with endothelial cell ligands that mediate neutrophil extravasation into the injured spinal cord. Importantly, short-term effects of delayed hIgG (2 g/kg) administration were associated with enhanced tissue and neuron preservation, as well as neurobehavioral and sensory recovery at 8 weeks post-SCI. hIgG (2 g/kg) shows promise as a therapeutic approach for SCI. The anti-inflammatory effects mediated by hIgG (2 g/kg) in the injured spinal cord might be explained in twofold. First, hIgG might antagonize neutrophil infiltration into the spinal cord by co-localizing with endothelial cell ligands that mediate various steps in neutrophil extravasation. Second, hIgG could traffic neutrophils towards the spleen by increasing expression of neutrophil chemoattractants in the spleen and sera. Overall, we demonstrate that delayed administration of hIgG (2 g/kg) at 1 and 4-h post-injury enhances short-term and long-term benefits after SCI by modulating local and systemic neuroinflammatory cascades.","albumin"
"2",0,"Anh K Vo, Fred Geisler, Lukas Grassner, Jan Schwab, Gale Whiteneck, Catherine Jutzeler, John L K Kramer","Serum albumin as a predictor of neurological recovery after spinal cord injury: a replication study.",2020,"Spinal cord",NA,NA,NA,2,"2021-01-12 11:14:33","Journal Article","10.1038/s41393-020-00536-x","1476-5624",NA,NA,NA,NA,NA,0,0,0,7,1,"This was a secondary analysis on an observational cohort study. To determine if serum albumin significantly associates with long-term neurological outcome (i.e., 1-year post-injury) in a contemporary cohort of individuals with spinal cord injury. Six rehabilitation centers across the United States. A secondary analysis of neurological outcomes and serum albumin concentrations was performed on data from the Spinal Cord Injury Rehabilitation study. Data was accessed from the Archive of Data on Disability to Enable Policy and research (ADDEP). The primary analysis applied unbiased recursive partitioning to examine the relationship between serum albumin, injury severity, and long-term outcomes. The analysis is accessible via https://rpubs.com/AnhKhoaVo/586028 . Serum albumin concentration was significantly associated with lower extremity motor scores (LEMS) and American Spinal Injury Association Impairment Scale (AIS) grade at admission to rehabilitation. Serum albumin concentrations alone were also significantly associated with change of LEMS and marked recovery (improvement of at least 2 AIS grades and/or recovery to walking) at 1-year post injury. However, after adjusting for admission to rehabilitation LEMS and AIS grade, serum albumin was not significant. The current study partially confirms our previous observations that serum albumin concentrations are associated with neurological outcome after spinal cord injury. As a crude prognostic biomarker, serum albumin concentration could be useful in cases where injury severity cannot be accurately assessed.","albumin"
"3",0,"Yan Lin, Chunhong Li, Jian Li, Ruolan Deng, Juan Huang, Qinglian Zhang, Jiayao Lyu, Na Hao, Zhirong Zhong","NEP1-40-modified human serum albumin nanoparticles enhance the therapeutic effect of methylprednisolone against spinal cord injury.",2019,"Journal of nanobiotechnology",NA,NA,NA,3,"2021-01-12 11:14:33","Journal Article","10.1186/s12951-019-0449-3","1477-3155",NA,17,1,12,NA,0,0,0,9,2,"Frequent injection of high-dose methylprednisolone (MP) is used to treat spinal cord injury (SCI), but free MP is associated with various side effects and its water solubility is low, limiting potential dosing regimes and administration routes. Albumin-based nanoparticles, which can encapsulate therapeutic drugs and release cargo in a controlled pattern, show high biocompatibility and low toxicity. The Nogo protein, expressed on the surface of oligodendrocytes, can inhibit axonal growth by binding with the axonal Nogo receptor (NgR). Peptide NEP1-40, an NgR antagonist, can bind specifically to Nogo, significantly improving functional recovery and axon growth in the corticospinal tract. Therefore, we hypothesized that delivering MP within nanoparticles decorated with NEP1-40 could avoid the disadvantages of free MP and enhance its therapeutic efficacy against SCI. We used human serum albumin to prepare MP-loaded NPs (MP-NPs), to whose surface we conjugated NEP1-40 to form NEP1-40-MP-NPs. Transmission electron microscopy indicated successful formation of nanoparticles. NEP1-40-MP-NPs were taken up significantly better than MP-NPs by the Nogo-positive cell line RSC-96 and were associated with significantly higher Basso-Beattie-Bresnahan locomotor scores in rats recovering from SCI. Micro-computed tomography assay showed that NEP1-40-MP-NPs mitigated SCI-associated loss of bone mineral density and accelerated spinal cord repair. NEP1-40-MP-NPs can enhance the therapeutic effects of MP against SCI. This novel platform may also be useful for delivering other types of drugs.","albumin"
"4",0,"Dale S Feldman, John F McCauley","Mesenchymal Stem Cells and Transforming Growth Factor-β₃ (TGF-β₃) to Enhance the Regenerative Ability of an Albumin Scaffold in Full Thickness Wound Healing.",2018,"Journal of functional biomaterials",NA,NA,NA,4,"2021-01-12 11:14:33","Journal Article","10.3390/jfb9040065","2079-4983",NA,9,4,NA,NA,0,0,0,2,3,"Pressure ulcers are one of the most common forms of skin injury, particularly in the spinal cord injured (SCI). Pressure ulcers are difficult to heal in this population requiring at least six months of bed rest. Surgical treatment (grafting) is the fastest recovery time, but it still requires six weeks of bed rest plus significant additional costs and a high recurrence rate. A significant clinical benefit would be obtained by speeding the healing rate of a non-surgical treatment to close to that of surgical treatment (approximately doubling of healing rate). Current non-surgical treatment is mostly inactive wound coverings. The goal of this project was to look at the feasibility of doubling the healing rate of a full-thickness defect using combinations of three treatments, for the first time, each shown to increase healing rate: application of transforming growth factor-β₃ (TGF-β₃), an albumin based scaffold, and mesenchymal stem cells (MSCs). At one week following surgery, the combined treatment showed the greatest increase in healing rate, particularly for the epithelialization rate. Although the target level of a 100% increase in healing rate over the control was not quite achieved, it is anticipated that the goal would be met with further optimization of the treatment.","albumin"
"5",0,"Omar Fabela-Sánchez, Hermelinda Salgado-Ceballos, Luis Medina-Torres, Laura Álvarez-Mejía, Stephany Sánchez-Torres, Rodrigo Mondragón-Lozano, Axayácatl Morales-Guadarrama, Araceli Díaz-Ruiz, María-Guadalupe Olayo, Guillermo J Cruz, Juan Morales, Camilo Ríos, Roberto Olayo","Effect of the combined treatment of albumin with plasma synthesised pyrrole polymers on motor recovery after traumatic spinal cord injury in rats.",2017,"Journal of materials science. Materials in medicine",NA,NA,NA,5,"2021-01-12 11:14:33","Journal Article","10.1007/s10856-017-6016-2","1573-4838",NA,29,1,13,NA,0,0,0,13,4,"Traumatic spinal cord injury (TSCI) is a health problem for which there is currently no treatment or definitive therapy. Medicine has explored therapeutic options for patients with TSCI with the aim to improve their quality of life. One alternative has been the development of biomaterials that offer neuroprotection or neuroregeneration of damaged nerve tissue. The microinjection of iodine-doped polypyrrole particles synthesised by plasma (PPPy/I) has shown neuroprotective effects that favour motor function recovery in experimental animals with TSCI. However, their ability to migrate into the tissue has led to the need to test a suspension vehicle that enables the concentration of particles at the site of injury. To achieve this, two biomaterials of PPPy/I (P1 and P2) were studied. The superficial physicochemical characterisation of the polymers was performed by infrared spectroscopy, X-ray photoelectron spectroscopy and contact angle. The rheological performance under oscillatory shear rate of suspensions containing both polymers alone and in combination with bovine serum albumin was also studied. In vivo tests were performed on animals with and without TSCI that were microinjected with particles of P1 or P2 in suspension using a solution of rat serum albumin. Exposure to the protein solutions generates a protein multilayer on the surface of the biomaterials that can drastically change the behaviour of both P1 and P2, which led to severe repercussions in the in vivo assays. The results showed that surface chemistry plays an important role in the performance and that it is possible to treat TSCI with these materials. The interaction of the surface of materials PPPy/I.1 (P1) and PPPy/I.2 (P2) with bovine serum albumin (BSA) resulted in a series of changes in the surface chemistry of both biomaterials. The contact angle study (Fig. A) showed the presence of a critical BSA concentration ([BSA]c), in which a monolayer was formed on both polymers and then a stable protein multilayer, as evidenced by the establishment of a plateau in the determination of the contact angle. In vivo tests showed that this interaction may be beneficial in the treatment of traumatic spinal cord injury (TSCI), depending on the surface characteristics with or without rat serum albumin (RSA). The TSCI + P1 and TSCI + P2 + RSA groups obtained significant differences in functional recovery compared with the control group according to the Basso, Beattie and Bresnahan scale (BBB).","albumin"
"6",0,"Bobo Tong, Catherine R Jutzeler, Jacquelyn J Cragg, Lukas Grassner, Jan M Schwab, Steve Casha, Fred Geisler, John L K Kramer","Serum Albumin Predicts Long-Term Neurological Outcomes After Acute Spinal Cord Injury.",2018,"Neurorehabilitation and neural repair",NA,NA,NA,6,"2021-01-12 11:14:33","Journal Article","10.1177/1545968317746781","1552-6844",NA,32,1,7,17,0,0,0,8,3,"There is a need to identify reliable biomarkers of spinal cord injury recovery for clinical practice and clinical trials. Our objective was to correlate serum albumin levels with spinal cord injury neurological outcomes. We performed a secondary analysis of patients with traumatic spinal cord injury (n = 591) participating in the Sygen clinical trial. Serum albumin concentrations were obtained as part of routine blood chemistry analysis, at trial entry (24-72 hours), 1, 2, and 4 weeks after injury. The primary outcomes were ""marked recovery"" and lower extremity motor scores, derived from the International Standards for the Neurological Classification of Spinal Cord Injury. Data were analyzed with multivariable logistic and linear regression to adjust for potential confounders. Serum albumin was significantly associated with spinal cord injury neurological outcomes. Higher serum albumin concentrations at 1, 2, and 4 weeks were associated with higher 52-week lower extremity motor score. Similarly, the odds of achieving ""marked neurological recovery"" was greater for individuals with higher serum albumin concentrations. The association between serum albumin concentrations and neurological outcomes was independent of initial injury severity, treatment with GM-1, and polytrauma. In spinal cord injury, serum albumin is an independent marker of long-term neurological outcomes. Serum albumin could serve as a feasible biomarker for prognosis at the time of injury and stratification in clinical trials.","albumin"
"7",0,"Gerardo Avila-Martin, Manuel Mata-Roig, Iriana Galán-Arriero, Julian S Taylor, Xavier Busquets, Pablo V Escribá","Treatment with albumin-hydroxyoleic acid complex restores sensorimotor function in rats with spinal cord injury: Efficacy and gene expression regulation.",2017,"PloS one",NA,NA,NA,7,"2021-01-12 11:14:33","Journal Article","10.1371/journal.pone.0189151","1932-6203",NA,12,12,NA,NA,0,0,0,6,4,"Sensorimotor dysfunction following incomplete spinal cord injury (SCI) is often characterized by paralysis, spasticity and pain. Previously, we showed that intrathecal (i.t.) administration of the albumin-oleic acid (A-OA) complex in rats with SCI produced partial improvement of these symptoms and that oral 2-hydroxyoleic acid (HOA, a non-hydrolyzable OA analogue), was efficacious in the modulation and treatment of nociception and pain-related anxiety, respectively. Here we observed that intrathecal treatment with the complex albumin-HOA (A-HOA) every 3 days following T9 spinal contusion injury improved locomotor function assessed with the Rotarod and inhibited TA noxious reflex activity in Wistar rats. To investigate the mechanism of action of A-HOA, microarray analysis was carried out in the spinal cord lesion area. Representative genes involved in pain and neuroregeneration were selected to validate the changes observed in the microarray analysis by quantitative real-time RT-PCR. Comparison of the expression between healthy rats, SCI rats, and SCI treated with A-HOA rats revealed relevant changes in the expression of genes associated with neuronal morphogenesis and growth, neuronal survival, pain and inflammation. Thus, treatment with A-HOA not only induced a significant overexpression of growth and differentiation factor 10 (GDF10), tenascin C (TNC), aspirin (ASPN) and sushi-repeat-containing X-linked 2 (SRPX2), but also a significant reduction in the expression of prostaglandin E synthase (PTGES) and phospholipases A1 and A2 (PLA1/2). Currently, SCI has very important unmet clinical needs. A-HOA downregulated genes involved with inflammation and upregulated genes involved in neuronal growth, and may serve to promote recovery of function after experimental SCI.","albumin"
"8",0,"Daniel Fandel, Dante Wasmuht, Gerardo Avila-Martín, Julian S Taylor, Iriana Galán-Arriero, Jörg Mey","Spinal cord injury induced changes of nuclear receptors PPARα and LXRβ and modulation with oleic acid/albumin treatment.",2013,"Brain research",NA,NA,NA,8,"2021-01-12 11:14:33","Journal Article","10.1016/j.brainres.2013.08.022","1872-6240",NA,1535,NA,89,105,0,0,0,6,8,"In previous studies with animal models of spinal cord injury (SCI) pharmacological activation of peroxisome proliferator activated receptors (PPAR) and liver X receptors (LXR) were used to reduce tissue damage and promote behavioral recovery in animal models. We have studied the endogenous expression of the transcription factors PPARα and LXRβ in the chronic stage after SCI in rats. The immunohistochemical investigation revealed a long lasting increase in the level of PPARα in white matter in the vicinity of the lesion site. The source of this signal was identified in a subpopulation of astrocytes outside of the glial scar area. Intrathecal injections of oleic acid/albumin reduced the lesion-induced PPARα immunoreactivity. In addition, ependymal cells displayed a prominent PPARα signal in the non-injured spinal cord, and continued to express the receptor as they proliferated and migrated within the damaged tissue. The nuclear receptor LXRβ was detected at similar levels after SCI as in sham operated animals. We found high levels of immunoreactivity in the gray matter, while in the white matter it was present in subpopulations of astrocytes and oligodendrocytes. Macrophages that had accumulated within the center of the lesion contained LXRβ in their cell nuclei. Possible endogenous functions of PPARα and LXRβ after SCI are discussed, specifically the control of fatty acid and cholesterol metabolism and the regulation of inflammatory reactions.","albumin"
"9",0,"Nicholas J Kuypers, Kurtis T James, Gaby U Enzmann, David S K Magnuson, Scott R Whittemore","Functional consequences of ethidium bromide demyelination of the mouse ventral spinal cord.",2013,"Experimental neurology",NA,NA,NA,9,"2021-01-12 11:14:33","Journal Article","10.1016/j.expneurol.2013.02.014","1090-2430",NA,247,NA,615,622,0,0,0,5,8,"Ethidium bromide (EB) has been extensively used in the rat as a model of spinal cord demyelination. However, this lesion has not been addressed in the adult mouse, a model with unlimited genetic potential. Here we characterize behavioral function, inflammation, myelin status and axonal viability following bilateral injection of 0.20 mg/mL ethidium bromide or saline into the ventral white matter (VWM) of female C57Bl/6 mice. EB-induced VWM demyelination significantly reduced spared VWM and Basso Mouse Scale (BMS) scores persisting out to 2 months. Chronic hindlimb dysfunction was accompanied by a persistent inflammatory response (demonstrated by CD45(+) immunofluorescence) and axonal loss (demonstrated by NF-M immunofluorescence and electron microscopy; EM). These cellular responses differ from the rat where inflammation resolves by 3-4 weeks and axon loss is minimal following EB demyelination. As these data suggest that EB-injection in the mouse spinal cord is a non-remyelinating lesion, we sought to ask whether wheel running could promote recovery by enhancing plasticity of local lumbar circuitry independent of remyelination. This did not occur as BMS and Treadscan assessment revealed no significant effect of wheel running on recovery. However, this study defines the importance of descending ventral motor pathways to locomotor function in the mouse as VWM loss results in a chronic hindlimb deficit.","albumin"
"10",0,"A Ferrero-Gutierrez, Y Menendez-Menendez, M Alvarez-Viejo, A Meana, J Otero","New serum-derived albumin scaffold seeded with adipose-derived stem cells and olfactory ensheathing cells used to treat spinal cord injured rats.",2013,"Histology and histopathology",NA,NA,NA,10,"2021-01-12 11:14:33","Journal Article","10.14670/HH-28.89","1699-5848",NA,28,1,89,100,0,0,0,5,8,"Recent advances in spinal cord injury (SCI) research and cell culture techniques and biomaterials predict promising new treatments for patients with SCI or other nerve injuries. Biomaterial scaffolds form a substrate within which cells are instructed to form a tissue in a controlled manner. This study was designed to assess axon regeneration and locomotor recovery in rats with spinal cord injury treated with a novel serum-derived albumin scaffold seeded with adipose derived stem cells (ADSCs) and olfactory ensheathing cells (OECs). OECs are considered promising candidates for the treatment of SCI, and ADSCs have the ability to differentiate into neural lineages. In vitro experiments revealed that ADSCs and OECs adhered to the scaffold, remained viable and expressed specific markers of their cell types when cultured in the scaffold. Rats treated with scaffold plus cells showed locomotor skills at several time points from 45 days post-injury that were improved over those recorded in control injured, untreated animals. Astrocytic scars and tissue regeneration, identified using histological and immunohistochemical techniques, revealed that although the scaffold itself appeared to play a significant role in reducing glial scar formation and filling of the lesion cavity with cells, the presence of ADSCs and OECs in the scaffold led to the appearance of cells expressing markers of neurons and axons at the injury site. Our findings point to the clinical feasibility of an albumin scaffold seeded with ADSCs and OECs as a treatment candidate for use in spinal cord injury repair studies.","albumin"
