"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",0,"Emily M Besecker, Emily N Blanke, Gina M Deiter, Gregory M Holmes","Gastric vagal afferent neuropathy following experimental spinal cord injury.",2020,"Experimental neurology",NA,NA,NA,1,"2021-01-16 11:15:35","Journal Article","10.1016/j.expneurol.2019.113092","1090-2430",NA,323,NA,113092,NA,0,0,0,4,1,"Dramatic impairment of gastrointestinal (GI) function accompanies high-thoracic spinal cord injury (T3-SCI). The vagus nerve contains mechano- and chemosensory fibers as well as the motor fibers necessary for the central nervous system (CNS) control of GI reflexes. Cell bodies for the vagal afferent fibers are located within the nodose gangla (NG) and the majority of vagal afferent axons are unmyelinated C fibers that are sensitive to capsaicin through activation of transient receptor potential vanilloid-1 (TRPV1) channels. Vagal afferent fibers also express receptors for GI hormones, including cholecystokinin (CCK). Previously, T3-SCI provokes a transient GI inflammatory response as well as a reduction of both gastric emptying and centrally-mediated vagal responses to GI peptides, including CCK. TRPV1 channels and CCK-A receptors (CCKar) expressed in vagal afferents are upregulated in models of visceral inflammation. The present study investigated whether T3-SCI attenuates peripheral vagal afferent sensitivity through plasticity of TRPV1 and CCK receptors. Vagal afferent response to graded mechanical stimulation of the stomach was significantly attenuated by T3-SCI at 3-day and 3-week recovery. Immunocytochemical labeling for CCKar and TRPV1 demonstrated expression on dissociated gastric-projecting NG neurons. Quantitative assessment of mRNA expression by qRT-PCR revealed significant elevation of CCKar and TRPV1 in the whole NG following T3-SCI in 3-day recovery, but levels returned to normal after 3-weeks. Three days after injury, systemic administration of CCK-8 s showed a significantly diminished gastric vagal afferent response in T3-SCI rats compared to control rats while systemic capsaicin infusion revealed a significant elevation of vagal response in T3-SCI vs control rats. These findings demonstrate that T3-SCI provokes peripheral remodeling and prolonged alterations in the response of vagal afferent fibers to the physiological signals associated with digestion.","capsaicin"
"2",0,"Anastasia V Keller, Casey Hainline, Kathleen Rees, Sarah Krupp, Daniella Prince, Brittney D Wood, Alice Shum-Siu, Darlene A Burke, Jeffrey C Petruska, David S K Magnuson","Nociceptor-dependent locomotor dysfunction after clinically-modeled hindlimb muscle stretching in adult rats with spinal cord injury.",2019,"Experimental neurology",NA,NA,NA,2,"2021-01-16 11:15:35","Journal Article","10.1016/j.expneurol.2019.03.006","1090-2430",NA,318,NA,267,276,0,0,0,10,2,"In the course of investigating how common clinical treatments and adaptive technologies affect recovery after spinal cord injury (SCI), we discovered that a clinically-modeled hindlimb stretching protocol dramatically, but transiently, reduces locomotor function. Nociceptive sensory input is capable of altering motor output at the spinal level, and nociceptive neurons are sensitized after SCI. Here we tested the hypotheses that stretch-induced locomotor deficits are dependent on nociceptive afferents by depleting TRPV1+ sensory afferents using capsaicin injections in neonatal rats. Following maturation, animals received 25g-cm contusive SCI at T10. After plateau of locomotor recovery at 6 weeks, daily stretching was performed for 3 weeks, followed by 2 weeks without stretch, and again for two additional weeks. Animals were sacrificed 2 h after the last stretching session for histological assessments. Consistent with previous findings, stretch-induced drops in locomotor function were observed in nociceptor-intact animals but were nearly absent in nociceptor-depleted animals. These functional changes were accompanied by corresponding increases in the number of c-Fos+ nuclei throughout the lumbar enlargement. As expected, nociceptor-depleted animals had very little CGRP+ axonal innervation of the dorsal horn. Nociceptor-intact stretched animals had significantly higher levels of CGRP+ as compared to non-stretched SCI rats, suggesting that stretching promoted intraspinal CGRP+ sprouting. These results indicate that stretch-induced locomotor dysfunction in animals with incomplete SCI involves C-fibers, adding a negative post-SCI role to their adaptive roles (e.g., bladder control), and suggesting that the clinical use of muscle stretching to combat contractures and spasticity may be unintentionally detrimental to locomotor function.","capsaicin"
"3",0,"Joel D Turtle, Melissa K Henwood, Misty M Strain, Yung-Jen Huang, Rajesh C Miranda, James W Grau","Engaging pain fibers after a spinal cord injury fosters hemorrhage and expands the area of secondary injury.",2019,"Experimental neurology",NA,NA,NA,3,"2021-01-16 11:15:35","Journal Article","10.1016/j.expneurol.2018.09.018","1090-2430",NA,311,NA,115,124,0,0,0,6,2,"In humans, spinal cord injury (SCI) is often accompanied by additional tissue damage (polytrauma) that can engage pain (nociceptive) fibers. Prior work has shown that this nociceptive input can expand the area of tissue damage (secondary injury), undermine behavioral recovery, and enhance the development of chronic pain. Here, it is shown that nociceptive input given a day after a lower thoracic contusion injury in rats enhances the infiltration of red blood cells at the site of injury, producing an area of hemorrhage that expands secondary injury. Peripheral nociceptive fibers were engaged 24 h after injury by means of electrical stimulation (shock) applied at an intensity that engages unmyelinated pain (C) fibers or through the application of the irritant capsaicin. Convergent western immunoblot and cyanmethemoglobin colorimetric assays showed that both forms of stimulation increased the concentration of hemoglobin at the site of injury, with a robust effect observed 3-24 h after stimulation. Histopathology confirmed that shock treatment increased the area of hemorrhage and the infiltration of red blood cells. SCI can lead to hemorrhage by engaging the sulfonylurea receptor 1 (SUR1) transient receptor potential melastatin 4 (TRPM4) channel complex in neurovascular endothelial cells, which leads to cell death and capillary fragmentation. Histopathology confirmed that areas of hemorrhage showed capillary fragmentation. Co-immunoprecipitation of the SUR1-TRPM4 complex showed that it was up-regulated by noxious stimulation. Shock-induced hemorrhage was associated with an acute disruption in locomotor performance. These results imply that noxious stimulation impairs long-term recovery because it amplifies the breakdown of the blood spinal cord barrier (BSCB) and the infiltration of red blood cells, which expands the area of secondary injury.","capsaicin"
"4",0,"Joel D Turtle, Misty M Strain, Joshua A Reynolds, Yung-Jen Huang, Kuan H Lee, Melissa K Henwood, Sandra M Garraway, James W Grau","Pain Input After Spinal Cord Injury (SCI) Undermines Long-Term Recovery and Engages Signal Pathways That Promote Cell Death.",2018,"Frontiers in systems neuroscience",NA,NA,NA,4,"2021-01-16 11:15:35","Journal Article","10.3389/fnsys.2018.00027","1662-5137",NA,12,NA,27,NA,0,0,0,8,3,"Pain (nociceptive) input caudal to a spinal contusion injury increases tissue loss and impairs long-term recovery. It was hypothesized that noxious stimulation has this effect because it engages unmyelinated pain (C) fibers that produce a state of over-excitation in central pathways. The present article explored this issue by assessing the effect of capsaicin, which activates C-fibers that express the transient receptor potential vanilloid receptor-1 (TRPV1). Rats received a lower thoracic (T11) contusion injury and capsaicin was applied to one hind paw the next day. For comparison, other animals received noxious electrical stimulation at an intensity that engages C fibers. Both forms of stimulation elicited similar levels of c-fos mRNA expression, a cellular marker of nociceptive activation, and impaired long-term behavioral recovery. Cellular assays were then performed to compare the acute effect of shock and capsaicin treatment. Both forms of noxious stimulation increased expression of tumor necrosis factor (TNF) and caspase-3, which promotes apoptotic cell death. Shock, but not capsaicin, enhanced expression of signals related to pyroptotic cell death [caspase-1, inteleukin-1 beta (IL-1ß)]. Pyroptosis has been linked to the activation of the P2X7 receptor and the outward flow of adenosine triphosphate (ATP) through the pannexin-1 channel. Blocking the P2X7 receptor with Brilliant Blue G (BBG) reduced the expression of signals related to pyroptotic cell death in contused rats that had received shock. Blocking the pannexin-1 channel with probenecid paradoxically had the opposite effect. BBG enhanced long-term recovery and lowered reactivity to mechanical stimulation applied to the girdle region (an index of chronic pain), but did not block the adverse effect of nociceptive stimulation. The results suggest that C-fiber input after injury impairs long-term recovery and that this effect may arise because it induces apoptotic cell death.","capsaicin"
"5",0,"Kun-Ze Lee","Phrenic motor outputs in response to bronchopulmonary C-fibre activation following chronic cervical spinal cord injury.",2016,"The Journal of physiology",NA,NA,NA,5,"2021-01-16 11:15:35","Journal Article","10.1113/JP272287","1469-7793",NA,594,20,6009,6024,0,0,0,1,5,"Activation of bronchopulmonary C-fibres, the main chemosensitive afferents in the lung, can induce pulmonary chemoreflexes to modulate respiratory activity. Following chronic cervical spinal cord injury, bronchopulmonary C-fibre activation-induced inhibition of phrenic activity was exaggerated. Supersensitivity of phrenic motor outputs to the inhibitory effect of bronchopulmonary C-fibre activation is due to a shift of phrenic motoneuron types and slow recovery of phrenic motoneuron discharge in cervical spinal cord-injured animals. These data suggest that activation of bronchopulmonary C-fibres may retard phrenic output recovery following cervical spinal cord injury. The alteration of phenotype and discharge pattern of phrenic motoneuron enables us to understand the impact of spinal cord injury on spinal respiratory activity. Cervical spinal injury interrupts bulbospinal pathways and results in cessation of phrenic bursting ipsilateral to the lesion. The ipsilateral phrenic activity can partially recover over weeks to months following injury due to the activation of latent crossed spinal pathways and exhibits a greater capacity to increase activity during respiratory challenges than the contralateral phrenic nerve. However, whether the bilateral phrenic nerves demonstrate differential responses to respiratory inhibitory inputs is unclear. Accordingly, the present study examined bilateral phrenic bursting in response to capsaicin-induced pulmonary chemoreflexes, a robust respiratory inhibitory stimulus. Bilateral phrenic nerve activity was recorded in anaesthetized and mechanically ventilated adult rats at 8-9 weeks after C2 hemisection (C2Hx) or C2 laminectomy. Intra-jugular capsaicin (1.5 μg kg-1 ) injection was performed to activate the bronchopulmonary C-fibres to evoke pulmonary chemoreflexes. The present results indicate that capsaicin-induced prolongation of expiratory duration was significantly attenuated in C2Hx animals. However, ipsilateral phrenic activity was robustly reduced after capsaicin treatment compared to uninjured animals. Single phrenic fibre recording experiments demonstrated that C2Hx animals had a higher proportion of late-inspiratory phrenic motoneurons that were relatively sensitive to capsaicin treatment compared to early-inspiratory phrenic motoneurons. Moreover, late-inspiratory phrenic motoneurons in C2Hx animals had a weaker discharge frequency and slower recovery time than uninjured animals. These results suggest bilateral phrenic nerves differentially respond to bronchopulmonary C-fibre activation following unilateral cervical hemisection, and the severe inhibition of phrenic bursting is due to a shift in the discharge pattern of phrenic motoneurons.","capsaicin"
"6",0,"Kun-Ze Lee, Yu-Shuo Chang","Recovery of the pulmonary chemoreflex and functional role of bronchopulmonary C-fibers following chronic cervical spinal cord injury.",2014,"Journal of applied physiology (Bethesda, Md. : 1985)",NA,NA,NA,6,"2021-01-16 11:15:35","Journal Article","10.1152/japplphysiol.00723.2014","1522-1601",NA,117,10,1188,1198,0,0,0,2,7,"Persistent impairment of pulmonary defense reflexes is a critical factor contributing to pulmonary complications in patients with spinal cord injuries. The pulmonary chemoreflex evoked by activation of bronchopulmonary C-fibers has been reported to be abolished in animals with acute cervical hemisection (C2Hx). The present study examined whether the pulmonary chemoreflex can recover during the chronic injury phase and investigated the role of bronchopulmonary C-fibers on the altered breathing pattern after C2Hx. In the first protocol, bronchopulmonary C-fibers were excited by intrajugular capsaicin administration in uninjured and complete C2Hx animals 8 wk postsurgery. Capsaicin evoked pulmonary chemoreflexes in both groups, but the reflex intensity was significantly weaker in C2Hx animals. To examine whether spared spinal white matter tissue contributes to pulmonary chemoreflex recovery, the reflex was evaluated in animals with different extents of lateral injury. Linear regression analyses revealed that tidal volume significantly correlated with the extent of spared tissue; however, capsaicin-induced apnea was not related to injury severity when the ipsilateral-to-contralateral white matter ratio was <50%. In the second protocol, the influence of background bronchopulmonary C-fiber activity on respiration was investigated by blocking C-fiber conduction via perivagal capsaicin treatment. The rapid shallow breathing of C2Hx animals persisted after perivagal capsaicin treatment despite attenuation of pulmonary chemoreflexes. These results indicate that the pulmonary chemoreflex can recover to some extent following spinal injury, but remains attenuated even when there is moderate spinal tissue sparing, and that altered breathing pattern of C2Hx animals cannot be attributed to endogenous activation of bronchopulmonary C-fibers.","capsaicin"
"7",0,"James W Grau, J Russell Huie, Sandra M Garraway, Michelle A Hook, Eric D Crown, Kyle M Baumbauer, Kuan H Lee, Kevin C Hoy, Adam R Ferguson","Impact of behavioral control on the processing of nociceptive stimulation.",2012,"Frontiers in physiology",NA,NA,NA,7,"2021-01-16 11:15:35","Journal Article","10.3389/fphys.2012.00262","1664-042X",NA,3,NA,262,NA,0,0,0,9,9,"How nociceptive signals are processed within the spinal cord, and whether these signals lead to behavioral signs of neuropathic pain, depends upon their relation to other events and behavior. Our work shows that these relations can have a lasting effect on spinal plasticity, inducing a form of learning that alters the effect of subsequent nociceptive stimuli. The capacity of lower spinal systems to adapt, in the absence of brain input, is examined in spinally transected rats that receive a nociceptive shock to the tibialis anterior muscle of one hind leg. If shock is delivered whenever the leg is extended (controllable stimulation), it induces an increase in flexion duration that minimizes net shock exposure. This learning is not observed in subjects that receive the same amount of shock independent of leg position (uncontrollable stimulation). These two forms of stimulation have a lasting, and divergent, effect on subsequent learning: controllable stimulation enables learning whereas uncontrollable stimulation disables it (learning deficit). Uncontrollable stimulation also enhances mechanical reactivity. We review evidence that training with controllable stimulation engages a brain-derived neurotrophic factor (BDNF)-dependent process that can both prevent and reverse the consequences of uncontrollable shock. We relate these effects to changes in BDNF protein and TrkB signaling. Controllable stimulation is also shown to counter the effects of peripheral inflammation (from intradermal capsaicin). A model is proposed that assumes nociceptive input is gated at an early sensory stage. This gate is sensitive to current environmental relations (between proprioceptive and nociceptive input), allowing stimulation to be classified as controllable or uncontrollable. We further propose that the status of this gate is affected by past experience and that a history of uncontrollable stimulation will promote the development of neuropathic pain.","capsaicin"
"8",0,"William C de Groat, Naoki Yoshimura","Changes in afferent activity after spinal cord injury.",2010,"Neurourology and urodynamics",NA,NA,NA,8,"2021-01-16 11:15:35","Journal Article","10.1002/nau.20761","1520-6777",NA,29,1,63,76,0,0,0,2,11,"To summarize the changes that occur in the properties of bladder afferent neurons following spinal cord injury. Literature review of anatomical, immunohistochemical, and pharmacologic studies of normal and dysfunctional bladder afferent pathways. Studies in animals indicate that the micturition reflex is mediated by a spinobulbospinal pathway passing through coordination centers (periaqueductal gray and pontine micturition center) located in the rostral brain stem. This reflex pathway, which is activated by small myelinated (Adelta) bladder afferent nerves, is in turn modulated by higher centers in the cerebral cortex involved in the voluntary control of micturition. Spinal cord injury at cervical or thoracic levels disrupts voluntary voiding, as well as the normal reflex pathways that coordinate bladder and sphincter function. Following spinal cord injury, the bladder is initially areflexic but then becomes hyperreflexic due to the emergence of a spinal micturition reflex pathway. The recovery of bladder function after spinal cord injury is dependent in part on the plasticity of bladder afferent pathways and the unmasking of reflexes triggered by unmyelinated, capsaicin-sensitive, C-fiber bladder afferent neurons. Plasticity is associated with morphologic, chemical, and electrical changes in bladder afferent neurons and appears to be mediated in part by neurotrophic factors released in the spinal cord and the peripheral target organs. Spinal cord injury at sites remote from the lumbosacral spinal cord can indirectly influence properties of bladder afferent neurons by altering the function and chemical environment in the bladder or the spinal cord.","capsaicin"
"9",0,"P R Sandford, P S Benes","Use of capsaicin in the treatment of radicular pain in spinal cord injury.",2000,"The journal of spinal cord medicine",NA,NA,NA,9,"2021-01-16 11:15:35","Case Reports","10.1080/10790268.2000.11753532","1079-0268",NA,23,4,238,243,0,0,0,2,21,"Pain following spinal cord injury (SCI) is a common problem and can interfere with functional recovery. Radicular pain (pain at the level of injury) is one type of SCI pain. Traditional analgesic agents are sometimes ineffective and can have significant systemic side effects. A retrospective review of 8 patients with radicular pain secondary to SCI who responded to topical capsaicin therapy. Improvement was noted in 1-2 weeks, including 1 patient with a 12-year history of intractable pain. Long-term efficacy was seen in 2 patients treated for >2 years. Based on these favorable results and minimal side effects, topical capsaicin should be considered in the treatment of localized radicular pain secondary to SCI.","capsaicin"
"10",0,"William C de Groat, Naoki Yoshimura","Mechanisms underlying the recovery of lower urinary tract function following spinal cord injury.",2006,"Progress in brain research",NA,NA,NA,10,"2021-01-16 11:15:35","Journal Article","10.1016/S0079-6123(05)52005-3","0079-6123",NA,152,NA,59,84,0,0,0,2,15,"The lower urinary tract has two main functions, the storage and periodic expulsion of urine, which are regulated by a complex neural control system in the brain and lumbosacral spinal cord. This neural system coordinates the activity of two functional units in the lower urinary tract: (1) a reservoir (the urinary bladder) and (2) an outlet (consisting of bladder neck, urethra and striated muscles of the pelvic floor). During urine storage the outlet is closed and the bladder is quiescent, thereby maintaining a low intravesical pressure over a wide range of bladder volumes. During micturition the outlet relaxes and the bladder contracts to promote the release of urine. This reciprocal relationship between bladder and outlet is generated by visceral reflex circuits, some of which are under voluntary control. Experimental studies in animals indicate that the micturition reflex is mediated by a spinobulbospinal pathway passing through a coordination center (the pontine micturition center) located in the rostral brainstem. This reflex pathway is in turn modulated by higher centers in the cerebral cortex that are presumably involved in the voluntary control of micturition. Spinal cord injury at cervical or thoracic levels disrupts voluntary control of voiding as well as the normal reflex pathways that coordinate bladder and sphincter functions. Following spinal cord injury, the bladder is initially areflexic but then becomes hyperreflexic due to the emergence of a spinal micturition reflex pathway. Studies in animals indicate that the recovery of bladder function after spinal cord injury is dependent in part on plasticity of bladder afferent pathways and the unmasking of reflexes triggered by capsaicin-sensitive C-fiber bladder afferent neurons. The plasticity is associated with changes in the properties of ion channels and electrical excitability of afferent neurons, and appears to be mediated in part by neurotrophic factors released in the spinal cord and the peripheral target organs.","capsaicin"
