"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",0,"Hasan Kheyrkhah, Hamid Soltani Zangbar, Omid Salimi, Parviz Shahabi, HojjatAllah Alaei","Prefrontal dopaminergic system and its role in working memory and cognition in spinal cord-injured rats.",2020,"Experimental physiology",NA,NA,NA,1,"2021-01-16 14:12:50","Journal Article","10.1113/EP088537","1469-445X",NA,105,9,1579,1587,0,0,0,5,1,"What is the central question of this study? How does spinal cord injury affect prefrontal cortex function and the expression of dopamine receptors? What is the main finding and its importance? Spinal cord injury impaired cognitive function, which was associated with reduced dopamine receptor expression in the prefrontal cortex. The effect of spinal cord injury (SCI) has been studied widely in paraplegia and motor areas of the brain, but its mechanisms in memory and cognitive impairment remain controversial. Here, we focused on the impact of SCI on prefrontal performance via dopamine levels and receptors. We divided 18 male rats into three groups, i.e. control, laminectomy and SCI groups. Laminectomy and SCI were induced at T10 of the spinal cord. One week later, after locomotor recovery, the novel object recognition and T-maze (spontaneous alternation) tests were applied. After behavioural assessments, the rats were killed and their brain tissues harvested. According to the behavioural findings, cognitive function was impaired in the SCI group (P < 0.05). Also, SCI significantly increased the dopamine level and decreased the expression of dopamine receptors in the prefrontal cortex 2 weeks after injury (P < 0.05). Given the role of dopamine in cognition, SCI could impair novel object recognition and spatial working memory via dopaminergic systems.","dopamine"
"2",0,"Nathan Evaniew, Shahriar J Mazlouman, Emilie P Belley-Côté, W Bradley Jacobs, Brian K Kwon","Interventions to Optimize Spinal Cord Perfusion in Patients with Acute Traumatic Spinal Cord Injuries: A Systematic Review.",2020,"Journal of neurotrauma",NA,NA,NA,2,"2021-01-16 14:12:50","Journal Article","10.1089/neu.2019.6844","1557-9042",NA,37,9,1127,1139,0,0,0,5,1,"Interventions to optimize spinal cord perfusion via support of mean arterial pressure (MAP) or spinal cord perfusion pressure (SCPP) are thought to play a critical role in the management of patients with acute traumatic spinal cord injuries, but there is ongoing controversy about efficacy and safety. We aimed to determine the effects of optimizing spinal cord perfusion on neurological recovery and risks for adverse events. We searched multiple databases for published and unpublished reports. Two reviewers independently screened articles, extracted data, and evaluated risk of bias. We synthesized data and evaluated confidence in anticipated treatment effects according to the Grades of Recommendation, Assessment, Development, and Evaluation (GRADE) approach. We identified 20 eligible observational studies and 1 eligible randomized controlled trial. According to low or very low quality evidence, the effect of MAP support on neurological recovery after acute traumatic spinal cord injury is uncertain, and the use of vasopressors to support MAP may be associated with increased rates of predominantly cardiac adverse events. Increased SCPP appears likely to be associated with improved neurological recovery, but SCPP monitoring via intradural catheters at the anatomical site of injury may involve increased risks of cerebrospinal fluid leakage requiring revision surgery or pseudomeningocele. No study directly compared the effects of specific MAP goal ranges, SCPP ranges, SCPP monitoring techniques, or durations of treatment. Very low quality evidence suggests that norepinephrine may have less risk of adverse events than dopamine. The current literature is insufficient to make strong recommendations about interventions to support spinal cord perfusion via MAP or SCPP goals in patients with acute traumatic spinal cord injuries. Data are compatible with a variety of treatment decisions, and individualized approaches may be optimal. Further investigation to clarify the risks, benefits, and alternatives to MAP or SCPP support in this population is warranted.","dopamine"
"3",0,"Catherine L Bradley, Diane L Damiano","Effects of Dopamine on Motor Recovery and Training in Adults and Children With Nonprogressive Neurological Injuries: A Systematic Review.",2019,"Neurorehabilitation and neural repair",NA,NA,NA,3,"2021-01-16 14:12:50","Journal Article","10.1177/1545968319837289","1552-6844",NA,33,5,331,344,0,0,0,2,2,"The strong link between dopamine and motor learning has been well-established in the animal literature with similar findings reported in healthy adults and the elderly. We aimed to conduct the first, to our knowledge, systematic review of the literature on the evidence for the effects of dopaminergic medications or genetic variations in dopamine transmission on motor recovery or learning after a nonprogressive neurological injury. A PubMed search was conducted up until April 2018 for all English articles including participants with nonprogressive neurological injury such as cerebral palsy, stroke, spinal cord injury, and traumatic brain injury; quantitative motor outcomes; and assessments of the dopaminergic system or medications. The search yielded 237 articles, from which we identified 26 articles meeting all inclusion/exclusion criteria. The vast majority of articles were related to the use of levodopa poststroke; however, several studies assessed the effects of different medications and/or were on individuals with traumatic brain injury, spinal cord injury or cerebral palsy. The evidence suggests that a brain injury can decrease dopamine transmission and that levodopa may have a positive effect on motor outcomes poststroke, although evidence is not conclusive or consistent. Individual variations in genes related to dopamine transmission may also influence the response to motor skill training during neurorehabilitation and the extent to which dopaminergic medications or interventions can augment that response. More rigorous safety and efficacy studies of levodopa and dopaminergic medications in stroke and particularly other neurological injuries including genetic analyses are warranted.","dopamine"
"4",0,"Sergi Ferré, Manuel Díaz-Ríos, John D Salamone, Rui Daniel Prediger","New Developments on the Adenosine Mechanisms of the Central Effects of Caffeine and Their Implications for Neuropsychiatric Disorders.",2018,"Journal of caffeine and adenosine research",NA,NA,NA,4,"2021-01-16 14:12:50","Journal Article","10.1089/caff.2018.0017","2573-3400",NA,8,4,121,131,0,0,0,4,3,"Recent studies on interactions between striatal adenosine and dopamine and one of its main targets, the adenosine A2A receptor-dopamine D2 receptor (A2AR-D2R) heteromer, have provided a better understanding of the mechanisms involved in the psychostimulant effects of caffeine and have brought forward new data on the mechanisms of operation of classical orthosteric ligands within G protein-coupled receptor heteromers. The striatal A2AR-D2R heteromer has a tetrameric structure and forms part of a signaling complex that includes a Gs and a Gi protein and the effector adenyl cyclase (subtype AC5). Another target of caffeine, the adenosine A1 receptor-dopamine D1 receptor (A1R-D1R) heteromer, seems to have a very similar structure. Initially suggested to be localized in the striatum, the A1R-D1R heteromer has now been identified in the spinal motoneuron and shown to mediate the spinally generated caffeine-induced locomotion. In this study, we review the recently discovered properties of A2AR-D2R and A1R-D1R heteromers. Our studies demonstrate that these complexes are a necessary condition to sustain the canonical antagonistic interaction between a Gs-coupled receptor (A2AR or D1R) and a Gi-coupled receptor (D2R or A1R) at the adenylyl cyclase level, which constitutes a new concept in the field of G protein-coupled receptor physiology and pharmacology. A2AR antagonists targeting the striatal A2AR-D2R heteromer are already being considered as therapeutic agents in Parkinson's disease. In this study, we review the preclinical evidence that indicates that caffeine and A2AR antagonists could be used to treat the motivational symptoms of depression and attention-deficit/hyperactivity disorder, while A1R antagonists selectively targeting the spinal A1R-D1R heteromer could be used in the recovery of spinal cord injury.","dopamine"
"5",0,"Elena Kondratskaya, Oleksandr Ievglevskyi, Mark Züchner, Athina Samara, Joel C Glover, Jean-Luc Boulland","Locomotor central pattern generator excitability states and serotonin sensitivity after spontaneous recovery from a neonatal lumbar spinal cord injury.",2019,"Brain research",NA,NA,NA,5,"2021-01-16 14:12:50","Journal Article","10.1016/j.brainres.2018.12.001","1872-6240",NA,1708,NA,10,19,0,0,0,6,2,"The spinal locomotor central pattern generator (CPG) in neonatal mice exhibits diverse output patterns, ranging from sub-rhythmic to multi-rhythmic to fictive locomotion, depending on its general level of excitation and neuromodulatory status. We have recently reported that the locomotor CPG in neonatal mice rapidly recovers the ability to produce neurochemically induced fictive locomotion following an upper lumbar spinal cord compression injury. Here we address the question of recovery of multi-rhythmic activity and the serotonin-sensitivity of the CPG. In isolated spinal cords from control and 3 days post-injury mice, application of dopamine and NMDA elicited multi-rhythmic activity with slow and fast components. The slow component comprised 10-20 s episodes of activity that were synchronous in ipsilateral or all lumbar ventral roots, and the fast components involved bursts within these episodes that displayed coordinated patterns of alternation between ipsilateral roots. Rhythm strength was the same in control and injured spinal cords. However, power spectral analysis of signal within episodes showed a reduced peak frequency after recovery. In control spinal cords, serotonin triggered fictive locomotion only when applied at high concentration (30 µM, constant NMDA). By contrast, in about 50% of injured preparations fictive locomotion was evoked by 2-3 times lower serotonin concentrations (10-15 µM). This increased serotonin sensitivity was correlated with post-injury changes in the expression of specific serotonin receptor transcripts, but not of dopamine receptor transcripts.","dopamine"
"6",0,"Cameron T Trueblood, Idiata W Iredia, Eileen S Collyer, Veronica J Tom, Shaoping Hou","Development of Cardiovascular Dysfunction in a Rat Spinal Cord Crush Model and Responses to Serotonergic Interventions.",2019,"Journal of neurotrauma",NA,NA,NA,6,"2021-01-16 14:12:50","Journal Article","10.1089/neu.2018.5962","1557-9042",NA,36,9,1478,1486,0,0,0,5,2,"Selection of a proper spinal cord injury (SCI) rat model to study therapeutic effects of cell transplantation is imperative for research in cardiovascular functional recovery, due to the local harsh milieu inhibiting cell growth. We recently found that a crushed spinal cord lesion can minimize fibrotic scarring and grafted cell death compared with open-dura injuries. To determine if this SCI model is applicable for studying cardiovascular recovery, we examined hemodynamic consequences following crushed SCI and tested cardiovascular responses to serotonin (5-HT) or dopamine (DA) receptor agonists. Using a radio-telemetric system, multiple cardiovascular parameters were recorded prior to, 2, and 4 weeks after SCI, including resting mean arterial pressure (MAP) and heart rate (HR), as well as spontaneous or colorectal distension (CRD)-induced autonomic dysreflexia (AD). The results showed that this injury caused tachycardia at rest as well as the occurrence of spontaneous or artificially induced dysreflexic events. Four weeks post-injury, specific activation of 5-HT2A receptors by subcutaneous (s.c.) or intrathecal (i.t.) delivery of Dimethoxy-4-iodoamphetamine (DOI) remarkably increased resting MAP levels in a dose-dependent fashion. During CRD-induced autonomic dysreflexia, systemic administration of DOI alleviated the severity of bradycardia responsive to episodic hypertension. In contrast, selective stimulation of 5-HT1A receptors with 8-OH-DPAT or non-selective activation of DA receptors with apomorphine did not affect cardiovascular performance. Thus, crush injuries induce cardiovascular abnormalities in rats that are sensitive to 5-HT2A receptor stimulation, indicating a reliable SCI model to study how cell-based approaches impact the severity of autonomic dysreflexia and identify a possible target for pharmacological interventions.","dopamine"
"7",0,"Joshua G Puhl, Anthony W Bigelow, Mara C P Rue, Karen A Mesce","Functional Recovery of a Locomotor Network after Injury: Plasticity beyond the Central Nervous System.",2018,"eNeuro",NA,NA,NA,7,"2021-01-16 14:12:50","Journal Article","10.1523/ENEURO.0195-18.2018","2373-2822",NA,5,4,NA,NA,0,0,0,4,3,"Many animals depend on descending information from the brain for the initiation and proper execution of locomotion. Interestingly, after injury and the loss of such inputs, locomotor function can sometimes be regained without the regrowth of central connections. In the medicinal leech, Hirudo verbana, we have shown that crawling reemerges after removal of descending inputs. Here, we studied the mechanisms underlying this return of locomotion by asking if central pattern generators (CPGs) in crawl-recovered leeches are sufficient to produce crawl-specific intersegmental coordination. From recovered animals, we treated isolated chains of ganglia with dopamine to activate the crawl CPGs (one crawl CPG per ganglion) and observed fictive crawl-like bursting in the dorsal-longitudinal-excitor motoneuron (DE-3), an established crawl-monitor neuron. However, these preparations did not exhibit crawl-specific coordination across the CPGs. Although the crawl CPGs always generated bidirectional activation of adjacent CPGs, we never observed crawl-appropriate intersegmental phase delays. Because central circuits alone were unable to organize crawl-specific coordination, we tested the coordinating role of the peripheral nervous system. In transected leeches normally destined for recovery, we removed afferent information to the anterior-most (lead) ganglion located below the nerve-cord transection site. In these dually treated animals, overt crawling was greatly delayed or prevented. After filling the peripheral nerves with Neurobiotin tracer distal to the nerve-root lesion, we found a perfect correlation between regrowth of peripheral neuronal fibers and crawl recovery. Our study establishes that during recovery after injury, crawl-specific intersegmental coordination switches to a new dependence on afferent information.","dopamine"
"8",0,"Tak-Ho Chu, Karen Cummins, Peter K Stys","The triple monoamine re-uptake inhibitor DOV 216,303 promotes functional recovery after spinal cord contusion injury in mice.",2018,"Neuroscience letters",NA,NA,NA,8,"2021-01-16 14:12:50","Journal Article","10.1016/j.neulet.2018.03.050","1872-7972",NA,675,NA,1,6,0,0,0,3,3,"Serotonin, noradrenaline and dopamine are important neuromodulators for locomotion in the spinal cord. Disruption of descending axons after spinal cord injury resulted in reduction of excitatory and neuromodulatory inputs to spinal neurons for locomotion. Receptor agonists or reuptake inhibitors for these neuromodulators have been shown to be beneficial in incomplete spinal cord injury. In this study, we tested a triple re-uptake inhibitor, DOV 216,303, for its ability to affect motor function recovery after spinal cord injury in mice. We impacted C57 mouse spinal cord at the T11 vertebral level and administered vehicle or DOV 216,303 at 10 mg/kg, b.i.d via intraperitoneal injections for 7 days. We monitored motor function with the Basso Mouse Scale for locomotion for 4 weeks. Spinal cords were harvested and histological examinations were performed to assess tissue sparing and lesion severity. Results showed that DOV 216,303-treated mice recovered significantly better than vehicle treated mice starting at 14 days post injury until the end of the survival period. Lesion size of the DOV 216,303 treated mice was also smaller compared to that of vehicle treated mice. This study suggests DOV 216,303 as a potential therapeutic after spinal cord injury warrants further investigation.","dopamine"
"9",0,"Yamaan S Saadeh, Brandon W Smith, Jacob R Joseph, Sohaib Y Jaffer, Martin J Buckingham, Mark E Oppenlander, Nicholas J Szerlip, Paul Park","The impact of blood pressure management after spinal cord injury: a systematic review of the literature.",2017,"Neurosurgical focus",NA,NA,NA,9,"2021-01-16 14:12:50","Journal Article","10.3171/2017.8.FOCUS17428","1092-0684",NA,43,5,NA,NA,0,0,0,8,4,"OBJECTIVE Spinal cord injury (SCI) results in significant morbidity and mortality. Improving neurological recovery by reducing secondary injury is a major principle in the management of SCI. To minimize secondary injury, blood pressure (BP) augmentation has been advocated. The objective of this study was to review the evidence behind BP management after SCI. METHODS This systematic review was conducted following the PRISMA (Preferred Reporting Items for Systematic Reviews and Meta-Analyses) guidelines. Using the PubMed database, the authors identified studies that investigated BP management after acute SCI. Information on BP goals, duration of BP management, vasopressor selection, and neurological outcomes were analyzed. RESULTS Eleven studies that met inclusion criteria were identified. Nine studies were retrospective, and 2 were single-cohort prospective investigations. Of the 9 retrospective studies, 7 reported a goal mean arterial pressure (MAP) of higher than 85 mm Hg. For the 2 prospective studies, the MAP goals were higher than 85 mm Hg and higher than 90 mm Hg. The duration of BP management varied from more than 24 hours to 7 days in 6 of the retrospective studies that reported the duration of treatment. In both prospective studies, the duration of treatment was 7 days. In the 2 prospective studies, neurological outcomes were stable to improved with BP management. The retrospective studies, however, were contradictory with regard to the correlation of BP management and outcomes. Dopamine, norepinephrine, and phenylephrine were the agents that were frequently used to augment BP. However, more complications have been associated with dopamine use than with the other vasopressors. CONCLUSIONS There are no high-quality data regarding optimal BP goals and duration in the management of acute SCI. Based on the highest level of evidence available from the 2 prospective studies, MAP goals of 85-90 mm Hg for a duration of 5-7 days should be considered. Norepinephrine for cervical and upper thoracic injuries and phenylephrine or norepinephrine for mid- to lower thoracic injuries should be considered.","dopamine"
"10",0,"Mark Züchner, Elena Kondratskaya, Camilla B Sylte, Joel C Glover, Jean-Luc Boulland","Rapid recovery and altered neurochemical dependence of locomotor central pattern generation following lumbar neonatal spinal cord injury.",2018,"The Journal of physiology",NA,NA,NA,10,"2021-01-16 14:12:50","Journal Article","10.1113/JP274484","1469-7793",NA,596,2,281,303,0,0,0,5,3,"Spinal compression injury targeted to the neonatal upper lumbar spinal cord, the region of highest hindlimb locomotor rhythmogenicity, leads to an initial paralysis of the hindlimbs. Behavioural recovery is evident within a few days and approaches normal function within about 3 weeks. Fictive locomotion in the isolated injured spinal cord cannot be elicited by a neurochemical cocktail containing NMDA, dopamine and serotonin 1 day post-injury, but can 3 days post-injury as readily as in the uninjured spinal cord. Low frequency coordinated rhythmic activity can be elicited in the isolated uninjured spinal cord by NMDA + dopamine (without serotonin), but not in the isolated injured spinal cord. In both the injured and uninjured spinal cord, eliciting bona fide fictive locomotion requires the additional presence of serotonin. Following incomplete compression injury in the thoracic spinal cord of neonatal mice 1 day after birth (P1), we previously reported that virtually normal hindlimb locomotor function is recovered within about 3 weeks despite substantial permanent thoracic tissue loss. Here, we asked whether similar recovery occurs following lumbar injury that impacts more directly on the locomotor central pattern generator (CPG). As in thoracic injuries, lumbar injuries caused about 90% neuronal loss at the injury site and increased serotonergic innervation below the injury. Motor recovery was slower after lumbar than thoracic injury, but virtually normal function was attained by P25 in both cases. Locomotor CPG status was tested by eliciting fictive locomotion in isolated spinal cords using a widely used neurochemical cocktail (NMDA, dopamine, serotonin). No fictive locomotion could be elicited 1 day post-injury, but could within 3 days post-injury as readily as in age-matched uninjured control spinal cords. Burst patterning and coordination were largely similar in injured and control spinal cords but there were differences. Notably, in both groups there were two main locomotor frequencies, but injured spinal cords exhibited a shift towards the higher frequency. Injury also altered the neurochemical dependence of locomotor CPG output, such that injured spinal cords, unlike control spinal cords, were incapable of generating low frequency rhythmic coordinated activity in the presence of NMDA and dopamine alone. Thus, the neonatal spinal cord also exhibits remarkable functional recovery after lumbar injuries, but the neurochemical sensitivity of locomotor circuitry is modified in the process.","dopamine"
"11",0,"Mengliang Zhang","Two-step production of monoamines in monoenzymatic cells in the spinal cord: a different control strategy of neurotransmitter supply?",2016,"Neural regeneration research",NA,NA,NA,11,"2021-01-16 14:12:50","Journal Article","10.4103/1673-5374.197124","1673-5374",NA,11,12,1904,1909,0,0,0,1,5,"Monoamine neurotransmitters play an important role in the modulation of sensory, motor and autonomic functions in the spinal cord. Although traditionally it is believed that in mammalian spinal cord, monoamine neurotransmitters mainly originate from the brain, accumulating evidence indicates that especially when the spinal cord is injured, they can also be produced in the spinal cord. In this review, I will present evidence for a possible pathway for two-step synthesis of dopamine and serotonin in the spinal cord. Published data from different sources and unpublished data from my own ongoing projects indicate that monoenzymatic cells expressing aromatic L-amino acid decarboxylase (AADC), tyrosine hydroxylase (TH) or tryptophan hydroxylase (TPH) are present in the spinal cord and that these TH and THP cells often lie in close proximity to AADC cells. Prompted by the above evidence, I hypothesize that dopamine and serotonin could be synthesized sequentially in two monoenzymatic cells in the spinal cord via a TH-AADC and a TPH-AADC cascade respectively. The monoamines synthesized through this pathway may compensate for lost neurotransmitters following spinal cord injury and also may play specific roles in the recovery of sensory, motor and autonomic functions.","dopamine"
