"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",0,"Joshua F Yarrow, Hui Jean Kok, Ean G Phillips, Christine F Conover, Jimmy Lee, Taylor E Bassett, Kinley H Buckley, Michael C Reynolds, Russell D Wnek, Dana M Otzel, Cong Chen, Jessica M Jiron, Zachary A Graham, Christopher Cardozo, Krista Vandenborne, Prodip K Bose, Jose Ignacio Aguirre, Stephen E Borst, Fan Ye","Locomotor training with adjuvant testosterone preserves cancellous bone and promotes muscle plasticity in male rats after severe spinal cord injury.",2020,"Journal of neuroscience research",NA,NA,NA,1,"2021-01-16 14:37:28","Journal Article","10.1002/jnr.24564","1097-4547",NA,98,5,843,868,0,0,0,19,1,"Loading and testosterone may influence musculoskeletal recovery after spinal cord injury (SCI). Our objectives were to determine (a) the acute effects of bodyweight-supported treadmill training (TM) on hindlimb cancellous bone microstructure and muscle mass in adult rats after severe contusion SCI and (b) whether longer-term TM with adjuvant testosterone enanthate (TE) delivers musculoskeletal benefit. In Study 1, TM (40 min/day, 5 days/week, beginning 1 week postsurgery) did not prevent SCI-induced hindlimb cancellous bone loss after 3 weeks. In Study 2, TM did not attenuate SCI-induced plantar flexor muscles atrophy nor improve locomotor recovery after 4 weeks. In our main study, SCI produced extensive distal femur and proximal tibia cancellous bone deficits, a deleterious slow-to-fast fiber-type transition in soleus, lower muscle fiber cross-sectional area (fCSA), impaired muscle force production, and levator ani/bulbocavernosus (LABC) muscle atrophy after 8 weeks. TE alone (7.0 mg/week) suppressed bone resorption, attenuated cancellous bone loss, constrained the soleus fiber-type transition, and prevented LABC atrophy. In comparison, TE+TM concomitantly suppressed bone resorption and stimulated bone formation after SCI, produced near-complete cancellous bone preservation, prevented the soleus fiber-type transition, attenuated soleus fCSA atrophy, maintained soleus force production, and increased LABC mass. 75% of SCI+TE+TM animals recovered voluntary over-ground hindlimb stepping, while no SCI and only 20% of SCI+TE animals regained stepping ability. Positive associations between testosterone and locomotor function suggest that TE influenced locomotor recovery. In conclusion, short-term TM alone did not improve bone, muscle, or locomotor recovery in adult rats after severe SCI, while longer-term TE+TM provided more comprehensive musculoskeletal benefit than TE alone.","estradiol"
"2",0,"Amany Farag, S Lashen, R Eltaysh","Histoarchitecture restoration of cerebellar sub-layers as a response to estradiol treatment following Kainic acid-induced spinal cord injury.",2019,"Cell and tissue research",NA,NA,NA,2,"2021-01-16 14:37:28","Journal Article","10.1007/s00441-019-02992-1","1432-0878",NA,376,3,309,323,0,0,0,3,2,"One of the major impacts of spinal cord injury (SCI) is the cerebellar neurological malfunction and deformation of its sub-layers. This could be due to the enormous innervation of the spinocerebellar tract from the posterior gray horn in the spinal cord to the ipsilateral cerebellum. Although the neuroprotective role of estradiol in spinal cord (SC) injuries, as well as its ability to delay secondary cell death changes, is well-known, its effect on cerebellar layers is not fully investigated. In this study, a SCI model was achieved by injection of Kainic acid into SC of adult Male Wistar rats in order to assess the effects of SCI on the cerebellum. The animals were classified into SCI group (animals with SCI), estradiol-treated group (animals with SCI and received estradiol), control groups, and sham control group. The microscopical examination 24 h after induction of SCI revealed that KA induced the most characteristics of neurodegeneration including astrocytic propagation and microglial activation. The estradiol was injected intraperitoneally 20 min after induction of SCI, and the samples were collected at 1, 3, 7, 14, and 30 days. Histologically, the estradiol reduced the inflammatory response, enhanced the recovery of molecular, granular, and Purkinje cell layers, and therefore aided in the restoration of layer organization. These findings were also confirmed by immunohistochemical staining and gene expression profiling.","estradiol"
"3",0,"Zeinab Namjoo, Keywan Mortezaee, Mohammad T Joghataei, Fateme Moradi, Abbas Piryaei, Yusef Abbasi, Amir Hosseini, Jamal Majidpoor","Targeting axonal degeneration and demyelination using combination administration of 17β-estradiol and Schwann cells in the rat model of spinal cord injury.",2018,"Journal of cellular biochemistry",NA,NA,NA,3,"2021-01-16 14:37:28","Journal Article","10.1002/jcb.27361","1097-4644",NA,119,12,10195,10203,0,0,0,8,3,"Schwann cells (SCs) are known to be responsible for axonal ensheathing and myelination, and their transplantation is used commonly for treatment of spinal cord injury (SCI). 17β-estradiol (E2) has also reported for its protective roles in neurons in the transplanted SCs to the SCI model. In the current study, we evaluated the roles of E2 administration before SCs transplantation in targeting SCI-induced axonal degeneration and demyelination. E2 (25 µg/kg, IP) was administered to the male Wistar rats underwent contusive SCI at T10 segment. At 7 days after injury, 1 × 106 SCs were transplanted to the injury epicenter of the spinal cord. The groups were laminectomy, SCI, SCI+E2, and SCI+E2+SCs. Functional recovery was evaluated using the Basso-Bresnahan-Beattie locomotor test. Sections from spinal cord were also assessed for histoloical staining, including Luxol fast blue, Bielschowsky's silver and immunofluorescence evaluation of myelin basic protein (MBP). The SCI group showed impaired locomotion in the hind limb, increased number of cavities within spinal cord, low observable numbers of regenerating fibers, and a significant decrease in the rate of expression for MBP. These changes were counteracted in the treatment groups ( P < 0.05 vs SCI) with no significant changes among them. From the results, it may be concluded that application of E2 and SCs could be effective when axons undergo demyelination and degenerative processes, and their combination could partly provide cumulative outcomes.","estradiol"
"4",0,"Dana M Otzel, Jimmy Lee, Fan Ye, Stephen E Borst, Joshua F Yarrow","Activity-Based Physical Rehabilitation with Adjuvant Testosterone to Promote Neuromuscular Recovery after Spinal Cord Injury.",2018,"International journal of molecular sciences",NA,NA,NA,4,"2021-01-16 14:37:28","Journal Article","10.3390/ijms19061701","1422-0067",NA,19,6,NA,NA,0,0,0,5,3,"Neuromuscular impairment and reduced musculoskeletal integrity are hallmarks of spinal cord injury (SCI) that hinder locomotor recovery. These impairments are precipitated by the neurological insult and resulting disuse, which has stimulated interest in activity-based physical rehabilitation therapies (ABTs) that promote neuromuscular plasticity after SCI. However, ABT efficacy declines as SCI severity increases. Additionally, many men with SCI exhibit low testosterone, which may exacerbate neuromusculoskeletal impairment. Incorporating testosterone adjuvant to ABTs may improve musculoskeletal recovery and neuroplasticity because androgens attenuate muscle loss and the slow-to-fast muscle fiber-type transition after SCI, in a manner independent from mechanical strain, and promote motoneuron survival. These neuromusculoskeletal benefits are promising, although testosterone alone produces only limited functional improvement in rodent SCI models. In this review, we discuss the (1) molecular deficits underlying muscle loss after SCI; (2) independent influences of testosterone and locomotor training on neuromuscular function and musculoskeletal integrity post-SCI; (3) hormonal and molecular mechanisms underlying the therapeutic efficacy of these strategies; and (4) evidence supporting a multimodal strategy involving ABT with adjuvant testosterone, as a potential means to promote more comprehensive neuromusculoskeletal recovery than either strategy alone.","estradiol"
"5",0,"Dale R Sengelaub, Qi Han, Nai-Kui Liu, Melissa A Maczuga, Violetta Szalavari, Stephanie A Valencia, Xiao-Ming Xu","Protective Effects of Estradiol and Dihydrotestosterone following Spinal Cord Injury.",2018,"Journal of neurotrauma",NA,NA,NA,5,"2021-01-16 14:37:28","Journal Article","10.1089/neu.2017.5329","1557-9042",NA,35,6,825,841,0,0,0,7,3,"Spinal cord injury (SCI) results in lesions that destroy tissue and disrupt spinal tracts, producing deficits in locomotor and autonomic function. We previously demonstrated that motoneurons and the muscles they innervate show pronounced atrophy after SCI, and these changes are prevented by treatment with testosterone. Here, we assessed whether the testosterone active metabolites estradiol and dihydrotestosterone have similar protective effects after SCI. Young adult female rats received either sham or T9 spinal cord contusion injuries and were treated with estradiol, dihydrotestosterone, both, or nothing via Silastic capsules. Basso-Beattie-Bresnahan locomotor testing was performed weekly and voiding behavior was assessed at 3 weeks post-injury. Four weeks after SCI, lesion volume and tissue sparing, quadriceps muscle fiber cross-sectional area, and motoneuron dendritic morphology were assessed. Spontaneous locomotor behavior improved after SCI, but hormone treatments had no effect. Voiding behavior was disrupted after SCI, but was significantly improved by treatment with either estradiol or dihydrotestosterone; combined treatment was maximally effective. Treatment with estradiol reduced lesion volume, but dihydrotestosterone alone and estradiol combined with dihydrotestosterone were ineffective. SCI-induced decreases in motoneuron dendritic length were attenuated by all hormone treatments. SCI-induced reductions in muscle fiber cross-sectional areas were prevented by treatment with either dihydrotestosterone or estradiol combined with dihydrotestosterone, but estradiol treatment was ineffective. These findings suggest that deficits in micturition and regressive changes in motoneuron and muscle morphology seen after SCI are ameliorated by treatment with estradiol or dihydrotestosterone, further supporting a role for steroid hormones as neurotherapeutic agents in the injured nervous system.","estradiol"
"6",0,"Adib Zendedel, Fabian Mönnink, Gholamreza Hassanzadeh, Arash Zaminy, Malek Masoud Ansar, Pardes Habib, Alexander Slowik, Markus Kipp, Cordian Beyer","Estrogen Attenuates Local Inflammasome Expression and Activation after Spinal Cord Injury.",2018,"Molecular neurobiology",NA,NA,NA,6,"2021-01-16 14:37:28","Journal Article","10.1007/s12035-017-0400-2","1559-1182",NA,55,2,1364,1375,0,0,0,9,3,"17-estradiol (E2) is a neuroprotective hormone with a high anti-inflammatory potential in different neurological disorders. The inflammatory response initiated by spinal cord injury (SCI) involves the processing of interleukin-1beta (IL-1b) and IL-18 mediated by caspase-1 which is under the control of an intracellular multiprotein complex called inflammasome. We recently described in a SCI model that between 24 and 72 h post-injury, most of inflammasome components including IL-18, IL-1b, NLRP3, ASC, and caspase-1 are upregulated. In this study, we investigated the influence of E2 treatment after spinal cord contusion on inflammasome regulation. After contusion of T9 spinal segment, 12-week-old male Wistar rats were treated subcutaneously with E2 immediately after injury and every 12 h for the next 3 days. Behavioral scores were significantly improved in E2-treated animals compared to vehicle-treated groups. Functional improvement in E2-treated animals was paralleled by the attenuated expression of certain inflammasome components such as ASC, NLRP1b, and NLRP3 together with IL1b, IL-18, and caspase-1. On the histopathological level, microgliosis and oligodendrocyte injury was ameliorated. These findings support and extend the knowledge of the E2-mediated neuroprotective function during SCI. The control of the inflammasome machinery by E2 might be a missing piece of the puzzle to understand the anti-inflammatory potency of E2.","estradiol"
"7",0,"A Sánchez-Ramos, E Vargas-Baquero, F J Martin-de Francisco, J A Godino-Durán, I Rodriguez-Carrión, M Ortega-Ortega, L Mordillo-Mateos, F Coperchini, M Rotondi, A Oliviero, M Mas","Early spermatogenesis changes in traumatic complete spinal cord-injured adult patients.",2017,"Spinal cord",NA,NA,NA,7,"2021-01-16 14:37:28","Journal Article","10.1038/sc.2016.184","1476-5624",NA,55,6,570,574,0,0,0,11,4,"Prospective longitudinal study. To assess the impact of spinal cord injury (SCI) on the spermatogenesis of patients studied in the early subacute stage and ensuing months. National hospital for SCI patients. A prospective follow-up study was conducted on 28 male patients with complete SCI who were evaluated in the early subacute phase (~1 month), and 3 and 6 months after the injury. At each time point, fine needle aspiration biopsy samples were taken from the testes for cytological assessment, and serum levels of relevant hormones were measured. At the end of the study period, ejaculation was attempted for standard semen analyses. Cytological patterns indicative of defective spermatogenesis were found in 61%, 52% and 20% of the patients at 1, 3 and 6 months after SCI, respectively, suggesting an improvement over time. Serum hormone analyses showed a steady elevation of estradiol levels above the reference range, and increasing levels of testosterone, inhibin B and prolactin throughout the study period. Prolactin levels were above the reference range at all time points. Only 2 out of the 10 patients who were able to ejaculate at 6 months post injury showed normal sperm parameters. A majority of the patients showed impaired spermatogenesis soon after the injury, which in most cases recovered over time. That was accompanied by parallel increases in serum levels of inhibin B, testosterone and prolactin, possibly driving or reflecting the spermatogenesis recovery. Further studies are needed to elucidate the biological mechanisms underlying these changes.","estradiol"
"8",0,"Jennifer M Colón, Jorge D Miranda","Tamoxifen: an FDA approved drug with neuroprotective effects for spinal cord injury recovery.",2016,"Neural regeneration research",NA,NA,NA,8,"2021-01-16 14:37:28","Journal Article","10.4103/1673-5374.189164","1673-5374",NA,11,8,1208,1211,0,0,0,2,5,"Spinal cord injury (SCI) is a condition without a cure, affecting sensory and/or motor functions. The physical trauma to the spinal cord initiates a cascade of molecular and cellular events that generates a non-permissive environment for cell survival and axonal regeneration. Among these complex set of events are damage of the blood-brain barrier, edema formation, inflammation, oxidative stress, demyelination, reactive gliosis and apoptosis. The multiple events activated after SCI require a multi-active drug that could target most of these events and produce a permissive environment for cell survival, regeneration, vascular reorganization and synaptic formation. Tamoxifen, a selective estrogen receptor modulator, is an FDA approved drug with several neuroprotective properties that should be considered for the treatment of this devastating condition. Various investigators using different animal models and injury parameters have demonstrated the beneficial effects of this drug to improve functional locomotor recovery after SCI. Results suggest that the mechanism of action of Tamoxifen administration is to modulate anti-oxidant, anti-inflammatory and anti-gliotic responses. A gap of knowledge exists regarding the sex differences in response to Tamoxifen and the therapeutic window available to administer this treatment. In addition, the effects of Tamoxifen in axonal outgrowth or synapse formation needs to be investigated. This review will address some of the mechanisms activated by Tamoxifen after SCI and the results recently published by investigators in the field.","estradiol"
"9",0,"Supriti Samantaray, Arabinda Das, Denise C Matzelle, Shan P Yu, Ling Wei, Abhay Varma, Swapan K Ray, Naren L Banik","Administration of low dose estrogen attenuates persistent inflammation, promotes angiogenesis, and improves locomotor function following chronic spinal cord injury in rats.",2016,"Journal of neurochemistry",NA,NA,NA,9,"2021-01-16 14:37:28","Journal Article","10.1111/jnc.13610","1471-4159",NA,137,4,604,617,0,0,0,8,5,"Spinal cord injury (SCI) causes loss of neurological function and, depending upon the severity of injury, may lead to paralysis. Currently, no FDA-approved pharmacotherapy is available for SCI. High-dose methylprednisolone is widely used, but this treatment is controversial. We have previously shown that low doses of estrogen reduces inflammation, attenuates cell death, and protects axon and myelin in SCI rats, but its effectiveness in recovery of function is not known. Therefore, the goal of this study was to investigate whether low doses of estrogen in post-SCI would reduce inflammation, protect cells and axons, and improve locomotor function during the chronic phase of injury. Injury (40 g.cm force) was induced at thoracic 10 in young adult male rats. Rats were treated with 10 or 100 μg 17β-estradiol (estrogen) for 7 days following SCI and compared with vehicle-treated injury and laminectomy (sham) controls. Histology (H&E staining), immunohistofluorescence, Doppler laser technique, and Western blotting were used to monitor tissue integrity, gliosis, blood flow, angiogenesis, the expression of angiogenic factors, axonal degeneration, and locomotor function (Basso, Beattie, and Bresnahan rating) following injury. To assess the progression of recovery, rats were sacrificed at 7, 14, or 42 days post injury. A reduction in glial reactivity, attenuation of axonal and myelin damage, protection of cells, increased expression of angiogenic factors and microvessel growth, and improved locomotor function were found following estrogen treatment compared with vehicle-treated SCI rats. These results suggest that treatment with a very low dose of estrogen has significant therapeutic implications for the improvement of locomotor function in chronic SCI. Experimental studies with low dose estrogen therapy in chronic spinal cord injury (SCI) demonstrated the potential for multi-active beneficial outcomes that could ameliorate the degenerative pathways in chronic SCI as shown in (a). Furthermore, the alterations in local spinal blood flow could be significantly alleviated with low dose estrogen therapy. This therapy led to the preservation of the structural integrity of the spinal cord (b), which in turn led to the improved functional recovery as shown (c).","estradiol"
"10",0,"Chia-Hong Yeng, Pei-Jarn Chen, Hsiu-Kang Chang, Wei-Yu Lo, Chia-Chun Wu, Chia-Yu Chang, Chih-Ho Chou, Sheng-Hsien Chen","Attenuating spinal cord injury by conditioned medium from human umbilical cord blood-derived CD34⁺ cells in rats.",2016,"Taiwanese journal of obstetrics & gynecology",NA,NA,NA,10,"2021-01-16 14:37:28","Journal Article","10.1016/j.tjog.2015.12.009","1875-6263",NA,55,1,85,93,0,0,0,8,5,"Intravenous or intraspinal transplantation of human umbilical cord blood cells-derived CD34(+) cells (human CD34(+) cells) or mesenchymal stem cells after spinal cord injury (SCI) improved hind limb functional recovery in adult rats. The objective of this study is to ascertain whether SCI in rats can be attenuated by conditioned medium (CM) or secretome obtained from cultured human CD34(+) stem cells. Sprague-Dawley rats were assigned to one of the following five groups: the sham group, the SCI group treated with vehicle solution (SCI + V), the SCI group treated with CM (SCI + CM), the SCI group treated with 17β-estradiol E2 (10 μg; SCI + E2), and the SCI group treated with CM plus E2 (SCI + CM + E2). A 0.5-mL volume of CM or vehicle solution was administered intravenously immediately after SCI. Compared with the sham group, the (SCI + V) group had significantly higher scores of neurological motor dysfunction as well as inflammation apoptosis, oxidative stress, and astrogliosis in the injured spinal cord. The neurological deficits, numbers of apoptotic cell, extent of inflammation, oxidative stress, and astrogliosis in the injured spinal cord were significantly attenuated by CM, E2, or CM plus E2, but not by the vehicle solution. In addition, the neuroprotective effect exerted by a combination of CM and E2 is superior to that exerted by CM- or E2-alone therapy. The neuroprotective effects of CM from cultured human CD34(+) cells are similar to those of human CD34(+) cells and the CM was found to enhance the neuroprotective effects of E2 in rat SCI.","estradiol"
