"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",0,"Simona Isabelle Stoica, Ioana Tănase, Vlad Ciobanu, Gelu Onose","Initial researches on neuro-functional status and evolution in chronic ethanol consumers with recent traumatic spinal cord injury.",2019,"Journal of medicine and life",NA,NA,NA,1,"2021-01-16 14:38:53","Journal Article","10.25122/jml-2019-0026","1844-3117",NA,12,2,97,112,0,0,0,4,2,"We found differences related to the neuro-functional deficiency and clinical progress, among non-consumers and chronic consumers of ethanol, with recent traumatic spinal cord injury (SCI). We present a synthesis of related data on lesion mechanisms in post-traumatic myelogenous disorders, namely some of the alcohols and their actions on the nervous system, with details on the influences exerted, in such afflictions, by the chronic consumption of ethanol. The subject is not frequently approached - according to a literature review with systematic elements, which we have done before - thus constituting a niche that deserves to be further explored. The applicative component of the article highlights statistical data resulted from a retrospective study regarding the specialized casuistry from the Neuromuscular Recovery Clinic of the ""Bagdasar Arseni"" Emergency Clinical Hospital, following the comparative analysis of two groups of patients with recent SCI: non-consumers - the control group (n=780) - and chronic ethanol consumers - the study group (n=225) - with the addition of a prospective pilot component. Data processing has been achieved with SPSS 24. The American Spinal Injury Association Impairment Scale (AIS) mean motor scores differ significantly (tests: Mann-Whitney and t) between the control and study group in favor of the second, both at admission (p<0.001) and at discharge (p<0.001). AIS mean sensitive scores differ between the two lots, and also in favor of the study, but statistically significant only at discharge (p=0.048); the difference at admission is not significant (p=0.51) - possibly because of alcoholic-nutritional polyneuropathy. These findings, with numerous related details, later presented in the text, are surprising, which requires further studies and attempts of understanding.","ethanol"
"2",0,"Panieh Terraf, Shideh Montasser Kouhsari, Jafar Ai, Hamideh Babaloo","Tissue-Engineered Regeneration of Hemisected Spinal Cord Using Human Endometrial Stem Cells, Poly ε-Caprolactone Scaffolds, and Crocin as a Neuroprotective Agent.",2017,"Molecular neurobiology",NA,NA,NA,2,"2021-01-16 14:38:53","Journal Article","10.1007/s12035-016-0089-7","1559-1182",NA,54,7,5657,5667,0,0,0,4,4,"Loss of motor and sensory function as a result of neuronal cell death and axonal degeneration are the hallmarks of spinal cord injury. To overcome the hurdles and achieve improved functional recovery multiple aspects, it must be taken into account. Tissue engineering approaches by coalescing biomaterials and stem cells offer a promising future for treating spinal cord injury. Here we investigated human endometrial stem cells (hEnSCs) as our cell source. Electrospun poly ε-caprolactone (PCL) scaffolds were used for hEnSC adhesion and growth. Scanning electron microscopy (SEM) confirmed the attachment and survival of stem cells on the PCL scaffolds. The scaffold-stem cell construct was transplanted into the hemisected spinal cords of adult male rats. Crocin, an ethanol-extractable component of Crocus sativus L., was administered to rats for 15 consecutive days post injury. Neurite outgrowth and axonal regeneration were investigated using immunohistochemical staining for neurofilament marker NF-H and luxol-fast blue (LFB) staining, respectively. TNF-α staining was performed to determine the inflammatory response in each group. Functional recovery was assessed via the Basso-Beattie-Bresnahan (BBB) scale. Results showed that PCL scaffolds seeded with hEnSCs restored the continuity of the damaged spinal cord and decreased cavity formation. Additionally, hEnSC-seeded scaffolds contributed to the functional recovery of the spinal cord. Hence, hEnSC-seeded PCL scaffolds may serve as promising transplants for spinal cord tissue engineering purposes. Furthermore, crocin had an augmenting effect on spinal cord regeneration and proved to exert neuroprotective effects on damaged neurons and may be further studied as a promising drug for spinal cord injury.","ethanol"
"3",0,"Parag Suresh Mahajan, Joyal Jacob Mathew, Abhilash Pulincherry Jayaram, Vidya Chander Negi, Mohamed Milad Abu Hmaira","Magnetic resonance imaging features of brain and spinal cord injury in a fatal case of isopropanol intoxication.",2014,"International medical case reports journal",NA,NA,NA,3,"2021-01-16 14:38:53","Case Reports","10.2147/IMCRJ.S60082","1179-142X",NA,7,NA,57,61,0,0,0,5,7,"A 60-year-old man presented with headache, dizziness, and disorientation one day after consumption of isopropanol along with ethanol. Computed tomography (CT) of the brain performed immediately was unremarkable. The patient collapsed within the hospital 30 minutes after the CT scan was done, and remained comatose until death, showing no improvement with symptomatic treatment. Magnetic resonance imaging of the brain and spine done 6 days after admission revealed bilaterally symmetrical hyperintensities involving the cerebral and cerebellar cortex and white matter, basal ganglia, thalami, and brainstem on T2-weighted, fluid attenuated inversion recovery and diffusion weighted images; similar hyperintensities were seen involving the swollen and edematous cervical spinal cord and cerebellar tonsillar herniation compressing the proximal cervical cord. Petechial hemorrhages were also noted within the brainstem. These features are compatible with toxic injury to the brain and cervical spinal cord. To our knowledge, the magnetic resonance imaging features of brain and spinal cord injury and cerebellar tonsillar herniation, secondary to isopropanol intoxication have not been reported in the published literature before.","ethanol"
"4",0,"J C Furlan, M G Fehlings","Blood alcohol concentration as a determinant of outcomes after traumatic spinal cord injury.",2013,"European journal of neurology",NA,NA,NA,4,"2021-01-16 14:38:53","Journal Article","10.1111/ene.12145","1468-1331",NA,20,7,1101,1106,0,0,0,2,8,"Pre-clinical studies indicate a potential detrimental effect of ethanol on tissue sparing and locomotor recovery in animal models of spinal cord injury (SCI). Given this, an examination of whether blood alcohol concentration (BAC) is a potential determinant of survival and neurological and functional recovery after acute traumatic SCI was carried out. All patients who were enrolled in the Third National Spinal Cord Injury Study (NASCIS-3) were included. The study population was divided into 'non-alcohol' (BAC equal to 0‰), 'legal' (BAC greater than 0 up to 0.8‰) and 'illegal' (BAC greater than 0.8‰) subgroups. Outcome measures included survival, NASCIS motor and sensory scores, NASCIS pain scores and Functional Independence Measure (FIM) determinants at baseline and at 6 weeks, 6 months and 1 year post-SCI. Analyses were adjusted for major potential confounders: age, sex, ethnicity, trial protocol, Glasgow coma score, and cause, level and severity of SCI. Among 499 patients (423 males and 76 females; ages from 14 to 92 years), the mean BAC was 0.054 ± 0.006‰ (range 0-1). The survival at 1 year (94.4%) was not associated with the BAC (P = 0.374). Moreover, BAC was not significantly correlated with motor recovery (P > 0.166), sensory recovery (P > 0.323), change in pain score (P > 0.312) or functional recovery (P > 0.133) at 6 weeks, 6 months and 1 year post-SCI. Our results, for the first time, show that the BAC at emergency admission does not adversely affect the patients' mortality, neurological impairment or functional disability over the course of the first year after SCI.","ethanol"
"5",0,"Daniela Impellizzeri, Emanuela Esposito, Emanuela Mazzon, Irene Paterniti, Rosanna Di Paola, Placido Bramanti, Valeria Maria Morittu, Antonio Procopio, Enzo Perri, Domenico Britti, Salvatore Cuzzocrea","The effects of a polyphenol present in olive oil, oleuropein aglycone, in an experimental model of spinal cord injury in mice.",2012,"Biochemical pharmacology",NA,NA,NA,5,"2021-01-16 14:38:53","Journal Article","10.1016/j.bcp.2012.02.001","1873-2968",NA,83,10,1413,1426,0,0,0,11,9,"Several olive oil phenolic compounds, such us oleuropein have attracted considerable attention because of their antioxidant activity, anti-atherosclerotic and anti-inflammatory properties. The aim of this experimental study was to determine the effect of oleuropein aglycone, a hydrolysis product of oleuropein, in the inflammatory response, in particular in the secondary injury associated with the mouse model of spinal cord trauma. The injury was induced by application of vascular clips to the dura via a four-level T5-T8 laminectomy in mice. Oleuropein aglycone was administered in mice (100 μg/kg, 40 μg/kg, 20 μg/kg, 10% ethanol, i.p.) 1h and 6h after the trauma. The treatment with oleuropein aglycone significantly decreased: (1) histological damage, (2) motor recovery, (3) nuclear factor (NF)-κB expression and IKB-α degradation, (4) protein kinase A (PKA) activity and expression, (5) pro-inflammatory cytokines production such as tumor necrosis factor (TNF-α) and interleukin-1β (IL-1β), 6) inducible nitric oxide synthase (iNOS) expression, (7) neutrophil infiltration, (8) lipid peroxidation, (9) nitrotyrosine and poly-ADP-ribose (PAR) formation, (10) glial cell-derived neurotrophic factor (GDNF) levels, (11) apoptosis (TUNEL staining, FAS ligand expression, Caspase 3, Bax and Bcl-2 expression). Thus, we propose that olive oil phenolic constituents such as oleuropein aglycone may be useful in the treatment of various inflammatory diseases.","ethanol"
"6",0,"Jee Youn Lee, Hwang Soo Kim, Tae Hwan Oh, Tae Young Yune","Ethanol Extract of Bupleurum falcatum Improves Functional Recovery by Inhibiting Matrix Metalloproteinases-2 and -9 Activation and Inflammation after Spinal Cord Injury.",2010,"Experimental neurobiology",NA,NA,NA,6,"2021-01-16 14:38:53","Journal Article","10.5607/en.2010.19.3.146","2093-8144",NA,19,3,146,154,0,0,0,4,11,"Matrix metalloproteinases (MMPs) are zinc-dependent endopeptidases that degrade the extracellular matrix and other extracellular proteins. Upregulation of MMPs activity is known to be required for the inflammatory cell infiltration after spinal cord injury (SCI) and most likely contributes to early blood spinal barrier disruption and inflammation, thereby leading to the impairment of functional recovery. Here, we examined the effect of ethanol extract of Bupleurum falcatum (BF) on functional recovery by inhibiting MMP-2 and -9 activation and inflammation after SCI. Rats received a moderate, weight-drop contusion injury to spinal cord were administered orally with BF at a dose of 100 mg/kg for 14 d and functional recovery was measured by Basso-Beattie-Bresnahan locomotor open field behavioral rating test, inclined plane test and foot print analysis. To examine the neuroprotective effect of BF, TUNEL staining and counting were also performed. In addition, the expression and/or activation of MMP-2, MMP-9 and inflammatory mediators such as TNF-α, IL-1β, COX-2, and iNOS were examined by RT-PCR and gelatin zymography using spinal cord tissue from 1 d after injury. Our data showed that BF significantly inhibited the expression and activation of both MMP-2 and MMP-9 after SCI. The mRNA expressions of TNF-α, IL-1β, COX-2, and iNOS were also significantly attenuated by BF. Furthermore, BF reduced apoptotic cell death at 1 d after injury, thereby significantly reduced lesion volume and improved functional recovery. Taken together, these results suggest that BF can be used as a potential therapeutic agent for treating acute spinal injury.","ethanol"
"7",0,"Masaki Kasai, Hidefumi Fukumitsu, Hitomi Soumiya, Shoei Furukawa","Ethanol extract of chinese propolis facilitates functional recovery of locomotor activity after spinal cord injury.",2011,"Evidence-based complementary and alternative medicine : eCAM",NA,NA,NA,7,"2021-01-16 14:38:53","Journal Article","10.1155/2011/749627","1741-4288",NA,2011,NA,NA,NA,0,0,0,4,10,"An ethanol extract of Chinese propolis (EECP) was given intraperitoneally to rats suffering from hemitransection of half of their spinal cord (left side) at the level of the 10th thoracic vertebra to examine the effects of the EECP on the functional recovery of locomotor activity and expression of mRNAs of inducible nitric oxide (NO) synthase (iNOS) and neurotrophic factors in the injury site. Daily administration of EECP after the spinal cord injury ameliorated the locomotor function, which effect was accompanied by a reduced lesion size. Furthermore, the EECP suppressed iNOS gene expression, thus reducing NO generation, and also increased the expression level of brain-derived neurotrophic factor and neurotrophin-3 mRNAs in the lesion site, suggesting that the EECP reduced the inflammatory and apoptotic circumstances through attenuation of iNOS mRNA expression and facilitation of mRNA expression of neurotrophins in the injured spinal cord. These results suggest that Chinese propolis may become a promising tool for wide use in the nervous system for reducing the secondary neuronal damage following primary physical injury.","ethanol"
"8",0,"Tae Y Yune, Jee Y Lee, Chun M Cui, Ho C Kim, Tae H Oh","Neuroprotective effect of Scutellaria baicalensis on spinal cord injury in rats.",2009,"Journal of neurochemistry",NA,NA,NA,8,"2021-01-16 14:38:53","Journal Article","10.1111/j.1471-4159.2009.06214.x","1471-4159",NA,110,4,1276,1287,0,0,0,5,12,"Inflammation has been known to play an important role in the pathogenesis after spinal cord injury (SCI). Microglia are activated after injury and produce a variety of proinflammatory factors such as tumor necrosis factor-alpha, interleukin-1beta, cyclooxygenase-2, and reactive oxygen species leading to apoptosis of neurons and oligodendrocytes. In this study, we examined the neuroprotective effects of total ethanol extract of Scutellaria baicalensis (EESB), after SCI. Using primary microglial cultures, EESB treatment significantly inhibited lipopolysaccharide-induced expression of such inflammatory mediators as tumor necrosis factor-alpha, IL-1beta, IL-6, cyclooxygenase-2, and inducible nitric oxide synthase. Furthermore, reactive oxygen species and nitric oxide production were significantly attenuated by EESB treatment. For in vivo study, rats that had received a moderate spinal cord contusion injury at T9 received EESB orally at a dose of 100 mg/kg. EESB inhibited expression of proinflammatory factors and protein carbonylation and nitration after SCI. EESB also inhibited microglial activation at 4 h after injury. Furthermore, EESB significantly inhibited apoptotic cell death of neurons and oligodendrocytes and improved functional recovery after SCI. Lesion cavity and myelin loss were also reduced following EESB treatment. Thus, our data suggest that EESB significantly improve functional recovery by inhibiting inflammation and oxidative stress after injury.","ethanol"
"9",0,"Ozkan Ates, Suleyman Cayli, Eyup Altinoz, Iclal Gurses, Neslihan Yucel, Ayhan Kocak, Saim Yologlu, Yusuf Turkoz","Effects of resveratrol and methylprednisolone on biochemical, neurobehavioral and histopathological recovery after experimental spinal cord injury.",2006,"Acta pharmacologica Sinica",NA,NA,NA,9,"2021-01-16 14:38:53","Journal Article","10.1111/j.1745-7254.2006.00416.x","1671-4083",NA,27,10,1317,1325,0,0,0,8,15,"To investigate the neuroprotective effect of resveratrol in an experimental spinal cord injury (SCI) model in rats. Male Wistar albino rats weighing 200-250 g were randomized into six groups. Weight-drop trauma was performed for SCI. Group 1 underwent laminectomy alone. Group 2 underwent laminectomy followed by SCI. Groups 3, 4, 5, and 6 underwent laminectomy followed by SCI and received resveratrol (100 mg/kg), methylprednisolone (MP) (30 mg/kg), resveratrol (100 mg/kg) plus MP (30 mg/kg), and ethanol (2%), respectively. The rats were divided into two subgroups for biochemical analysis (killed at 24 h after surgery) and for neurobehavioral and histopathological evaluation (killed at 6 weeks after surgery). Posttraumatic neurological recovery after surgery was recorded weekly. Groups 3 and 5 revealed significantly lower malon-dialdehyde, nitric oxide, xanthine oxidase, and higher glutathione levels than group 4 (P<0.05). Neurological recovery rates were significantly better in groups 3 and 5 than group 4 (P<0.05). When spinal trauma size ratios were compared, there was no significant difference between treatment groups. Resveratrol treatment revealed better biochemical recovery in the acute stage of trauma than MP treatment. Although resveratrol and combined treatment revealed better neurobehavioral recovery than MP treatment; resveratrol, MP, and combined treatment modalities improved histopathological recovery at the same level in the final stage of the experiment. Future studies involving different doses of resveratrol and different doses combinations with MP could promise better results as each drug has a different anti-oxidative mechanism of action.","ethanol"
"10",0,"Suleyman R Cayli, Ayhan Kocak, Ugur Yilmaz, Ayhan Tekiner, Mine Erbil, Cetin Ozturk, Kadir Batcioglu, Saim Yologlu","Effect of combined treatment with melatonin and methylprednisolone on neurological recovery after experimental spinal cord injury.",2004,"European spine journal : official publication of the European Spine Society, the European Spinal Deformity Society, and the European Section of the Cervical Spine Research Society",NA,NA,NA,10,"2021-01-16 14:38:53","Journal Article","10.1007/s00586-003-0550-y","0940-6719",NA,13,8,724,732,0,0,0,8,17,"Spinal cord injury (SCI) results in the loss of function below the lesion. Secondary injury following the primary impact includes a number of biochemical and cellular alterations leading to tissue necrosis and cell death. Methylprednisolone (MP), by reducing edema and protecting the cell membrane against peroxidation, is the only pharmacological agent with a proven clinically beneficial effect on SCI. Melatonin, known as a free radical scavenger, has been shown to have an effect on lipid peroxidation following experimental SCI. The purpose of this study was to examine the effect of MP and melatonin on neurological, ultrastructural, and electrophysiological recovery. Female albino rats weighing 200-250 g were randomized into five groups of 18 rats each and six rats for the control group. Weight-drop trauma was performed for each group and a 30-mg/kg single dose of MP for rats in group 1, a 10-mg/kg single dose of melatonin for rats in group 2, and MP and melatonin in the same doses for rats in group 3 were administered immediately after trauma. The rats in group 4 were the vehicle group (treated with ethanol) and group 5 was the trauma group. The motor and somatosensory evoked potentials were recorded at the 4th hour, the 24th hour, and on the 10th day of the study for six rats in each group. Posttraumatic neurological recovery was recorded for 10 days using ""motor function score"" and inclined plane test. After electrophysiological study the rats were terminated for an analysis of lipid peroxidation level of the injured site of the spinal cord. Electron microscopic studies were performed to determine the effects of melatonin, MP, and the combined treatment with MP and melatonin on axons, neurons, myelin, nucleus, and intracytoplasmic edema. The groups treated with MP, melatonin, and a combination of both had significantly enhanced electrophysiological, biochemical, and neurological recovery and also showed better ultrastructural findings than the trauma and vehicle groups. Although combined treatment was significantly more effective on lipid peroxidation than melatonin or MP treatments alone, at the 10th day, neurobehavioral, electrophysiological, and ultrastructural recovery were at the same level. In conclusion, MP, melatonin, and MP and melatonin combined treatment modalities improved functional recovery at the same level. Future studies involving different doses of melatonin and different dose combinations with MP could promise better results since each drug has a different anti-oxidative mechanism of action.","ethanol"
