"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",0,"Patrícia I Morgado, Miriam Palacios, Juan Larrain","In situ injectable hydrogels for spinal cord regeneration: advances from the last 10 years.",2019,"Biomedical physics & engineering express",NA,NA,NA,1,"2021-01-16 15:40:20","Journal Article","10.1088/2057-1976/ab52e8","2057-1976",NA,6,1,12002,NA,0,0,0,3,2,"Spinal cord injury (SCI) is a tremendously devastating disorder with no effective therapy. Neuroprotective strategies have been applied aiming to prevent secondary cell death but no successful and robust effects have been observed. Recently, combinatorial approaches using biomaterials with cells and/or growth factors have demonstrated promising therapeutic effects because of the improvement of axonal growth and in vivo functional recovery in model organisms. In situ injectable hydrogels are a particularly attractive neuroregenerative approach to improve spinal cord repair and regeneration since they can be precisely injected into the lesion site filling the space prior to gelification, decrease scarring and promote axon growth due to the hydrogel's soft structure. Important advances regarding the use of hydrogels as potential therapeutic approaches has been reported during the last 10 years. Injectable alginate hydrogel loaded with GDNF, thermoresponsives heparin-poloxamer loaded with NGF and imidazole-poly(organophosphazenes) hydrogels are just three examples of biomaterials that can promote neurite, axon growth and improve functional recovery in hemisected and resected rats. Here we will review the status of in situ injectable hydrogels for spinal cord regeneration with special focus in the advantages of using hydrogel scaffolds, the ideal polymers to be used, the gelification process and the cells or growth factors combined. The in vitro and in vivo results reported for those biomaterials will be presented, compared and discussed.","heparin"
"2",0,"Xiaoli Hu, Rui Li, Yanqing Wu, Yi Li, Xingfeng Zhong, Guanyinsheng Zhang, Yanmin Kang, Shuhua Liu, Ling Xie, Junming Ye, Jian Xiao","Thermosensitive heparin-poloxamer hydrogel encapsulated bFGF and NGF to treat spinal cord injury.",2020,"Journal of cellular and molecular medicine",NA,NA,NA,2,"2021-01-16 15:40:20","Journal Article","10.1111/jcmm.15478","1582-4934",NA,24,14,8166,8178,0,0,0,11,1,"The application of growth factors (GFs) for treating chronic spinal cord injury (SCI) has been shown to promote axonal regeneration and functional recovery. However, direct administration of GFs is limited by their rapid degradation and dilution at the injured sites. Moreover, SCI recovery is a multifactorial process that requires multiple GFs to participate in tissue regeneration. Based on these facts, controlled delivery of multiple growth factors (GFs) to lesion areas is becoming an attractive strategy for repairing SCI. Presently, we developed a GFs-based delivery system (called GFs-HP) that consisted of basic fibroblast growth factor (bFGF), nerve growth factor (NGF) and heparin-poloxamer (HP) hydrogel through self-assembly mode. This GFs-HP was a kind of thermosensitive hydrogel that was suitable for orthotopic administration in vivo. Meanwhile, a 3D porous structure of this hydrogel is commonly used to load large amounts of GFs. After single injection of GFs-HP into the lesioned spinal cord, the sustained release of NGF and bFGF from HP could significantly improve neuronal survival, axon regeneration, reactive astrogliosis suppression and locomotor recovery, when compared with the treatment of free GFs or HP. Moreover, we also revealed that these neuroprotective and neuroregenerative effects of GFs-HP were likely through activating the phosphatidylinositol 3 kinase and protein kinase B (PI3K/Akt) and mitogen-activated protein kinase/extracellular signal-regulated kinase (MAPK/ERK) signalling pathways. Overall, our work will provide an effective therapeutic strategy for SCI repair.","heparin"
"3",0,"Sinan Bahadır, Vugar Nabi, Prashant Adhikari, Selim Ayhan, Emre Acaroglu","Anterior Spinal Artery Syndrome: Rare Precedented Reason of Postoperative Plegia After Spinal Deformity Surgery: Report of 2 Cases.",2020,"World neurosurgery",NA,NA,NA,3,"2021-01-16 15:40:20","Case Reports","10.1016/j.wneu.2020.05.216","1878-8769",NA,141,NA,203,209,0,0,0,5,1,"Complications in spinal deformity surgery vary from insignificant to severe. Apart from direct mechanical insult, ischemia can also cause spinal cord injury. Ischemic injury may be detected during surgery or may manifest itself postoperatively. We present 2 cases of anterior spinal artery syndrome. In the first case, a 12-year-old girl developed anterior spinal artery syndrome resulting in total quadriplegia 8 hours after spinal deformity surgery. She was treated with a steroid, immunoglobulin, and low-molecular-weight heparin. She showed complete recovery at 1 year postoperatively both clinically and radiographically. In the second case, a 62-year-old woman experienced sudden loss of motor evoked potentials intraoperatively during dural tear repair after sagittal and coronal alignment was established. The paraplegic patient was diagnosed with anterior spinal artery syndrome at the thoracic level postoperatively. She was treated with a steroid and heparin. At 1 year postoperatively, she has gained much of her strength and has myelomalacia in her spinal cord. Anterior spinal artery syndrome is a serious condition with a generally poor prognosis. Though treatment should be directed at the underlying cause, the best strategy is to prevent it from occurring. Peroperative blood pressure control, intraoperative neuromonitoring, avoidance from mechanical stress during surgery, and close neurologic and hemodynamic monitorization postoperatively should be performed.","heparin"
"4",0,"Chenggui Wang, Zhe Gong, Xianpeng Huang, Jingkai Wang, Kaishun Xia, Liwei Ying, Jiawei Shu, Chao Yu, Xiaopeng Zhou, Fangcai Li, Chengzhen Liang, Qixin Chen","An injectable heparin-Laponite hydrogel bridge FGF4 for spinal cord injury by stabilizing microtubule and improving mitochondrial function.",2019,"Theranostics",NA,NA,NA,4,"2021-01-16 15:40:20","Journal Article","10.7150/thno.37601","1838-7640",NA,9,23,7016,7032,0,0,0,12,2,"Rationale: Spinal cord injury (SCI) remains a critical clinical challenge. The controlled release of FGF4, a novel neuroprotective factor, from a versatile Laponite hydrogel to the injured site was a promising strategy to promote axon regeneration and motor functional recovery after SCI. Methods: Characterization of Laponite, Laponite/Heparin (Lap/Hep) and Laponite/Heparin loaded with FGF4 (Lap/Hep@FGF4) hydrogels were measured by rheometer. Multiple comprehensive evaluations were used to detect motor functional recovery and the axonal rehabilitation after Lap/Hep@FGF4 treatment in vivo (SCI rat model). Moreover, microtubule dynamic and energy transportation, which regulated axonal regeneration was evaluated by Lap/Hep@FGF4 gel in vitro (primary neuron). Results: FGF4 released from Lap/Hep gel locally achieves strong protection and regeneration after SCI. The Lap/Hep@FGF4 group revealed remarkable motor functional recovery and axonal regrowth after SCI through suppressing inflammatory reaction, increasing remyelination and reducing glial/fibrotic scars. Furthermore, the underlying mechanism of axonal rehabilitation were demonstrated via enhancing microtubule stability and regulating mitochondrial localization after Lap/Hep@FGF4 treatment. Conclusion: This promising sustained release system provides a synergistic effective approach to enhance recovery after SCI underlying a novel mechanism of axonal rehabilitation, and shows a translational prospect for the clinical treatment of SCI.","heparin"
"5",0,"Gabriele Loers, Yonghong Liao, Chengliang Hu, Weikang Xue, Huifan Shen, Weijiang Zhao, Melitta Schachner","Identification and characterization of synthetic chondroitin-4-sulfate binding peptides in neuronal functions.",2019,"Scientific reports",NA,NA,NA,5,"2021-01-16 15:40:20","Journal Article","10.1038/s41598-018-37685-2","2045-2322",NA,9,1,1064,NA,0,0,0,7,2,"Chondroitin sulfate proteoglycans (CSPGs), up-regulated in and around the glial scar after mammalian spinal cord injury, have been suggested to be key inhibitory molecules for functional recovery by impeding axonal regrowth/sprouting and synaptic rearrangements. CSPG-mediated inhibition is mainly associated with the glycosaminoglycan chains of CSPGs, and chondroitin-4-sulfate (C4S) is the predominant sulfated structure that regulates axonal guidance and growth in the adult nervous system. With the aim to find molecules that neutralize the inhibitory functions of C4S, we screened a phage display library for peptides binding to C4S. From the phage clones binding to C4S we selected three peptides for further analysis. We observed that these peptides bind to C4S, but not chondroitin-6-sulfate, heparin sulfate or dermatan sulfate, in a concentration-dependent and saturable manner, whereas the scrambled peptides showed highly reduced or no binding to C4S. The C4S-binding peptides, but not their scrambled counterparts, when added to cultures of mouse cerebellar neurons and human neuroblastoma cells, neutralized the inhibitory functions of the C4S- and CSPG-coated substrate on cell adhesion, neuronal migration and neurite outgrowth. These results indicate that the C4S-binding peptides neutralize several inhibitory functions of CSPGs, suggesting that they may be beneficial in repairing mammalian nervous system injuries.","heparin"
"6",0,"George A McCanney, Michael A McGrath, Thomas D Otto, Richard Burchmore, Edwin A Yates, Charles D Bavington, Hugh J Willison, Jeremy E Turnbull, Susan C Barnett","Low sulfated heparins target multiple proteins for central nervous system repair.",2019,"Glia",NA,NA,NA,6,"2021-01-16 15:40:20","Journal Article","10.1002/glia.23562","1098-1136",NA,67,4,668,687,0,0,0,9,2,"The lack of endogenous repair following spinal cord injury (SCI) accounts for the frequent permanent deficits for which effective treatments are absent. Previously, we demonstrated that low sulfated modified heparin mimetics (LS-mHeps) attenuate astrocytosis, suggesting they may represent a novel therapeutic approach. mHeps are glycomolecules with structural similarities to resident heparan sulfates (HS), which modulate cell signaling by both sequestering ligands, and acting as cofactors in the formation of ligand-receptor complexes. To explore whether mHeps can affect the myelination and neurite outgrowth necessary for repair after SCI, we created lesioned or demyelinated neural cell co-cultures and exposed them with a panel of mHeps with varying degrees and positions of their sulfate moieties. LS-mHep7 enhanced neurite outgrowth and myelination, whereas highly sulfated mHeps (HS-mHeps) had attenuating effects. LS-mHeps had no effects on myelination or neurite extension in developing, uninjured myelinating cultures, suggesting they might exert their proregenerating effects by modulating or sequestering inhibitory factors secreted after injury. To investigate this, we examined conditioned media from cultures using chemokine arrays and conducted an unbiased proteomics approach by applying TMT-LC/MS to mHep7 affinity purified conditioned media from these cultures. Multiple protein factors reported to play a role in damage or repair mechanisms were identified, including amyloid betaA4. Amyloid beta peptide (1-42) was validated as an important candidate by treating myelination cultures and shown to inhibit myelination. Thus, we propose that LS-mHeps exert multiple beneficial effects on mechanisms supporting enhanced repair, and represent novel candidates as therapeutics for CNS damage.","heparin"
"7",0,"Qingqing Wang, Hongyu Zhang, Helin Xu, Yingzheng Zhao, Zhengmao Li, Jiawei Li, Haoli Wang, Deli Zhuge, Xin Guo, Huazi Xu, Salazar Jones, Xiaokun Li, Xiaofeng Jia, Jian Xiao","Novel multi-drug delivery hydrogel using scar-homing liposomes improves spinal cord injury repair.",2018,"Theranostics",NA,NA,NA,7,"2021-01-16 15:40:20","Journal Article","10.7150/thno.26717","1838-7640",NA,8,16,4429,4446,0,0,0,14,3,"Proper selection and effective delivery of combination drugs targeting multiple pathophysiological pathways key to spinal cord injury (SCI) hold promise to address the thus far scarce clinical therapeutics for improving recovery after SCI. In this study, we aim to develop a clinically feasible way for targeted delivery of multiple drugs with different physiochemical properties to the SCI site, detail the underlying mechanism of neural recovery, and detect any synergistic effect related to combination therapy. Methods: Liposomes (LIP) modified with a scar-targeted tetrapeptide (cysteine-alanine-glutamine-lysine, CAQK) were first constructed to simultaneously encapsulate docetaxel (DTX) and brain-derived neurotrophic factor (BDNF) and then were further added into a thermosensitive heparin-modified poloxamer hydrogel (HP) with affinity-bound acidic fibroblast growth factor (aFGF-HP) for local administration into the SCI site (CAQK-LIP-GFs/DTX@HP) in a rat model. In vivo fluorescence imaging was used to examine the specificity of CAQK-LIP-GFs/DTX binding to the injured site. Multiple comprehensive evaluations including biotin dextran amine anterograde tracing and magnetic resonance imaging were used to detect any synergistic effects and the underlying mechanisms of CAQK-LIP-GFs/DTX@HP both in vivo (rat SCI model) and in vitro (primary neuron). Results: The multiple drugs were effectively delivered to the injured site. The combined application of GFs and DTX supported neuro-regeneration by improving neuronal survival and plasticity, rendering a more permissive extracellular matrix environment with improved regeneration potential. In addition, our combination therapy promoted axonal regeneration via moderation of microtubule function and mitochondrial transport along the regenerating axon. Conclusion: This novel multifunctional therapeutic strategy with a scar-homing delivery system may offer promising translational prospects for the clinical treatment of SCI.","heparin"
"8",0,"Thomas M Kessler, Luca R Traini, Blayne Welk, Marc P Schneider, Jeffrey Thavaseelan, Armin Curt","Early neurological care of patients with spinal cord injury.",2018,"World journal of urology",NA,NA,NA,8,"2021-01-16 15:40:20","Journal Article","10.1007/s00345-018-2343-2","1433-8726",NA,36,10,1529,1536,0,0,0,6,3,"Considering the major clinical challenges of managing patients with spinal cord injury (SCI), we summarized the relevant aspects of the early (within 1 year after SCI) neurological care emphasizing common standards. This review was performed according to the methodology recommended by the Joint SIU-ICUD International Consultation. Embase and Medline databases were used to identify literature relevant to the early neurological care of SCI patients. Recommendations were developed by consensus and graded using a modified Oxford system which identifies level of evidence (LOE) and grade of recommendation (GOR). Emergency health care providers must address altered mental status, evidence of intoxication, suspected extremity fracture/distracting injury, focal neurological deficit and spinal pain/tenderness to determine the risk of SCI in a trauma patient [LOE 1, GOR A]. Neurogenic shock must be recognized and treated [LOE 3, GOR A]. Spine surgeons should consider early decompression and spine fixation/stabilization, where indicated, and should promote early active rehabilitation to improve functional recovery [LOE 2, GOR B]. Clinicians should refer SCI patients to specialized SCI rehabilitation centers [LOE 4, GOR B], must apply interventions to prevent venous thromboembolism (i.e., compression devices and low-molecular weight heparin/unfractionated heparin) after acute SCI respecting contraindications [LOE 1, GOR A]. Contemporary guidelines to manage pain must be employed [LOE 1, GOR A] and methods to reduce the risk of pressure ulcers should be used [LOE 3, GOR B]. Early treatment, prevention of associated complications and individualized patient-targeted rehabilitation programs provided by a specialized interdisciplinary team are crucial to optimize the outcome after SCI.","heparin"
"9",0,"Lihua Luo, Abdullkhaleg Ali Albashari, Xiaoyan Wang, Ling Jin, Yanni Zhang, Lina Zheng, Jianjian Xia, Helin Xu, Yingzheng Zhao, Jian Xiao, Yan He, Qingsong Ye","Effects of Transplanted Heparin-Poloxamer Hydrogel Combining Dental Pulp Stem Cells and bFGF on Spinal Cord Injury Repair.",2018,"Stem cells international",NA,NA,NA,9,"2021-01-16 15:40:20","Journal Article","10.1155/2018/2398521","1687-966X",NA,2018,NA,2398521,NA,0,0,0,12,3,"Spinal cord injury (SCI) is one of serious traumatic diseases of the central nervous system and has no effective treatment because of its complicated pathophysiology. Tissue engineering strategy which contains scaffolds, cells, and growth factors can provide a promising treatment for SCI. Hydrogel that has 3D network structure and biomimetic microenvironment can support cellular growth and embed biological macromolecules for sustaining release. Dental pulp stem cells (DPSCs), derived from cranial neural crest, possess mesenchymal stem cell (MSC) characteristics and have an ability to provide neuroprotective and neurotrophic properties for SCI treatment. Basic fibroblast growth factor (bFGF) is able to promote cell survival and proliferation and also has beneficial effect on neural regeneration and functional recovery after SCI. Herein, a thermosensitive heparin-poloxamer (HP) hydrogel containing DPSCs and bFGF was prepared, and the effects of HP-bFGF-DPSCs on neuron restoration after SCI were evaluated by functional recovery tests, western blotting, magnetic resonance imaging (MRI), histology evaluation, and immunohistochemistry. The results suggested that transplanted HP hydrogel containing DPSCs and bFGF had a significant impact on spinal cord repair and regeneration and may provide a promising strategy for neuron repair, functional recovery, and tissue regeneration after SCI.","heparin"
"10",0,"John K Yue, Ethan A Winkler, Jonathan W Rick, Hansen Deng, Carlene P Partow, Pavan S Upadhyayula, Harjus S Birk, Andrew K Chan, Sanjay S Dhall","Update on critical care for acute spinal cord injury in the setting of polytrauma.",2017,"Neurosurgical focus",NA,NA,NA,10,"2021-01-16 15:40:20","Journal Article","10.3171/2017.7.FOCUS17396","1092-0684",NA,43,5,NA,NA,0,0,0,9,4,"Traumatic spinal cord injury (SCI) often occurs in patients with concurrent traumatic injuries in other body systems. These patients with polytrauma pose unique challenges to clinicians. The current review evaluates existing guidelines and updates the evidence for prehospital transport, immobilization, initial resuscitation, critical care, hemodynamic stability, diagnostic imaging, surgical techniques, and timing appropriate for the patient with SCI who has multisystem trauma. Initial management should be systematic, with focus on spinal immobilization, timely transport, and optimizing perfusion to the spinal cord. There is general evidence for the maintenance of mean arterial pressure of > 85 mm Hg during immediate and acute care to optimize neurological outcome; however, the selection of vasopressor type and duration should be judicious, with considerations for level of injury and risks of increased cardiogenic complications in the elderly. Level II recommendations exist for early decompression, and additional time points of neurological assessment within the first 24 hours and during acute care are warranted to determine the temporality of benefits attributable to early surgery. Venous thromboembolism prophylaxis using low-molecular-weight heparin is recommended by current guidelines for SCI. For these patients, titration of tidal volumes is important to balance the association of earlier weaning off the ventilator, with its risk of atelectasis, against the risk for lung damage from mechanical overinflation that can occur with prolonged ventilation. Careful evaluation of infection risk is a priority following multisystem trauma for patients with relative immunosuppression or compromise. Although patients with polytrauma may experience longer rehabilitation courses, long-term neurological recovery is generally comparable to that in patients with isolated SCI after controlling for demographics. Bowel and bladder disorders are common following SCI, significantly reduce quality of life, and constitute a focus of targeted therapies. Emerging biomarkers including glial fibrillary acidic protein, S100β, and microRNAs for traumatic SCIs are presented. Systematic management approaches to minimize sources of secondary injury are discussed, and areas requiring further research, implementation, and validation are identified.","heparin"
