"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",0,"Menq-Rong Wu, Chia-Hsun Lee, Jong-Kai Hsiao","Bidirectional Enhancement of Cell Proliferation Between Iron Oxide Nanoparticle-Labeled Mesenchymal Stem Cells and Choroid Plexus in a Cell-Based Therapy Model of Ischemic Stroke.",2020,"International journal of nanomedicine",NA,NA,NA,1,"2021-01-16 15:50:34","Journal Article","10.2147/IJN.S278687","1178-2013",NA,15,NA,9181,9195,0,0,0,3,1,"Stem cell therapy for ischemic stroke has shown success in experimental settings, but its translation into clinical practice is challenging. The choroid plexus (CP) plays a regulatory role in neural regeneration. Mesenchymal stem cells (MSCs) promote neurogenesis in the ventricular-subventricular zone. However, it is unclear whether MSCs interact with the CP in brain tissue repair. Rat (r)MSCs were labeled with iron oxide nanoparticles (IONs) and transduced with red fluorescent protein, and then injected into the brain of rats with ischemic stroke and monitored over time by magnetic resonance imaging. The functional recovery of rats was determined by the corner test score, Modified Neurological Severity score, and stroke volume. MSCs and CP were also co-cultured for 14 days, and the medium was analyzed with a cytokine array. In vivo imaging and histologic analysis revealed that ION-labeled MSCs were mainly located at the injection site and migrated to the infarct area and to the CP. Functional recovery was greater in rats treated with MSCs as compared to those that received mock treatment. Bidirectional enhancement of proliferation in MSCs and CP was observed in the co-culture; moreover, MSCs migrated to the CP. Cytokine analysis revealed elevated levels of proliferation- and adhesion-related cytokines and chemokines in the culture medium. Wikipathway predictions indicated that insulin-like growth factor 1/Akt signaling (WP3675), chemokine signaling pathway (WP2292), and spinal cord injury (WP2432) are involved in the increased proliferation and migration of MSCs co-cultured with the CP. Crosstalk with the CP enhances MSC proliferation and migration in a transwell assay. Moreover, MRI reveals MSC migration towards the CP in an ischemic stroke model. The secreted factors resulting from this interaction have therapeutic potential for promoting functional recovery in the brain after ischemic stroke.","insulin"
"2",0,"Michael Shaughness, Deanna Acs, Fiona Brabazon, Nicole Hockenbury, Kimberly R Byrnes","Role of Insulin in Neurotrauma and Neurodegeneration: A Review.",2020,"Frontiers in neuroscience",NA,NA,NA,2,"2021-01-16 15:50:34","Journal Article","10.3389/fnins.2020.547175","1662-4548",NA,14,NA,547175,NA,0,0,0,5,1,"Insulin is a hormone typically associated with pancreatic release and blood sugar regulation. The brain was long thought to be ""insulin-independent,"" but research has shown that insulin receptors (IR) are expressed on neurons, microglia and astrocytes, among other cells. The effects of insulin on cells within the central nervous system are varied, and can include both metabolic and non-metabolic functions. Emerging data suggests that insulin can improve neuronal survival or recovery after trauma or during neurodegenerative diseases. Further, data suggests a strong anti-inflammatory component of insulin, which may also play a role in both neurotrauma and neurodegeneration. As a result, administration of exogenous insulin, either via systemic or intranasal routes, is an increasing area of focus in research in neurotrauma and neurodegenerative disorders. This review will explore the literature to date on the role of insulin in neurotrauma and neurodegeneration, with a focus on traumatic brain injury (TBI), spinal cord injury (SCI), Alzheimer's disease (AD) and Parkinson's disease (PD).","insulin"
"3",0,"Haibo Li, Renyi Kong, Bowen Wan, Lei Yang, Sheng Zhang, Xiaojian Cao, Hongtao Chen","Initiation of PI3K/AKT pathway by IGF-1 decreases spinal cord injury-induced endothelial apoptosis and microvascular damage.",2020,"Life sciences",NA,NA,NA,3,"2021-01-16 15:50:34","Journal Article","10.1016/j.lfs.2020.118572","1879-0631",NA,263,NA,118572,NA,0,0,0,7,1,"Apoptosis of endothelial cells (ECs) is a crucial factor in blood-spinal cord barrier (BSCB) disruption post spinal cord injury (SCI). Insulin-like growth factor-1 (IGF-1) is a protective cytokine that plays an important role in multiple diseases, whereas the distinct role in SCI-induced remains critical questions to address. Here we designed to explore the role and underlying mechanism of IGF-1 in endothelial damage after SCI. In the current study, we established mouse microvascular endothelial cells (MVECs) injury model via LPS and cDNA of IGF-1 was transfected into MVECs. In vivo SCI mice, overexpression of IGF-1 (SCI-IGF-1) and its corresponding empty vehicle (SCI-NC) were conducted using lentivirus, then apoptosis degree, component of tight junction, and inflammatory damage were evaluated. IGF-1 treatment in MVECs displayed a milder apoptosis and cell damage under LPS insult. IGF-1 increased the level of PI3K/AKT pathway, which impeded the procedure of apoptosis. Blocking of PI3K/AKT pathway markedly neutralized the effect of IGF-1 treatment. Transfection of excess IGF-1 into SCI mice significantly corrected microenvironment of neural tissue repair, reduced area of injured core and improved functional recovery with greater activation of PI3K/AKT pathway. The results above argue that the promising roles played by IGF-1 is potentially vital for developing effective future therapies in SCI.","insulin"
"4",0,"Ha Neui Kim, Monica R Langley, Whitney L Simon, Hyesook Yoon, Laurel Kleppe, Ian R Lanza, Nathan K LeBrasseur, Aleksey Matveyenko, Isobel A Scarisbrick","A Western diet impairs CNS energy homeostasis and recovery after spinal cord injury: Link to astrocyte metabolism.",2020,"Neurobiology of disease",NA,NA,NA,4,"2021-01-16 15:50:34","Journal Article","10.1016/j.nbd.2020.104934","1095-953X",NA,141,NA,104934,NA,0,0,0,9,1,"A diet high in fat and sucrose (HFHS), the so-called Western diet promotes metabolic syndrome, a significant co-morbidity for individuals with spinal cord injury (SCI). Here we demonstrate that the spinal cord of mice consuming HFHS expresses reduced insulin-like growth factor 1 (IGF-1) and its receptor and shows impaired tricarboxylic acid cycle function, reductions in PLP and increases in astrogliosis, all prior to SCI. After SCI, Western diet impaired sensorimotor and bladder recovery, increased microgliosis, exacerbated oligodendrocyte loss and reduced axon sprouting. Direct and indirect neural injury mechanisms are suggested since HFHS culture conditions drove parallel injury responses directly and indirectly after culture with conditioned media from HFHS-treated astrocytes. In each case, injury mechanisms included reductions in IGF-1R, SIRT1 and PGC-1α and were prevented by metformin. Results highlight the potential for a Western diet to evoke signs of neural insulin resistance and injury and metformin as a strategy to improve mechanisms of neural neuroprotection and repair.","insulin"
"5",0,"Adel B Ghnenis, Daniel T Burns, Wupu Osimanjiang, Guanglong He, Jared S Bushman","A Long-Term Pilot Study on Sex and Spinal Cord Injury Shows Sexual Dimorphism in Functional Recovery and Cardio-Metabolic Responses.",2020,"Scientific reports",NA,NA,NA,5,"2021-01-16 15:50:34","Journal Article","10.1038/s41598-020-59628-6","2045-2322",NA,10,1,2762,NA,0,0,0,5,1,"More than a quarter of a million individuals in the US live with spinal cord injury (SCI). SCI disrupts neural circuitry to vital organs in the body. Despite severe incidences of long-term peripheral complications from SCI, the cardio-metabolic consequences and divergences in sex-related responses are not well described. We examined the effects of SCI on functional recovery, cardiac structure and function, body composition, and glucose metabolism on adult female and male Sprague Dawley (SD) rats. SCI was induced at T10 via contusion. Measured outcomes include behavioral assessment, body weight, dual-energy X-ray absorptiometry (DEXA) for body composition, echocardiography for cardiac structure and function, intraperitoneal glucose tolerance test (IPGTT) for glucose metabolism, insulin tolerance test (ITT), and histology of cardiac structure at the endpoint. There was a decrease in body fat percentage in both sexes, with SCI females disproportionately affected in percent body fat change. Left ventricular internal diameter during systole (LVIDs) was decreased in SCI females more than in SCI males. No significant differences in glucose metabolism were observed up to 20 weeks post-injury (PI). These data show significant cardio-metabolic differences as a consequence of SCI and, furthermore, that sex is an underlying factor in these differences.","insulin"
"6",0,"Shuhei Kobashi, Tomoya Terashima, Miwako Katagi, Yuki Nakae, Junko Okano, Yoshihisa Suzuki, Makoto Urushitani, Hideto Kojima","Transplantation of M2-Deviated Microglia Promotes Recovery of Motor Function after Spinal Cord Injury in Mice.",2020,"Molecular therapy : the journal of the American Society of Gene Therapy",NA,NA,NA,6,"2021-01-16 15:50:34","Journal Article","10.1016/j.ymthe.2019.09.004","1525-0024",NA,28,1,254,265,0,0,0,8,1,"Despite the poor prognosis of spinal cord injury (SCI), effective treatments are lacking. Diverse factors regulate SCI prognosis. In this regard, microglia play crucial roles depending on their phenotype. The M1 phenotype exacerbates neuroinflammation, whereas the M2 phenotype promotes tissue repair and provides anti-inflammatory effects. Therefore, we compared the effects of M2 and M1 microglia transplantation on SCI. First, we established a method for effective induction of M1 or M2 microglia by exposure to granulocyte-macrophage colony-stimulating factor (GM-CSF) or interleukin (IL)-4, respectively, to be used for transplantation in a SCI mouse model. In the M2 microglia transplantation group, significant recovery of motor function was observed compared with the control and M1 groups. Elevated transcription of several neuroprotective molecules including mannose receptor C type 1 (Mrc1), arginase 1 (Arg1), and insulin-like growth factor 1 (Igf1) was observed. Moreover, intramuscular injection of FluoroRuby dye revealed recovery of retrograde axonal transport from the neuromuscular junction to upstream of the injured spinal cord only in the M2-transplanted group, although the number of migrated microglia were comparable in both M1 and M2 groups. In conclusion, our results indicated that M2 microglia obtained by IL-4 stimulation may be a promising candidate for cell transplantation therapy for SCI.","insulin"
"7",0,"Kyan James Allahdadi, Thaís Alves de Santana, Girlaine Café Santos, Carine Machado Azevedo, Roberta Alves Mota, Carolina Kymie Nonaka, Daniela Nascimento Silva, Clarissa Xavier Resende Valim, Cláudio Pereira Figueira, Washington Luis Conrado Dos Santos, Renan Fernandes do Espirito Santo, Afrânio Ferreira Evangelista, Cristiane Flora Villarreal, Ricardo Ribeiro Dos Santos, Bruno Solano Freitas de Souza, Milena Botelho Pereira Soares","IGF-1 overexpression improves mesenchymal stem cell survival and promotes neurological recovery after spinal cord injury.",2019,"Stem cell research & therapy",NA,NA,NA,7,"2021-01-16 15:50:34","Journal Article","10.1186/s13287-019-1223-z","1757-6512",NA,10,1,146,NA,0,0,0,16,2,"Survival and therapeutic actions of bone marrow-derived mesenchymal stem cells (BMMSCs) can be limited by the hostile microenvironment present during acute spinal cord injury (SCI). Here, we investigated whether BMMSCs overexpressing insulin-like growth factor 1 (IGF-1), a cytokine involved in neural development and injury repair, improved the therapeutic effects of BMMSCs in SCI. Using a SCI contusion model in C57Bl/6 mice, we transplanted IGF-1 overexpressing or wild-type BMMSCs into the lesion site following SCI and evaluated cell survival, proliferation, immunomodulation, oxidative stress, myelination, and functional outcomes. BMMSC-IGF1 transplantation was associated with increased cell survival and recruitment of endogenous neural progenitor cells compared to BMMSC- or saline-treated controls. Modulation of gene expression of pro- and anti-inflammatory mediators was observed after BMMSC-IGF1 and compared to saline- and BMMSC-treated mice. Treatment with BMMSC-IGF1 restored spinal cord redox homeostasis by upregulating antioxidant defense genes. BMMSC-IGF1 protected against SCI-induced myelin loss, showing more compact myelin 28 days after SCI. Functional analyses demonstrated significant gains in BMS score and gait analysis in BMMSC-IGF1, compared to BMMSC or saline treatment. Overexpression of IGF-1 in BMMSC resulted in increased cell survival, immunomodulation, myelination, and functional improvements, suggesting that IGF-1 facilitates the regenerative actions of BMMSC in acute SCI.","insulin"
"8",0,"Su Pan, Zhiping Qi, Qiuju Li, Yue Ma, Chuan Fu, Shuang Zheng, Weijian Kong, Qinyi Liu, Xiaoyu Yang","Graphene oxide-PLGA hybrid nanofibres for the local delivery of IGF-1 and BDNF in spinal cord repair.",2019,"Artificial cells, nanomedicine, and biotechnology",NA,NA,NA,8,"2021-01-16 15:50:34","Journal Article","10.1080/21691401.2019.1575843","2169-141X",NA,47,1,651,664,0,0,0,9,2,"Spinal cord injury (SCI) can lead to permanent and severe functional impairment below the lesion level and is still one of the most challenging clinical problems. The treatment of SCI has progressed with the development of tissue engineering techniques. Insulin-like growth factor 1 (IGF-1) and brain-derived neurotrophic factor (BDNF) are growth factors closely related to nerve regeneration. In this study, IGF-1 and BDNF were successfully immobilized on biodegradable graphene oxide (GO)-incorporated PLGA (PLGA/GO) electrospun nanofibres. The effect of PLGA/GO nanofibres with immobilized IGF-1 and BDNF on neurogenesis was investigated in vitro and in vivo utilizing MTT assays, immunofluorescence, motor function detection and histology observations. We demonstrated that PLGA/GO nanofibres loaded with IGF-1 and BDNF not only protected NSCs from oxidative stress induced by H2O2 but also enhanced NSC proliferation and neuronal differentiation in vitro. The in vivo study of an SCI animal model demonstrated that local delivery of IGF-1 and BDNF immobilized to PLGA/GO nanofibres significantly improved functional locomotor recovery, reduced cavity formation and increased the number of neurons at the injury site. Our study indicated that PLGA/GO is an effective carrier for IGF-1 and BDNF delivery and that immobilization of IGF-1 and BDNF onto PLGA/GO nanofibres has a great potential as a nerve implant for spinal cord injury applications.","insulin"
"9",0,"Victor Bellver-Landete, Floriane Bretheau, Benoit Mailhot, Nicolas Vallières, Martine Lessard, Marie-Eve Janelle, Nathalie Vernoux, Marie-Ève Tremblay, Tobias Fuehrmann, Molly S Shoichet, Steve Lacroix","Microglia are an essential component of the neuroprotective scar that forms after spinal cord injury.",2019,"Nature communications",NA,NA,NA,9,"2021-01-16 15:50:34","Journal Article","10.1038/s41467-019-08446-0","2041-1723",NA,10,1,518,NA,0,0,0,11,2,"The role of microglia in spinal cord injury (SCI) remains poorly understood and is often confused with the response of macrophages. Here, we use specific transgenic mouse lines and depleting agents to understand the response of microglia after SCI. We find that microglia are highly dynamic and proliferate extensively during the first two weeks, accumulating around the lesion. There, activated microglia position themselves at the interface between infiltrating leukocytes and astrocytes, which proliferate and form a scar in response to microglia-derived factors, such as IGF-1. Depletion of microglia after SCI causes disruption of glial scar formation, enhances parenchymal immune infiltrates, reduces neuronal and oligodendrocyte survival, and impairs locomotor recovery. Conversely, increased microglial proliferation, induced by local M-CSF delivery, reduces lesion size and enhances functional recovery. Altogether, our results identify microglia as a key cellular component of the scar that develops after SCI to protect neural tissue.","insulin"
"10",0,"Dong Hoon Hwang, Hee Hwan Park, Hae Young Shin, Yuexian Cui, Byung Gon Kim","Insulin-like Growth Factor-1 Receptor Dictates Beneficial Effects of Treadmill Training by Regulating Survival and Migration of Neural Stem Cell Grafts in the Injured Spinal Cord.",2018,"Experimental neurobiology",NA,NA,NA,10,"2021-01-16 15:50:34","Journal Article","10.5607/en.2018.27.6.489","1226-2560",NA,27,6,489,507,0,0,0,5,3,"Survival and migration of transplanted neural stem cells (NSCs) are prerequisites for therapeutic benefits in spinal cord injury. We have shown that survival of NSC grafts declines after transplantation into the injured spinal cord, and that combining treadmill training (TMT) enhances NSC survival via insulin-like growth factor-1 (IGF-1). Here, we aimed to obtain genetic evidence that IGF-1 signaling in the transplanted NSCs determines the beneficial effects of TMT. We transplanted NSCs heterozygous (+/-) for Igf1r, the gene encoding IGF-1 receptor, into the mouse spinal cord after injury, with or without combining TMT. We analyzed the influence of genotype and TMT on locomotor recovery and survival and migration of NSC grafts. In vitro experiments were performed to examine the potential roles of IGF-1 signaling in the migratory ability of NSCs. Mice receiving +/- NSC grafts showed impaired locomotor recovery compared with those receiving wild-type (+/+) NSCs. Locomotor improvement by TMT was more pronounced with +/+ grafts. Deficiency of one allele of Igf1r significantly reduced survival and migration of the transplanted NSCs. Although TMT did not significantly influence NSC survival, it substantially enhanced the extent of migration for only +/+ NSCs. Cultured neurospheres exhibited dynamic motility with cytoplasmic protrusions, which was regulated by IGF-1 signaling. IGF-1 signaling in transplanted NSCs may be essential in regulating their survival and migration. Furthermore, TMT may promote NSC graft-mediated locomotor recovery via activation of IGF-1 signaling in transplanted NSCs. Dynamic NSC motility via IGF-1 signaling may be the cellular basis for the TMT-induced enhancement of migration.","insulin"
