"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",0,"Menq-Rong Wu, Chia-Hsun Lee, Jong-Kai Hsiao","Bidirectional Enhancement of Cell Proliferation Between Iron Oxide Nanoparticle-Labeled Mesenchymal Stem Cells and Choroid Plexus in a Cell-Based Therapy Model of Ischemic Stroke.",2020,"International journal of nanomedicine",NA,NA,NA,1,"2021-01-16 16:09:27","Journal Article","10.2147/IJN.S278687","1178-2013",NA,15,NA,9181,9195,0,0,0,3,1,"Stem cell therapy for ischemic stroke has shown success in experimental settings, but its translation into clinical practice is challenging. The choroid plexus (CP) plays a regulatory role in neural regeneration. Mesenchymal stem cells (MSCs) promote neurogenesis in the ventricular-subventricular zone. However, it is unclear whether MSCs interact with the CP in brain tissue repair. Rat (r)MSCs were labeled with iron oxide nanoparticles (IONs) and transduced with red fluorescent protein, and then injected into the brain of rats with ischemic stroke and monitored over time by magnetic resonance imaging. The functional recovery of rats was determined by the corner test score, Modified Neurological Severity score, and stroke volume. MSCs and CP were also co-cultured for 14 days, and the medium was analyzed with a cytokine array. In vivo imaging and histologic analysis revealed that ION-labeled MSCs were mainly located at the injection site and migrated to the infarct area and to the CP. Functional recovery was greater in rats treated with MSCs as compared to those that received mock treatment. Bidirectional enhancement of proliferation in MSCs and CP was observed in the co-culture; moreover, MSCs migrated to the CP. Cytokine analysis revealed elevated levels of proliferation- and adhesion-related cytokines and chemokines in the culture medium. Wikipathway predictions indicated that insulin-like growth factor 1/Akt signaling (WP3675), chemokine signaling pathway (WP2292), and spinal cord injury (WP2432) are involved in the increased proliferation and migration of MSCs co-cultured with the CP. Crosstalk with the CP enhances MSC proliferation and migration in a transwell assay. Moreover, MRI reveals MSC migration towards the CP in an ischemic stroke model. The secreted factors resulting from this interaction have therapeutic potential for promoting functional recovery in the brain after ischemic stroke.","iron"
"2",0,"Yixin Chen, Suixin Liu, Jianjun Li, Zhe Li, Jing Quan, Xinzhou Liu, Yinbo Tang, Bin Liu","The Latest View on the Mechanism of Ferroptosis and Its Research Progress in Spinal Cord Injury.",2020,"Oxidative medicine and cellular longevity",NA,NA,NA,2,"2021-01-16 16:09:27","Journal Article","10.1155/2020/6375938","1942-0994",NA,2020,NA,6375938,NA,0,0,0,8,1,"Ferroptosis is a recently identified nonapoptotic form of cell death whose major markers are iron dependence and accumulation of lipid reactive oxygen species, accompanied by morphological changes such as shrunken mitochondria and increased membrane density. It appears to contribute to the death of tumors, ischemia-reperfusion, acute renal failure, and nervous system diseases, among others. The generative mechanism of ferroptosis includes iron overloading, lipid peroxidation, and downstream execution, while the regulatory mechanism involves the glutathione/glutathione peroxidase 4 pathway, as well as the mevalonate pathway and the transsulfuration pathway. In-depth research has continuously developed and enriched knowledge on the mechanism by which ferroptosis occurs. In recent years, reports of the noninterchangeable role played by selenium in glutathione peroxidase 4 and its function in suppressing ferroptosis and the discovery of ferroptosis suppressor protein 1, identified as a ferroptosis resistance factor parallel to the glutathione peroxidase 4 pathway, have expanded and deepened our understanding of the mechanism by which ferroptosis works. Ferroptosis has been reported in spinal cord injury animal model experiments, and the inhibition of ferroptosis could promote the recovery of neurological function. Here, we review the latest studies on mechanism by which ferroptosis occurs, focusing on the ferroptosis execution and the contents related to selenium and ferroptosis suppressor protein 1. In addition, we summarize the current research status of ferroptosis in spinal cord injury. The aim of this review is to better understand the mechanisms by which ferroptosis occurs and its role in the pathophysiological process of spinal cord injury, so as to provide a new idea and frame of reference for further exploration.","iron"
"3",0,"E Huber, R Patel, M Hupp, N Weiskopf, M M Chakravarty, P Freund","Extrapyramidal plasticity predicts recovery after spinal cord injury.",2020,"Scientific reports",NA,NA,NA,3,"2021-01-16 16:09:27","Journal Article","10.1038/s41598-020-70805-5","2045-2322",NA,10,1,14102,NA,0,0,0,6,1,"Spinal cord injury (SCI) leads to wide-spread neurodegeneration across the neuroaxis. We explored trajectories of surface morphology, demyelination and iron concentration within the basal ganglia-thalamic circuit over 2 years post-SCI. This allowed us to explore the predictive value of neuroimaging biomarkers and determine their suitability as surrogate markers for interventional trials. Changes in markers of surface morphology, myelin and iron concentration of the basal ganglia and thalamus were estimated from 182 MRI datasets acquired in 17 SCI patients and 21 healthy controls at baseline (1-month post injury for patients), after 3, 6, 12, and 24 months. Using regression models, we investigated group difference in linear and non-linear trajectories of these markers. Baseline quantitative MRI parameters were used to predict 24-month clinical outcome. Surface area contracted in the motor (i.e. lower extremity) and pulvinar thalamus, and striatum; and expanded in the motor thalamus and striatum in patients compared to controls over 2-years. In parallel, myelin-sensitive markers decreased in the thalamus, striatum, and globus pallidus, while iron-sensitive markers decreased within the left caudate. Baseline surface area expansions within the striatum (i.e. motor caudate) predicted better lower extremity motor score at 2-years. Extensive extrapyramidal neurodegenerative and reorganizational changes across the basal ganglia-thalamic circuitry occur early after SCI and progress over time; their magnitude being predictive of functional recovery. These results demonstrate a potential role of extrapyramidal plasticity during functional recovery after SCI.","iron"
"4",0,"Huangao Zhou, Chaoyun Yin, Zhiming Zhang, Haowen Tang, Wen Shen, Xuan Zha, Ming Gao, Jifu Sun, Xiuquan Xu, Qian Chen","Proanthocyanidin promotes functional recovery of spinal cord injury via inhibiting ferroptosis.",2020,"Journal of chemical neuroanatomy",NA,NA,NA,4,"2021-01-16 16:09:27","Journal Article","10.1016/j.jchemneu.2020.101807","1873-6300",NA,107,NA,101807,NA,0,0,0,10,1,"Improving the microenvironment of lesioned spinal cord to minimize the secondary injury is one important strategy to treat spinal cord injury (SCI). The ensuing hemorrhage after SCI has tight connection with ferroptosis. This study investigated the effects of proanthocyanidins (PACs) on SCI repair and the underlying mechanisms. Adult female mice were divided into four groups, including sham, SCI, PACs5 and PACs10 (i.p. 5 and 10 mg/kg PACs after SCI respectively). The impacts of SCI and PACs treatment on redox parameters (iron contents, TBARS, GSH, and GPX activities) and ferroptosis essential factors such as ACSL4, LPCAT3, Alox15B, Nrf2, HO-1, GPX4 were investigated. The results demonstrated that PACs treatment significantly decreased the levels of iron, TBARS, ACSL4, and Alox15B, while increased the levels of GSH, GPX4, Nrf2, and HO-1 in traumatic spinal cords. Above all, PACs improved the locomotive function of SCI mice. These results suggest that PACs might be potential therapeutics for SCI repair by inhibiting ferroptosis in SCI.","iron"
"5",0,"Seung-Dam Heo, Jeongtae Kim, Yuna Choi, Poornima Ekanayake, Meejung Ahn, Taekyun Shin","Hesperidin improves motor disability in rat spinal cord injury through anti-inflammatory and antioxidant mechanism via Nrf-2/HO-1 pathway.",2020,"Neuroscience letters",NA,NA,NA,5,"2021-01-16 16:09:27","Journal Article","10.1016/j.neulet.2019.134619","1872-7972",NA,715,NA,134619,NA,0,0,0,6,1,"Spinal cord injury (SCI) is associated with inflammation with concurrent oxidative stress and glial activation. The aim of this study was to evaluate whether hesperidin, a representative flavonoid in citrus fruits, ameliorates SCI-induced motor dysfunction and neuro-pathologic degeneration in rat model. Rats received hesperidin (100 mg/kg body weight/daily, oral administration) from 7 days prior to SCI to 7 days post SCI. Behavioral test was done on rats with SCI until 6 weeks. For the study of inflammatory molecules in SCI rats with hesperidin treatment, rats were sacrificed at day 4 post SCI, and spinal cords were collected and studied histopathologically. Behavioral tests on hind-limbs of rats with SCI revealed that treatment of hesperidin in rats with SCI significantly ameliorate the hind-limb paralysis beginning at day 21 post SCI. Hesperidin treatment in rats with SCI reduced the neuropathological changes (e.g., hemorrhage, inflammatory cell infiltration, and tissue loss) and pro-inflammatory cytokines including tumor necrotic factor-α and interleukin-1β. In addition, oxidative stress related molecules including superoxide dismutase, catalase, nuclear factor erythroid 2-related factor-2 and heme oxygenase-1 were also increased by hesperidin treatment. Furthermore, Fe2+, bilirubin and p38 mitogen activated protein kinase, these by-product of heme catabolism in serum and spinal cord of rats with hesperidin-treatment groups were significantly increased compared with those of vehicle-treatment group. Collectively, this study implies that hesperidin accelerates recovery of locomotor function and tissue repair of damaged spinal cord, with concurrent upregulation of heme oxygenase-1 as far as rat SCI model is concerned.","iron"
"6",0,"Xue Yao, Yan Zhang, Jian Hao, Hui-Quan Duan, Chen-Xi Zhao, Chao Sun, Bo Li, Bao-You Fan, Xu Wang, Wen-Xiang Li, Xuan-Hao Fu, Yong Hu, Chang Liu, Xiao-Hong Kong, Shi-Qing Feng","Deferoxamine promotes recovery of traumatic spinal cord injury by inhibiting ferroptosis.",2019,"Neural regeneration research",NA,NA,NA,6,"2021-01-16 16:09:27","Journal Article","10.4103/1673-5374.245480","1673-5374",NA,14,3,532,541,0,0,0,15,2,"Ferroptosis is an iron-dependent novel cell death pathway. Deferoxamine, a ferroptosis inhibitor, has been reported to promote spinal cord injury repair. It has yet to be clarified whether ferroptosis inhibition represents the mechanism of action of Deferoxamine on spinal cord injury recovery. A rat model of Deferoxamine at thoracic 10 segment was established using a modified Allen's method. Ninety 8-week-old female Wistar rats were used. Rats in the Deferoxamine group were intraperitoneally injected with 100 mg/kg Deferoxamine 30 minutes before injury. Simultaneously, the Sham and Deferoxamine groups served as controls. Drug administration was conducted for 7 consecutive days. The results were as follows: (1) Electron microscopy revealed shrunken mitochondria in the spinal cord injury group. (2) The Basso, Beattie and Bresnahan locomotor rating score showed that recovery of the hindlimb was remarkably better in the Deferoxamine group than in the spinal cord injury group. (3) The iron concentration was lower in the Deferoxamine group than in the spinal cord injury group after injury. (4) Western blot assay revealed that, compared with the spinal cord injury group, GPX4, xCT, and glutathione expression was markedly increased in the Deferoxamine group. (5) Real-time polymerase chain reaction revealed that, compared with the Deferoxamine group, mRNA levels of ferroptosis-related genes Acyl-CoA synthetase family member 2 (ACSF2) and iron-responsive element-binding protein 2 (IREB2) were up-regulated in the Deferoxamine group. (6) Deferoxamine increased survival of neurons and inhibited gliosis. These findings confirm that Deferoxamine can repair spinal cord injury by inhibiting ferroptosis. Targeting ferroptosis is therefore a promising therapeutic approach for spinal cord injury.","iron"
"7",0,"Yan Zhang, Chao Sun, Chenxi Zhao, Jian Hao, Yiling Zhang, Baoyou Fan, Bo Li, Huiquan Duan, Chang Liu, Xiaohong Kong, Ping Wu, Xue Yao, Shiqing Feng","Ferroptosis inhibitor SRS 16-86 attenuates ferroptosis and promotes functional recovery in contusion spinal cord injury.",2019,"Brain research",NA,NA,NA,7,"2021-01-16 16:09:27","Journal Article","10.1016/j.brainres.2018.10.023","1872-6240",NA,1706,NA,48,57,0,0,0,13,2,"Cell death is a key issue in spinal cord secondary injury. Ferroptosis is recently discovered as an iron-dependent type of cell death that is distinct from other forms of cell death pathways such as apoptosis and necrosis. This research is aimed to investigate the role of ferroptosis in spinal cord injury (SCI) pathophysiology, and to explore the effectiveness of ferroptosis inhibitor on SCI. We examined the ferroptosis markers and the factors in a rat contusion SCI model. Seen from transmission electron microscopy (TEM) following SCI, mitochondria showed ferroptotic characteristic changes. Treatment with a ferroptosis inhibitor SRS 16-86 enhanced functional recovery after SCI through the upregulation of anti-ferroptosis factor GPX4, GSH and xCT, and the downregulation of the lipid peroxidation marker 4HNE. SRS 16-86 treatment alleviated astrogliosis and enhanced neuronal survival after SCI. The inflammatory cytokine levels (IL-1β, TNF-α and ICAM-1) were decreased significantly post SRS 16-86 treatment after SCI. These findings suggest strong correlation between ferroptosis and the secondary injury of SCI. The effectiveness of ferroptosis inhibitor SRS-16-86 on SCI repair leads to the identification of a novel therapeutic target for SCI.","iron"
"8",0,"Maryam Seif, Armin Curt, Alan J Thompson, Patrick Grabher, Nikolaus Weiskopf, Patrick Freund","Quantitative MRI of rostral spinal cord and brain regions is predictive of functional recovery in acute spinal cord injury.",2018,"NeuroImage. Clinical",NA,NA,NA,8,"2021-01-16 16:09:27","Journal Article","10.1016/j.nicl.2018.08.026","2213-1582",NA,20,NA,556,563,0,0,0,6,3,"To reveal the immediate extent of trauma-induced neurodegenerative changes rostral to the level of lesion and determine the predictive clinical value of quantitative MRI (qMRI) following acute spinal cord injury (SCI). Twenty-four acute SCI patients and 23 healthy controls underwent a high-resolution T1-weighted protocol. Eighteen of those patients and 20 of controls additionally underwent a multi-parameter mapping (MPM) MRI protocol sensitive to the content of tissue structure, including myelin and iron. Patients were examined clinically at baseline, 2, 6, 12, and 24 months post-SCI. We assessed volume and microstructural changes in the spinal cord and brain using T1-weighted MRI, magnetization transfer (MT), longitudinal relaxation rate (R1), and effective transverse relaxation rate (R2*) maps. Regression analysis determined associations between acute qMRI parameters and recovery. At baseline, cord area and its anterior-posterior width were decreased in patients, whereas MT, R1, and R2* parameters remained unchanged in the cord. Within the cerebellum, volume decrease was paralleled by increases of MT and R2* parameters. Early grey matter changes were observed within the primary motor cortex and limbic system. Importantly, early volume and microstructural changes of the cord and cerebellum predicted functional recovery following injury. Neurodegenerative changes rostral to the level of lesion occur early in SCI, with varying temporal and spatial dynamics. Early qMRI markers of spinal cord and cerebellum are predictive of functional recovery. These neuroimaging biomarkers may supplement clinical assessments and provide insights into the potential of therapeutic interventions to enhance neural plasticity.","iron"
"9",0,"Gabriel Ziegler, Patrick Grabher, Alan Thompson, Daniel Altmann, Markus Hupp, John Ashburner, Karl Friston, Nikolaus Weiskopf, Armin Curt, Patrick Freund","Progressive neurodegeneration following spinal cord injury: Implications for clinical trials.",2018,"Neurology",NA,NA,NA,9,"2021-01-16 16:09:27","Journal Article","10.1212/WNL.0000000000005258","1526-632X",NA,90,14,NA,NA,0,0,0,10,3,"To quantify atrophy, demyelination, and iron accumulation over 2 years following acute spinal cord injury and to identify MRI predictors of clinical outcomes and determine their suitability as surrogate markers of therapeutic intervention. We assessed 156 quantitative MRI datasets from 15 patients with spinal cord injury and 18 controls at baseline and 2, 6, 12, and 24 months after injury. Clinical recovery (including neuropathic pain) was assessed at each time point. Between-group differences in linear and nonlinear trajectories of volume, myelin, and iron change were estimated. Structural changes by 6 months were used to predict clinical outcomes at 2 years. The majority of patients showed clinical improvement with recovery stabilizing at 2 years. Cord atrophy decelerated, while cortical white and gray matter atrophy progressed over 2 years. Myelin content in the spinal cord and cortex decreased progressively over time, while cerebellar loss decreases decelerated. As atrophy progressed in the thalamus, sustained iron accumulation was evident. Smaller cord and cranial corticospinal tract atrophy, and myelin changes within the sensorimotor cortices, by 6 months predicted recovery in lower extremity motor score at 2 years. Whereas greater cord atrophy and microstructural changes in the cerebellum, anterior cingulate cortex, and secondary sensory cortex by 6 months predicted worse sensory impairment and greater neuropathic pain intensity at 2 years. These results draw attention to trauma-induced neuroplastic processes and highlight the intimate relationships among neurodegenerative processes in the cord and brain. These measurable changes are sufficiently large, systematic, and predictive to render them viable outcome measures for clinical trials.","iron"
"10",0,"Malik Hamdaoui, Elisabeth Ruppert, Henri Comtet, Ulker Kilic-Huck, Valérie Wolff, Marc Bataillard, Patrice Bourgin","Restless legs syndrome related to hemorrhage of a thoracic spinal cord cavernoma.",2018,"The journal of spinal cord medicine",NA,NA,NA,10,"2021-01-16 16:09:27","Case Reports","10.1080/10790268.2017.1368963","2045-7723",NA,41,2,245,247,0,0,0,7,3,"Restless legs syndrome (RLS) is a common neurological disorder characterized by an irresistible urge to move the lower limbs often accompanied by unpleasant sensations in the legs, worsened at rest and in the evening. Symptoms are improved by movement. Its pathophysiology remains poorly understood. Lesion-related RLS has been reported, mainly in cases of stroke-related RLS involving the brainstem and lenticulostriate nuclei. Only few data of RLS in a context of spinal cord injury have been reported. We report the case of a woman with secondary RLS due to hemorrhage of a spinal cord cavernoma located at T9-T10. Following recovery from the acute phase of the hemorrhage, the patient began to complain about restlessness in her legs causing impaired sleep and daytime somnolence. Polysomnographic investigations found a high index of periodic leg movements during sleep (71/hour), but no sleep disordered breathing. Iron stores were normal. Relief of symptom's severity was obtained with gabapentin 600mg in the evening. We hypothesize a possible involvement of the diencephalospinal pathway in the patient's RLS pathophysiology. A systematic study of focal lesions associated with RLS may contribute to improving our understanding of the pathophysiological mechanisms underlying this condition. The frequency of RLS associated with lesions of the spinal cord might be underestimated. Clinicians should be aware of spinal cord lesion-related RLS, especially as efficient treatments are available.","iron"
