"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",0,"Andrei F Joaquim, Jefferson W Daniel, Gregory D Schroeder, Alexander R Vaccaro","Neuroprotective Agents as an Adjuvant Treatment in Patients With Acute Spinal Cord Injuries: A Qualitative Systematic Review of Randomized Trials.",2020,"Clinical spine surgery",NA,NA,NA,1,"2021-01-18 10:38:15","Journal Article","10.1097/BSD.0000000000000861","2380-0194",NA,33,2,65,75,0,0,0,4,1,"This was a systematic literature review. The objective of this study was to evaluate randomized clinical trials that address potential neuroprotective agents used to improve neurological outcome in patients with spinal cord injury (SCI). Clinical treatment of acute SCI has evolved significantly, but neurological recovery of severely injured patients remains modest. Neuroprotective agents may act to limit secondary damage in the sequence of pathophysiologic insults that occur after primary SCI. We performed a systematic review in accordance with Preferred Reporting Items for Systematic Reviews and Meta-analysis (PRISMA) guidelines of all clinical randomized trials that evaluated potential neuroprotective agents (drugs, stem cells, and any type of medicative interventions) in neurological outcome of acute SCI. All the studies were graded according to their level of evidence in accordance with the Oxford Level of Evidence-based Medicine. A total of 16 randomized clinical trials were included and fully analyzed in our review. The following 12 substances/drugs were analyzed: methylprednisolone (MP), naloxone, tirilizad, nimodipine, Sygen, autologous incubated macrophages, autologous bone marrow cells, minocycline, erythropoietin, ganglioside, vitamin D, and progesterone. Modest benefits were attributed to minocycline and Sygen (without statistical significance), and some benefits were obtained with erythropoietin and progesterone plus vitamin D in neurological outcome. For MP, the benefits are also controversial and may be attributed to statistical artifacts and with a high risk of adverse effects. The other substances did not change the final outcome. All studies were considered as grade B of recommendation (100%) and levels of evidences as B2 (81.25%) and B3 (18.75%). Our review reported some potential substances that may improve neurological outcome in acute SCI: MP, vitamin D associated with progesterone, and erythropoietin. Their potential benefits were modest in the evaluated studies, requiring further randomized clinical trials with large samples of patients, without statistical artifacts, for routine clinical use. Furthermore, potential adverse effects must be considered with the use of neuroprotective agents in SCI. Until then, the use of these substances may be experimental or restricted to specific clinical situations.","naloxone"
"2",0,"Farinaz Nasirinezhad, Shyam Gajavelli, Blake Priddy, Stanislava Jergova, James Zadina, Jacqueline Sagen","Viral vectors encoding endomorphins and serine histogranin attenuate neuropathic pain symptoms after spinal cord injury in rats.",2015,"Molecular pain",NA,NA,NA,2,"2021-01-18 10:38:15","Journal Article","10.1186/1744-8069-11-2","1744-8069",NA,11,NA,2,NA,0,0,0,6,6,"The treatment of spinal cord injury (SCI)-induced neuropathic pain presents a challenging healthcare problem. The lack of available robust pharmacological treatments underscores the need for novel therapeutic methods and approaches. Due to the complex character of neuropathic pain following SCI, therapies targeting multiple mechanisms may be a better choice for obtaining sufficient long-term pain relief. Previous studies in our lab showed analgesic effects using combinations of an NMDA antagonist peptide [Ser1]histogranin (SHG), and the mu-opioid peptides endomorphins (EMs), in several pain models. As an alternative to drug therapy, this study evaluated the analgesic potential of these peptides when delivered via gene therapy. Lentiviruses encoding SHG and EM-1 and EM-2 were intraspinally injected, either singly or in combination, into rats with clip compression SCI 2 weeks following injury. Treated animals showed significant reduction in mechanical and thermal hypersensitivity, compared to control groups injected with GFP vector only. The antinociceptive effects of individually injected components were modest, but the combination of EMs and SHG produced robust and sustained antinociception. The onset of the analgesic effects was observed between 1-5 weeks post-injection and sustained without decrement for at least 7 weeks. No adverse effects on locomotor function were observed. The involvement of SHG and EMs in the observed antinociception was confirmed by pharmacologic inhibition using intrathecal injection of either the opioid antagonist naloxone or an anti-SHG antibody. Immunohistochemical analysis showed the presence of SHG and EMs in the spinal cord of treated animals, and immunodot-blot analysis of CSF confirmed the presence of these peptides in injected animals. In a separate group of rats, delayed injection of viral vectors was performed in order to mimic a more likely clinical scenario. Comparable and sustained antinociceptive effects were observed in these animals using the SHG-EMs combination vectors compared to the group with early intervention. Findings from this study support the potential for direct gene therapy to provide a robust and sustained alleviation of chronic neuropathic pain following SCI. The combination strategy utilizing potent mu-opioid peptides with a naturally-derived NMDA antagonist may produce additive or synergistic analgesic effects without the tolerance development for long-term management of persistent pain.","naloxone"
"3",0,"Edward D Hall, Joe E Springer","Neuroprotection and acute spinal cord injury: a reappraisal.",2004,"NeuroRx : the journal of the American Society for Experimental NeuroTherapeutics",NA,NA,NA,3,"2021-01-18 10:38:15","Journal Article","10.1602/neurorx.1.1.80","1545-5343",NA,1,1,80,100,0,0,0,2,17,"It has long been recognized that much of the post-traumatic degeneration of the spinal cord following injury is caused by a multi-factorial secondary injury process that occurs during the first minutes, hours, and days after spinal cord injury (SCI). A key biochemical event in that process is reactive oxygen-induced lipid peroxidation (LP). In 1990 the results of the Second National Acute Spinal Cord Injury Study (NASCIS II) were published, which showed that the administration of a high-dose regimen of the glucocorticoid steroid methylprednisolone (MP), which had been previously shown to inhibit post-traumatic LP in animal models of SCI, could improve neurological recovery in spinal-cord-injured humans. This resulted in the registration of high-dose MP for acute SCI in several countries, although not in the U.S. Nevertheless, this treatment quickly became the standard of care for acute SCI since the drug was already on the U.S. market for many other indications. Subsequently, it was demonstrated that the non-glucocorticoid 21-aminosteroid tirilazad could duplicate the antioxidant neuroprotective efficacy of MP in SCI models, and evidence of human efficacy was obtained in a third NASCIS trial (NASCIS III). In recent years, the use of high-dose MP in acute SCI has become controversial largely on the basis of the risk of serious adverse effects versus what is perceived to be on average a modest neurological benefit. The opiate receptor antagonist naloxone was also tested in NASCIS II based upon the demonstration of its beneficial effects in SCI models. Although it did not a significant overall effect, some evidence of efficacy was seen in incomplete (i.e., paretic) patients. The monosialoganglioside GM1 has also been examined in a recently completed clinical trial in which the patients first received high-dose MP treatment. However, GM1 failed to show any evidence of a significant enhancement in the extent of neurological recovery over the level afforded by MP therapy alone. The present paper reviews the past development of MP, naloxone, tirilazad, and GM1 for acute SCI, the ongoing MP-SCI controversy, identifies the regulatory complications involved in future SCI drug development, and suggests some promising neuroprotective approaches that could either replace or be used in combination with high-dose MP.","naloxone"
"4",0,"H Kameoka, Y Shiraiwa, Y Fukaya, T Yokota, K Shishido, O Yamaguchi","Effect of naloxone on the bladder activity of rabbits with acute spinal injury.",1998,"International journal of urology : official journal of the Japanese Urological Association",NA,NA,NA,4,"2021-01-18 10:38:15","Journal Article","10.1111/j.1442-2042.1998.tb00417.x","0919-8172",NA,5,6,588,594,0,0,0,6,23,"Naloxone enhances bladder activity in patients with chronic spinal cord injury. However, there are few reports on naloxone for bladder morbidity in acute spinal cord injury. We performed a prospective, controlled study of the effects of naloxone on bladder function in rabbits with and without surgical transection of the spinal cord at the 10th thoracic vertebra. Acute and chronic stages of injury were defined according to bladder function. Naloxone was given intravenously at both stages, and intrathecally at the acute stage. Bladder activity was monitored by cystometry. Blood concentrations of methionine-enkephalin were measured by radioimmunoassay. Spinal cord injuries were acute 1 or 2 days after surgery, and chronic after 1 or 2 weeks. Bladder capacity significantly decreased after 0.01 mg of intravenous naloxone in uninjured control rabbits, and after 0.03 mg of intravenous naloxone in rabbits with chronic-phase injuries. During the acute-injury phase, 0.3 mg of intravenous naloxone, or 0.02 mg of intrathecal naloxone, was necessary to evoke the micturition reflex. No significant changes in blood enkephalin levels were seen before or after spinal cord injury. In rabbits with acute spinal cord injury, intrathecal naloxone evoked the micturition reflex at a much lower dose than did intravenous naloxone. Intrathecal naloxone promises to become a new therapy for the acute stage of spinal cord injury for active recovery of bladder function, and could replace current therapy.","naloxone"
"5",0,"M B Dutia, D P Gilchrist, A J Sansom, P F Smith, C L Darlington","The opioid receptor antagonist, naloxone, enhances ocular motor compensation in guinea pig following peripheral vestibular deafferentation.",1996,"Experimental neurology",NA,NA,NA,5,"2021-01-18 10:38:15","Journal Article","10.1006/exnr.1996.0147","0014-4886",NA,141,1,141,144,0,0,0,5,25,"The opioid receptor antagonist, naloxone, has been demonstrated to enhance recovery from spinal cord injury and fluid percussion brain injury. The present study investigated, for the first time, the effects of naloxone on behavioral recovery following unilateral peripheral vestibular deafferentation (unilateral labyrinthectomy, UL) in guinea pig. An ip injection of 5 mg/kg naloxone 30 min pre-UL and 5 h post-UL was found to significantly reduce the frequency of spontaneous nystagmus relative to the vehicle control group (P < 0.005). However, a lower dose (2.5 mg/kg) had no effect. At either dose, the effects on the postural symptoms, yaw head tilt and roll head tilt, were small by comparison and in most cases nonsignificant. These results suggest that naloxone can reduce the ocular motor effects of UL in a dose-dependent fashion.","naloxone"
"6",0,"K B Thor, J R Roppolo, M Kawatani, S Erdman, W C deGroat","Plasticity in spinal opioid control of lower urinary tract function in paraplegic cats.",1994,"Neuroreport",NA,NA,NA,6,"2021-01-18 10:38:15","Journal Article","10.1097/00001756-199408150-00033","0959-4965",NA,5,13,1673,1678,0,0,0,5,27,"Spinal cord injury disrupts micturition reflexes, which produces morbidity. The contribution of endogenous opioid systems to urinary retention were assessed in chronic spinal cats by administering the opioid receptor antagonist, naloxone (5-500 micrograms kg-1, i.p.), to unanesthetized paraplegic cats while monitoring lower urinary tract function and observing hind limb reflexes. While naloxone had no overt effect in acute spinal cats, in chronic spinal cats naloxone induced the release of large volumes of urine and produced marked hind limb hyper-reflexia. Prominent tachyphylaxis and tolerance to the effects of naloxone were evident. Immunohistochemical studies indicated a marked increase in leucine enkephalin and dynorphin in sacral spinal neurons. Together, these data indicate hyperactivity of the endogenous spinal opioid system following recovery from spinal cord injury and, furthermore, suggest that the spinal neural circuitry may become 'dependent' upon elevated levels of endogenous opioid peptides.","naloxone"
"7",0,"M S Duh, M J Shepard, J E Wilberger, M B Bracken","The effectiveness of surgery on the treatment of acute spinal cord injury and its relation to pharmacological treatment.",1994,"Neurosurgery",NA,NA,NA,7,"2021-01-18 10:38:15","Clinical Trial","10.1227/00006123-199408000-00009","0148-396X",NA,35,2,240,248,0,0,0,4,27,"Using data from the Second National Acute Spinal Cord Injury Study (NASCIS II), the authors sought to characterize the role of surgery in the management of traumatic spinal cord injury and to examine the interaction between pharmacological treatment and surgery. Patients who did not undergo surgery had more severe spinal cord injuries initially than those who had surgery. However, no differences in neurological improvement at 1-year follow-up were found between those who underwent surgery and those who did not. The results suggest that either early surgery (< or = 25 hours after injury) or late surgery (> 200 hours) may be associated with increased neurological recovery, particularly motor function, but these results are equivocal. Surgery was not shown to interact with pharmacological treatments, indicating that the effect of drug treatment in NASCIS II, reported elsewhere, is not influenced by surgery. Other independent variables that best predicted improvement in motor score were age of 25 years or younger, incomplete injury, and lower baseline emergency department neurological scores. This study does not provide clinically relevant evidence concerning the efficacy of timing or the value of surgery in treating patients with spinal cord injuries. A randomized study on the timing and efficacy of spinal cord surgery is needed to obtain valid comparisons of the efficacy of surgical treatments.","naloxone"
"8",0,"M B Bracken, T R Holford","Effects of timing of methylprednisolone or naloxone administration on recovery of segmental and long-tract neurological function in NASCIS 2.",1993,"Journal of neurosurgery",NA,NA,NA,8,"2021-01-18 10:38:15","Clinical Trial","10.3171/jns.1993.79.4.0500","0022-3085",NA,79,4,500,507,0,0,0,2,28,"Previous analyses of the National Acute Spinal Cord Injury Study (NASCIS) have not distinguished recovery of segmental function at the injury level from recovery of the long spinal tracts. Recovery at the injury level could be of considerable clinical significance, but long-tract recovery is the ultimate therapeutic goal. This analysis demonstrates that the greatest proportion of all neurological recovery and of recovery due to treatment with very high doses of methylprednisolone within 8 hours of injury occurs below the lesion. Methylprednisolone treatment administered early following injury has been found to improve recovery below the lesion in patients initially diagnosed as having complete or incomplete injuries; it also leads to greater (but still relatively small) improvement in the injury level. The analysis indicates that delayed treatment with methylprednisolone is associated with decreased neurological recovery. Naloxone administration also improved neurological function below the lesion in patients with incomplete injuries; these results support further experimental work with this drug. This observation of differential neurological response within a narrow treatment window has important implications for both experimental studies and clinical management. Early clinical management with high-dose methylprednisolone is supported by this analysis.","naloxone"
"9",0,"M B Bracken","Pharmacological treatment of acute spinal cord injury: current status and future projects.",1993,"The Journal of emergency medicine",NA,NA,NA,9,"2021-01-18 10:38:15","Clinical Trial","","0736-4679",NA,11,NA,43,48,0,0,0,1,28,"The multicenter, double-blind, randomized second National Acute Spinal Cord Injury Study (NASCIS 2) was conducted to assess the effectiveness of methylprednisolone in improving neurological function after acute spinal cord injury. At 6 weeks, patients treated within 8 hours of injury with methylprednisolone, given as an initial bolus of 30 mg/kg followed by infusion of 5.4 mg/kg/h over 23 hours, demonstrated significantly greater improvement in motor function and touch sensation than did those receiving either naloxone or placebo. Improvement in pinprick sensation was also greater in the methylprednisolone group. These differences were maintained at 6 months and 1 year after injury. The recovery of motor and sensory function in methylprednisolone-treated patients was found to be due primarily to reductions in the severity of the lesion in the spinal cord itself rather than to improvements in the level of injury or root function. A new trial, NASCIS 3, is evaluating a 48-hour course of methylprednisolone infusion as well as treatment with tirilazad mesylate, an inhibitor of lipid peroxidation without glucocorticoid activity.","naloxone"
"10",0,"W Young","Secondary injury mechanisms in acute spinal cord injury.",1993,"The Journal of emergency medicine",NA,NA,NA,10,"2021-01-18 10:38:15","Clinical Trial","","0736-4679",NA,11,NA,13,22,0,0,0,1,28,"Experimental studies in animal spinal cord injury models suggest that preservation of a relatively small number of spinal axons can support neurological recovery. The second National Acute Spinal Cord Injury Study (NASCIS 2) was the first clinical trial to demonstrate that a treatment given after injury can enhance neurological recovery. In this trial, patients treated with high-dose methylprednisolone within 8 hours of spinal cord injury recovered more sensory and motor function than did those treated with placebo. In addition to demonstrating the first effective pharmacological intervention in central nervous system injury, NASCIS 2 identified several critical issues that must be investigated in future preclinical and clinical research. These include drug dose, initiation time, and duration of treatment, as well as combination therapy and injury severity. Addressing these issues systematically will require more reproducible animal models and more accurate outcome measures.","naloxone"
