"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",0,"Shuai Ren, Zehan Liu, C Yoon Kim, Kuang Fu, Qiong Wu, Liting Hou, Linlin Sun, Jian Zhang, Qing Miao, Jin Kim, Vincenzo Bonicalzi, Xiangchen Guan, Mingzhe Zhang, Weihua Zhang, Junfeng Xu, Sergio Canavero, Xiaoping Ren","Reconstruction of the spinal cord of spinal transected dogs with polyethylene glycol.",2019,"Surgical neurology international",NA,NA,NA,1,"2021-01-18 11:40:20","Journal Article","10.25259/SNI-73-2019","2229-5097",NA,10,NA,50,NA,0,0,0,17,2,"Our study shows that a membrane sealant/fiber fusogen polyethylene glycol (PEG) applied immediately on a sharp section of the spinal cord can mend the cord and lead to exceptional levels of motor recovery, with some animals almost normal. Before deploying such technology in man, long-term data in large mammals that exclude delayed complications (e.g., central pain), confirm the stability of motor recovery, and provide histological evidence of fiber regrowth are necessary. Here, we provide such evidence in dogs followed up over 6 months and in 2 cases up to 1 year along with imaging and histologic data. We show that dogs whose dorsal cord has been fully transected recover locomotion after immediate treatment with a fusogen (PEG). No pain syndrome ensued over the long term. Diffusion tensor imaging magnetic resonance and histological, including immunohistochemical, data confirmed the re-establishment of anatomical continuity along with interfacial axonal sprouting. This study proves that a form of irreversible spinal cord injury (SCI) can effectively be treated and points out a way to treat SCI patients.","polyethylene_glycol"
"2",0,"Simona Isabelle Stoica, Ioana Tănase, Vlad Ciobanu, Gelu Onose","Initial researches on neuro-functional status and evolution in chronic ethanol consumers with recent traumatic spinal cord injury.",2019,"Journal of medicine and life",NA,NA,NA,2,"2021-01-18 11:40:20","Journal Article","10.25122/jml-2019-0026","1844-3117",NA,12,2,97,112,0,0,0,4,2,"We found differences related to the neuro-functional deficiency and clinical progress, among non-consumers and chronic consumers of ethanol, with recent traumatic spinal cord injury (SCI). We present a synthesis of related data on lesion mechanisms in post-traumatic myelogenous disorders, namely some of the alcohols and their actions on the nervous system, with details on the influences exerted, in such afflictions, by the chronic consumption of ethanol. The subject is not frequently approached - according to a literature review with systematic elements, which we have done before - thus constituting a niche that deserves to be further explored. The applicative component of the article highlights statistical data resulted from a retrospective study regarding the specialized casuistry from the Neuromuscular Recovery Clinic of the ""Bagdasar Arseni"" Emergency Clinical Hospital, following the comparative analysis of two groups of patients with recent SCI: non-consumers - the control group (n=780) - and chronic ethanol consumers - the study group (n=225) - with the addition of a prospective pilot component. Data processing has been achieved with SPSS 24. The American Spinal Injury Association Impairment Scale (AIS) mean motor scores differ significantly (tests: Mann-Whitney and t) between the control and study group in favor of the second, both at admission (p<0.001) and at discharge (p<0.001). AIS mean sensitive scores differ between the two lots, and also in favor of the study, but statistically significant only at discharge (p=0.048); the difference at admission is not significant (p=0.51) - possibly because of alcoholic-nutritional polyneuropathy. These findings, with numerous related details, later presented in the text, are surprising, which requires further studies and attempts of understanding.","polyethylene_glycol"
"3",0,"Samuel T Crowley, Yuta Fukushima, Satoshi Uchida, Kazunori Kataoka, Keiji Itaka","Enhancement of Motor Function Recovery after Spinal Cord Injury in Mice by Delivery of Brain-Derived Neurotrophic Factor mRNA.",2019,"Molecular therapy. Nucleic acids",NA,NA,NA,3,"2021-01-18 11:40:20","Journal Article","10.1016/j.omtn.2019.06.016","2162-2531",NA,17,NA,465,476,0,0,0,5,2,"Spinal cord injury (SCI) is a debilitating condition that can cause impaired motor function or full paralysis. In the days to weeks following the initial mechanical injury to the spinal cord, inflammation and apoptosis can cause additional damage to the injured tissues. This secondary injury impairs recovery. Brain-derived neurotrophic factor is a secreted protein that has been shown to improve a variety of neurological conditions, including SCI, by promoting neuron survival and synaptic plasticity. This study treated a mouse model of contusion SCI using a single dose of brain-derived neurotrophic factor (BDNF) mRNA nanomicelles prepared with polyethylene glycol polyamino acid block copolymer directly injected into the injured tissue. BDNF levels in the injured spinal cord tissue were approximately doubled by mRNA treatment. Motor function was monitored using the Basso Mouse Scale and Noldus CatWalk Automated Gait Analysis System for 6 weeks post-injury. BDNF-treated mice showed improved motor function recovery, demonstrating the feasibility of mRNA delivery to treat SCI.","polyethylene_glycol"
"4",0,"Xiao-Juan Wang, Gao-Feng Shu, Xiao-Ling Xu, Chen-Han Peng, Chen-Ying Lu, Xing-Yao Cheng, Xiang-Chao Luo, Jie Li, Jing Qi, Xu-Qi Kang, Fei-Yang Jin, Min-Jiang Chen, Xiao-Ying Ying, Jian You, Yong-Zhong Du, Jian-Song Ji","Combinational protective therapy for spinal cord injury medicated by sialic acid-driven and polyethylene glycol based micelles.",2019,"Biomaterials",NA,NA,NA,4,"2021-01-18 11:40:20","Journal Article","10.1016/j.biomaterials.2019.119326","1878-5905",NA,217,NA,119326,NA,0,0,0,16,2,"Spinal cord injury (SCI) leads to immediate disruption of neuronal membranes and loss of neurons, followed by extensive secondary injury process. Treatment of SCI still remains a tremendous challenge clinically. Minocycline could target comprehensive secondary injury via anti-inflammatory, anti-oxidant and anti-apoptotic mechanisms. Polyethylene glycol (PEG), a known sealing agent, is able to seal the damaged cell membranes and reduce calcium influx, thereby exerting neuroprotective capacity. Here, an E-selectin-targeting sialic acid - polyethylene glycol - poly (lactic-co-glycolic acid) (SAPP) copolymer was designed for delivering hydrophobic minocycline to achieve combinational therapy of SCI. The obtained SAPP copolymer could self-assemble into micelles with critical micelle concentration being of 13.40 μg/mL, and effectively encapsulate hydrophobic minocycline. The prepared drug-loaded micelles (SAPPM) displayed sustained drug release over 72 h, which could stop microglia activation and exhibited excellent neuroprotective capacity in vitro. The SAPP micelles were efficiently accumulated in the lesion site of SCI rats via the specific binding between sialic acid and E-selectin. Due to the targeting distribution and combinational effect between PEG and minocycline, SAPPM could obviously reduce the area of lesion cavity, and realize more survival of axons and myelin sheaths from the injury, thus distinctly improving hindlimb functional recovery of SCI rats and conferring superior therapeutic effect in coparison with other groups. Our work presented an effective and safe strategy for SCI targeting therapy. Besides, neuroprotective capacity of PEG deserves further investigation on other central nervous system diseases.","polyethylene_glycol"
"5",0,"Jeffrey S Hakim, Brian R Rodysill, Bingkun K Chen, Ann M Schmeichel, Michael J Yaszemski, Anthony J Windebank, Nicolas N Madigan","Combinatorial tissue engineering partially restores function after spinal cord injury.",2019,"Journal of tissue engineering and regenerative medicine",NA,NA,NA,5,"2021-01-18 11:40:20","Journal Article","10.1002/term.2840","1932-7005",NA,13,5,857,873,0,0,0,7,2,"Hydrogel scaffolds provide a beneficial microenvironment in transected rat spinal cord. A combinatorial biomaterials-based strategy provided a microenvironment that facilitated regeneration while reducing foreign body reaction to the three-dimensional spinal cord construct. We used poly lactic-co-glycolic acid microspheres to provide sustained release of rapamycin from Schwann cell (SC)-loaded, positively charged oligo-polyethylene glycol fumarate scaffolds. The biological activity and dose-release characteristics of rapamycin from microspheres alone and from microspheres embedded in the scaffold were determined in vitro. Three dose formulations of rapamycin were compared with controls in 53 rats. We observed a dose-dependent reduction in the fibrotic reaction to the scaffold and improved functional recovery over 6 weeks. Recovery was replicated in a second cohort of 28 animals that included retransection injury. Immunohistochemical and stereological analysis demonstrated that blood vessel number, surface area, vessel diameter, basement membrane collagen, and microvessel phenotype within the regenerated tissue was dependent on the presence of SCs and rapamycin. TRITC-dextran injection demonstrated enhanced perfusion into scaffold channels. Rapamycin also increased the number of descending regenerated axons, as assessed by Fast Blue retrograde axonal tracing. These results demonstrate that normalization of the neovasculature was associated with enhanced axonal regeneration and improved function after spinal cord transection.","polyethylene_glycol"
"6",0,"William Rodemer, Michael E Selzer","Role of axon resealing in retrograde neuronal death and regeneration after spinal cord injury.",2019,"Neural regeneration research",NA,NA,NA,6,"2021-01-18 11:40:20","Journal Article","10.4103/1673-5374.245330","1673-5374",NA,14,3,399,404,0,0,0,2,2,"Spinal cord injury leads to persistent behavioral deficits because mammalian central nervous system axons fail to regenerate. A neuron's response to axon injury results from a complex interplay of neuron-intrinsic and environmental factors. The contribution of axotomy to the death of neurons in spinal cord injury is controversial because very remote axotomy is unlikely to result in neuronal death, whereas death of neurons near an injury may reflect environmental factors such as ischemia and inflammation. In lampreys, axotomy due to spinal cord injury results in delayed apoptosis of spinal-projecting neurons in the brain, beyond the extent of these environmental factors. This retrograde apoptosis correlates with delayed resealing of the axon, and can be reversed by inducing rapid membrane resealing with polyethylene glycol. Studies in mammals also suggest that polyethylene glycol may be neuroprotective, although the mechanism(s) remain unclear. This review examines the early, mechanical, responses to axon injury in both mammals and lampreys, and the potential of polyethylene glycol to reduce injury-induced pathology. Identifying the mechanisms underlying a neuron's response to axotomy will potentially reveal new therapeutic targets to enhance regeneration and functional recovery in humans with spinal cord injury.","polyethylene_glycol"
"7",0,"Qingqing Wang, Hongyu Zhang, Helin Xu, Yingzheng Zhao, Zhengmao Li, Jiawei Li, Haoli Wang, Deli Zhuge, Xin Guo, Huazi Xu, Salazar Jones, Xiaokun Li, Xiaofeng Jia, Jian Xiao","Novel multi-drug delivery hydrogel using scar-homing liposomes improves spinal cord injury repair.",2018,"Theranostics",NA,NA,NA,7,"2021-01-18 11:40:20","Journal Article","10.7150/thno.26717","1838-7640",NA,8,16,4429,4446,0,0,0,14,3,"Proper selection and effective delivery of combination drugs targeting multiple pathophysiological pathways key to spinal cord injury (SCI) hold promise to address the thus far scarce clinical therapeutics for improving recovery after SCI. In this study, we aim to develop a clinically feasible way for targeted delivery of multiple drugs with different physiochemical properties to the SCI site, detail the underlying mechanism of neural recovery, and detect any synergistic effect related to combination therapy. Methods: Liposomes (LIP) modified with a scar-targeted tetrapeptide (cysteine-alanine-glutamine-lysine, CAQK) were first constructed to simultaneously encapsulate docetaxel (DTX) and brain-derived neurotrophic factor (BDNF) and then were further added into a thermosensitive heparin-modified poloxamer hydrogel (HP) with affinity-bound acidic fibroblast growth factor (aFGF-HP) for local administration into the SCI site (CAQK-LIP-GFs/DTX@HP) in a rat model. In vivo fluorescence imaging was used to examine the specificity of CAQK-LIP-GFs/DTX binding to the injured site. Multiple comprehensive evaluations including biotin dextran amine anterograde tracing and magnetic resonance imaging were used to detect any synergistic effects and the underlying mechanisms of CAQK-LIP-GFs/DTX@HP both in vivo (rat SCI model) and in vitro (primary neuron). Results: The multiple drugs were effectively delivered to the injured site. The combined application of GFs and DTX supported neuro-regeneration by improving neuronal survival and plasticity, rendering a more permissive extracellular matrix environment with improved regeneration potential. In addition, our combination therapy promoted axonal regeneration via moderation of microtubule function and mitochondrial transport along the regenerating axon. Conclusion: This novel multifunctional therapeutic strategy with a scar-homing delivery system may offer promising translational prospects for the clinical treatment of SCI.","polyethylene_glycol"
"8",0,"Ashley E Mohrman, Mahmoud Farrag, Rachel K Grimm, Nic D Leipzig","Evaluation of in situ gelling chitosan-PEG copolymer for use in the spinal cord.",2018,"Journal of biomaterials applications",NA,NA,NA,8,"2021-01-18 11:40:20","Journal Article","10.1177/0885328218792824","1530-8022",NA,33,3,435,446,0,0,0,4,3,"The goal of the present work was to characterize a hydrogel material for localized spinal cord delivery. To address spinal cord injuries, an injectable in situ gelling system was tested utilizing a simple, effective, and rapid cross-linking method via Michael addition. Thiolated chitosan material and maleimide-terminated polyethylene glycol material were mixed to form a hydrogel and evaluated in vitro and in vivo. Three distinct thiolated chitosan precursors were made by varying reaction conditions; a modification of chitosan with Traut's reagent (2-iminothiolane) displayed the most attractive hydrogel properties once mixed with polyethylene glycol. The final hydrogel chosen for animal testing had a swelling ratio (Q) of 57.5 ± 3.4 and elastic modulus of 378 ± 72 Pa. After confirming low cellular toxicity in vitro, the hydrogel was injected into the spinal cord of rats for 1 and 2 weeks to assess host reaction. The rats displayed no overt functional deficits due to injection following initial surgical recovery and throughout the 2-week period after for both the saline-injected sham group and hydrogel-injected group. The saline and hydrogel-injected animals both showed a similar response from ED1+ microglia and GFAP overexpression. No significant differences were found between saline-injected and hydrogel-injected groups for any of the measures studied, but there was a trend toward decreased affected area size from 1 to 2 weeks in both groups. Access to the central nervous system is limited by the blood-brain barrier for noninvasive therapies; further development of the current system for localized drug or cellular delivery has the potential to shape treatments of spinal cord injury.","polyethylene_glycol"
"9",0,"Shenglian Yao, Shukui Yu, Zheng Cao, Yongdong Yang, Xing Yu, Hai-Quan Mao, Lu-Ning Wang, Xiaodan Sun, Lingyun Zhao, Xiumei Wang","Hierarchically aligned fibrin nanofiber hydrogel accelerated axonal regrowth and locomotor function recovery in rat spinal cord injury.",2018,"International journal of nanomedicine",NA,NA,NA,9,"2021-01-18 11:40:20","Journal Article","10.2147/IJN.S159356","1178-2013",NA,13,NA,2883,2895,0,0,0,10,3,"Designing novel biomaterials that incorporate or mimic the functions of extracellular matrix to deliver precise regulatory signals for tissue regeneration is the focus of current intensive research efforts in tissue engineering and regenerative medicine. To mimic the natural environment of the spinal cord tissue, a three-dimensional hierarchically aligned fibrin hydrogel (AFG) with oriented topography and soft stiffness has been fabricated by electrospinning and a concurrent molecular self-assembling process. In this study, the AFG was implanted into a rat dorsal hemisected spinal cord injury model to bridge the lesion site. Host cells invaded promptly along the aligned fibrin hydrogels to form aligned tissue cables in the first week, and then were followed by axonal regrowth. At 4 weeks after the surgery, neurofilament (NF)-positive staining fibers were detected near the rostral end as well as the middle site of defect, which aligned along the tissue cables. Abundant NF- and GAP-43-positive staining indicated new axon regrowth in the oriented tissue cables, which penetrated throughout the lesion site in 8 weeks. Additionally, the abundant blood vessels marked with RECA-1 had reconstructed within the lesion site at 4 weeks after surgery. Basso-Beattie-Bresnahan scoring showed that the locomotor performance of the AFG group recovered much faster than that of blank control group or the random fibrin hydrogel (RFG) group from 2 weeks after surgery. Furthermore, diffusion tensor imaging tractography of MRI confirmed the optimal axon fiber reconstruction compared with the RFG and control groups. Taken together, our results suggested that the AFG scaffold provided an inductive matrix for accelerating directional host cell invasion, vascular system reconstruction, and axonal regrowth, which could promote and support extensive aligned axonal regrowth and locomotor function recovery.","polyethylene_glycol"
"10",0,"Nandadevi Patil, Vincent Truong, Mackenzie H Holmberg, Nicolas S Lavoie, Mark R McCoy, James R Dutton, Eric G Holmberg, Ann M Parr","Safety and Efficacy of Rose Bengal Derivatives for Glial Scar Ablation in Chronic Spinal Cord Injury.",2018,"Journal of neurotrauma",NA,NA,NA,10,"2021-01-18 11:40:20","Journal Article","10.1089/neu.2017.5398","1557-9042",NA,35,15,1745,1754,0,0,0,8,3,"There are no effective therapies available currently to ameliorate loss of function for patients with spinal cord injuries (SCIs). In addition, proposed treatments that demonstrated functional recovery in animal models of acute SCI have failed almost invariably when applied to chronic injury models. Glial scar formation in chronic injury is a likely contributor to limitation on regeneration. We have removed existing scar tissue in chronically contused rat spinal cord using a rose Bengal-based photo ablation approach. In this study, we compared two chemically modified rose bengal derivatives to unmodified rose bengal, both confirming and expanding on our previously published report. Rats were treated with unmodified rose bengal (RB1) or rose bengal modified with hydrocarbon (RB2) or polyethylene glycol (RB3), to determine the effects on scar components and spared tissue post-treatment. Our results showed that RB1 was more efficacious than RB2, while still maintaining minimal collateral effects on spared tissue. RB3 was not taken up by the cells, likely because of its size, and therefore had no effect. Treatment with RB1 also resulted in an increase in serotonin eight days post-treatment in chronically injured spinal cords. Thus, we suggest that unmodified rose Bengal is a potent candidate agent for the development of a therapeutic strategy for scar ablation in chronic SCI.","polyethylene_glycol"
