"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",0,"Jonathon Chon Teng Chio, Jian Wang, Vithushan Surendran, Lijun Li, Mohammad-Masoud Zavvarian, Katarzyna Pieczonka, Michael G Fehlings","Delayed administration of high dose human immunoglobulin G enhances recovery after traumatic cervical spinal cord injury by modulation of neuroinflammation and protection of the blood spinal cord barrier.",2021,"Neurobiology of disease",NA,NA,NA,1,"2021-01-15 10:42:17","Journal Article","10.1016/j.nbd.2020.105187","1095-953X",NA,148,NA,105187,NA,0,0,0,7,1,"The neuroinflammatory response plays a major role in the secondary injury cascade after traumatic spinal cord injury (SCI). To date, systemic anti-inflammatory medications such as methylprednisolone sodium succinate (MPSS) have shown promise in SCI. However, systemic immunosuppression can have detrimental side effects. Therefore, immunomodulatory approaches including the use of human immunoglobulin G (hIgG) could represent an attractive alternative. While emerging preclinical data suggests that hIgG is neuroprotective after SCI, the optimal time window of administration and the mechanism of action remain incompletely understood. These knowledge gaps were the focus of this research study. Female adult Wistar rats received a clip compression-contusion SCI at the C7/T1 level of the spinal cord. Injured rats were randomized, in a blinded manner, to receive a single intravenous bolus of hIgG (2 g/kg) or control buffer at 15 minutes (min), 1 hour (h) or 4 h post-SCI. At 24 h and 8 weeks post-SCI, molecular, histological and neurobehavioral analyses were undertaken. At all 3 administration time points, hIgG (2 g/kg) resulted in significantly better short-term and long-term outcomes as compared to control buffer. No significant differences were observed when comparing outcomes between the different time points of administration. At 24 h post-injury, hIgG (2 g/kg) administration enhanced the integrity of the blood spinal cord barrier (BSCB) by increasing expression of tight junction proteins and reducing inflammatory enzyme expression. Improvements in BSCB integrity were associated with reduced immune cell infiltration, lower amounts of albumin and Evans Blue in the injured spinal cord and greater expression of anti-inflammatory cytokines. Furthermore, hIgG (2 g/kg) increased expression of neutrophil chemoattractants in the spleen and sera. After hIgG (2 g/kg) treatment, there were more neutrophils in the spleen and fewer neutrophils in the blood. hIgG also co-localized with endothelial cell ligands that mediate neutrophil extravasation into the injured spinal cord. Importantly, short-term effects of delayed hIgG (2 g/kg) administration were associated with enhanced tissue and neuron preservation, as well as neurobehavioral and sensory recovery at 8 weeks post-SCI. hIgG (2 g/kg) shows promise as a therapeutic approach for SCI. The anti-inflammatory effects mediated by hIgG (2 g/kg) in the injured spinal cord might be explained in twofold. First, hIgG might antagonize neutrophil infiltration into the spinal cord by co-localizing with endothelial cell ligands that mediate various steps in neutrophil extravasation. Second, hIgG could traffic neutrophils towards the spleen by increasing expression of neutrophil chemoattractants in the spleen and sera. Overall, we demonstrate that delayed administration of hIgG (2 g/kg) at 1 and 4-h post-injury enhances short-term and long-term benefits after SCI by modulating local and systemic neuroinflammatory cascades.","sodium"
"2",0,"Xing Li, Dan Luo, Yu Hou, Yonghui Hou, Shudong Chen, Jiheng Zhan, Jiyao Luan, Le Wang, Dingkun Lin","Sodium Tanshinone IIA Silate Exerts Microcirculation Protective Effects against Spinal Cord Injury In Vitro and In Vivo.",2020,"Oxidative medicine and cellular longevity",NA,NA,NA,2,"2021-01-15 10:42:17","Journal Article","10.1155/2020/3949575","1942-0994",NA,2020,NA,3949575,NA,0,0,0,9,1,"Spinal cord microcirculation involves functioning endothelial cells at the blood spinal cord barrier (BSCB) and maintains normal functioning of spinal cord neurons, axons, and glial cells. Protection of both the function and integrity of endothelial cells as well as the prevention of BSCB disruption may be a strong strategy for the treatment of spinal cord injury (SCI) cases. Sodium Tanshinone IIA silate (STS) is used for the treatment of coronary heart disease and improves microcirculation. Whether STS exhibits protective effects for SCI microcirculation is not yet clear. The purpose of this study is to investigate the protective effects of STS on oxygen-glucose deprivation- (OGD-) induced injury of spinal cord endothelial cells (SCMECs) in vitro and to explore effects on BSCB and neurovascular protection in vivo. SCMECs were treated with various concentrations of STS (1 μM, 3 μM, and 10 μM) for 24 h with or without OGD-induction. Cell viability, tube formation, migration, and expression of Notch signaling pathway components were evaluated. Histopathological evaluation (H&E), Nissl staining, BSCB permeability, and the expression levels of von Willebrand Factor (vWF), CD31, NeuN, and Notch signaling pathway components were analyzed. STS was found to improve SCMEC functions and reduce inflammatory mediators after OGD. STS also relieved histopathological damage, increased zonula occludens-1 (ZO-1), inhibited BSCB permeability, rescued microvessels, protected motor neuromas, and improved functional recovery in a SCI model. Moreover, we uncovered that the Notch signaling pathway plays an important role during these processes. These results indicated that STS protects microcirculation in SCI, which may be used as a therapeutic strategy for SCI in the future.","sodium"
"3",0,"Liping Li, Yuanyuan Liu, Xia Zhao, Chao Qi, Yi Zhang, Yingze Zhang, Tengbo Yu","Salvianic Acid A Sodium Promotes the Recovery of Motor Function After Spinal Cord Injury in Rats by Reducing Microglia Inflammation through Regulating MIP2/Vdac1/Ndufa12 Signaling Axis.",2020,"Orthopaedic surgery",NA,NA,NA,3,"2021-01-15 10:42:17","Journal Article","10.1111/os.12808","1757-7861",NA,12,6,1971,1979,0,0,0,7,1,"To clarify the effects on and the mechanism of salvianic acid A sodium (SAAS) in the recovery of motor function after spinal cord injury. In vivo and in vitro experiments were carried out in this research to determine the effects of SAAS on tissue damage, neuron survival, microglia polarization, and inflammation after spinal cord injury (SCI). Differentially expressed genes treated with SAAS were screened by transcriptome sequencing, and the molecular mechanism was investigated simultaneously. The results revealed that SAAS could promote type M2 polarization of microglia and reduce the proportion of type M1. In this way, it reduced the secretion and expression of inflammatory factors. Compared with Lipopolysaccharides(LPS), 345 genes were upregulated and 407 genes were downregulated in the LPS + SAAS treatment group. In the SAAS group, expression levels of Ndufa12, IL-6, TNF-α, and Vdac1 were significantly reduced, while a marked elevation was found in MIP2. In addition, results found in an animal model showed that SAAS could obviously facilitate motor function recovery of mice after spinal cord injury, and it had a good protective effect on spinal cord tissue and neuron cells. As a result, the present study clarified both the protective effect of SAAS on neurons after spinal cord injury and the anti-inflammatory effect of microglia, which is expected to serve as a theoretical basis for clinical treatment.","sodium"
"4",0,"José Ademar Villanova Junior, Letícia Fracaro, Carmen Lúcia Kuniyoshi Rebelatto, Alexandra Justino da Silva, Fabiane Barchiki, Alexandra Cristina Senegaglia, Alejandro Correa Dominguez, Sérgio Adriane Bezerra de Moura, Cláudia Turra Pimpão, Paulo Roberto Slud Brofman, Rosangela Locatelli Dittrich","Recovery of motricity and micturition after transplantation of mesenchymal stem cells in rats subjected to spinal cord injury.",2020,"Neuroscience letters",NA,NA,NA,4,"2021-01-15 10:42:17","Journal Article","10.1016/j.neulet.2020.135134","1872-7972",NA,734,NA,135134,NA,0,0,0,11,1,"The objective was to evaluate the effect of human adipose-derived stem cell (hADSC) infusion on impaired hindlimb function and urinary continence after spinal cord contusion in rats. hADSCs were transplanted into the injured spinal cords of rats 7 and 14 days after injury in two groups (B and C). Group C also received methylprednisolone sodium succinate (MPSS) after 3 h of injury. The control group (group A) did not receive corticoids or stem cells. Voiding and motor performance evaluations were performed daily for 90 days post-transplantation. Cells were labeled with PKH26 or PKH67 for in vitro monitoring. For in vivo screening, the cells were evaluated for bioluminescence. The levels of some cytokines were quantified in different times. Euthanasia was performed 90 days post-transplant. β-tubulin III expression was evaluated in the spinal cord of the animals from all groups. As a result, we observed a recovery of 66.6 % and 61.9 % in urinary continence of animals from groups B and C, respectively. Partial recovery of motor was observed in 23.8 % and 19 % of the animals from groups B and C, respectively. Cells remained viable at the site up to 90 days after transplantation. No significant difference was observed in levels of cytokines and thickness of urinary bladders between groups. A smaller percentage of tissue injury and higher concentrations of neuropils were observed in the spinal cords of the animals from groups B and C than control group. Thus, hADSCs transplantation with or without MPSS, contributed to the improvement in voiding and motor performance of Wistar rats submitted to compressive spinal cord injury.","sodium"
"5",0,"Jacob A Davis, Anne C Bopp, Melissa K Henwood, Rachel E Baine, Carol C Cox, James W Grau","Pharmacological Transection of Brain-Spinal Cord Communication Blocks Pain-Induced Hemorrhage and Locomotor Deficits after Spinal Cord Injury in Rats.",2020,"Journal of neurotrauma",NA,NA,NA,5,"2021-01-15 10:42:17","Journal Article","10.1089/neu.2019.6973","1557-9042",NA,37,15,1729,1739,0,0,0,6,1,"Spinal cord injury (SCI) is often accompanied by additional tissue damage (polytrauma), which engages pain (nociceptive) fibers. Prior research has shown that nociceptive input can increase cell death, expand the area of hemorrhage, and impair long-term recovery. The current study shows that these adverse effects can be blocked by the sodium channel blocker lidocaine applied rostral to a contusion injury. Rats received a lower thoracic (T12) contusion injury, and noxious electrical stimulation (shock) was applied to the tail 24 h later. Immediately before shock treatment, a pharmacological transection was performed by slowly infusing lidocaine at T2. Long-term locomotor recovery was assessed over the next 21 days. Noxious electrical stimulation impaired locomotor recovery, and this effect was blocked by rostral lidocaine. Next, the acute effect of lidocaine was assessed. Tissue was collected 3 h after noxious stimulation, and the extent of hemorrhage was evaluated by assessing hemoglobin content using Western blotting. Nociceptive stimulation increased the extent of hemorrhage. Lidocaine applied at T2 before, but not immediately after, stimulation blocked this effect. A similar pattern of results was observed when lidocaine was applied at the site of injury by means of a lumbar puncture. The results show that a pharmacological transection blocks nociception-induced hemorrhage and exacerbation of locomotor deficits.","sodium"
"6",0,"Bo-Tao Tan, Hui Jiang, Aaron J Moulson, Xiao-Liang Wu, Wen-Chun Wang, Jie Liu, Ward T Plunet, Wolfram Tetzlaff","Neuroprotective effects of a ketogenic diet in combination with exogenous ketone salts following acute spinal cord injury.",2020,"Neural regeneration research",NA,NA,NA,6,"2021-01-15 10:42:17","Journal Article","10.4103/1673-5374.280327","1673-5374",NA,15,10,1912,1919,0,0,0,8,1,"We have previously shown that induction of ketosis by ketogenic diet (KD) conveyed neuroprotection following spinal cord injury in rodent models, however, clinical translation may be limited by the slow raise of ketone levels when applying KD in the acute post-injury period. Thus we investigated the use of exogenous ketone supplementation (ketone sodium, KS) combined with ketogenic diet as a means rapidly inducing a metabolic state of ketosis following spinal cord injury in adult rats. In uninjured rats, ketone levels increased more rapidly than those in rats with KD alone and peaked at higher levels than we previously demonstrated for the KD in models of spinal cord injury. However, ketone levels in KD + KS treated rats with SCI did not exceed the previously observed levels in rats treated with KD alone. We still demonstrated neuroprotective effects of KD + KS treatment that extend our previous neuroprotective observations with KD only. The results showed increased neuronal and axonal sparing in the dorsal corticospinal tract. Also, better performance of forelimb motor abilities were observed on the Montoya staircase (for testing food pellets reaching) at 4 and 6 weeks post-injury and rearing in a cylinder (for testing forelimb usage) at 6 and 8 weeks post-injury. Taken together, the findings of this study add to the growing body of work demonstrating the potential benefits of inducing ketosis following neurotrauma. Ketone salt combined with a ketogenic diet gavage in rats with acute spinal cord injury can rapidly increase ketone body levels in the blood and promote motor function recovery. This study was approved by the Animal Care Committee of the University of British Columbia (protocol No. A14-350) on August 31, 2015.","sodium"
"7",0,"A Filippone, M Lanza, M Campolo, G Casili, I Paterniti, S Cuzzocrea, E Esposito","Protective effect of sodium propionate in Aβ1-42 -induced neurotoxicity and spinal cord trauma.",2020,"Neuropharmacology",NA,NA,NA,7,"2021-01-15 10:42:17","Journal Article","10.1016/j.neuropharm.2020.107977","1873-7064",NA,166,NA,107977,NA,0,0,0,7,1,"Sodium propionate (SP) is one of the main short chain fatty acids (SCFA) that can be produced naturally through host metabolic pathways. SP have been documented and include the reduction of pro-inflammatory mediators in an in vivo model of colitis. The aim of this study is to evaluate the neuroprotective effects of SP in reducing inflammatory process associated to neurological disorders. We performed both in vitro model of Alzheimer's disease, induced by oligomeric Aβ1-42 stimulation, and in in vivo model of spinal cord injury (SCI) in which neuroinflammation plays a crucial role. For in vitro model, the human neuroblastoma SH-SY5Y cell line was first differentiated with retinoic acid (100 μM) for 24 h and then stimulated by oligomeric Aβ1-42 (1 μg/ml) and treated with SP at 0.1- 1-10 μM concentrations for another 24 h. Instead, the in vivo model of SCI was induced by extradural compression of the spinal cord at T6-T8 levels, and animals were treated with SP (10-30-100 mg/kg o.s) 1 and 6 h after SCI. Our results demonstrated that both in in vitro neuroinflammatory model and in vivo model of SCI the treatment with SP significantly reduced NF-κB nuclear translocation and IκBα degradation, as well as decreases COX-2 and iNOS expressions evaluated by Western blot analysis. Moreover, we showed that SP treatment significantly ameliorated histopathology changes and improved motor recovery in a dose-dependent manner. In conclusion, our results demonstrated that SP possesses neuroprotective effects, suggesting it could represent a target for therapeutic intervention in neuroinflammatory disorders.","sodium"
"8",0,"Kyujin Hwang, Kwangsoo Jung, Il-Sun Kim, Miri Kim, Jungho Han, Joohee Lim, Jeong Eun Shin, Jae-Hyung Jang, Kook In Park","Glial Cell Line-derived Neurotrophic Factor-overexpressing Human Neural Stem/Progenitor Cells Enhance Therapeutic Efficiency in Rat with Traumatic Spinal Cord Injury.",2019,"Experimental neurobiology",NA,NA,NA,8,"2021-01-15 10:42:17","Journal Article","10.5607/en.2019.28.6.679","1226-2560",NA,28,6,679,696,0,0,0,9,2,"Spinal cord injury (SCI) causes axonal damage and demyelination, neural cell death, and comprehensive tissue loss, resulting in devastating neurological dysfunction. Neural stem/progenitor cell (NSPCs) transplantation provides therapeutic benefits for neural repair in SCI, and glial cell linederived neurotrophic factor (GDNF) has been uncovered to have capability of stimulating axonal regeneration and remyelination after SCI. In this study, to evaluate whether GDNF would augment therapeutic effects of NSPCs for SCI, GDNF-encoding or mock adenoviral vector-transduced human NSPCs (GDNF-or Mock-hNSPCs) were transplanted into the injured thoracic spinal cords of rats at 7 days after SCI. Grafted GDNFhNSPCs showed robust engraftment, long-term survival, an extensive distribution, and increased differentiation into neurons and oligodendroglial cells. Compared with Mock-hNSPC- and vehicle-injected groups, transplantation of GDNF-hNSPCs significantly reduced lesion volume and glial scar formation, promoted neurite outgrowth, axonal regeneration and myelination, increased Schwann cell migration that contributed to the myelin repair, and improved locomotor recovery. In addition, tract tracing demonstrated that transplantation of GDNF-hNSPCs reduced significantly axonal dieback of the dorsal corticospinal tract (dCST), and increased the levels of dCST collaterals, propriospinal neurons (PSNs), and contacts between dCST collaterals and PSNs in the cervical enlargement over that of the controls. Finally grafted GDNF-hNSPCs substantially reversed the increased expression of voltage-gated sodium channels and neuropeptide Y, and elevated expression of GABA in the injured spinal cord, which are involved in the attenuation of neuropathic pain after SCI. These findings suggest that implantation of GDNF-hNSPCs enhances therapeutic efficiency of hNSPCs-based cell therapy for SCI.","sodium"
"9",0,"Shavonne Teng, Alicia Palmieri, Isabella Maita, Cynthia Zheng, Gitanjali Das, Juyeon Park, Renping Zhou, Janet Alder, Smita Thakker-Varia","Inhibition of EphA/Ephrin-A signaling using genetic and pharmacologic approaches improves recovery following traumatic brain injury in mice.",2019,"Brain injury",NA,NA,NA,9,"2021-01-15 10:42:17","Journal Article","10.1080/02699052.2019.1641622","1362-301X",NA,33,10,1385,1401,0,0,0,9,2,"Primary Objective: Eph/Ephrin signaling is inhibitory for developing axons and blocking Eph pathways enhances regeneration after spinal cord injury. It was hypothesized that inhibition of Eph signaling promotes cellular and behavioral recovery after traumatic brain injury (TBI). Research design: Lateral fluid percussion (LFP) injury was performed on wildtype (WT) and EphA6 knockout (KO) mice. EphA6-Fc, Ephrin-A5-Fc fusion proteins, and sodium orthovanadate were used to alter the signaling pathway. Immunohistochemistry and tissue explants revealed cellular changes. Rotarod tests demonstrated vestibulomotor function. Outcomes: The EphA6 receptor expression is upregulated following LFP. Uninjured EphA6 KO mice exhibit greater neurite density and clustered Ephrin-A5-Fc causes growth cone collapse in vitro. After LFP, EphA6 KO mice demonstrate longer neurites and decreased neuronal cell death and astrocytosis compared to WT mice. Blocking EphA signaling by soluble EphA6-Fc fusion protein reduces cell death and improves motor function following LFP whereas clustered Ephrin-A5-Fc exacerbates cell death and neurodegeneration. Sodium orthovanadate rescues growth cone collapse in vitro as well as cell death and neurodegeneration in vivo. Conclusions: Eph/Ephrin signaling plays an inhibitory role following TBI. Targeting the Eph signaling pathway with Fc fusion proteins and pharmacological agents can be a novel strategy to counter the damaging effects of TBI. Abbreviations: LFP: lateral fluid percussion; TBI: traumatic brain injury; KO: knockout; WT: wildtype; PTP2: protein phosphotyrosine phosphatase 2; Tg: transgenic; YFP: yellow fluorescent protein; ATM: atmospheres; RT-qPCR: Real-time-quantitative PCR; dpi: days post injury; GAPDH: glyceraldehyde-3-phosphate dehydrogenase; DAPI: 4',6-diamidino-2-phenylindole; PBS: phosphate buffered saline; GFAP: glial fibrillary acidic protein; FLJC: fluorojade C; CA: cornu ammonis; SEM: standard error of the mean; ANOVA: analysis of variance; PLSD: posthoc least significant difference.","sodium"
"10",0,"Freda M Warner, Catherine R Jutzeler, Jacquelyn J Cragg, Bobo Tong, Lukas Grassner, Frank Bradke, Fred Geisler, John K Kramer","The Effect of Non-Gabapentinoid Anticonvulsants on Sensorimotor Recovery After Human Spinal Cord Injury.",2019,"CNS drugs",NA,NA,NA,10,"2021-01-15 10:42:17","Journal Article","10.1007/s40263-019-00622-6","1179-1934",NA,33,5,503,511,0,0,0,8,2,"Recent observational studies have shown an association between gabapentinoid anticonvulsants and greater motor recovery after spinal cord injury. There is preclinical evidence to suggest that other anticonvulsants, such as sodium channel blockers, may also confer beneficial effects. The aim of the current study was to determine if non-gabapentinoid anticonvulsants were associated with neurological recovery after acute, traumatic spinal cord injury. This was an observational cohort study using data from the Sygen clinical trial. The primary outcome was total motor score recovery in the first year after injury. Anticonvulsant use was extracted from concomitant medication records; individuals were classified based on early administration (within 30 days of injury), or late/no administration. Motor recovery was compared using linear mixed effects regression models with a drug-by-time interaction, and adjustment for confounders. A secondary analysis incorporated a propensity score matched cohort. Of the cohort (n = 570), 6% received anticonvulsants (carbamazepine, phenytoin, clonazepam, phenobarbital, and valproic acid) early after injury. After adjustments for initial injury level and severity, early exposure to non-gabapentinoid anticonvulsants was not associated with motor neurological outcomes (p = 0.38 for all anticonvulsants, p = 0.83 for sodium channel blockers, p = 0.82 in propensity-matched cohort). Non-gabapentinoid anticonvulsant exposure was not associated with greater or lesser neurological recovery. This suggests that these medications, as administered for the acute management of spinal cord injury, do not impact long-term neurological outcomes.","sodium"
