"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",0,"Dimin Wang, Kai Wang, Zhenlei Liu, Zonglin Wang, Hao Wu","Valproic Acid Labeled Chitosan Nanoparticles Promote the Proliferation and Differentiation of Neural Stem Cells After Spinal Cord Injury.",2020,"Neurotoxicity research",NA,NA,NA,1,"2021-01-12 12:06:49","Journal Article","10.1007/s12640-020-00304-y","1476-3524",NA,NA,NA,NA,NA,0,0,0,5,1,"Chitosan nanoparticles and valproic acid are demonstrated as the protective agents in the treatment of spinal cord injury (SCI). However, the effects of valproic acid-labeled chitosan nanoparticles (VA-CN) on endogenous spinal cord neural stem cells (NSCs) following SCI and the underlying mechanisms involved remain to be elucidated. In this study, the VA-CN was constructed and the effects of VA-CN on NSCs were assessed in a rat model of SCI. We found VA-CN treatment promoted recovery of the tissue and locomotive function following SCI. Moreover, administration of VA-CN significantly enhanced neural stem cell proliferation and the expression levels of neurotrophic factors following SCI. Furthermore, administration of VA-CN led to a decrease in the number of microglia following SCI. In addition, VA-CN treatment significantly increased the Tuj 1- positive cells in the spinal cord of the SCI rats, suggesting that VA-CN could enhance the differentiation of NSCs following SCI. In conclusion, these results demonstrated that VA-CN could improve the functional and histological recovery through promoting the proliferation and differentiation of NSCs following SCI, which would provide a newly potential therapeutic manner for the treatment of SCI.","valproic_acid"
"2",0,"Sven Hendrix, Selien Sanchez, Elissia Ventriglia, Stefanie Lemmens","HDAC8 Inhibition Reduces Lesional Iba-1+ Cell Infiltration after Spinal Cord Injury without Effects on Functional Recovery.",2020,"International journal of molecular sciences",NA,NA,NA,2,"2021-01-12 12:06:49","Journal Article","10.3390/ijms21124539","1422-0067",NA,21,12,NA,NA,0,0,0,4,1,"Pan-histone deacetylase (HDAC) inhibition with valproic acid (VPA) has beneficial effects after spinal cord injury (SCI), although with side effects. We focused on specific HDAC8 inhibition, because it is known to reduce anti-inflammatory mediators produced by macrophages (Mφ). We hypothesized that HDAC8 inhibition improves functional recovery after SCI by reducing pro-inflammatory classically activated Mφ. Specific HDAC8 inhibition with PCI-34051 reduced the numbers of perilesional Mφ as measured by histological analyses, but did not improve functional recovery (Basso Mouse Scale). We could not reproduce the published improvement of functional recovery described in contusion SCI models using VPA in our T-cut hemisection SCI model. The presence of spared fibers might be the underlying reason for the conflicting data in different SCI models.","valproic_acid"
"3",0,"Dimin Wang, Kai Wang, Zhenlei Liu, Zonglin Wang, Hao Wu","Valproic acid-labeled chitosan nanoparticles promote recovery of neuronal injury after spinal cord injury.",2020,"Aging",NA,NA,NA,3,"2021-01-12 12:06:49","Journal Article","10.18632/aging.103125","1945-4589",NA,12,10,8953,8967,0,0,0,5,1,"Chitosan nanoparticles have been recognized as a new type of biomaterials for treatment of spinal cord injury (SCI). To develop a novel treatment method targeted delivery injured spinal cord, valproic acid labeled chitosan nanoparticles (VA-CN) were constructed and evaluated in the treatment of SCI. Our results demonstrated that administration of VA-CN significantly promoted the recovery of the function and tissue repair after SCI. Moreover, we found treatment of VA-CN inhibited the reactive astrocytes after SCI. Furthermore, administration of VA-CN enhanced immunoreactions of neuronal related marker NF160, which suggested that VA-CN could promote the neuroprotective function in rats of SCI. The production of IL-1β, IL-6 and TNF-α were significantly decreased following treatment of VA-CN. Meanwhile, administration of VA-CN effectively improved the blood spinal cord barrier (BSCB) disruption after SCI. Administration of VA-CN could enhance the recovery of neuronal injury, suppress the reactive astrocytes and inflammation, and improve the blood spinal cord barrier disruption after SCI in rats. These results provided a novel and promising therapeutic manner for SCI.","valproic_acid"
"4",0,"K P Reis, L E Sperling, C Teixeira, L Sommer, M Colombo, L S Koester, P Pranke","VPA/PLGA microfibers produced by coaxial electrospinning for the treatment of central nervous system injury.",2020,"Brazilian journal of medical and biological research = Revista brasileira de pesquisas medicas e biologicas",NA,NA,NA,4,"2021-01-12 12:06:49","Journal Article","10.1590/1414-431X20208993","1414-431X",NA,53,4,NA,NA,0,0,0,7,1,"The central nervous system shows limited regenerative capacity after injury. Spinal cord injury (SCI) is a devastating traumatic injury resulting in loss of sensory, motor, and autonomic function distal from the level of injury. An appropriate combination of biomaterials and bioactive substances is currently thought to be a promising approach to treat this condition. Systemic administration of valproic acid (VPA) has been previously shown to promote functional recovery in animal models of SCI. In this study, VPA was encapsulated in poly(lactic-co-glycolic acid) (PLGA) microfibers by the coaxial electrospinning technique. Fibers showed continuous and cylindrical morphology, randomly oriented fibers, and compatible morphological and mechanical characteristics for application in SCI. Drug-release analysis indicated a rapid release of VPA during the first day of the in vitro test. The coaxial fibers containing VPA supported adhesion, viability, and proliferation of PC12 cells. In addition, the VPA/PLGA microfibers induced the reduction of PC12 cell viability, as has already been described in the literature. The biomaterials were implanted in rats after SCI. The groups that received the implants did not show increased functional recovery or tissue regeneration compared to the control. These results indicated the cytocompatibility of the VPA/PLGA core-shell microfibers and that it may be a promising approach to treat SCI when combined with other strategies.","valproic_acid"
"5",0,"Freda M Warner, Catherine R Jutzeler, Jacquelyn J Cragg, Bobo Tong, Lukas Grassner, Frank Bradke, Fred Geisler, John K Kramer","The Effect of Non-Gabapentinoid Anticonvulsants on Sensorimotor Recovery After Human Spinal Cord Injury.",2019,"CNS drugs",NA,NA,NA,5,"2021-01-12 12:06:49","Journal Article","10.1007/s40263-019-00622-6","1179-1934",NA,33,5,503,511,0,0,0,8,2,"Recent observational studies have shown an association between gabapentinoid anticonvulsants and greater motor recovery after spinal cord injury. There is preclinical evidence to suggest that other anticonvulsants, such as sodium channel blockers, may also confer beneficial effects. The aim of the current study was to determine if non-gabapentinoid anticonvulsants were associated with neurological recovery after acute, traumatic spinal cord injury. This was an observational cohort study using data from the Sygen clinical trial. The primary outcome was total motor score recovery in the first year after injury. Anticonvulsant use was extracted from concomitant medication records; individuals were classified based on early administration (within 30 days of injury), or late/no administration. Motor recovery was compared using linear mixed effects regression models with a drug-by-time interaction, and adjustment for confounders. A secondary analysis incorporated a propensity score matched cohort. Of the cohort (n = 570), 6% received anticonvulsants (carbamazepine, phenytoin, clonazepam, phenobarbital, and valproic acid) early after injury. After adjustments for initial injury level and severity, early exposure to non-gabapentinoid anticonvulsants was not associated with motor neurological outcomes (p = 0.38 for all anticonvulsants, p = 0.83 for sodium channel blockers, p = 0.82 in propensity-matched cohort). Non-gabapentinoid anticonvulsant exposure was not associated with greater or lesser neurological recovery. This suggests that these medications, as administered for the acute management of spinal cord injury, do not impact long-term neurological outcomes.","valproic_acid"
"6",0,"Sareh Pandamooz, Mohammad S Salehi, Mohammad I Zibaii, Abolhassan Ahmadiani, Mohammad Nabiuni, Leila Dargahi","Epidermal neural crest stem cell-derived glia enhance neurotrophic elements in an ex vivo model of spinal cord injury.",2018,"Journal of cellular biochemistry",NA,NA,NA,6,"2021-01-12 12:06:49","Journal Article","10.1002/jcb.26520","1097-4644",NA,119,4,3486,3496,0,0,0,6,3,"Growing evidence that cell-based therapies can improve recovery outcome in spinal cord injury (SCI) models substantiates their application for treatment of human with SCI. To address the effectiveness of these stem cells, potential candidates should be evaluated in proper SCI platform that allows direct real-time monitoring. In this study, the role of epidermal neural crest stem cells (EPI-NCSCs) was elucidated in an ex vivo model of SCI, and valproic acid (VPA) was administered to ameliorate the inhospitable context of injury for grafted EPI-NCSCs. Here the contusion was induced in organotypic spinal cord slice culture at day seven in vitro using a weight drop device and one hour post injury the GFP- expressing EPI-NCSCs were grafted followed by VPA administration. The evaluation of treated slices seven days after injury revealed that grafted stem cells survived on the injured slices and expressed GFAP, whereas they did not express any detectable levels of the neural progenitor marker doublecortin (DCX), which was expressed prior to transplantation. Immunoblotting data demonstrated that the expression of GFAP, BDNF, neurotrophin-3 (NT3), and Bcl2 increased significantly in stem cell treated slices. This study illustrated that the fate of transplanted stem cells has been directed to the glial lineage in the ex vivo context of injury and EPI-NCSCs may ameliorate the SCI condition through releasing neurotrophic factors directly and/or via inducing resident spinal cord cells.","valproic_acid"
"7",0,"Qing-Jie Kong, Yuan Wang, Yang Liu, Jing-Chuan Sun, Xi-Ming Xu, Xiao-Fei Sun, Jian-Gang Shi","Neuroprotective Effects of Valproic Acid in a Rat Model of Cauda Equina Injury.",2017,"World neurosurgery",NA,NA,NA,7,"2021-01-12 12:06:49","Journal Article","10.1016/j.wneu.2017.08.150","1878-8769",NA,108,NA,128,136,0,0,0,7,4,"Histone deacetylase inhibitors, including valproic acid (VPA), are promising therapeutic interventions in neurological disorders and play an important role in synaptic activity and neuronal function. A total of 30 rats were randomly allocated to 3 groups: sham, control, and VPA. The rats in the VPA and control groups received laminectomy at the L4 level of the vertebrae and silicone gel implantation into the epidural spaces L5 and L6. Rats in the sham group only received laminectomy at the L4 level of vertebrae without any implantation. VPA (300 mg/kg in saline) was administered 2 hours before the surgery. After the surgery, the VPA group received further VPA injections at 300 mg/kg twice a day for 1 week. The same volume of saline was injected in the control group. Neurobehavioral tests using the Basso, Beattie, Bresnahan scale and the oblique board test were performed for 1 week starting at 2 hours before surgery up to day 7 after surgery. At day 7 after surgery, tissues from the compressed cauda equina (L5-L6) were subjected to hematoxylin and eosin, luxol fast blue, or immunofluorescence staining, whereas the terminal deoxynucleotidyl transferase-mediated biotinylated UTP nick-end label assay staining was performed on the tissue from the dorsal root ganglions and the lumbar segment of the spinal cord proximal to the compressed cauda equina (L5-L6). The behavioral results suggested a significant improvement in the lower limb motor function in the VPA group compared with controls (P < 0.05). Furthermore, histologic assessment revealed a significant reduction in nerve fibers showing Wallerian degeneration and demyelinating lesions in the VPA group, in addition to an increased myelination compared with the control group (P < 0.05). The terminal deoxynucleotidyl transferase-mediated biotinylated UTP nick-end label assay staining revealed a significant decrease in the number of apoptotic neurons in the spinal cord anterior horn and dorsal root ganglions in the VPA group compared with controls (P < 0.05). Our data demonstrated that VPA could alleviate cauda equina injury, reduce apoptotic cells, and improve motor recovery, suggesting a neuroprotective effect in acute cauda equina syndrome.","valproic_acid"
"8",0,"Ting Rao, Fei Wu, Danmou Xing, Zhengren Peng, Dong Ren, Wei Feng, Yan Chen, Zhiming Zhao, Huan Wang, Junweng Wang, Wusheng Kan, Qingsong Zhang","Effects of valproic Acid on axonal regeneration and recovery of motor function after peripheral nerve injury in the rat.",2014,"The archives of bone and joint surgery",NA,NA,NA,8,"2021-01-12 12:06:49","Journal Article","","2345-4644",NA,2,1,17,24,0,0,0,12,7,"Valproic acid (VPA) is used to be an effective anti-epileptic drug and mood stabilizer. It has recently been demonstrated that VPA could promote neurite outgrowth, activate the extracellular signal regulated kinase pathway, and increases bcl-2 and growth cone-associated protein 43 levels in spinal cord. In the present research we demonstrate the effect of VPA on peripheral nerve regeneration and recovery of motor function following sciatic nerve transaction in rats. The rats in VPA group and control group were administered with valproic acid (300mg/kg) and sodium chloride respectively after operation. Each animal was observed sciatic nerve index (SFI) at 2-week intervals and studied electrophysiology at 4-week intervals for 12 weeks. Histological and morphometrical analyses were performed 12 weeks after operation. Using the digital image-analysis system, thickness of the myelin sheath was measured, and total numbers of regenerated axons were counted. There was a significant difference in SFI, electrophysiological index (motor-nerve conduct velocity), and morphometrical results (regenerated axon number and thickness of myelin sheath) in nerve regeneration between the VPA group and controls (P<0.05). The results demonstrated that VPA is able to enhance sciatic nerve regeneration in rats, suggesting the potential clinical application of VPA for the treatment of peripheral nerve injury in humans.","valproic_acid"
"9",0,"Marzieh Darvishi, Taki Tiraihi, Seyed A Mesbah-Namin, AliReza Delshad, Taher Taheri","Decreased GFAP expression and improved functional recovery in contused spinal cord of rats following valproic acid therapy.",2014,"Neurochemical research",NA,NA,NA,9,"2021-01-12 12:06:49","Journal Article","10.1007/s11064-014-1429-5","1573-6903",NA,39,12,2319,2333,0,0,0,5,7,"Many studies have illustrated that much of the post-traumatic degeneration of the spinal cord cells is caused by the secondary mechanism. The aim of this study is to evaluate the effect of the anti-inflammatory property of valproic acid (VPA) on injured spinal cords (SC). The rats with the contused SC received intraperitoneal single injection of VPA (150, 200, 300, 400 or 500 mg/kg) at 2, 6, 12 and 24 h post-injury. Basso-Beattie-Bresnahan (BBB) test and H-reflex evaluated the functional outcome for 12 weeks. The SC were investigated 3 months post-injury using morphometry and glial fibrillary acid protein (GFAP) expression. Reduction in cavitation, H/M ratio, BBB scores and GFAP expression in the treatment groups were significantly more than that of the untreated one (P < 0.05). The optimal improvement in the condition of the contused rats was in the ones treated at the acute phase of injury with 300 mg/kg of VPA at 12 h post-injury, they had the highest increase in BBB score and decrease in astrogliosis and axonal loss. We conclude that treating the contused rats with 300 mg/kg of VPA at 12 h post-injury improves the functional outcome and reduces the traumatized SC gliosis.","valproic_acid"
"10",0,"Takao Ogawa, Kumiko Takezawa, Shino Shimizu, Takeshi Shimizu","Valproic acid promotes neural regeneration of olfactory epithelium in adult mice after methimazole-induced damage.",2014,"American journal of rhinology & allergy",NA,NA,NA,10,"2021-01-12 12:06:49","Journal Article","10.2500/ajra.2014.28.4027","1945-8932",NA,28,2,NA,NA,0,0,0,4,7,"Recent experiments have revealed that valproic acid (VPA), a histone deacetylase inhibitor, has neuroregenerative effects in rodent models of spinal cord and optic nerve injury. VPA has a potential to provide a new therapeutic strategy for sensorineural olfactory dysfunction. To elucidate the effects of VPA on regeneration of olfactory sensory neurons, we examined the in vivo effects of oral VPA administration on recovery from methimazole-induced degeneration of olfactory neuroepithelium in mice. Male ICR mice (10 weeks old) were intraperitoneally injected with methimazole (75 mg/kg), an olfactory toxic reagent, to induce degenerative changes in the olfactory neuroepithelium. The effects of daily VPA administration on recovery from methimazole-induced changes were examined histologically. Oral VPA administration dose dependently enhanced increases in epithelial thickness and number of olfactory marker protein (OMP) positive cells in the olfactory epithelium during recovery from methimazole-induced degeneration. VPA also enhanced early increases in the number of Ki-67(+) and growth-associated protein-43(+) cells during the regeneration of olfactory neuroepithelium. VPA administration promotes regeneration of olfactory sensory neurons in damaged neuroepithelium by stimulating the proliferation and differentiation of olfactory precursor cells. VPA has been used for several decades to safely treat neurological disorders. VPA may provide a new therapeutic strategy for the treatment of olfactory dysfunction caused by degeneration of the olfactory neuroepithelium.","valproic_acid"
