Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"Jiping Nie, Jian Chen, Jianguo Yang, Qinqin Pei, Jing Li, Jia Liu, Lixin Xu, Nan Li, Youhao Chen, Xiaohua Chen, Hao Luo, Tiansheng Sun","Inhibition of mammalian target of rapamycin complex 1 signaling by n-3 polyunsaturated fatty acids promotes locomotor recovery after spinal cord injury.",2018,"Molecular medicine reports","","","",1,"2021-01-18 10:51:55","Journal Article","10.3892/mmr.2018.8583","1791-3004","",17,4,5894,5902,0,0.00,0,12,3,"The present study aimed to explore the effects of n‑3 polyunsaturated fatty acids (PUFAs) on autophagy and their potential for promoting locomotor recovery after spinal cord injury (SCI). Primary neurons were isolated and cultured. Sprague‑Dawley rats were randomly divided into three groups and fed diets with different amounts of n‑3 PUFAs. A model of spinal cord contusion was created at the T10 spinal segment and the composition of PUFAs was analyzed using gas chromatography. Spinal repair and motor function were evaluated postoperatively. Assessment of the effects of n‑3 PUFAs on autophagy and mammalian target of rapamycin complex 1 (mTORC1) was performed using immunofluorescence staining and western blotting. In vitro, n‑3 PUFAs inhibited mTORC1 and enhanced autophagy. The n‑3 PUFA levels and the ratio of n‑3 PUFA to n‑6 PUFA in the spinal cord and serum of rats fed a high‑n‑3 PUFA diet were higher before and after operation (P<0.05). Additionally, rats in the high‑n‑3 PUFA group showed improved motor function recovery, spinal cord repair‑related protein expression level (MBP, Galc and GFAP). Expression levels if these protiens in the high‑n‑3 PUFA diet group expressed the highest levels, followed by the low‑n‑3 PUFA diet group and finally the control group (P<0.05). high‑n‑3 PUFA diet promoted autophagy ability and inhibited activity of the mTORC1 signaling pathway compared with the low‑n‑3 PUFA diet group or the control group (P<0.05). These results suggest that exogenous dietary n‑3 PUFAs can inhibit mTORC1 signaling and enhance autophagy, promoting functional recovery of rats with SCI."
0,"Angela Navarrete-Opazo, Pilar Cuitiño, Inés Salas","Effectiveness of dietary supplements in spinal cord injury subjects.",2017,"Disability and health journal","","","",2,"2021-01-18 10:51:55","Journal Article","10.1016/j.dhjo.2016.12.002","1876-7583","",10,2,183,197,0,0.00,0,3,4,"Individuals with spinal cord injury (SCI) consume more dietary supplements than the general population. However, there is limited information regarding the clinical effectiveness of dietary supplements in SCI population. To systematically review the effectiveness of dietary supplements for the prevention or treatment of health-related conditions associated with SCI. Randomized or non-randomized controlled clinical trials were selected, comparing the effect of any dose and form of a dietary supplement (defined by the Dietary Supplement Health and Education Act), with either no treatment, placebo, or other medication. Data Sources included the Cochrane Database, DARE, LILACS, CINAHL, EMBASE, MEDLINE, OTSeeker, PEDro, PsycINFO, SpeechBITE, ScienceDirect, Scopus, clinicaltrials.gov, Google Scholar, and OpenGrey. Two reviewers independently classified articles from January 1970 through October 2015, and 18 articles were selected. Due to the heterogeneity of outcome measures across studies, a meta-analysis was not conducted. However, high-quality evidence showed that cranberry supplementation is not effective for prevention of urinary tract infections (UTIs) in SCI. Moderate-quality evidence supported a beneficial effect of vitamin D, alpha-lipoic acid, and omega-3 supplementation, although replication of results is needed. There were conflicting results for the effect of creatine supplementation on improvement of motor outcomes. Low-quality evidence does not permit assessment of the effectiveness of melatonin, whey protein, vitamin C, and Chinese herb in SCI. There is sufficient data suggesting that cranberry supplementation is ineffective for prevention of UTIs in individuals with SCI. There is insufficient data to support or refute the use of any other dietary supplement in individuals with SCI."
0,"Zhou-Hao Liu, Ping K Yip, John V Priestley, Adina T Michael-Titus","A Single Dose of Docosahexaenoic Acid Increases the Functional Recovery Promoted by Rehabilitation after Cervical Spinal Cord Injury in the Rat.",2017,"Journal of neurotrauma","","","",3,"2021-01-18 10:51:55","Journal Article","10.1089/neu.2016.4556","1557-9042","",34,9,1766,1777,0,0.00,0,4,4,"Task-specific rehabilitation has been shown to promote functional recovery after acute spinal cord injury (SCI). Recently, the omega-3 polyunsaturated fatty acid, docosahexaenoic acid (DHA), has been shown to promote neuroplasticity after SCI. Here, we investigated whether the combination of a single bolus of DHA with rehabilitation can enhance the effect of DHA or rehabilitation therapy in adult injured spinal cord. We found enhanced functional improvement with DHA in combination with rehabilitation compared with either treatment alone in a rat cervical lateral hemisection SCI model. This behavioral improvement correlated with a significant sprouting of uninjured corticospinal and serotonergic fibers. We also observed that the greatest increase in the synaptic vesicle protein, synaptophysin, and the synaptic active zone protein, Bassoon, occurred in animals that received both DHA and rehabilitation. In summary, the functional, anatomical, and synaptic plasticity induced by task-specific rehabilitation can be further enhanced by DHA treatment. This study shows the potential beneficial effects of DHA combined with rehabilitation for the treatment of patients with SCI."
0,"Johnny D Figueroa, Miguel Serrano-Illan, Jenniffer Licero, Kathia Cordero, Jorge D Miranda, Marino De Leon","Fatty Acid Binding Protein 5 Modulates Docosahexaenoic Acid-Induced Recovery in Rats Undergoing Spinal Cord Injury.",2016,"Journal of neurotrauma","","","",4,"2021-01-18 10:51:55","Journal Article","10.1089/neu.2015.4186","1557-9042","",33,15,1436,1449,0,0.00,0,6,5,"Omega-3 polyunsaturated fatty acids (n-3 PUFAs) promote functional recovery in rats undergoing spinal cord injury (SCI). However, the precise molecular mechanism coupling n-3 PUFAs to neurorestorative responses is not well understood. The aim of the present study was to determine the spatiotemporal expression of fatty acid binding protein 5 (FABP5) after contusive SCI and to investigate whether this protein plays a role in n-3 PUFA-mediated functional recovery post-SCI. We found that SCI resulted in a robust spinal cord up-regulation in FABP5 mRNA levels (556 ± 187%) and protein expression (518 ± 195%), when compared to sham-operated rats, at 7 days post-injury (dpi). This upregulation coincided with significant alterations in the metabolism of fatty acids in the injured spinal cord, as revealed by metabolomics-based lipid analyses. In particular, we found increased levels of the n-3 series PUFAs, particularly docosahexaenoic acid (DHA; 22:6 n-3) and eicosapentaenoic acid (EPA; 20:5 n-3) at 7 dpi. Animals consuming a diet rich in DHA and EPA exhibited a significant upregulation in FABP5 mRNA levels at 7 dpi. Immunofluorescence showed low basal FABP5 immunoreactivity in spinal cord ventral gray matter NeuN(+) neurons of sham-operated rats. SCI resulted in a robust induction of FABP5 in glial (GFAP(+), APC(+), and NG2(+)) and precursor cells (DCX(+), nestin(+)). We found that continuous intrathecal administration of FABP5 silencing with small interfering RNA (2 μg) impaired spontaneous open-field locomotion post-SCI. Further, FABP5 siRNA administration hindered the beneficial effects of DHA to ameliorate functional recovery at 7 dpi. Altogether, our findings suggest that FABP5 may be an important player in the promotion of cellular uptake, transport, and/or metabolism of DHA post-SCI. Given the beneficial roles of n-3 PUFAs in ameliorating functional recovery, we propose that FABP5 is an important contributor to basic repair mechanisms in the injured spinal cord."
0,"Zhuo-Hao Liu, Ping K Yip, Louise Adams, Meirion Davies, Jae Won Lee, Gregory J Michael, John V Priestley, Adina T Michael-Titus","A Single Bolus of Docosahexaenoic Acid Promotes Neuroplastic Changes in the Innervation of Spinal Cord Interneurons and Motor Neurons and Improves Functional Recovery after Spinal Cord Injury.",2015,"The Journal of neuroscience : the official journal of the Society for Neuroscience","","","",5,"2021-01-18 10:51:55","Journal Article","10.1523/JNEUROSCI.0605-15.2015","1529-2401","",35,37,12733,12752,0,0.00,0,8,6,"Docosahexaenoic acid (DHA) is an ω-3 polyunsaturated fatty acid that is essential in brain development and has structural and signaling roles. Acute DHA administration is neuroprotective and promotes functional recovery in animal models of adult spinal cord injury (SCI). However, the mechanisms underlying this recovery have not been fully characterized. Here we investigated the effects of an acute intravenous bolus of DHA delivered after SCI and characterized DHA-induced neuroplasticity within the adult injured spinal cord. We found robust sprouting of uninjured corticospinal and serotonergic fibers in a rat cervical hemisection SCI model. A mouse pyramidotomy model was used to confirm that this robust sprouting was not species or injury model specific. Furthermore, we demonstrated that corticospinal fibers sprouting to the denervated side of the cord following pyramidotomy contact V2a interneurons. We also demonstrated increased serotonin fibers and synaptophysin in direct contact with motor neurons. DHA also increased synaptophysin in rat cortical cell cultures. A reduction in phosphatase and tensin homolog (PTEN) has been shown to be involved in axonal regeneration and synaptic plasticity. We showed that DHA significantly upregulates miR-21 and downregulates PTEN in corticospinal neurons. Downregulation of PTEN and upregulation of phosphorylated AKT by DHA were also seen in primary cortical neuron cultures and were accompanied by increased neurite outgrowth. In summary, acute DHA induces anatomical and synaptic plasticity in adult injured spinal cord. This study shows that DHA has therapeutic potential in cervical SCI and provides evidence that DHA could exert its beneficial effects in SCI via enhancement of neuroplasticity. In this study, we show that an acute intravenous injection of docosahexaenoic acid (DHA) 30 min after spinal cord injury induces neuroplasticity. We found robust sprouting of uninjured corticospinal and serotonergic fibers in a rat hemisection spinal cord injury model. A mouse pyramidotomy model was used to confirm that the robust sprouting involved V2a interneurons. We show that DHA significantly upregulates miR-21 and phosphorylated AKT, and downregulates phosphatase and tensin homolog (PTEN), which is involved in suppressing anatomical plasticity, in corticospinal neurons and in primary cortical neuron cultures. We conclude that acute DHA can induce anatomical and synaptic plasticity. This provides direct evidence that DHA could exert its beneficial effects in spinal cord injury via neuroplasticity enhancement."
0,"Irene Paterniti, Daniela Impellizzeri, Rosanna Di Paola, Emanuela Esposito, Stacy Gladman, Ping Yip, John V Priestley, Adina T Michael-Titus, Salvatore Cuzzocrea","Docosahexaenoic acid attenuates the early inflammatory response following spinal cord injury in mice: in-vivo and in-vitro studies.",2014,"Journal of neuroinflammation","","","",6,"2021-01-18 10:51:55","Journal Article","10.1186/1742-2094-11-6","1742-2094","",11,,6,,0,0.00,0,9,7,"Two families of polyunsaturated fatty acid (PUFA), omega-3 (ω-3) and omega-6 (ω-6), are required for physiological functions. The long chain ω-3 PUFAs, eicosapentaenoic acid (EPA) and docosahexaenoic acid (DHA), have significant biological effects. In particular, DHA is a major component of cell membranes in the brain. It is also involved in neurotransmission. Spinal cord injury (SCI) is a highly devastating pathology that can lead to catastrophic dysfunction, with a significant reduction in the quality of life. Previous studies have shown that EPA and DHA can exert neuroprotective effects in SCI in mice and rats. The aim of this study was to analyze the mechanism of action of ω-3 PUFAs, such as DHA, in a mouse model of SCI, with a focus on the early pathophysiological processes. In this study, SCI was induced in mice by the application of an aneurysm clip onto the dura mater via a four-level T5 to T8 laminectomy. Thirty minutes after compression, animals received a tail vein injection of DHA at a dose of 250 nmol/kg. All animals were killed at 24 h after SCI, to evaluate various parameters implicated in the spread of the injury. Our results in this in-vivo study clearly demonstrate that DHA treatment reduces key factors associated with spinal cord trauma. Treatment with DHA significantly reduced: (1) the degree of spinal cord inflammation and tissue injury, (2) pro-inflammatory cytokine expression (TNF-α), (3) nitrotyrosine formation, (4) glial fibrillary acidic protein (GFAP) expression, and (5) apoptosis (Fas-L, Bax, and Bcl-2 expression). Moreover, DHA significantly improved the recovery of limb function.Furthermore, in this study we evaluated the effect of oxidative stress on dorsal root ganglion (DRG) cells using a well-characterized in-vitro model. Treatment with DHA ameliorated the effects of oxidative stress on neurite length and branching. Our results, in vivo and in vitro, clearly demonstrate that DHA treatment reduces the development of inflammation and tissue injury associated with spinal cord trauma."
0,"Adina T Michael-Titus, John V Priestley","Omega-3 fatty acids and traumatic neurological injury: from neuroprotection to neuroplasticity?",2014,"Trends in neurosciences","","","",7,"2021-01-18 10:51:55","Journal Article","10.1016/j.tins.2013.10.005","1878-108X","",37,1,30,38,0,0.00,0,2,7,"Omega-3 polyunsaturated fatty acids (PUFAs) are compounds that have a structural role in the nervous system and are essential for neurodevelopment. Results obtained with docosahexaenoic acid and eicosapentaenoic acid show therapeutic potential in neurotrauma. Traumatic brain injury (TBI) and spinal cord injury (SCI) can lead to major disability and have a significant socioeconomic cost. Thus, there is an unmet need for acute neuroprotection and for treatments that promote neuroregeneration. Acute administration of omega-3 PUFAs after injury and dietary exposure before or after injury improve neurological outcomes in experimental SCI and TBI. The mechanisms involved include decreased neuroinflammation and oxidative stress, neurotrophic support, and activation of cell survival pathways. This review raises questions that must be addressed before successful clinical translation."
0,"J D Figueroa, K Cordero, M Serrano-Illan, A Almeyda, K Baldeosingh, F G Almaguel, M De Leon","Metabolomics uncovers dietary omega-3 fatty acid-derived metabolites implicated in anti-nociceptive responses after experimental spinal cord injury.",2013,"Neuroscience","","","",8,"2021-01-18 10:51:55","Journal Article","10.1016/j.neuroscience.2013.09.012","1873-7544","",255,,1,18,0,0.00,0,7,8,"Chronic neuropathic pain is a frequent comorbidity following spinal cord injury (SCI) and often fails to respond to conventional pain management strategies. Preventive administration of docosahexaenoic acid (DHA) or the consumption of a diet rich in omega-3 polyunsaturated fatty acids (O3PUFAs) confers potent prophylaxis against SCI and improves functional recovery. The present study examines whether this novel dietary strategy provides significant antinociceptive benefits in rats experiencing SCI-induced pain. Rats were fed control chow or chow enriched with O3PUFAs for 8weeks before being subjected to sham or cord contusion surgeries, continuing the same diets after surgery for another 8 more weeks. The paw sensitivity to noxious heat was quantified for at least 8weeks post-SCI using the Hargreaves test. We found that SCI rats consuming the preventive O3PUFA-enriched diet exhibited a significant reduction in thermal hyperalgesia compared to those consuming the normal diet. Functional neurometabolomic profiling revealed a distinctive deregulation in the metabolism of endocannabinoids (eCB) and related N-acyl ethanolamines (NAEs) at 8weeks post-SCI. We found that O3PUFAs consumption led to a robust accumulation of novel NAE precursors, including the glycerophospho-containing docosahexaenoyl ethanolamine (DHEA), docosapentaenoyl ethanolamine (DPEA), and eicosapentaenoyl ethanolamine (EPEA). The tissue levels of these metabolites were significantly correlated with the antihyperalgesic phenotype. In addition, rats consuming the O3PUFA-rich diet showed reduced sprouting of nociceptive fibers containing CGRP and dorsal horn neuron p38 mitogen-activated protein kinase (MAPK) expression, well-established biomarkers of pain. The spinal cord levels of inositols were positively correlated with thermal hyperalgesia, supporting their role as biomarkers of chronic neuropathic pain. Notably, the O3PUFA-rich dietary intervention reduced the levels of these metabolites. Collectively, these results demonstrate the prophylactic value of dietary O3PUFA against SCI-mediated chronic pain."
0,"Kajana Satkunendrarajah, Michael G Fehlings","Do omega-3 polyunsaturated fatty acids ameliorate spinal cord injury?: Commentary on: Lim et al., Improved outcome after spinal cord compression injury in mice treated with docosahexaeonic acid. Exp. Neurol. Jan; 239:13-27.",2013,"Experimental neurology","","","",9,"2021-01-18 10:51:55","Journal Article","10.1016/j.expneurol.2013.08.008","1090-2430","",249,,104,110,0,0.00,0,2,8,"Long chain polyunsaturated fatty acid, docosahexaenoic acid (DHA) treatment is emerging as a potential treatment for spinal cord injury. Spinal cord injury, which mainly affects young adults, leads to devastating consequences for the afflicted person with very few treatment options available. In addition to the initial neuronal and glial cell loss, secondary injuries such as excitotoxicity, oxidative stress and inflammation magnify the initial damage. Current strategies involve surgical stabilization and decompression and post-injury rehabilitation but these result in only limited improvements. Therefore, there is still a need for pharmacological interventions to limit the secondary injury processes and improve functional recovery. Research in the past decade has implicated n-3 polyunsaturated fatty acids (PUFAs) as a neuroprotective agent capable of limiting post-injury excitotoxic events. This commentary examines the recent findings suggesting a neuroprotective and anti-inflammatory role for the PUFA, docosahexaenoic acid (DHA), in a mouse model of SCI. These findings on DHA are addressed in relation to previous data on DHA and various other promising treatment options being investigated for SCI. Finally, the research involved in the translation of DHA therapy for SCI patients is explored."
0,"Johnny D Figueroa, Kathia Cordero, Miguel S Llán, Marino De Leon","Dietary omega-3 polyunsaturated fatty acids improve the neurolipidome and restore the DHA status while promoting functional recovery after experimental spinal cord injury.",2013,"Journal of neurotrauma","","","",10,"2021-01-18 10:51:55","Journal Article","10.1089/neu.2012.2718","1557-9042","",30,10,853,868,0,0.00,0,4,8,"Omega-3 polyunsaturated fatty acids (ω-3 PUFAs) confer multiple health benefits and decrease the risk of neurological disorders. Studies are needed, however, to identify promising cellular targets and to assess their prophylactic value against neurodegeneration. The present study (1) examined the efficacy of a preventive diet enriched with ω-3 PUFAs to reduce dysfunction in a well-established spinal cord injury (SCI) animal model and (2) used a novel metabolomics data analysis to identify potential neurolipidomic targets. Rats were fed with either control chow or chow enriched with ω-3 PUFAs (750 mg/kg/day) for 8 weeks before being subjected to a sham or a contusion SCI operation. We report new evidence showing that rats subjected to SCI after being pre-treated with a diet enriched with ω-3 PUFAs exhibit significantly better functional outcomes. Pre-treated animals exhibited lower sensory deficits, autonomic bladder recovery, and early improvements in locomotion that persisted for at least 8 weeks after trauma. We found that SCI triggers a robust alteration in the cord PUFA neurolipidome, which was characterized by a marked docosahexaenoic acid (DHA) deficiency. This DHA deficiency was associated with dysfunction and corrected with the ω-3 PUFA-enriched diet. Multivariate data analyses revealed that the spinal cord of animals consuming the ω-3 PUFA-enriched diet had a fundamentally distinct neurolipidome, particularly increasing the levels of essential and long chain ω-3 fatty acids and lysolipids at the expense of ω-6 fatty acids and its metabolites. Altogether, dietary ω-3 PUFAs prophylaxis confers resiliency to SCI mediated, at least in part, by generating a neuroprotective and restorative neurolipidome."
