Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"Nanxiang Wang, Yang Yang, Mao Pang, Cong Du, Yuyong Chen, Simin Li, Zhenming Tian, Feng Feng, Yang Wang, Zhenxiang Chen, Bin Liu, Limin Rong","MicroRNA-135a-5p Promotes the Functional Recovery of Spinal Cord Injury by Targeting SP1 and ROCK.",2020,"Molecular therapy. Nucleic acids","","","",1,"2021-01-18 11:26:34","Journal Article","10.1016/j.omtn.2020.08.035","2162-2531","",22,,1063,1077,0,0.00,0,12,1,"Emerging evidence indicates that microRNAs play a pivotal role in neural remodeling after spinal cord injury (SCI). This study aimed to investigate the mechanisms of miR-135a-5p in regulating the functional recovery of SCI by impacting its target genes and downstream signaling. The gene transfection assay and luciferase reporter assay confirmed the target relationship between miR-135a-5p and its target genes (specificity protein 1 [SP1] and Rho-associated kinase [ROCK]1/2). By establishing the H2O2-induced injury model, miR-135a-5p transfection was found to inhibit the apoptosis of PC12 cells by downregulating the SP1 gene, which subsequently induced downregulation of pro-apoptotic proteins (Bax, cleaved caspase-3) and upregulation of anti-apoptotic protein Bcl-2. By measuring the neurite lengths of PC12 cells, miR-135a-5p transfection was found to promote axon outgrowth by downregulating the ROCK1/2 gene, which subsequently caused upregulation of phosphate protein kinase B (AKT) and phosphate glycogen synthase kinase 3β (GSK3β). Use of the rat SCI models showed that miR-135a-5p could increase the Basso, Beattie, and Bresnahan (BBB) scores, indicating neurological function recovery. In conclusion, the miR-135a-5p-SP1-Bax/Bcl-2/caspase-3 and miR-135a-5p-ROCK-AKT/GSK3β axes are involved in functional recovery of SCI by regulating neural apoptosis and axon regeneration, respectively, and thus can be promising effective therapeutic strategies in SCI."
0,"Yona Goldshmit, Evgeni Banyas, Nicole Bens, Alex Yakovchuk, Angela Ruban","Blood glutamate scavengers and exercises as an effective neuroprotective treatment in mice with spinal cord injury.",2020,"Journal of neurosurgery. Spine","","","",2,"2021-01-18 11:26:34","Journal Article","10.3171/2020.4.SPINE20302","1547-5646","",,,1,13,0,0.00,0,5,1,"Excitotoxicity due to neuronal damage and glutamate release is one of the first events that leads to the progression of neuronal degeneration and functional impairment. This study is based on a paradigm shift in the therapeutic approach for treating spinal cord injury (SCI). The authors tested a new treatment targeting removal of CNS glutamate into the blood circulation by injection of the blood glutamate scavengers (BGSs) recombinant enzyme glutamate-oxaloacetate transaminase (rGOT1) and its cosubstrate oxaloacetic acid (OxAc). Their primary objective was to investigate whether BGS treatment, followed by treadmill exercises in mice with SCI, could attenuate excitotoxicity, inflammation, scarring, and axonal degeneration and, at a later time point, improve functional recovery. A pharmacokinetic experiment was done in C57BL/6 naive mice to verify rGOT1/OxAc blood activity and to characterize the time curve of glutamate reduction in the blood up to 24 hours. The reduction of glutamate in CSF after BGS administration in mice with SCI was confirmed by high-performance liquid chromatography. Next, SCI (left hemisection) was induced in the mice, and the mice were randomly assigned to one of the following groups at 1 hour postinjury: control (underwent SCI and received PBS), treadmill exercises, rGOT1/OxAc treatment, or rGOT1/OxAc treatment followed by treadmill exercises. Treatment started 1 hour postinjury with an injection of rGOT1/OxAc and continued for 5 consecutive days. Starting 1 week after SCI, the exercises and the combined treatment groups recommenced the treadmill exercise regimen 5 days a week for 3 months. Locomotor function was assessed for 3 months using the horizontal grid walking test and CatWalk. Axonal anterograde and wallerian degenerations were evaluated using tetramethylrhodamine dextran. Tissue sections were immunofluorescently stained for Iba1, GFAP, GAP-43, synaptophysin, and NeuN. BGS treatment decreased the CSF glutamate level up to 50%, reduced axonal wallerian degeneration, and increased axonal survival and GAP-43 expression in neuronal cells. Combined treatment reduced inflammation, scarring, and lesion size. Additionally, the combination of BGS treatment and exercises increased synapses around motor neurons and enhanced axonal regeneration through the lesion site. This resulted in motor function improvement 3 months post-SCI. As shown by biochemical, immunohistochemical, and functional analysis, BGSs exhibit a substantial neuroprotective effect by reducing excitotoxicity and secondary damage after SCI. Furthermore, in combination with exercises, they reduced axonal degeneration and scarring and resulted in improved functional recovery."
0,"Kazuyoshi Yamazaki, Masahito Kawabori, Toshitaka Seki, Soichiro Takamiya, Takahiro Tateno, Kotaro Konno, Masahiko Watanabe, Kiyohiro Houkin","FTY720 Attenuates Neuropathic Pain after Spinal Cord Injury by Decreasing Systemic and Local Inflammation in a Rat Spinal Cord Compression Model.",2020,"Journal of neurotrauma","","","",3,"2021-01-18 11:26:34","Journal Article","10.1089/neu.2019.6905","1557-9042","",37,15,1720,1728,0,0.00,0,8,1,"Neuropathic pain severely impairs rehabilitation and quality of life after spinal cord injury (SCI). The sphingosine-1-phosphate receptor agonist, FTY720, plays an important protective role in neuronal injury. This study aims to examine the effects of FTY720 in a rat acute SCI model, focusing on neuropathic pain. Female rats with SCI induced by 1-min clip compression were administered vehicle or 1.5 mg/kg of FTY720 24 h after the injury. Using the mechanical nociceptive threshold test, we monitored neuropathic pain and performed histological analysis of the pain pathway, including the μ opioid receptor (MOR), hydroxytryptamine transporter (HTT), and calcitonin gene-related peptide (CGRP). Motor score, SCI lesion volume, residual motor axons, inflammatory response, glial scar, and microvascular endothelial dysfunction were also compared between the two groups. FTY720 treatment resulted in significant attenuation of post-traumatic neuropathic pain. It also decreased systemic and local inflammation, thereby reducing the damaged areas and astrogliosis and resulting in motor functional recovery. Whereas there was no difference in the CGRP expression between the two groups, FTY720 significantly preserved the MOR in both the caudal and rostral areas of the spinal dorsal horn. Whereas HTT was preserved in the FTY720 group, it was significantly increased in the rostral side and decreased in the caudal side of the injury in the vehicle group. These results suggest that FTY720 ameliorates post-traumatic allodynia through regulation of neuroinflammation, maintenance of the blood-brain barrier, and inhibition of glial scar formation, thereby preserving the connectivity of the descending inhibitory pathway and reducing neuropathic pain."
0,"Muddanna Sakkattu Rao, Ebtesam M Abd-El-Basset","dBcAMP Rescues the Neurons From Degeneration in Kainic Acid-Injured Hippocampus, Enhances Neurogenesis, Learning, and Memory.",2020,"Frontiers in behavioral neuroscience","","","",4,"2021-01-18 11:26:34","Journal Article","10.3389/fnbeh.2020.00018","1662-5153","",14,,18,,0,0.00,0,2,1,"Dibutyryl cyclic adenosine monophosphate (dBcAMP) is a cell-permeable synthetic analog of cyclic adenosine monophosphate (cAMP). Although the elevation of cAMP levels was reported to promote the functional recovery in spinal cord injury, its role in neurogenesis or functional recovery after hippocampal injury is unknown. The objective of the study was to investigate the effects of dBcAMP on learning, memory, and hippocampal neurogenesis in the excitotoxically lesioned hippocampus. An excitotoxic lesion was induced in the hippocampi of 4-month-old male BALB/c mice by injecting 0.25 μg/μl into the lateral ventricles of both sides. The lesioned mice (L) were divided into L+dBcAMP and L+phosphate-buffered saline (PBS) groups. Sham surgery (S) was done by the injection of 1 μl of sterile saline into the lateral ventricles. The sham surgery mice were divided into S+dBcAMP and S+PBS groups. Mice in the L+dBcAMP and S+dBcAMP groups were treated with dBcAMP for 1 week (i.p., 50 mg/kg), whereas mice in the L+PBS and S+PBS groups were treated with PBS. The mice in all groups were subjected to water maze and passive avoidance tests at the end of the 4th week. Cresyl violet staining and NeuN and doublecortin immunostaining were done to analyze the morphology and neurogenesis. The water maze learning sessions did not show a significant difference in escape latency between the groups, suggesting an unimpaired learning ability of mice in all groups. The L+dBcAMP mice had significantly short entry latency and higher target quadrant time/distance traveled compared to the L+PBS group, suggesting better memory retention. The L+dBcAMP group had a significantly improved memory retention compared to the L+PBS mice during the passive avoidance test. Morphological studies showed significantly greater adult neurons and increased hippocampal neurogenesis in the hippocampus of mice in the L+dBcAMP group compared to those in the L+PBS group. There was no significant difference between the S+dBcAMP and S+PBS groups in the water maze/passive avoidance tests and the number of neurons. In conclusion, dBcAMP protects the hippocampal neuron from degeneration and enhances hippocampal neurogenesis, learning, and memory."
0,"Jiuling Wang, Ruiliang Chu, Na Ni, Guoxin Nan","The effect of Matrigel as scaffold material for neural stem cell transplantation for treating spinal cord injury.",2020,"Scientific reports","","","",5,"2021-01-18 11:26:34","Journal Article","10.1038/s41598-020-59148-3","2045-2322","",10,1,2576,,0,0.00,0,4,1,"Traumatic injury to the spinal cord causes permanent loss of function and major personal, social, and economic problems. Cell-based delivery strategies is a promising approach for treating spinal cord injury (SCI). However, the inhospitable microenvironment in the injured spinal cord results in poor cell survival and uncontrolled differentiation of the transplanted stem cells. The combination of a scaffold with cells has been developed with a tendency for achieving greater survival and integration with the host tissue. We investigated the effect of Matrigel combined with neural stem cells (NSCs) in vitro and in vivo. We compared the effect of different types of scaffold on the survival and differentiation of brain-derived NSCs in an in vitro culture. Subsequently, NSCs were transplanted subcutaneously into nude mice to detect graft survival and differentiation in vivo. Finally, phosphate-buffered saline (PBS), Matrigel alone, or Matrigel seeded with NSCs was injected into 48 subacute, clinically relevant rat models of SCI (16 rats per group). Matrigel supported cell survival and differentiation efficiently in vitro and in vivo. SCI rats transplanted with NSCs in Matrigel showed improved behavioral recovery and neuronal and reactive astrocyte marker expression levels compared to PBS- or Matrigel-transplanted rats. Functional repair and neuronal and reactive astrocyte marker expression was slightly improved in the Matrigel-alone group relative to the PBS group, but not statistically significantly. These data suggest that Matrigel is a promising scaffold material for cell transplantation to the injured spinal cord."
0,"Xiao-Qin Ha, Bo Yang, Huai-Jing Hou, Xiao-Ling Cai, Wan-Yuan Xiong, Xu-Pan Wei","Protective effect of rhodioloside and bone marrow mesenchymal stem cells infected with HIF-1-expressing adenovirus on acute spinal cord injury.",2020,"Neural regeneration research","","","",6,"2021-01-18 11:26:34","Journal Article","10.4103/1673-5374.266920","1673-5374","",15,4,690,696,0,0.00,0,6,1,"Rhodioloside has been shown to protect cells from hypoxia injury, and bone marrow mesenchymal stem cells have a good effect on tissue repair. To study the effects of rhodioloside and bone marrow mesenchymal stem cells on spinal cord injury, a rat model of spinal cord injury was established using the Infinite Horizons method. After establishing the model, the rats were randomly divided into five groups. Rats in the control group were intragastrically injected with phosphate buffered saline (PBS) (5 μL). PBS was injected at 6 equidistant points around 5 mm from the injury site and at a depth of 5 mm. Rats in the rhodioloside group were intragastrically injected with rhodioloside (5 g/kg) and intramuscularly injected with PBS. Rats in the mesenchymal stem cell (MSC) group were intramuscularly injected with PBS and intramuscularly with MSCs (8 × 106/mL in a 50-μL cell suspension). Rats in the Ad-HIF-MSC group were intragastrically injected with PBS and intramuscularly injected with HIF-1 adenovirus-infected MSCs. Rats in the rhodioloside + Ad-HIF-MSC group were intramuscularly injected with MSCs infected with the HIF-1 adenovirus and intragastrically injected with rhodioloside. One week after treatment, exercise recovery was evaluated with a modified combined behavioral score scale. Hematoxylin-eosin staining and Pischingert's methylene blue staining were used to detect any histological or pathological changes in spinal cord tissue. Levels of adenovirus IX and Sry mRNA were detected by real-time quantitative polymerase chain reaction and used to determine the number of adenovirus and mesenchymal stem cells that were transfected into the spinal cord. Immunohistochemical staining was applied to detect HIF-1 protein levels in the spinal cord. The results showed that: (1) compared with the other groups, the rhodioloside + Ad-HIF-MSC group exhibited the highest combined behavioral score (P < 0.05), the most recovered tissue, and the greatest number of neurons, as indicated by Pischingert's methylene blue staining. (2) Compared with the PBS group, HIF-1 protein expression was greater in the rhodioloside group (P < 0.05). (3) Compared with the Ad-HIF-MSC group, Sry mRNA levels were higher in the rhodioloside + Ad-HIF-MSC group (P < 0.05). These results confirm that rhodioloside combined with bone marrow mesenchymal stem cells can promote the recovery of spinal cord injury and activate the HIF-1 pathway to promote the survival of bone marrow mesenchymal stem cells and repair damaged neurons within spinal cord tissue. This experiment was approved by the Animal Ethics Committee of Gansu University of Traditional Chinese Medicine, China (approval No. 2015KYLL029) in June 2015."
0,"Roya Nasouti, Mohammad Khaksari, Moghaddameh Mirzaee, Mahdieh Nazari-Robati","Trehalose protects against spinal cord injury through regulating heat shock proteins 27 and 70 and caspase-3 genes expression.",2019,"Journal of basic and clinical physiology and pharmacology","","","",7,"2021-01-18 11:26:34","Journal Article","10.1515/jbcpp-2018-0225","2191-0286","",31,1,,,0,0.00,0,4,2,"Background Heat shock proteins (HSPs) are a class of highly conserved proteins responsible for various functions critical to cell survival. Pharmacological induction of HSPs has been implicated in the regulation of neuronal loss and functional deficits in peripheral and central nervous system injuries. Accordingly, the present study was conducted to investigate the effect of trehalose on spinal expression of HSP27, HSP70 and caspase-3 genes following traumatic spinal cord injury (SCI) in rats. Methods Male rats weighing 250-300 g underwent laminectomy and were divided into four groups including sham, SCI (received SCI), vehicle (received SCI and phosphate buffer saline intrathecally) and trehalose (received 10 mM trehalose intrathecally following SCI). On days 1, 3 and 7 after injury, HSP27, HSP70 and caspase-3 genes transcripts were quantified in spinal cord tissues via a real-time PCR technique. In addition, locomotor function was assessed using the Basso, Beattie and Bresnahan (BBB) rating scale. Results SCI induced the expression of HSP27, HSP70 and caspase-3 genes and BBB score at all time points. Trehalose treatment upregulated HSP27, HSP70 genes expression at 1 day after SCI. Interestingly, a significant reduction in the expression of HSP27 and HSP70 genes was observed on days 3 and 7 following trauma compared with the vehicle group (p < 0.01). Caspase-3 gene showed a decrease in expression in the trehalose-treated group at all times. In addition, neurological function revealed an improvement after treatment with trehalose. Conclusion This study suggests that the neuroprotective effect of trehalose is mediated via regulation of HSP27 and HSP70, which are involved in cytoprotection and functional recovery following SCI."
0,"Shavonne Teng, Alicia Palmieri, Isabella Maita, Cynthia Zheng, Gitanjali Das, Juyeon Park, Renping Zhou, Janet Alder, Smita Thakker-Varia","Inhibition of EphA/Ephrin-A signaling using genetic and pharmacologic approaches improves recovery following traumatic brain injury in mice.",2019,"Brain injury","","","",8,"2021-01-18 11:26:34","Journal Article","10.1080/02699052.2019.1641622","1362-301X","",33,10,1385,1401,0,0.00,0,9,2,"Primary Objective: Eph/Ephrin signaling is inhibitory for developing axons and blocking Eph pathways enhances regeneration after spinal cord injury. It was hypothesized that inhibition of Eph signaling promotes cellular and behavioral recovery after traumatic brain injury (TBI). Research design: Lateral fluid percussion (LFP) injury was performed on wildtype (WT) and EphA6 knockout (KO) mice. EphA6-Fc, Ephrin-A5-Fc fusion proteins, and sodium orthovanadate were used to alter the signaling pathway. Immunohistochemistry and tissue explants revealed cellular changes. Rotarod tests demonstrated vestibulomotor function. Outcomes: The EphA6 receptor expression is upregulated following LFP. Uninjured EphA6 KO mice exhibit greater neurite density and clustered Ephrin-A5-Fc causes growth cone collapse in vitro. After LFP, EphA6 KO mice demonstrate longer neurites and decreased neuronal cell death and astrocytosis compared to WT mice. Blocking EphA signaling by soluble EphA6-Fc fusion protein reduces cell death and improves motor function following LFP whereas clustered Ephrin-A5-Fc exacerbates cell death and neurodegeneration. Sodium orthovanadate rescues growth cone collapse in vitro as well as cell death and neurodegeneration in vivo. Conclusions: Eph/Ephrin signaling plays an inhibitory role following TBI. Targeting the Eph signaling pathway with Fc fusion proteins and pharmacological agents can be a novel strategy to counter the damaging effects of TBI. Abbreviations: LFP: lateral fluid percussion; TBI: traumatic brain injury; KO: knockout; WT: wildtype; PTP2: protein phosphotyrosine phosphatase 2; Tg: transgenic; YFP: yellow fluorescent protein; ATM: atmospheres; RT-qPCR: Real-time-quantitative PCR; dpi: days post injury; GAPDH: glyceraldehyde-3-phosphate dehydrogenase; DAPI: 4',6-diamidino-2-phenylindole; PBS: phosphate buffered saline; GFAP: glial fibrillary acidic protein; FLJC: fluorojade C; CA: cornu ammonis; SEM: standard error of the mean; ANOVA: analysis of variance; PLSD: posthoc least significant difference."
0,"Ruslan Rust, Lisa Grönnert, Christina Gantner, Alinda Enzler, Geertje Mulders, Rebecca Z Weber, Arthur Siewert, Yanuar D P Limasale, Andrea Meinhardt, Michael A Maurer, Andrea M Sartori, Anna-Sophie Hofer, Carsten Werner, Martin E Schwab","Nogo-A targeted therapy promotes vascular repair and functional recovery following stroke.",2019,"Proceedings of the National Academy of Sciences of the United States of America","","","",9,"2021-01-18 11:26:34","Journal Article","10.1073/pnas.1905309116","1091-6490","",116,28,14270,14279,0,0.00,0,14,2,"Stroke is a major cause of serious disability due to the brain's limited capacity to regenerate damaged tissue and neuronal circuits. After ischemic injury, a multiphasic degenerative and inflammatory response is coupled with severely restricted vascular and neuronal repair, resulting in permanent functional deficits. Although clinical evidence indicates that revascularization of the ischemic brain regions is crucial for functional recovery, no therapeutics that promote angiogenesis after cerebral stroke are currently available. Besides vascular growth factors, guidance molecules have been identified to regulate aspects of angiogenesis in the central nervous system (CNS) and may provide targets for therapeutic angiogenesis. In this study, we demonstrate that genetic deletion of the neurite outgrowth inhibitor Nogo-A or one of its corresponding receptors, S1PR2, improves vascular sprouting and repair and reduces neurological deficits after cerebral ischemia in mice. These findings were reproduced in a therapeutic approach using intrathecal anti-Nogo-A antibodies; such a therapy is currently in clinical testing for spinal cord injury. These results provide a basis for a therapeutic blockage of inhibitory guidance molecules to improve vascular and neural repair after ischemic CNS injuries."
0,"Zixian Chen, Zheng Li, Chang Jiang, Xiaoxing Jiang, Jian Zhang","MiR-92b-3p promotes neurite growth and functional recovery via the PTEN/AKT pathway in acute spinal cord injury.",2019,"Journal of cellular physiology","","","",10,"2021-01-18 11:26:34","Journal Article","10.1002/jcp.28864","1097-4652","",234,12,23043,23052,0,0.00,0,5,2,"Emerging evidence indicates that microRNAs play an important role in neural remodeling, including neurite growth, after acute spinal cord injury (ASCI). This study aims to identify the mechanism by which miR-92b-3p regulates neurite growth in vivo and in vitro. Adult Sprague-Dawley rats were selected to establish the ASCI model, and the expressions of miR-92b-3p and phosphate and tensin homolog deleted on chromosome ten (PTEN) were quantified at different time points. The interaction between miR-92b-3p and PTEN was further detected in the PC12 cell line and dual-luciferase reporter assay. Neurite growth proteins (GAP43 and NF-200) were assessed by western blotting after miR-92b-3p mimics treatment. The PTEN/AKT pathway-related proteins and their roles in miR-92b-3p regulation were also identified using western blotting and immunofluorescence in vitro through LY294002, an AKT inhibitor. The effect of miR-92b-3p was further determined in vivo according to the Basso-Beattie-Bresnahan (BBB) Scale and GAP43 and NF-200 expressions. miR-92b-3p was downregulated after ASCI, while PTEN showed a simultaneous opposing trend. Overexpression of miR-92b-3p downregulated PTEN expression and promoted phosphorylation of AKT, as well as the expression of GAP43 and NF-200 in PC12 cells. Furthermore, the dual-luciferase reporter assay revealed that miR-92b-3p exerted its effect by targeting PTEN's 3'-untranslated regions and that this effect could be counteracted by AKT phosphorylation blocker LY294002 through western blotting and immunofluorescence. Moreover, miR-92b-3p could also improve the BBB scale as well as GAP43 and NF-200 expression levels in vivo. Collectively, these results indicate that miR-92b-3p promotes neurite growth and functional recovery through the PTEN/AKT pathway in ASCI."
