Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"Cristina Daneri-Becerra, Michelle G. Patino-Gaillez, Mario D. Galigniana","Proof that the high molecular weight immunophilin FKBP52 mediates the in vivo neuroregenerative effect of the macrolide FK506",2020,"Biochemical Pharmacology","Pergamon-Elsevier Science Ltd","","",37,"2021-01-15 16:53:27","Article","10.1016/j.bcp.2020.114204","0006-2952","",182,,,,0,0.00,0,3,1,"The immunosuppressant drug FK506 (or tacrolimus) is a macrolide that binds selectively to immunophilins belonging to the FK506-binding protein (FKBP) subfamily, which are abundantly expressed proteins in neurons of the peripheral and central nervous systems. Interestingly, it has been reported that FK506 increases neurite outgrowth in cell cultures, implying a potential impact in putative treatments of neurodegenerative disorders and injuries of the nervous system. Nonetheless, the mechanism of action of this compound is poorly understood and remains to be elucidated, with the only certainty that its neurotrophic effect is independent of its primary immunosuppressant activity. In this study it is demonstrated that FK506 shows efficient neurotrophic action in vitro and profound effects on the recovery of locomotor activity, behavioural features, and erectile function of mice that underwent surgical spinal cord injury. The recovery of the locomotor activity was studied in knock-out mice for either immunophilin, FKBP51 or FKBP52. The experimental evidence demonstrates that the neurotrophic actions of FK506 are the consequence of its binding to FKBP52, whereas FK506 interaction with the close-related partner immunophilin FKBP51 antagonises the function of FKBP52. Importantly, our study also demonstrates that other immunophilins do not replace FKBP52. It is concluded that the final biological response is the resulting outcome of the drug binding to both immunophilins, FKBP51 and FKBP52, the latter being the one that commands the dominant neurotrophic action in vivo."
0,"Andrei F. Joaquim, Jefferson W. Daniel, Gregory D. Schroeder, Alexander R. Vaccaro","Neuroprotective Agents as an Adjuvant Treatment in Patients With Acute Spinal Cord Injuries A Qualitative Systematic Review of Randomized Trials",2020,"Clinical Spine Surgery","Lippincott Williams & Wilkins","","",38,"2021-01-15 16:53:27","Review","10.1097/BSD.0000000000000861","2380-0186","",33,2,65,75,0,0.00,0,4,1,"Study Design:"
1,"Daisy Chou, Anja Muehle, Paul A. Lapchak, Ali Khoynezhad","Rabbit Spinal Cord Ischemia Model for the Development of Neuroprotective Treatments",2017,"Neuroprotective Therapy For Stroke And Ischemic Disease","Springer International Publishing Ag","","",35,"2021-01-15 16:53:27","Article","10.1007/978-3-319-45345-3_29","","",,,689,700,1,0.25,0,4,4,"Ischemic spinal cord injury (SCI) is one of the most morbid complications of aortic operations and traumatic injury. Numerous animal models have been created to try to understand the pathogenesis of spinal cord injury and to find treatment options. In this chapter, different animal spinal cord injury models are discussed. An overview of potential spinal cord injury therapeutic agents that are studied in the literature is presented as well. Finally, a new minimally invasive rabbit spinal cord ischemia model that uses a transfemoral intra-aortic balloon occlusion and neuromonitoring with motor-evoked potentials (MEPs) is presented. This rabbit model has the potential to aid in novel therapeutic drug development for early ischemic SCI."
1,"Senka Baranovic, Branka Maldini, Tomislav Cengic, Robert Kolundzic","ANESTHETIC MANAGEMENT OF ACUTE CERVICAL SPINAL CORD INJURY IN PREGNANCY",2014,"Acta Clinica Croatica","Sestre Milosrdnice Univ Hospital","","",36,"2021-01-15 16:53:27","Article","","0353-9466","",53,1,98,101,1,0.14,0,4,7,"The incidence of traumatic spinal cord injury is 11,000 per year, with 55% of the injuries occurring between the age of 16 and 33, 18% of these in women of reproductive age. Diagnostic and early spinal decompression along with maintaining the mean arterial pressure to improve spinal cord perfusion and a high progesterone level in pregnancy for its neuroprotective and anti-inflammatory effect have the leading role in neurological recovery and clinical outcome. We present a case of a patient in the 17th week of pregnancy who sustained luxation fracture of the C5 and C6 vertebrae and tetraplegia as passenger in a road accident. The early operative treatment and appropriate anesthetic procedure resulted in good clinical outcome with complete neurological recovery."
4,"Bahram Aminmansour, Ali Asnaashari, Majid Rezvani, Fariborz Ghaffarpasand, Seyed Mohammad Amin Noorian, Masih Saboori, Parisa Abdollahzadeh","Effects of progesterone and vitamin D on outcome of patients with acute traumatic spinal cord injury; a randomized, double-blind, placebo controlled study",2016,"Journal Of Spinal Cord Medicine","Taylor & Francis Ltd","","",33,"2021-01-15 16:53:27","Article","10.1080/10790268.2015.1114224","1079-0268","",39,3,272,280,4,0.80,1,7,5,"Background: Steroid hormones offer promising therapeutic perspectives during the acute phase of spinal cord injury (SCI) while the role of progesterone and vitamin D remain controversial. The aim of the current study was to investigate the effects of progesterone and vitamin D on functional outcome of patients with acute traumatic SCI."
4,"Chandler L. Walker, Colin M. E. Fry, Junmei Wang, Xiaolong Du, Kirstin Zuzzio, Nai-Kui Liu, Melissa J. Walker, Xiao-Ming Xu","Functional and Histological Gender Comparison of Age-Matched Rats after Moderate Thoracic Contusive Spinal Cord Injury",2019,"Journal Of Neurotrauma","Mary Ann Liebert, Inc","","",34,"2021-01-15 16:53:27","Article","10.1089/neu.2018.6233","0897-7151","",36,12,1974,1984,4,2.00,1,8,2,"Spinal cord injury (SCI) afflicts hundreds of thousands of Americans, and most SCI (similar to 80%) occurs in males. In experimental animal models, however, many studies used females. Funding agencies like the National Institutes of Health recommend that new proposed studies should include both genders due to variations in gender response to injuries, diseases, and treatments. However, cost and considerations for some animal models, such as SCI, affect investigators in adapting to this recommendation. Research has increased comparing gender effects in various disease and injury models, including SCI. However, most studies use weight-matched animals, which poses issues in comparing results and outcomes. The present study compared histologic and functional outcomes between age-matched male and female Sprague-Dawley rats in a moderate thoracic contusion SCI model. Cresyl violet and eosin staining showed no significant differences in lesion volume between genders after 9 weeks post-SCI (p > 0.05). Luxol fast blue-stained spared myelin was similar between genders, although slightly greater (similar to 6%) in spared myelin, compared with cord volume (p = 0.044). Glial reactivity and macrophage labeling in the lesion area was comparable between genders, as well. Basso, Beattie, Bresnahan (BBB) functional scores were not significantly different between genders, and Hargreaves thermal hyperalgesia and Gridwalk sensorimotor analyses also were similar between genders, compared with uninjured gender controls. Analysis of covariance showed weight did not influence functional recovery as assessed through BBB (p = 0.65) or Gridwalk assessment (p = 0.63) in this study. In conclusion, our findings suggest age-matched male and female rats recover similarly in a common clinically relevant SCI model."
5,"Mohammadreza Emamhadi, Bahram Soltani, Parvin Babaei, Hossein Mashhadinezhad, Shervin Ghadarjani","Influence of Sexuality in Functional Recovery after Spinal Cord Injury in Rats",2016,"Archives Of Bone And Joint Surgery-Abjs","Mashhad Univ Med Sciences","","",31,"2021-01-15 16:53:27","Article","","2345-4644","",4,1,56,59,5,1.00,1,5,5,"Background:Spinal cord injury (SCI) is a major clinical condition and research is commonly done to find suitable treatment options. However, there are some degrees of spontaneous recovery after SCI and gender is said to be a contributing factor in recovery, but this is controversial. This study was done to compare the effects of sexual dimorphism on spontaneous recovery after spinal cord injury in Wistar Rats."
6,"Florencia Labombarda, Daniel Garcia-Ovejero","Give progesterone a chance",2014,"Neural Regeneration Research","Wolters Kluwer Medknow Publications","","",30,"2021-01-15 16:53:27","Review","10.4103/1673-5374.139456","1673-5374","",9,15,1422,1424,6,0.86,3,2,7,"There is currently no standard pharmacological treatment for spinal cord injury. Here, we suggest that progesterone, a steroid hormone, may be a promising therapeutical candidate as it is already for traumatic brain injury, where it has reached phase II clinical trials. We rely on previous works showing anti-inflammatory, neuroprotective and promyelinating roles for progesterone after spinal cord injury and in our recent paper, in which we demonstrate that progesterone diminishes lesion, preserves white matter integrity and improves locomotor recovery in a clinically relevant model of spinal cord lesion."
6,"Zeinab Namjoo, Keywan Mortezaee, Mohammad T. Joghataei, Fateme Moradi, Abbas Piryaei, Yusef Abbasi, Amir Hosseini, Jamal Majidpoor","Targeting axonal degeneration and demyelination using combination administration of 17 beta-estradiol and Schwann cells in the rat model of spinal cord injury",2018,"Journal Of Cellular Biochemistry","Wiley","","",32,"2021-01-15 16:53:27","Article","10.1002/jcb.27361","0730-2312","",119,12,10195,10203,6,2.00,1,8,3,"Schwann cells (SCs) are known to be responsible for axonal ensheathing and myelination, and their transplantation is used commonly for treatment of spinal cord injury (SCI). 17 beta-estradiol (E2) has also reported for its protective roles in neurons in the transplanted SCs to the SCI model. In the current study, we evaluated the roles of E2 administration before SCs transplantation in targeting SCI-induced axonal degeneration and demyelination. E2 (25 mu g/kg, IP) was administered to the male Wistar rats underwent contusive SCI at T10 segment. At 7 days after injury, 1 x 10(6) SCs were transplanted to the injury epicenter of the spinal cord. The groups were laminectomy, SCI, SCI+E2, and SCI+E2+SCs. Functional recovery was evaluated using the Basso-Bresnahan-Beattie locomotor test. Sections from spinal cord were also assessed for histoloical staining, including Luxol fast blue, Bielschowsky's silver and immunofluorescence evaluation of myelin basic protein (MBP). The SCI group showed impaired locomotion in the hind limb, increased number of cavities within spinal cord, low observable numbers of regenerating fibers, and a significant decrease in the rate of expression for MBP. These changes were counteracted in the treatment groups (P < 0.05 vs SCI) with no significant changes among them. From the results, it may be concluded that application of E2 and SCs could be effective when axons undergo demyelination and degenerative processes, and their combination could partly provide cumulative outcomes."
7,"Parker E. Ludwig, Arun A. Patil, Andrea J. Chamczuk, Devendra K. Agrawal","Hormonal therapy in traumatic spinal cord injury",2017,"American Journal Of Translational Research","E-Century Publishing Corp","","",28,"2021-01-15 16:53:27","Review","","1943-8141","",9,9,3881,3895,7,1.75,2,4,4,"Traumatic spinal cord injuries are major health problems and the underlying pathophysiological events and treatment strategies are currently under investigation. In this article, we critically reviewed the literature investigating the effects of estrogen, progesterone, and human chorionic gonadotropin on spinal cord damage or preservation following traumatic spinal cord injury. The National Library of Medicine database was searched through December 2016 using PubMed for articles addressing the clinical relevance of the hormones to improve neural structural integrity following traumatic spinal cord injury. It was found that each of these hormones, through varied mechanisms, could serve to reduce the harmful effects associated with spinal cord injury, and could aid in restoring some function to the injured spinal cord in the animal models. The most striking effects were seen in the reduction of inflammation commonly linked to injury of the central nervous system. The effects of human chorionic gonadotropin administration following spinal cord injury have received far less attention than those of either estrogen or progesterone, and additional inquiry could be of general benefit. In this article, we discussed the outstanding questions and suggested future directions for further investigation."
