Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"Hui Wang, Wen-Xian Zhou, Jin-Feng Huang, Xuan-Qi Zheng, Hai-Jun Tian, Bin Wang, Wei-Li Fu, Ai-Min Wu","Endocrine Therapy for the Functional Recovery of Spinal Cord Injury.",2020,"Frontiers in neuroscience","","","",1,"2021-01-15 09:54:28","Journal Article","10.3389/fnins.2020.590570","1662-4548","",14,,590570,,0,0.00,0,8,1,"Spinal cord injury (SCI) is a major cause of physical disability and leads to patient dissatisfaction with their quality of life. Patients with SCI usually exhibit severe clinical symptoms, including sensory and motor dysfunction below the injured levels, paraplegia, quadriplegia and urinary retention, which can exacerbate the substantial medical and social burdens. The major pathological change observed in SCI is inflammatory reaction, which induces demyelination, axonal degeneration, and the apoptosis and necrosis of neurons. Traditional medical treatments are mainly focused on the recovery of motor function and prevention of complications. To date, numerous studies have been conducted to explore the cellular and molecular mechanism of SCI and have proposed lots of effective treatments, but the clinical applications are still limited due to the complex pathogenesis and poor prognosis after SCI. Endocrine hormones are kinds of molecules that are synthesized by specialized endocrine organs and can participate in the regulation of multiple physiological activities, and their protective effects on several disorders have been widely discussed. In addition, many studies have identified that endocrine hormones can promote nerve regeneration and functional recovery in individuals with central nervous system diseases. Therefore, studies investigating the clinical applications of endocrine hormones as treatments for SCI are necessary. In this review, we described the neuroprotective roles of several endocrine hormones in SCI; endocrine hormone administration reduces cell death and promotes functional repair after SCI. We also proposed novel therapies for SCI."
0,"Andrew N Stewart, Steven M MacLean, Arnold J Stromberg, Jessica P Whelan, William M Bailey, John C Gensel, Melinda E Wilson","Considerations for Studying Sex as a Biological Variable in Spinal Cord Injury.",2020,"Frontiers in neurology","","","",2,"2021-01-15 09:54:28","Journal Article","10.3389/fneur.2020.00802","1664-2295","",11,,802,,0,0.00,0,7,1,"In response to NIH initiatives to investigate sex as a biological variable in preclinical animal studies, researchers have increased their focus on male and female differences in neurotrauma. Inclusion of both sexes when modeling neurotrauma is leading to the identification of novel areas for therapeutic and scientific exploitation. Here, we review the organizational and activational effects of sex hormones on recovery from injury and how these changes impact the long-term health of spinal cord injury (SCI) patients. When determining how sex affects SCI it remains imperative to expand outcomes beyond locomotor recovery and consider other complications plaguing the quality of life of patients with SCI. Interestingly, the SCI field predominately utilizes female rodents for basic science research which contrasts most other male-biased research fields. We discuss the unique caveats this creates to the translatability of preclinical research in the SCI field. We also review current clinical and preclinical data examining sex as biological variable in SCI. Further, we report how technical considerations such as housing, size, care management, and age, confound the interpretation of sex-specific effects in animal studies of SCI. We have uncovered novel findings regarding how age differentially affects mortality and injury-induced anemia in males and females after SCI, and further identified estrus cycle dysfunction in mice after injury. Emerging concepts underlying sexually dimorphic responses to therapy are also discussed. Through a combination of literature review and primary research observations we present a practical guide for considering and incorporating sex as biological variable in preclinical neurotrauma studies."
0,"Ugo Carraro","Thirty years of translational research in Mobility Medicine: Collection of abstracts of the 2020 Padua Muscle Days.",2020,"European journal of translational myology","","","",3,"2021-01-15 09:54:28","Journal Article","10.4081/ejtm.2019.8826","2037-7452","",30,1,8826,,0,0.00,0,1,1,"More than half a century of skeletal muscle research is continuing at Padua University (Italy) under the auspices of the Interdepartmental Research Centre of Myology (CIR-Myo), the European Journal of Translational Myology (EJTM) and recently also with the support of the A&CM-C Foundation for Translational Myology, Padova, Italy. The Volume 30(1), 2020 of the EJTM opens with the collection of abstracts for the conference ""2020 Padua Muscle Days: Mobility Medicine 30 years of Translational Research"". This is an international conference that will be held between March 18-21, 2020 in Euganei Hills and Padova in Italy. The abstracts are excellent examples of translational research and of the multidimensional approaches that are needed to classify and manage (in both the acute and chronic phases) diseases of Mobility that span from neurologic, metabolic and traumatic syndromes to the biological process of aging. One of the typical aim of Physical Medicine and Rehabilitation is indeed to reduce pain and increase mobility enough to enable impaired persons to walk freely, garden, and drive again. The excellent contents of this Collection of Abstracts reflect the high scientific caliber of researchers and clinicians who are eager to present their results at the PaduaMuscleDays. A series of EJTM Communications will also add to this preliminary evidence."
0,"Joshua F Yarrow, Hui Jean Kok, Ean G Phillips, Christine F Conover, Jimmy Lee, Taylor E Bassett, Kinley H Buckley, Michael C Reynolds, Russell D Wnek, Dana M Otzel, Cong Chen, Jessica M Jiron, Zachary A Graham, Christopher Cardozo, Krista Vandenborne, Prodip K Bose, Jose Ignacio Aguirre, Stephen E Borst, Fan Ye","Locomotor training with adjuvant testosterone preserves cancellous bone and promotes muscle plasticity in male rats after severe spinal cord injury.",2020,"Journal of neuroscience research","","","",4,"2021-01-15 09:54:28","Journal Article","10.1002/jnr.24564","1097-4547","",98,5,843,868,0,0.00,0,19,1,"Loading and testosterone may influence musculoskeletal recovery after spinal cord injury (SCI). Our objectives were to determine (a) the acute effects of bodyweight-supported treadmill training (TM) on hindlimb cancellous bone microstructure and muscle mass in adult rats after severe contusion SCI and (b) whether longer-term TM with adjuvant testosterone enanthate (TE) delivers musculoskeletal benefit. In Study 1, TM (40 min/day, 5 days/week, beginning 1 week postsurgery) did not prevent SCI-induced hindlimb cancellous bone loss after 3 weeks. In Study 2, TM did not attenuate SCI-induced plantar flexor muscles atrophy nor improve locomotor recovery after 4 weeks. In our main study, SCI produced extensive distal femur and proximal tibia cancellous bone deficits, a deleterious slow-to-fast fiber-type transition in soleus, lower muscle fiber cross-sectional area (fCSA), impaired muscle force production, and levator ani/bulbocavernosus (LABC) muscle atrophy after 8 weeks. TE alone (7.0 mg/week) suppressed bone resorption, attenuated cancellous bone loss, constrained the soleus fiber-type transition, and prevented LABC atrophy. In comparison, TE+TM concomitantly suppressed bone resorption and stimulated bone formation after SCI, produced near-complete cancellous bone preservation, prevented the soleus fiber-type transition, attenuated soleus fCSA atrophy, maintained soleus force production, and increased LABC mass. 75% of SCI+TE+TM animals recovered voluntary over-ground hindlimb stepping, while no SCI and only 20% of SCI+TE animals regained stepping ability. Positive associations between testosterone and locomotor function suggest that TE influenced locomotor recovery. In conclusion, short-term TM alone did not improve bone, muscle, or locomotor recovery in adult rats after severe SCI, while longer-term TE+TM provided more comprehensive musculoskeletal benefit than TE alone."
0,"Casey J Steadman, Robert F Hoey, Lynnette R Montgomery, Charles H Hubscher","Activity-Based Training Alters Penile Reflex Responses in a Rat Model of Spinal Cord Injury.",2019,"The journal of sexual medicine","","","",5,"2021-01-15 09:54:28","Journal Article","10.1016/j.jsxm.2019.05.018","1743-6109","",16,8,1143,1154,0,0.00,0,4,2,"Multisystem functional gains have been reported in males with spinal cord injury (SCI) after undergoing activity-based training (ABT), including increases in scoring of sexual function and reports of improved erectile function. This study aims to examine the effect of daily 60-minute locomotor training and exercise in general on sexual function in a rat SCI contusion model. Male Wistar rats received a T9 contusion SCI. Animals were randomized into 4 groups: a quadrupedal stepping group (SCI + QT), a forelimb-only exercise group (SCI + FT), a non-trained harnessed group (SCI + NT), and a home cage non-trained group (SCI + HC). The 2 non-trained groups were combined (SCI) post hoc. Daily training sessions were 60 minutes in duration for 8 weeks. Urine samples were collected during bi-weekly 24-hour metabolic cage behavioral testing. Latency, numbers of penile dorsiflexion, and glans cupping were recorded during bi-weekly penile dorsiflexion reflex (PDFR) testing. Terminal electromyography (EMG) recordings of the bulbospongiosus muscle (BSM) were recorded in response to stimulation of the dorsal nerve of the penis (DNP). ABT after SCI had a significant effect on PDFR, as well as BSM EMG latency and burst duration. SCI causes a significant decrease in the latency to onset of PDFR. After 8 weeks of ABT, SCI + QT animals had a significantly increased latency relative to the post-SCI baseline. BSM EMG response to DNP stimulation had a significantly decreased latency and increase in average and maximum amplitude in SCI + QT animals. SCI animals had a significantly longer burst duration than trained animals. Time between PDFR events, penile dorsiflexion, glans cupping, and urine testosterone were not affected by ABT. ABT has a positive influence on sexual function and provides a potential therapy to enhance the efficacy of current sexual dysfunction therapies in the male SCI population. Several significant small improvements in sexual function were found in a clinically relevant rat model of SCI using a readily available rehabilitative therapy. The limited findings could reflect insensitivity of the PDFR as a measure of erectile function. These results indicate that task-specific stepping and/or loading provide sensory input to the spinal cord impacting the neural circuitry responsible for sexual function. Steadman CJ, Hoey RF, Montgomery LR, et al. Activity-Based Training Alters Penile Reflex Responses in a Rat Model of Spinal Cord Injury. J Sex Med 2019; 16:1143-1154."
0,"Dana M Otzel, Jimmy Lee, Fan Ye, Stephen E Borst, Joshua F Yarrow","Activity-Based Physical Rehabilitation with Adjuvant Testosterone to Promote Neuromuscular Recovery after Spinal Cord Injury.",2018,"International journal of molecular sciences","","","",6,"2021-01-15 09:54:28","Journal Article","10.3390/ijms19061701","1422-0067","",19,6,,,0,0.00,0,5,3,"Neuromuscular impairment and reduced musculoskeletal integrity are hallmarks of spinal cord injury (SCI) that hinder locomotor recovery. These impairments are precipitated by the neurological insult and resulting disuse, which has stimulated interest in activity-based physical rehabilitation therapies (ABTs) that promote neuromuscular plasticity after SCI. However, ABT efficacy declines as SCI severity increases. Additionally, many men with SCI exhibit low testosterone, which may exacerbate neuromusculoskeletal impairment. Incorporating testosterone adjuvant to ABTs may improve musculoskeletal recovery and neuroplasticity because androgens attenuate muscle loss and the slow-to-fast muscle fiber-type transition after SCI, in a manner independent from mechanical strain, and promote motoneuron survival. These neuromusculoskeletal benefits are promising, although testosterone alone produces only limited functional improvement in rodent SCI models. In this review, we discuss the (1) molecular deficits underlying muscle loss after SCI; (2) independent influences of testosterone and locomotor training on neuromuscular function and musculoskeletal integrity post-SCI; (3) hormonal and molecular mechanisms underlying the therapeutic efficacy of these strategies; and (4) evidence supporting a multimodal strategy involving ABT with adjuvant testosterone, as a potential means to promote more comprehensive neuromusculoskeletal recovery than either strategy alone."
0,"Dale R Sengelaub, Qi Han, Nai-Kui Liu, Melissa A Maczuga, Violetta Szalavari, Stephanie A Valencia, Xiao-Ming Xu","Protective Effects of Estradiol and Dihydrotestosterone following Spinal Cord Injury.",2018,"Journal of neurotrauma","","","",7,"2021-01-15 09:54:28","Journal Article","10.1089/neu.2017.5329","1557-9042","",35,6,825,841,0,0.00,0,7,3,"Spinal cord injury (SCI) results in lesions that destroy tissue and disrupt spinal tracts, producing deficits in locomotor and autonomic function. We previously demonstrated that motoneurons and the muscles they innervate show pronounced atrophy after SCI, and these changes are prevented by treatment with testosterone. Here, we assessed whether the testosterone active metabolites estradiol and dihydrotestosterone have similar protective effects after SCI. Young adult female rats received either sham or T9 spinal cord contusion injuries and were treated with estradiol, dihydrotestosterone, both, or nothing via Silastic capsules. Basso-Beattie-Bresnahan locomotor testing was performed weekly and voiding behavior was assessed at 3 weeks post-injury. Four weeks after SCI, lesion volume and tissue sparing, quadriceps muscle fiber cross-sectional area, and motoneuron dendritic morphology were assessed. Spontaneous locomotor behavior improved after SCI, but hormone treatments had no effect. Voiding behavior was disrupted after SCI, but was significantly improved by treatment with either estradiol or dihydrotestosterone; combined treatment was maximally effective. Treatment with estradiol reduced lesion volume, but dihydrotestosterone alone and estradiol combined with dihydrotestosterone were ineffective. SCI-induced decreases in motoneuron dendritic length were attenuated by all hormone treatments. SCI-induced reductions in muscle fiber cross-sectional areas were prevented by treatment with either dihydrotestosterone or estradiol combined with dihydrotestosterone, but estradiol treatment was ineffective. These findings suggest that deficits in micturition and regressive changes in motoneuron and muscle morphology seen after SCI are ameliorated by treatment with estradiol or dihydrotestosterone, further supporting a role for steroid hormones as neurotherapeutic agents in the injured nervous system."
0,"Melina C Acosta, Patricia A Copley, Jamie R Harrell, Jennifer C Wilhelm","Estrogen signaling is necessary for exercise-mediated enhancement of motoneuron participation in axon regeneration after peripheral nerve injury in mice.",2017,"Developmental neurobiology","","","",8,"2021-01-15 09:54:28","Journal Article","10.1002/dneu.22501","1932-846X","",77,10,1133,1143,0,0.00,0,4,4,"Thousands of people each year suffer from peripheral nerve injury. Treatment options are limited, and recovery is often incomplete. Treadmill exercise can enhance nerve regeneration; however, this appears to occur in a sex-dependent manner. Females respond best to short duration, high speed interval training; whereas, males respond best to slower, continuous training. Previous studies have shown a role for testosterone in this process, but the role of estrogen is unknown. To evaluate the role of estrogen signaling in treadmill exercise, we blocked estrogen receptor (ER) signaling during treadmill exercise in males and female wild type mice. The right common fibular (CF) branch of the sciatic nerve was cut and repaired with fibrin glue that contained the ER antagonist ICI 182,780. Estradiol-filled or blank Silastic capsules were implanted subcutaneously at the time of nerve transection. Starting three days post-transection, exercised mice received treadmill training using the paradigm appropriate to their sex 5 days a week for 2 weeks. Fourteen days after the initial nerve transection, motoneurons whose axons had regenerated at least 1.5 mm distal to the original cut sites were labeled with a retrograde tracer. Regeneration was quantified by counting the number of fluorescent labeled motoneurons in the lumbar region of the spinal cord. Both treadmill training and estradiol administration increased the number of motoneurons participating in axon regeneration, but these effects were blocked by ER antagonist treatment. Estrogen signaling is important for the enhancing effects of treadmill exercise on motoneuron participation after peripheral nerve cut. © 2017 Wiley Periodicals, Inc. Develop Neurobiol 77: 1133-1143, 2017."
0,"A Sánchez-Ramos, E Vargas-Baquero, F J Martin-de Francisco, J A Godino-Durán, I Rodriguez-Carrión, M Ortega-Ortega, L Mordillo-Mateos, F Coperchini, M Rotondi, A Oliviero, M Mas","Early spermatogenesis changes in traumatic complete spinal cord-injured adult patients.",2017,"Spinal cord","","","",9,"2021-01-15 09:54:28","Journal Article","10.1038/sc.2016.184","1476-5624","",55,6,570,574,0,0.00,0,11,4,"Prospective longitudinal study. To assess the impact of spinal cord injury (SCI) on the spermatogenesis of patients studied in the early subacute stage and ensuing months. National hospital for SCI patients. A prospective follow-up study was conducted on 28 male patients with complete SCI who were evaluated in the early subacute phase (~1 month), and 3 and 6 months after the injury. At each time point, fine needle aspiration biopsy samples were taken from the testes for cytological assessment, and serum levels of relevant hormones were measured. At the end of the study period, ejaculation was attempted for standard semen analyses. Cytological patterns indicative of defective spermatogenesis were found in 61%, 52% and 20% of the patients at 1, 3 and 6 months after SCI, respectively, suggesting an improvement over time. Serum hormone analyses showed a steady elevation of estradiol levels above the reference range, and increasing levels of testosterone, inhibin B and prolactin throughout the study period. Prolactin levels were above the reference range at all time points. Only 2 out of the 10 patients who were able to ejaculate at 6 months post injury showed normal sperm parameters. A majority of the patients showed impaired spermatogenesis soon after the injury, which in most cases recovered over time. That was accompanied by parallel increases in serum levels of inhibin B, testosterone and prolactin, possibly driving or reflecting the spermatogenesis recovery. Further studies are needed to elucidate the biological mechanisms underlying these changes."
0,"Wai-Man Chan, Yahya Mohammed, Isabel Lee, Damien D Pearse","Effect of gender on recovery after spinal cord injury.",2013,"Translational stroke research","","","",10,"2021-01-15 09:54:28","Journal Article","10.1007/s12975-012-0249-7","1868-601X","",4,4,447,461,0,0.00,0,4,8,"Spinal cord injury (SCI) is a debilitating condition that affects thousands of new individuals each year, the majority of which are males. Males with SCI tend to be injured at an earlier age, mostly during sports or motor vehicle accidents, whereas females tend be injured later in life, particularly in the age group 65 and older. In both experimental and clinical studies, the question as to whether gender affects outcome has been addressed in a variety of patient groups and animal models. Results from experimental paradigms have suggested that a gender bias in outcome exists that favors females and appears to involve the advantageous or disadvantageous effects of the gonadal sex hormones estrogen and progesterone or testosterone, respectively. However, other studies have shown an absence of gender differences in outcome in specific SCI models and work has also questioned the involvement of female sex hormones in the observed outcome improvements in females. Similar controversy exists clinically, in studies that have examined gender disparities in outcome after SCI. The current review examines the experimental and clinical evidence for a gender bias in outcome following SCI and discusses issues that have made it difficult to conclusively answer this question."
