Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"C. Dambreville","Ankle proprioception during gait in individuals with incomplete spinal cord injury",2019,"Physiological Reports","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85077327554&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85077327554&origin=inward",18,"2021-01-16 11:15:31","Article","10.14814/phy2.14328","2051-817X","https://api.elsevier.com/content/abstract/scopus_id/85077327554",7,24,,,0,0.00,0,1,2,""
0,"S. Ayaz","Brown-Sequard Plus syndrome produced by different traumatic injuries to the spinal cord with a good neurologic recovery",2013,"Rawal Medical Journal","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84887340552&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84887340552&origin=inward",19,"2021-01-16 11:15:31","Article","","0303-5212","https://api.elsevier.com/content/abstract/scopus_id/84887340552",38,4,366,370,0,0.00,0,1,8,""
1,"A.V. Keller","Nociceptor-dependent locomotor dysfunction after clinically-modeled hindlimb muscle stretching in adult rats with spinal cord injury",2019,"Experimental Neurology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85064449357&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85064449357&origin=inward",16,"2021-01-16 11:15:31","Article","10.1016/j.expneurol.2019.03.006","0014-4886","https://api.elsevier.com/content/abstract/scopus_id/85064449357",318,,267,276,1,0.50,1,1,2,""
1,"M. Çaliş","Clinical evaluation and treatment of neurogenic bladder",2004,"Journal of Rheumatology and Medical Rehabilitation","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=29544433857&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=29544433857&origin=inward",17,"2021-01-16 11:15:31","Article","","1300-0691","https://api.elsevier.com/content/abstract/scopus_id/29544433857",15,2,129,136,1,0.06,1,1,17,""
3,"E.M. Besecker","Gastric vagal afferent neuropathy following experimental spinal cord injury",2020,"Experimental Neurology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85075010122&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85075010122&origin=inward",15,"2021-01-16 11:15:31","Article","10.1016/j.expneurol.2019.113092","0014-4886","https://api.elsevier.com/content/abstract/scopus_id/85075010122",323,,,,3,3.00,3,1,1,""
6,"J. Turtle","Engaging pain fibers after a spinal cord injury fosters hemorrhage and expands the area of secondary injury",2019,"Experimental Neurology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85054292649&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85054292649&origin=inward",14,"2021-01-16 11:15:31","Article","10.1016/j.expneurol.2018.09.018","0014-4886","https://api.elsevier.com/content/abstract/scopus_id/85054292649",311,,115,124,6,3.00,6,1,2,""
8,"J. Turtle","Pain input after spinal cord injury (SCI) undermines long-term recovery and engages signal pathways that promote cell death",2018,"Frontiers in Systems Neuroscience","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85049506575&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85049506575&origin=inward",13,"2021-01-16 11:15:31","Article","10.3389/fnsys.2018.00027","1662-5137","https://api.elsevier.com/content/abstract/scopus_id/85049506575",12,,,,8,2.67,8,1,3,""
10,"K. Lee","Recovery of the pulmonary chemoreflex and functional role of bronchopulmonary C-fibers following chronic cervical spinal cord injury",2014,"Journal of Applied Physiology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84911894791&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84911894791&origin=inward",12,"2021-01-16 11:15:31","Article","10.1152/japplphysiol.00723.2014","8750-7587","https://api.elsevier.com/content/abstract/scopus_id/84911894791",117,10,1188,1198,10,1.43,10,1,7,""
11,"K. Lee","Phrenic motor outputs in response to bronchopulmonary C-fibre activation following chronic cervical spinal cord injury",2016,"Journal of Physiology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84991250564&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84991250564&origin=inward",10,"2021-01-16 11:15:31","Article","10.1113/JP272287","0022-3751","https://api.elsevier.com/content/abstract/scopus_id/84991250564",594,20,6009,6024,11,2.20,11,1,5,""
11,"P. Sandford","Use of capsaicin in the treatment of radicular pain in spinal cord injury",2000,"Journal of Spinal Cord Medicine","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0003202727&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0003202727&origin=inward",11,"2021-01-16 11:15:31","Article","10.1080/10790268.2000.11753532","1079-0268","https://api.elsevier.com/content/abstract/scopus_id/0003202727",23,4,238,243,11,0.52,11,1,21,""
