Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"X.Y. Shen","Influence of spinal cord injury on core regions of motor function",2021,"Neural Regeneration Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85092652009&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85092652009&origin=inward",13,"2021-01-16 12:01:43","Article","10.4103/1673-5374.293158","1673-5374","https://api.elsevier.com/content/abstract/scopus_id/85092652009",16,3,567,572,0,0.00,0,1,1,""
0,"X. Wang","miR-30b Promotes spinal cord sensory function recovery via the Sema3A/NRP-1/PlexinA1/RhoA/ROCK Pathway",2020,"Journal of Cellular and Molecular Medicine","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85091449506&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85091449506&origin=inward",14,"2021-01-16 12:01:43","Article","10.1111/jcmm.15591","1582-1838","https://api.elsevier.com/content/abstract/scopus_id/85091449506",24,21,12285,12297,0,0.00,0,1,1,""
0,"W. Han","Sitagliptin improves functional recovery via GLP-1R-induced anti-apoptosis and facilitation of axonal regeneration after spinal cord injury",2020,"Journal of Cellular and Molecular Medicine","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85087307704&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85087307704&origin=inward",15,"2021-01-16 12:01:43","Article","10.1111/jcmm.15501","1582-1838","https://api.elsevier.com/content/abstract/scopus_id/85087307704",24,15,8687,8702,0,0.00,0,1,1,""
0,"X. Yin","Neuregulin-1 impacting bone marrow mesenchymal stem cell migration is conducive to functional recovery following spinal cord injury",2019,"Molecular Medicine Reports","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85067373937&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85067373937&origin=inward",16,"2021-01-16 12:01:43","Article","10.3892/mmr.2019.10217","1791-2997","https://api.elsevier.com/content/abstract/scopus_id/85067373937",20,1,41,48,0,0.00,0,1,2,""
1,"Q. Zhang","Total flavonoids of hawthorn leaves promote motor function recovery via inhibition of apoptosis after spinal cord injury",2021,"Neural Regeneration Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85091004040&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85091004040&origin=inward",11,"2021-01-16 12:01:43","Article","10.4103/1673-5374.286975","1673-5374","https://api.elsevier.com/content/abstract/scopus_id/85091004040",16,2,350,356,1,1.00,1,1,1,""
1,"T. Povysheva","Pyrimidine Derivative Ameliorates Spinal Cord Injury via Anti-apoptotic, Anti-inflammatory, and Antioxidant Effects and by Regulating Rho GTPases",2019,"BioNanoScience","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85064015773&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85064015773&origin=inward",12,"2021-01-16 12:01:43","Article","10.1007/s12668-018-0570-z","2191-1630","https://api.elsevier.com/content/abstract/scopus_id/85064015773",9,1,224,234,1,0.50,1,1,2,""
3,"J. Zhang","Electroacupuncture promotes locomotor recovery by inhibiting the activation of JNK and p38 MAPK signaling pathways in spinal cord injury rats",2016,"International Journal of Clinical and Experimental Medicine","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85002033505&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85002033505&origin=inward",8,"2021-01-16 12:01:43","Article","","1940-5901","https://api.elsevier.com/content/abstract/scopus_id/85002033505",9,11,22773,22783,3,0.60,3,1,5,""
3,"H.B. Yan","Establishment of stable rat models of complete spinal cord transection",2007,"Journal of Clinical Rehabilitative Tissue Engineering Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=34250318213&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=34250318213&origin=inward",9,"2021-01-16 12:01:43","Article","","1673-8225","https://api.elsevier.com/content/abstract/scopus_id/34250318213",11,6,1091,1094,3,0.21,3,1,14,""
3,"S. Lopez","Intrathecal bupivacaine protects against extension of lesions in an acute photochemical spinal cord injury model",2004,"Canadian Journal of Anesthesia","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=2542540436&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=2542540436&origin=inward",10,"2021-01-16 12:01:43","Article","10.1007/BF03018241","0832-610X","https://api.elsevier.com/content/abstract/scopus_id/2542540436",51,4,364,372,3,0.18,3,1,17,""
7,"K. Al Moutaery","Effect of acrylamide on neurological recovery following spinal cord injury in rats",1999,"Acta Neurochirurgica","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0032844326&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0032844326&origin=inward",7,"2021-01-16 12:01:43","Article","10.1007/s007010050406","0001-6268","https://api.elsevier.com/content/abstract/scopus_id/0032844326",141,9,989,999,7,0.32,7,1,22,""
