Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"E. Leung","Superimposed Guillain-Barré Syndrome (GBS) in pediatric hypoxic brain injury",2020,"Journal of Pediatric Rehabilitation Medicine","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85083893373&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85083893373&origin=inward",48,"2021-01-16 12:25:23","Article","10.3233/PRM-180562","1874-5393","https://api.elsevier.com/content/abstract/scopus_id/85083893373",13,1,63,69,0,0.00,0,1,1,""
0,"G. Brown","Classifying and predicting endurance outcomes of α<inf>2</inf>-adrenergic agonist intervention in spinal cord injury",2014,"2014 36th Annual International Conference of the IEEE Engineering in Medicine and Biology Society, EMBC 2014","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84929492581&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84929492581&origin=inward",49,"2021-01-16 12:25:23","Conference Paper","10.1109/EMBC.2014.6944970","","https://api.elsevier.com/content/abstract/scopus_id/84929492581",,,5896,5899,0,0.00,0,1,7,""
1,"J. Sotolongo","Effects of guanabenz on bladder function after spinal cord injury",1989,"Neurourology and Urodynamics","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0024353428&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0024353428&origin=inward",47,"2021-01-16 12:25:23","Article","10.1002/nau.1930080311","0733-2467","https://api.elsevier.com/content/abstract/scopus_id/0024353428",8,3,245,254,1,0.03,1,1,32,""
2,"A. Frigon","The cat model of spinal cord injury",2013,"Neuromethods","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84875619129&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84875619129&origin=inward",46,"2021-01-16 12:25:23","Article","10.1007/978-1-62703-197-4-8","0893-2336","https://api.elsevier.com/content/abstract/scopus_id/84875619129",76,,159,183,2,0.25,2,1,8,""
3,"L. Duffell","Variability in responsiveness to interventions in people with spinal cord injury: Do some respond better than others?",2014,"2014 36th Annual International Conference of the IEEE Engineering in Medicine and Biology Society, EMBC 2014","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84929497704&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84929497704&origin=inward",43,"2021-01-16 12:25:23","Conference Paper","10.1109/EMBC.2014.6944964","","https://api.elsevier.com/content/abstract/scopus_id/84929497704",,,5872,5875,3,0.43,3,1,7,""
3,"M.M. Mirbagheri","Therapeutic effects of anti-spastic medication on neuromuscular abnormalities in SCI: A system identification approach",2013,"Proceedings of the Annual International Conference of the IEEE Engineering in Medicine and Biology Society, EMBS","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84886530839&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84886530839&origin=inward",44,"2021-01-16 12:25:23","Conference Paper","10.1109/EMBC.2013.6610970","1557-170X","https://api.elsevier.com/content/abstract/scopus_id/84886530839",,,6203,6206,3,0.38,3,1,8,""
3,"X. Niu","The effect of robot-assisted lokomotor training on gait recovery: A multivariate analysis",2011,"Proceedings of the Annual International Conference of the IEEE Engineering in Medicine and Biology Society, EMBS","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84055184308&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84055184308&origin=inward",45,"2021-01-16 12:25:23","Conference Paper","10.1109/IEMBS.2011.6090589","1557-170X","https://api.elsevier.com/content/abstract/scopus_id/84055184308",,,3542,3545,3,0.30,3,1,10,""
4,"E.R. Theriault","Antispasmodic medications may be associated with reduced recovery during inpatient rehabilitation after traumatic spinal cord injury",2018,"Journal of Spinal Cord Medicine","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84994905096&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84994905096&origin=inward",42,"2021-01-16 12:25:23","Article","10.1080/10790268.2016.1245010","1079-0268","https://api.elsevier.com/content/abstract/scopus_id/84994905096",41,1,63,71,4,1.33,4,1,3,""
6,"C. Hulsebosch","Mechanisms and treatment strategies for chronic central neuropathic pain after spinal cord injury",2003,"Topics in Spinal Cord Injury Rehabilitation","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0037349186&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0037349186&origin=inward",41,"2021-01-16 12:25:23","Review","10.1310/NMGQ-NXNX-7LNK-PXM2","1082-0744","https://api.elsevier.com/content/abstract/scopus_id/0037349186",8,4,76,91,6,0.33,6,1,18,""
7,"I. Steuer","Spinal cord injury research in mice: 2008 Review",2009,"TheScientificWorldJournal","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=70349311417&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=70349311417&origin=inward",40,"2021-01-16 12:25:23","Short Survey","10.1100/tsw.2009.63","1537-744X","https://api.elsevier.com/content/abstract/scopus_id/70349311417",9,,490,498,7,0.58,7,1,12,""
8,"A. Frigon","Differential modulation of crossed and uncrossed reflex pathways by clonidine in adult cats following complete spinal cord injury",2012,"Journal of Physiology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84863393273&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84863393273&origin=inward",38,"2021-01-16 12:25:23","Article","10.1113/jphysiol.2011.222208","0022-3751","https://api.elsevier.com/content/abstract/scopus_id/84863393273",590,4,973,989,8,0.89,8,1,9,""
8,"N. Lapointe","Tail Pinching-Induced Hindlimb Movements Are Suppressed by Clonidine in Spinal Cord Injured Mice",2008,"Behavioral Neuroscience","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=44649119131&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=44649119131&origin=inward",39,"2021-01-16 12:25:23","Article","10.1037/0735-7044.122.3.576","0735-7044","https://api.elsevier.com/content/abstract/scopus_id/44649119131",122,3,576,588,8,0.62,8,1,13,""
9,"M. DIxit","Neuroprotective effect of agmatine in mouse spinal cord injury model: Modulation by imidazoline receptors",2018,"Journal of Natural Science, Biology and Medicine","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85049406089&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85049406089&origin=inward",34,"2021-01-16 12:25:23","Article","10.4103/jnsbm.JNSBM_239_17","0976-9668","https://api.elsevier.com/content/abstract/scopus_id/85049406089",9,2,115,120,9,3.00,9,1,3,""
9,"J. Huie","What Is Being Trained? How Divergent Forms of Plasticity Compete to Shape Locomotor Recovery after Spinal Cord Injury",2017,"Journal of Neurotrauma","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85019230329&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85019230329&origin=inward",35,"2021-01-16 12:25:23","Review","10.1089/neu.2016.4562","0897-7151","https://api.elsevier.com/content/abstract/scopus_id/85019230329",34,10,1831,1840,9,2.25,9,1,4,""
9,"X. Niu","The effect of robot-assisted locomotor training on walking speed",2012,"Proceedings of the Annual International Conference of the IEEE Engineering in Medicine and Biology Society, EMBS","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84870791567&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84870791567&origin=inward",36,"2021-01-16 12:25:23","Conference Paper","10.1109/EMBC.2012.6346809","1557-170X","https://api.elsevier.com/content/abstract/scopus_id/84870791567",,,3858,3861,9,1.00,9,1,9,""
9,"S. Rossignol","Locomotion and its Recovery after Spinal Injury in Animal Models",2002,"Neurorehabilitation and Neural Repair","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0036304569&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0036304569&origin=inward",37,"2021-01-16 12:25:23","Article","10.1177/0888439002016002002","1545-9683","https://api.elsevier.com/content/abstract/scopus_id/0036304569",16,2,201,206,9,0.47,9,1,19,""
10,"L. Duffell","Interventions to Reduce Spasticity and Improve Function in People with Chronic Incomplete Spinal Cord Injury",2015,"Neurorehabilitation and Neural Repair","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84936947940&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84936947940&origin=inward",32,"2021-01-16 12:25:23","Article","10.1177/1545968314558601","1545-9683","https://api.elsevier.com/content/abstract/scopus_id/84936947940",29,6,566,576,10,1.67,10,1,6,""
