Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"H. Zhang","FBXW7alpha promotes the recovery of traumatic spinal cord",2020,"Current Molecular Medicine","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85087111312&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85087111312&origin=inward",14,"2021-01-16 13:09:57","Article","10.2174/1566524020666191223164916","1566-5240","https://api.elsevier.com/content/abstract/scopus_id/85087111312",20,6,490,499,0,0.00,0,1,1,""
0,"W. Jermakowicz","Brainstem-Evoked Transcription of Defensive Genes After Spinal Cord Injury",2019,"Frontiers in Cellular Neuroscience","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85076711157&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85076711157&origin=inward",15,"2021-01-16 13:09:57","Article","10.3389/fncel.2019.00510","1662-5102","https://api.elsevier.com/content/abstract/scopus_id/85076711157",13,,,,0,0.00,0,1,2,""
0,"B. Jia","Combination of olfactory ensheathing cells from the olfactory mucosa and muscle basal lamina for the treatment of spinal cord injury",2008,"Journal of Clinical Rehabilitative Tissue Engineering Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=60849102813&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=60849102813&origin=inward",16,"2021-01-16 13:09:57","Article","","1673-8225","https://api.elsevier.com/content/abstract/scopus_id/60849102813",12,51,10041,10044,0,0.00,0,1,13,""
1,"K. Sugiyama","FGF2-responsive genes in human dental pulp cells assessed using a rat spinal cord injury model",2019,"Journal of Bone and Mineral Metabolism","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85052924059&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85052924059&origin=inward",12,"2021-01-16 13:09:57","Article","10.1007/s00774-018-0954-8","0914-8779","https://api.elsevier.com/content/abstract/scopus_id/85052924059",37,3,467,474,1,0.50,1,1,2,""
1,"L. Matinyan","Evolutionary aspects of the compensation for the functions of the damaged spinal cord",2004,"Neuroscience and Behavioral Physiology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=4344583558&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=4344583558&origin=inward",13,"2021-01-16 13:09:57","Article","10.1023/B:NEAB.0000028280.47712.2e","0097-0549","https://api.elsevier.com/content/abstract/scopus_id/4344583558",34,6,525,533,1,0.06,1,1,17,""
2,"S. Dave","In vitro differentiation of neural cells from human adipose tissue derived stromal cells",2018,"Neurology India","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85067306161&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85067306161&origin=inward",10,"2021-01-16 13:09:57","Article","10.4103/0028-3886.232326","0028-3886","https://api.elsevier.com/content/abstract/scopus_id/85067306161",66,3,716,721,2,0.67,2,1,3,""
2,"Z. Ye","Neuroprotective effects of salvianolic acid B on secondary spinal cord damage",2011,"Neural Regeneration Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=79951685564&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79951685564&origin=inward",11,"2021-01-16 13:09:57","Article","10.3969/j.issn.1673-5374.2011.03.005","1673-5374","https://api.elsevier.com/content/abstract/scopus_id/79951685564",6,3,188,192,2,0.20,2,1,10,""
4,"J. Wu","Migration of adipose-derived mesenchymal stem cells stably expressing chondroitinase ABC in vitro",2016,"Chinese Medical Journal","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84975246030&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84975246030&origin=inward",9,"2021-01-16 13:09:57","Article","10.4103/0366-6999.184464","0366-6999","https://api.elsevier.com/content/abstract/scopus_id/84975246030",129,13,1592,1599,4,0.80,4,1,5,""
8,"M. Gao","Selective Inhibition of MMP-2 Does Not Alter Neurological Recovery after Spinal Cord Injury",2016,"ACS Chemical Neuroscience","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84996602498&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84996602498&origin=inward",8,"2021-01-16 13:09:57","Article","10.1021/acschemneuro.6b00217","1948-7193","https://api.elsevier.com/content/abstract/scopus_id/84996602498",7,11,1482,1487,8,1.60,8,1,5,""
9,"K. Veeravalli","Regulation of proteases after spinal cord injury",2012,"Journal of Neurotrauma","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84865626612&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84865626612&origin=inward",7,"2021-01-16 13:09:57","Review","10.1089/neu.2012.2460","0897-7151","https://api.elsevier.com/content/abstract/scopus_id/84865626612",29,13,2251,2262,9,1.00,9,1,9,""
