Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"E. Leung","Superimposed Guillain-Barré Syndrome (GBS) in pediatric hypoxic brain injury",2020,"Journal of Pediatric Rehabilitation Medicine","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85083893373&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85083893373&origin=inward",15,"2021-01-16 13:15:41","Article","10.3233/PRM-180562","1874-5393","https://api.elsevier.com/content/abstract/scopus_id/85083893373",13,1,63,69,0,0.00,0,1,1,""
0,"J. Jeon","The effect of long-term oral dantrolene on the neuromuscular action of rocuronium",2014,"Korean Journal of Anesthesiology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84901741790&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84901741790&origin=inward",16,"2021-01-16 13:15:41","Article","10.4097/kjae.2014.66.2.153","2005-6419","https://api.elsevier.com/content/abstract/scopus_id/84901741790",66,2,153,156,0,0.00,0,1,7,""
1,"B. Torres","Dantrolene and mesenchymal stem cells promote functional improvement in Wistar rats with spinal cord injury",2018,"Pesquisa Veterinaria Brasileira","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85049419458&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85049419458&origin=inward",13,"2021-01-16 13:15:41","Article","10.1590/1678-5150-PVB-5165","0100-736X","https://api.elsevier.com/content/abstract/scopus_id/85049419458",38,4,703,709,1,0.33,1,1,3,""
1,"D. Plantier","Spasticity: Clinical, physiological and therapeutic approaches. A review (First part)",1995,"Lyon Pharmaceutique","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0028884849&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0028884849&origin=inward",14,"2021-01-16 13:15:41","Article","10.1016/0024-7804(96)85741-1","0024-7804","https://api.elsevier.com/content/abstract/scopus_id/0028884849",46,7,397,406,1,0.04,1,1,26,""
5,"M. Javed","Oral dantrolene and severe respiratory failure in a patient with chronic spinal cord injury",2010,"Anaesthesia","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77954520496&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77954520496&origin=inward",12,"2021-01-16 13:15:41","Article","10.1111/j.1365-2044.2010.06409.x","0003-2409","https://api.elsevier.com/content/abstract/scopus_id/77954520496",65,8,855,856,5,0.45,5,1,11,""
8,"B. Martins","Association of riluzole and dantrolene improves significant recovery after acute spinal cord injury in rats",2018,"Spine Journal","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85036607350&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85036607350&origin=inward",11,"2021-01-16 13:15:41","Article","10.1016/j.spinee.2017.10.067","1529-9430","https://api.elsevier.com/content/abstract/scopus_id/85036607350",18,3,532,539,8,2.67,8,1,3,""
11,"I. Rosado","Effects of methylprednisolone, dantrolene, and their combination on experimental spinal cord injury",2014,"International Journal of Clinical and Experimental Pathology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84906960268&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84906960268&origin=inward",10,"2021-01-16 13:15:41","Article","","1936-2625","https://api.elsevier.com/content/abstract/scopus_id/84906960268",7,8,4617,4626,11,1.57,11,1,7,""
13,"I. Perkash","Management of neurogenic bladder dysfunctions following acute traumatic cervical central cord syndrome (incomplete tetraplegia)",1977,"Paraplegia","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0017740973&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0017740973&origin=inward",9,"2021-01-16 13:15:41","Article","10.1038/sc.1977.5","0031-1758","https://api.elsevier.com/content/abstract/scopus_id/0017740973",15,1,21,37,13,0.30,13,1,44,""
17,"B. Torres","Effects of dantrolene on apoptosis and immunohistochemical expression of NeuN in the spinal cord after traumatic injury in rats",2010,"International Journal of Experimental Pathology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=78649517794&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=78649517794&origin=inward",8,"2021-01-16 13:15:41","Article","10.1111/j.1365-2613.2010.00738.x","0959-9673","https://api.elsevier.com/content/abstract/scopus_id/78649517794",91,6,530,536,17,1.55,17,1,11,""
38,"W. Thorell","Role of RyRs and IP3 receptors after traumatic injury to spinal cord white matter",2002,"Journal of Neurotrauma","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0036126440&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0036126440&origin=inward",7,"2021-01-16 13:15:41","Article","10.1089/089771502753594909","0897-7151","https://api.elsevier.com/content/abstract/scopus_id/0036126440",19,3,335,342,38,2.00,38,1,19,""
