Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"A. Anjum","Spinal cord injury: Pathophysiology, multimolecular interactions, and underlying recovery mechanisms",2020,"International Journal of Molecular Sciences","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85092901214&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85092901214&origin=inward",66,"2021-01-16 13:24:13","Review","10.3390/ijms21207533","1661-6596","https://api.elsevier.com/content/abstract/scopus_id/85092901214",21,20,1,35,0,0.00,0,1,1,""
0,"Q.X. Li","Effects of dexamethasone combined with estrogen on the expression of interleukin-6, Caspase3 and Bcl-2 after spinal cord contusion in rats",2020,"Chinese Journal of Tissue Engineering Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85088263632&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85088263632&origin=inward",67,"2021-01-16 13:24:13","Article","10.3969/j.issn.2095-4344.2591","2095-4344","https://api.elsevier.com/content/abstract/scopus_id/85088263632",24,17,2680,2685,0,0.00,0,1,1,""
0,"R. Fanarjyan","Stage management of severe craniocerebral and cervical spine injuries",2013,"New Armenian Medical Journal","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84875510292&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84875510292&origin=inward",68,"2021-01-16 13:24:13","Article","","1820-0254","https://api.elsevier.com/content/abstract/scopus_id/84875510292",7,1,104,106,0,0.00,0,1,8,""
0,"Y. Smorgick","An unusual combination of a lumbar seat belt injury and hemorrhagic contusion of the lower thoracic cord in a 2-year-old child: A case report",2010,"Journal of Pediatric Orthopaedics Part B","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=74549125356&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=74549125356&origin=inward",69,"2021-01-16 13:24:13","Article","10.1097/BPB.0b013e32832f06a6","1060-152X","https://api.elsevier.com/content/abstract/scopus_id/74549125356",19,1,98,101,0,0.00,0,1,11,""
0,"S. Liu","Damage control of multiple injuries headed by cervical spinal cord injury",2008,"Chinese Journal of Traumatology - English Edition","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=39649086724&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=39649086724&origin=inward",70,"2021-01-16 13:24:13","Article","10.1016/S1008-1275(08)60010-3","1008-1275","https://api.elsevier.com/content/abstract/scopus_id/39649086724",11,1,45,48,0,0.00,0,1,13,""
0,"C. Liu","Human embryonic olfactory ensheathing cell transplantation for treating the sequel of myelitis: A self-control study of 32 cases using American Spinal Injury Association Scoring Standard",2007,"Journal of Clinical Rehabilitative Tissue Engineering Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=38349125399&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=38349125399&origin=inward",71,"2021-01-16 13:24:13","Article","","1673-8225","https://api.elsevier.com/content/abstract/scopus_id/38349125399",11,50,10185,10188,0,0.00,0,1,14,""
0,"S. Liu","Application of injury severity score to multiple injuries headed by spinal cord injury",2007,"Chinese Journal of Traumatology - English Edition","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=34047130290&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=34047130290&origin=inward",72,"2021-01-16 13:24:13","Review","","1008-1275","https://api.elsevier.com/content/abstract/scopus_id/34047130290",10,2,125,128,0,0.00,0,1,14,""
0,"J. Vaquero","Early administration of dexamethasone after spinal cord injury: Effects on the functional recovery and local expression of vascular permeability factors",2004,"Mapfre Medicina","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=13144294060&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=13144294060&origin=inward",73,"2021-01-16 13:24:13","Article","","1130-5665","https://api.elsevier.com/content/abstract/scopus_id/13144294060",15,4,258,265,0,0.00,0,1,17,""
0,"P. Cooper","Dexamethasone and severe head injury: A prospective double-blind study",1980,"Orthopaedic Survey","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0019160984&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0019160984&origin=inward",74,"2021-01-16 13:24:13","Article","","0147-6793","https://api.elsevier.com/content/abstract/scopus_id/0019160984",3,4,218,219,0,0.00,0,1,41,""
1,"J.M. Chung","Relationship between clinical &amp; radiologic findings of spinal cord injury in decompression sickness",2017,"Undersea and Hyperbaric Medicine","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85017506050&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85017506050&origin=inward",63,"2021-01-16 13:24:13","Article","10.22462/1.2.2017.9","1066-2936","https://api.elsevier.com/content/abstract/scopus_id/85017506050",44,1,57,62,1,0.25,1,1,4,""
1,"V. Albernaz","Traumatic spinal cord injury with schiff-sherrington posture and spontaneous resolution in a dog: MRI evaluation",2016,"Acta Veterinaria Brasilica","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84975815194&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84975815194&origin=inward",64,"2021-01-16 13:24:13","Article","10.21708/avb.2016.10.2.5736","1981-5484","https://api.elsevier.com/content/abstract/scopus_id/84975815194",10,2,177,181,1,0.20,1,1,5,""
1,"Y. Iwasaki","Effects of Pial Incision and Steroid Administration on Experimental Spinal Cord Injury",1980,"Neurologia medico-chirurgica","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0019278943&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0019278943&origin=inward",65,"2021-01-16 13:24:13","Article","10.2176/nmc.20.965","0470-8105","https://api.elsevier.com/content/abstract/scopus_id/0019278943",20,9,965,970,1,0.02,1,1,41,""
2,"T. Yang","Delayed neurological deterioration with an unknown cause subsequent to surgery for intraspinal meningiomas",2015,"Oncology Letters","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84925432872&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84925432872&origin=inward",61,"2021-01-16 13:24:13","Article","10.3892/ol.2015.3024","1792-1074","https://api.elsevier.com/content/abstract/scopus_id/84925432872",9,5,2325,2330,2,0.33,2,1,6,""
2,"Y. Ma","An experiment on the effect of Chinese herb Jisuikang against spinal injury",2005,"Chinese Journal of Clinical Rehabilitation","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=31544454710&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=31544454710&origin=inward",62,"2021-01-16 13:24:13","Article","","1671-5926","https://api.elsevier.com/content/abstract/scopus_id/31544454710",9,45,62,63,2,0.13,2,1,16,""
3,"R. Malhotra","A silent acute abdomen in a patient with spinal cord injury",2013,"BMJ Case Reports","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84891679269&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84891679269&origin=inward",57,"2021-01-16 13:24:13","Article","10.1136/bcr-2013-008548","1757-790X","https://api.elsevier.com/content/abstract/scopus_id/84891679269",,,,,3,0.38,3,1,8,""
3,"P. Dorsher","Treatment of urinary incontinence due to incomplete spinal cord injury with acupuncture and percutaneous electrical nerve stimulation: Two cases and literature review",2009,"Medical Acupuncture","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77953368154&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77953368154&origin=inward",58,"2021-01-16 13:24:13","Article","10.1089/acu.2009.0630","1933-6586","https://api.elsevier.com/content/abstract/scopus_id/77953368154",21,1,21,26,3,0.25,3,1,12,""
3,"A. Levi","Advances in the management of spinal cord injury: Has the laboratory increased our understanding?",1998,"Neurosurgery Quarterly","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0031828573&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0031828573&origin=inward",59,"2021-01-16 13:24:13","Review","10.1097/00013414-199809000-00008","1050-6438","https://api.elsevier.com/content/abstract/scopus_id/0031828573",8,3,236,242,3,0.13,3,1,23,""
3,"L. Cherian","Changes in phospholipids and acetylcholinesterase during early phase of injury to spinal cord - An experimental study in rats",1996,"Indian Journal of Physiology and Pharmacology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0029887932&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0029887932&origin=inward",60,"2021-01-16 13:24:13","Article","","0019-5499","https://api.elsevier.com/content/abstract/scopus_id/0029887932",40,2,134,138,3,0.12,3,1,25,""
4,"A. Castel","Risk factors associated with progressive myelomalacia in dogs with complete sensorimotor loss following intervertebral disc extrusion: A retrospective case-control study",2019,"BMC Veterinary Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85076000671&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85076000671&origin=inward",53,"2021-01-16 13:24:13","Review","10.1186/s12917-019-2186-0","1746-6148","https://api.elsevier.com/content/abstract/scopus_id/85076000671",15,1,,,4,2.00,4,1,2,""
4,"Z. Han","Safety and efficacy of corticosteroid Use in neurologic trauma",2014,"Journal of Pharmacy Practice","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84908890896&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84908890896&origin=inward",54,"2021-01-16 13:24:13","Review","10.1177/0897190013516500","0897-1900","https://api.elsevier.com/content/abstract/scopus_id/84908890896",27,5,487,495,4,0.57,4,1,7,""
4,"J. Vaquero","Tissue expression of 165-aa vascular permeability factor after spinal cord injury is not influenced by dexamethasone administration in rats",2004,"Neuroscience Letters","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=3042705816&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=3042705816&origin=inward",55,"2021-01-16 13:24:13","Article","10.1016/j.neulet.2004.04.082","0304-3940","https://api.elsevier.com/content/abstract/scopus_id/3042705816",365,3,214,217,4,0.24,4,1,17,""
4,"T. Lesar","Standardized dosing tables to reduce errors involving high-dose methylprednisolone for acute spinal cord injury",1994,"Hospital Pharmacy","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0027974220&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0027974220&origin=inward",56,"2021-01-16 13:24:13","Review","","0018-5787","https://api.elsevier.com/content/abstract/scopus_id/0027974220",29,10,935,936,4,0.15,4,1,27,""
8,"A. Sharma","Comparison of methylprednisolone with dexamethasone in treatment of acute spinal injury in rats",2004,"Indian Journal of Experimental Biology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=2442624574&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=2442624574&origin=inward",50,"2021-01-16 13:24:13","Article","","0019-5189","https://api.elsevier.com/content/abstract/scopus_id/2442624574",42,5,476,480,8,0.47,8,1,17,""
8,"K. Bloom","Paraplegia from schistosomiasis",1990,"Paraplegia","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0025164555&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0025164555&origin=inward",51,"2021-01-16 13:24:13","Article","10.1038/sc.1990.61","0031-1758","https://api.elsevier.com/content/abstract/scopus_id/0025164555",28,7,455,459,8,0.26,8,1,31,""
8,"A. Gerber","Effect of phenytoin on functional recovery after experimental spinal cord injury in dogs",1980,"Neurosurgery","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0019200048&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0019200048&origin=inward",52,"2021-01-16 13:24:13","Article","10.1227/00006123-198011000-00009","0148-396X","https://api.elsevier.com/content/abstract/scopus_id/0019200048",7,5,472,476,8,0.20,8,1,41,""
