Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"J. Khieukhajee","The Prevalence and Predictive Factors of Painful Tonic Spasm in Patients with Neuromyelitis Optica Spectrum Disorder (NMOSD)",2020,"Journal of the Medical Association of Thailand","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85097620304&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85097620304&origin=inward",31,"2021-01-16 15:29:13","Article","10.35755/jmedassocthai.2020.12.11578","0125-2208","https://api.elsevier.com/content/abstract/scopus_id/85097620304",103,12,1354,1361,0,0.00,0,1,1,""
0,"J.J. Cragg","Beneficial “Pharmaceutical Pleiotropy” of Gabapentinoids in Spinal Cord Injury: A Case for Refining Standard-of-Care",2020,"Neurorehabilitation and Neural Repair","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85086331045&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85086331045&origin=inward",32,"2021-01-16 15:29:13","Article","10.1177/1545968320931516","1545-9683","https://api.elsevier.com/content/abstract/scopus_id/85086331045",34,8,686,689,0,0.00,0,1,1,""
0,"S. Ayaz","Brown-Sequard Plus syndrome produced by different traumatic injuries to the spinal cord with a good neurologic recovery",2013,"Rawal Medical Journal","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84887340552&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84887340552&origin=inward",33,"2021-01-16 15:29:13","Article","","0303-5212","https://api.elsevier.com/content/abstract/scopus_id/84887340552",38,4,366,370,0,0.00,0,1,8,""
0,"E. Norwitz","Obstetric issues in women with neurologic diseases",1997,"Current Problems in Obstetrics, Gynecology and Fertility","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0031471597&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0031471597&origin=inward",34,"2021-01-16 15:29:13","Review","","8756-0410","https://api.elsevier.com/content/abstract/scopus_id/0031471597",20,6,190,230,0,0.00,0,1,24,""
1,"M. Hamdaoui","Restless legs syndrome related to hemorrhage of a thoracic spinal cord cavernoma",2018,"Journal of Spinal Cord Medicine","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85029461192&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85029461192&origin=inward",30,"2021-01-16 15:29:13","Article","10.1080/10790268.2017.1368963","1079-0268","https://api.elsevier.com/content/abstract/scopus_id/85029461192",41,2,245,247,1,0.33,1,1,3,""
2,"C.V. Ghincea","Spinal Cord Protection for Thoracic Aortic Surgery: Bench to Bedside",2019,"Seminars in Thoracic and Cardiovascular Surgery","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85063372393&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85063372393&origin=inward",29,"2021-01-16 15:29:13","Article","10.1053/j.semtcvs.2019.02.025","1043-0679","https://api.elsevier.com/content/abstract/scopus_id/85063372393",31,4,713,720,2,1.00,2,1,2,""
3,"Y. Wu","Methylprednisolone worsening neuropathic pain in non-traumatic thoracic myelopathy",2010,"Journal of Clinical Pharmacy and Therapeutics","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77954493527&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77954493527&origin=inward",28,"2021-01-16 15:29:13","Article","10.1111/j.1365-2710.2009.01121.x","0269-4727","https://api.elsevier.com/content/abstract/scopus_id/77954493527",35,4,491,496,3,0.27,3,1,11,""
4,"N.D. Jeffery","Extended durotomy to treat severe spinal cord injury after acute thoracolumbar disc herniation in dogs",2020,"Veterinary Surgery","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85084131597&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85084131597&origin=inward",27,"2021-01-16 15:29:13","Article","10.1111/vsu.13423","0161-3499","https://api.elsevier.com/content/abstract/scopus_id/85084131597",49,5,884,893,4,4.00,4,1,1,""
5,"M.E. Melicosta","Acute flaccid myelitis: Rehabilitation challenges and outcomes in a pediatric cohort",2019,"Journal of Pediatric Rehabilitation Medicine","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85073184033&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85073184033&origin=inward",26,"2021-01-16 15:29:13","Article","10.3233/PRM-180549","1874-5393","https://api.elsevier.com/content/abstract/scopus_id/85073184033",12,3,245,253,5,2.50,5,1,2,""
6,"S. Sangari","Imbalanced corticospinal and reticulospinal contributions to spasticity in humans with spinal cord injury",2019,"Journal of Neuroscience","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85072905448&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85072905448&origin=inward",24,"2021-01-16 15:29:13","Article","10.1523/JNEUROSCI.1106-19.2019","0270-6474","https://api.elsevier.com/content/abstract/scopus_id/85072905448",39,40,7872,7881,6,3.00,6,1,2,""
