Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"W. Zhao","Effect of small interferon RNA combined with electro-acupuncture on the expression of connective tissue growth factor after spinal cord injury in rats",2016,"Acta Anatomica Sinica","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84976479732&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84976479732&origin=inward",49,"2021-01-16 15:30:17","Article","10.16098/j.issn.0529-1356.2016.02.006","0529-1356","https://api.elsevier.com/content/abstract/scopus_id/84976479732",47,2,185,190,0,0.00,0,1,5,""
0,"Z.Z. Sun","Expression of nerve growth factor and neurotrophin 3 after transplantation of human umbilical cord blood stem cells combined with electroacupuncture stimulation in rats with spinal cord injuries",2015,"Chinese Journal of Tissue Engineering Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84942116525&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84942116525&origin=inward",50,"2021-01-16 15:30:17","Article","10.3969/j.issn.2095-4344.2015.01.011","1673-8225","https://api.elsevier.com/content/abstract/scopus_id/84942116525",19,1,61,66,0,0.00,0,1,6,""
0,"J.f. Wu","Effects of the xenotransplantation of microencapsulated olfactory bulb cell suspension on the expression of nuclear factor-kappa B in rats after spinal cord injury",2011,"Journal of Clinical Rehabilitative Tissue Engineering Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84864710343&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84864710343&origin=inward",51,"2021-01-16 15:30:17","Article","10.3969/j.issn.1673-8225.2011.51.026","1673-8225","https://api.elsevier.com/content/abstract/scopus_id/84864710343",15,51,9613,9616,0,0.00,0,1,10,""
0,"L. Lu","Effects of transplantation of gelatin sponge cylinder scaffold containing neurotrophin-3 NT-3 gene modified bone marrow mesenchymal stem cells on promoting the recovery of partial structure and function of rats with spinal cord complete transection injury",2011,"Chinese Journal of Rehabilitation Medicine","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=80051525086&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=80051525086&origin=inward",52,"2021-01-16 15:30:17","Article","10.3969/j.issn.1001-1242.2011.07.002","1001-1242","https://api.elsevier.com/content/abstract/scopus_id/80051525086",26,7,603,608,0,0.00,0,1,10,""
0,"X. Wang","Effects of transplantation of microencapsulated rabbit sciatic nerve on nuclear factor-kappa B expression after spinal cord injury in rats",2009,"Neural Regeneration Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=64949194861&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=64949194861&origin=inward",53,"2021-01-16 15:30:17","Article","10.3969/j.issn.1673-5374.2009.03.008","1673-5374","https://api.elsevier.com/content/abstract/scopus_id/64949194861",4,3,213,217,0,0.00,0,1,12,""
0,"W.X. Fu","Influence on nerve growth factor expression after transplanting microencapsulated sciatic nerve cells of rabbits into injured spinal cord of rats",2006,"Chinese Journal of Clinical Rehabilitation","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=33747333366&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33747333366&origin=inward",54,"2021-01-16 15:30:17","Article","","1671-5926","https://api.elsevier.com/content/abstract/scopus_id/33747333366",10,17,7,9,0,0.00,0,1,15,""
1,"P. Zhou","Promoting 3D neuronal differentiation in hydrogel for spinal cord regeneration",2020,"Colloids and Surfaces B: Biointerfaces","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85086805471&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85086805471&origin=inward",39,"2021-01-16 15:30:17","Article","10.1016/j.colsurfb.2020.111214","0927-7765","https://api.elsevier.com/content/abstract/scopus_id/85086805471",194,,,,1,1.00,1,1,1,""
1,"X. Sun","Neurotrophin-3-Loaded Multichannel Nanofibrous Scaffolds Promoted Anti-Inflammation, Neuronal Differentiation, and Functional Recovery after Spinal Cord Injury",2020,"ACS Biomaterials Science and Engineering","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85079773924&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85079773924&origin=inward",40,"2021-01-16 15:30:17","Article","10.1021/acsbiomaterials.0c00023","2373-9878","https://api.elsevier.com/content/abstract/scopus_id/85079773924",6,2,1228,1238,1,1.00,1,1,1,""
1,"R. Subbarayan","Human gingival derived neuronal cells in the optimized caffeic acid hydrogel for hemitransection spinal cord injury model",2020,"Journal of Cellular Biochemistry","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85074652931&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85074652931&origin=inward",41,"2021-01-16 15:30:17","Article","10.1002/jcb.29452","0730-2312","https://api.elsevier.com/content/abstract/scopus_id/85074652931",121,3,2077,2088,1,1.00,1,1,1,""
1,"X. Huang","Repair effect of bFGF combined with bone marrow mesenchymal stem cells on spinal cord injury in rats",2019,"Zhongguo gu shang = China journal of orthopaedics and traumatology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85071184072&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85071184072&origin=inward",42,"2021-01-16 15:30:17","Article","10.3969/j.issn.1003-0034.2019.07.013","1003-0034","https://api.elsevier.com/content/abstract/scopus_id/85071184072",32,7,653,657,1,0.50,1,1,2,""
