Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"L. Wu","Regional cerebral metabolic levels and turnover in awake rats after acute or chronic spinal cord injury",2020,"FASEB Journal","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85087298254&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85087298254&origin=inward",16,"2021-01-16 15:34:06","Article","10.1096/fj.202000447R","0892-6638","https://api.elsevier.com/content/abstract/scopus_id/85087298254",34,8,10547,10559,0,0.00,0,1,1,""
0,"K. Bagherzadeh","Chondrotinase ABC I thermal stability is enhanced by site-directed mutagenesis: a molecular dynamic simulations approach",2018,"Journal of Biomolecular Structure and Dynamics","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85014490966&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85014490966&origin=inward",17,"2021-01-16 15:34:06","Article","10.1080/07391102.2017.1294110","0739-1102","https://api.elsevier.com/content/abstract/scopus_id/85014490966",36,3,679,688,0,0.00,0,1,3,""
1,"J. Guo","Transplantation of activated olfactory ensheathing cells by curcumin strengthens regeneration and recovery of function after spinal cord injury in rats",2020,"Cytotherapy","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85082923165&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85082923165&origin=inward",13,"2021-01-16 15:34:06","Article","10.1016/j.jcyt.2020.03.002","1465-3249","https://api.elsevier.com/content/abstract/scopus_id/85082923165",22,6,301,312,1,1.00,1,1,1,""
1,"R. Subbarayan","Human gingival derived neuronal cells in the optimized caffeic acid hydrogel for hemitransection spinal cord injury model",2020,"Journal of Cellular Biochemistry","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85074652931&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85074652931&origin=inward",14,"2021-01-16 15:34:06","Article","10.1002/jcb.29452","0730-2312","https://api.elsevier.com/content/abstract/scopus_id/85074652931",121,3,2077,2088,1,1.00,1,1,1,""
1,"M. Matsumoto","Glutamine synthetase protects the spinal cord against hypoxia-induced and GABA<inf>A</inf> receptor-activated axonal depressions",2008,"Surgical Neurology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=47149110751&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=47149110751&origin=inward",15,"2021-01-16 15:34:06","Article","10.1016/j.surneu.2007.07.011","0090-3019","https://api.elsevier.com/content/abstract/scopus_id/47149110751",70,2,122,128,1,0.08,1,1,13,""
2,"W. Shi","Overexpression of TG2 enhances the differentiation of ectomesenchymal stem cells into neuron-like cells and promotes functional recovery in adult rats following spinal cord injury",2019,"Molecular Medicine Reports","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85070605772&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85070605772&origin=inward",11,"2021-01-16 15:34:06","Article","10.3892/mmr.2019.10502","1791-2997","https://api.elsevier.com/content/abstract/scopus_id/85070605772",20,3,2763,2773,2,1.00,2,1,2,""
2,"A. Monteagudo","Depletion of astrocytic transglutaminase 2 improves injury outcomes",2018,"Molecular and Cellular Neuroscience","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85052880091&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85052880091&origin=inward",12,"2021-01-16 15:34:06","Article","10.1016/j.mcn.2018.06.007","1044-7431","https://api.elsevier.com/content/abstract/scopus_id/85052880091",92,,128,136,2,0.67,2,1,3,""
3,"J. Wang","Scar Tissue-Targeting Polymer Micelle for Spinal Cord Injury Treatment",2020,"Small","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85078837894&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85078837894&origin=inward",9,"2021-01-16 15:34:06","Article","10.1002/smll.201906415","1613-6810","https://api.elsevier.com/content/abstract/scopus_id/85078837894",16,8,,,3,3.00,3,1,1,""
3,"Y. Xu","Differentiation of bone marrow derived mesenchymal stem cells into oligodendrocytes",2008,"Journal of Clinical Rehabilitative Tissue Engineering Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=40949088222&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=40949088222&origin=inward",10,"2021-01-16 15:34:06","Article","","1673-8225","https://api.elsevier.com/content/abstract/scopus_id/40949088222",12,3,498,500,3,0.23,3,1,13,""
8,"S. Kang","Baicalin effects on rats with spinal cord injury by anti-inflammatory and regulating the serum metabolic disorder",2018,"Journal of Cellular Biochemistry","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85053554674&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85053554674&origin=inward",8,"2021-01-16 15:34:06","Article","10.1002/jcb.27136","0730-2312","https://api.elsevier.com/content/abstract/scopus_id/85053554674",119,9,7767,7779,8,2.67,8,1,3,""
9,"C. Chamney","Effects of glutamine supplementation on muscle function and stress responses in a mouse model of spinal cord injury",2013,"Experimental Physiology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84874116254&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84874116254&origin=inward",7,"2021-01-16 15:34:06","Article","10.1113/expphysiol.2012.069658","0958-0670","https://api.elsevier.com/content/abstract/scopus_id/84874116254",98,3,796,806,9,1.13,9,1,8,""
13,"J.D. Golding","The effect of glutamine on locomotor performance and skeletal muscle myosins following spinal cord injury in rats",2006,"Journal of Applied Physiology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=33749352382&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33749352382&origin=inward",5,"2021-01-16 15:34:06","Article","10.1152/japplphysiol.00428.2006","8750-7587","https://api.elsevier.com/content/abstract/scopus_id/33749352382",101,4,1045,1052,13,0.87,13,1,15,""
13,"Q. Tai","Ultrastructural characteristics of glutamatergic and GABAergic terminals in cat lamina IX before and after spinal cord injury",1997,"Journal of Spinal Cord Medicine","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0031179859&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0031179859&origin=inward",6,"2021-01-16 15:34:06","Article","10.1080/10790268.1997.11719481","1079-0268","https://api.elsevier.com/content/abstract/scopus_id/0031179859",20,3,311,318,13,0.54,13,1,24,""
30,"M. Farooque","Effects of moderate hypothermia on extracellular lactic acid and amino acids after severe compression injury of rat spinal cord",1997,"Journal of Neurotrauma","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0031046652&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0031046652&origin=inward",4,"2021-01-16 15:34:06","Article","10.1089/neu.1997.14.63","0897-7151","https://api.elsevier.com/content/abstract/scopus_id/0031046652",14,1,63,69,30,1.25,30,1,24,""
35,"B.K. Puri","The human motor cortex after incomplete spinal cord injury: An investigation using proton magnetic resonance spectroscopy",1998,"Journal of Neurology Neurosurgery and Psychiatry","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0031733714&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0031733714&origin=inward",3,"2021-01-16 15:34:06","Article","10.1136/jnnp.65.5.748","0022-3050","https://api.elsevier.com/content/abstract/scopus_id/0031733714",65,5,748,754,35,1.52,35,1,23,""
47,"M. Schwartz","Optic nerve crush: Protection and regeneration",2004,"Brain Research Bulletin","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=1342291355&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=1342291355&origin=inward",2,"2021-01-16 15:34:06","Conference Paper","10.1016/S0361-9230(03)00076-5","0361-9230","https://api.elsevier.com/content/abstract/scopus_id/1342291355",62,6,467,471,47,2.76,47,1,17,""
70,"P. Demediuk","Effect of Impact Trauma on Neurotransmitter and Nonneurotransmitter Amino Acids in Rat Spinal Cord",1989,"Journal of Neurochemistry","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0024521623&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0024521623&origin=inward",1,"2021-01-16 15:34:06","Article","10.1111/j.1471-4159.1989.tb09204.x","0022-3042","https://api.elsevier.com/content/abstract/scopus_id/0024521623",52,5,1529,1536,70,2.19,70,1,32,""
