Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"L.X. Ye","Exogenous platelet-derived growth factor improves neurovascular unit recovery after spinal cord injury",2021,"Neural Regeneration Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85094600726&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85094600726&origin=inward",33,"2021-01-16 15:42:37","Article","10.4103/1673-5374.295347","1673-5374","https://api.elsevier.com/content/abstract/scopus_id/85094600726",16,4,765,771,0,0.00,0,1,1,""
0,"J. Liu","Spinal cord injury can be relieved by the polysaccharides of Tricholoma matsutake by promoting axon regeneration and reducing neuroinflammation",2020,"NeuroReport","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85090173406&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85090173406&origin=inward",34,"2021-01-16 15:42:37","Article","10.1097/WNR.0000000000001514","0959-4965","https://api.elsevier.com/content/abstract/scopus_id/85090173406",,,1024,1029,0,0.00,0,1,1,""
0,"L. Dong","Novel Approach for Efficient Recovery for Spinal Cord Injury Repair via Biofabricated Nano-Cerium Oxide Loaded PCL With Resveratrol to Improve in Vitro Biocompatibility and Autorecovery Abilities",2020,"Dose-Response","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85090165206&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85090165206&origin=inward",35,"2021-01-16 15:42:37","Article","10.1177/1559325820933518","1559-3258","https://api.elsevier.com/content/abstract/scopus_id/85090165206",18,3,,,0,0.00,0,1,1,""
0,"J. Zheng","MiR-142-3p suppresses apoptosis in spinal cord-injured rats",2020,"Translational Neuroscience","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85085515668&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85085515668&origin=inward",36,"2021-01-16 15:42:37","Article","10.1515/tnsci-2020-0105","2081-3856","https://api.elsevier.com/content/abstract/scopus_id/85085515668",11,1,105,115,0,0.00,0,1,1,""
0,"Y. Ni","MGMT-Mediated neuron Apoptosis in Injured Rat Spinal Cord",2020,"Tissue and Cell","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85074847195&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85074847195&origin=inward",37,"2021-01-16 15:42:37","Article","10.1016/j.tice.2019.101311","0040-8166","https://api.elsevier.com/content/abstract/scopus_id/85074847195",62,,,,0,0.00,0,1,1,""
0,"N. Wang","Ultrashortwave radiation promotes the recovery of spinal cord injury by inhibiting inflammation via suppression of the MK2/TNF-α pathway",2018,"International Journal of Molecular Medicine","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85052383821&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85052383821&origin=inward",38,"2021-01-16 15:42:37","Article","10.3892/ijmm.2018.3786","1107-3756","https://api.elsevier.com/content/abstract/scopus_id/85052383821",42,4,1909,1916,0,0.00,0,1,3,""
1,"Q. Zhou","miR-27a promotion resulting from silencing of HDAC3 facilitates the recovery of spinal cord injury by inhibiting PAK6 expression in rats",2020,"Life Sciences","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85089846524&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85089846524&origin=inward",30,"2021-01-16 15:42:37","Article","10.1016/j.lfs.2020.118098","0024-3205","https://api.elsevier.com/content/abstract/scopus_id/85089846524",260,,,,1,1.00,1,1,1,""
1,"Y. An","MicroRNA-466c-3p exerts protective effect on neuronal apoptosis and improves functional recovery post spinal cord injury via mitochondrial apoptotic pathway",2020,"AMB Express","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85086373823&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85086373823&origin=inward",31,"2021-01-16 15:42:37","Article","10.1186/s13568-020-01033-3","2191-0855","https://api.elsevier.com/content/abstract/scopus_id/85086373823",10,1,,,1,1.00,1,1,1,""
1,"X. Li","miR-181a promotes apoptosis in contusion spinal cord injury rats through targeting Bcl-2",2017,"International Journal of Clinical and Experimental Medicine","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85014302715&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85014302715&origin=inward",32,"2021-01-16 15:42:37","Article","","1940-5901","https://api.elsevier.com/content/abstract/scopus_id/85014302715",10,2,2773,2781,1,0.25,1,1,4,""
2,"A. Maqueda","Efficacy of human HC016 cell transplants on neuroprotection and functional recovery in a rat model of acute spinal cord injury",2020,"Journal of Tissue Engineering and Regenerative Medicine","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85077146093&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85077146093&origin=inward",29,"2021-01-16 15:42:37","Article","10.1002/term.2995","1932-6254","https://api.elsevier.com/content/abstract/scopus_id/85077146093",14,2,319,333,2,2.00,2,1,1,""
